# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Thu Jan 12 21:38:20 EST 2017, 1, 1, 0.000, 1, 3.34333, 0.0555778, 3.24123, 3.44543, 3.29, 3.29, 3.32, 3.42, 3.42, 9386.67, 1.88562, 9383.21, 9390.13, 9384, 9384, 9388, 9388, 9388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732638, 0, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1971148, 0, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148
Thu Jan 12 21:40:21 EST 2017, 1, 2, 0.000, 1, 4.91333, 0.077603, 4.77076, 5.0559, 4.82, 4.82, 4.91, 5.01, 5.01, 9530.67, 3.77124, 9523.74, 9537.6, 9528, 9528, 9528, 9536, 9536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593416, 0, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 3162037, 0, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037
Thu Jan 12 21:42:27 EST 2017, 1, 5, 0.000, 1, 6.44, 0.130639, 6.2, 6.68, 6.28, 6.28, 6.44, 6.6, 6.6, 9700, 3.26599, 9694, 9706, 9696, 9696, 9700, 9704, 9704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3577719, 0, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 4589290, 0, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290
Thu Jan 12 21:44:28 EST 2017, 1, 10, 0.000, 1, 7.25667, 0.0946338, 7.08282, 7.43052, 7.18, 7.18, 7.2, 7.39, 7.39, 9802.67, 1.88562, 9799.21, 9806.13, 9800, 9800, 9804, 9804, 9804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3906223, 0, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:46:24 EST 2017, 1, 1, 0.250, 1, 3.55, 0.0163299, 3.52, 3.58, 3.53, 3.53, 3.55, 3.57, 3.57, 8977.33, 1.88562, 8973.87, 8980.79, 8976, 8976, 8976, 8980, 8980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161
Thu Jan 12 21:48:29 EST 2017, 1, 2, 0.250, 1, 4.88, 0.0565685, 4.77608, 4.98392, 4.84, 4.84, 4.84, 4.96, 4.96, 9020, 0, 9020, 9020, 9020, 9020, 9020, 9020, 9020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2570980, 0, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 3162078, 0, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078
Thu Jan 12 21:50:35 EST 2017, 1, 5, 0.250, 1, 6.47667, 0.0758654, 6.3373, 6.61604, 6.37, 6.37, 6.52, 6.54, 6.54, 9078.67, 1.88562, 9075.21, 9082.13, 9076, 9076, 9080, 9080, 9080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3441431, 0, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 4589164, 0, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164
Thu Jan 12 21:52:36 EST 2017, 1, 10, 0.250, 1, 7.21, 0.0828654, 7.05777, 7.36223, 7.12, 7.12, 7.19, 7.32, 7.32, 9106.67, 1.88562, 9103.21, 9110.13, 9104, 9104, 9108, 9108, 9108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:54:37 EST 2017, 1, 1, 0.000, 2, 6.2, 0.304302, 5.64096, 6.75904, 5.97, 5.97, 6, 6.63, 6.63, 9488, 0, 9488, 9488, 9488, 9488, 9488, 9488, 9488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2891147, 0, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 3935461, 0, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461
Thu Jan 12 21:56:43 EST 2017, 1, 2, 0.000, 2, 8.92667, 0.00942809, 8.90935, 8.94399, 8.92, 8.92, 8.92, 8.94, 8.94, 9702.67, 3.77124, 9695.74, 9709.6, 9700, 9700, 9700, 9708, 9708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3899545, 0, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 6321011, 0, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011
