# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Thu Jan 12 21:30:10 EST 2017, 1, 1, 0.000, 1, 2.48, 0.0216025, 2.44031, 2.51969, 2.46, 2.46, 2.47, 2.51, 2.51, 9529.33, 1.88562, 9525.87, 9532.79, 9528, 9528, 9528, 9532, 9532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732638, 0, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1971148, 0, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148
Thu Jan 12 21:32:16 EST 2017, 1, 2, 0.000, 1, 3.65, 0.0244949, 3.605, 3.695, 3.62, 3.62, 3.65, 3.68, 3.68, 9612, 3.26599, 9606, 9618, 9608, 9608, 9612, 9616, 9616, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593416, 0, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 3162037, 0, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037
Thu Jan 12 21:34:16 EST 2017, 1, 5, 0.000, 1, 4.28333, 0.147045, 4.01319, 4.55347, 4.16, 4.16, 4.2, 4.49, 4.49, 9816, 3.26599, 9810, 9822, 9812, 9812, 9816, 9820, 9820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3577719, 0, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 4589290, 0, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290
Thu Jan 12 21:36:17 EST 2017, 1, 10, 0.000, 1, 4.96333, 0.0825967, 4.81159, 5.11507, 4.9, 4.9, 4.91, 5.08, 5.08, 9832, 3.26599, 9826, 9838, 9828, 9828, 9832, 9836, 9836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3906223, 0, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:38:18 EST 2017, 1, 1, 0.250, 1, 2.65, 0.108012, 2.45157, 2.84843, 2.55, 2.55, 2.6, 2.8, 2.8, 9124, 0, 9124, 9124, 9124, 9124, 9124, 9124, 9124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161
Thu Jan 12 21:40:19 EST 2017, 1, 2, 0.250, 1, 3.48, 0.0355903, 3.41462, 3.54538, 3.45, 3.45, 3.46, 3.53, 3.53, 9112, 0, 9112, 9112, 9112, 9112, 9112, 9112, 9112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2570980, 0, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 3162078, 0, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078
Thu Jan 12 21:42:25 EST 2017, 1, 5, 0.250, 1, 4.47333, 0.054365, 4.37345, 4.57321, 4.43, 4.43, 4.44, 4.55, 4.55, 9164, 0, 9164, 9164, 9164, 9164, 9164, 9164, 9164, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3441431, 0, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 4589164, 0, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164
Thu Jan 12 21:44:25 EST 2017, 1, 10, 0.250, 1, 4.99333, 0.156915, 4.70506, 5.2816, 4.82, 4.82, 4.96, 5.2, 5.2, 9189.33, 1.88562, 9185.87, 9192.79, 9188, 9188, 9188, 9192, 9192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:46:26 EST 2017, 1, 1, 0.000, 2, 4.11667, 0.0124722, 4.09376, 4.13958, 4.1, 4.1, 4.12, 4.13, 4.13, 9688, 0, 9688, 9688, 9688, 9688, 9688, 9688, 9688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2891147, 0, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 3935461, 0, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461
Thu Jan 12 21:48:27 EST 2017, 1, 2, 0.000, 2, 5.74333, 0.0169967, 5.7121, 5.77456, 5.72, 5.72, 5.75, 5.76, 5.76, 9973.33, 1.88562, 9969.87, 9976.79, 9972, 9972, 9972, 9976, 9976, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3899545, 0, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 6321011, 0, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011
