# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Thu Jan 12 21:34:14 EST 2017, 1, 1, 0.000, 1, 2.99667, 0.103709, 2.80614, 3.1872, 2.85, 2.85, 3.07, 3.07, 3.07, 9526.67, 3.77124, 9519.74, 9533.6, 9524, 9524, 9524, 9532, 9532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732638, 0, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1971148, 0, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148
Thu Jan 12 21:36:15 EST 2017, 1, 2, 0.000, 1, 4.02667, 0.0124722, 4.00376, 4.04958, 4.01, 4.01, 4.03, 4.04, 4.04, 9650.67, 1.88562, 9647.21, 9654.13, 9648, 9648, 9652, 9652, 9652, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593416, 0, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 3162037, 0, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037
Thu Jan 12 21:38:20 EST 2017, 1, 5, 0.000, 1, 5.36667, 0.216692, 4.96858, 5.76476, 5.11, 5.11, 5.35, 5.64, 5.64, 9769.33, 1.88562, 9765.87, 9772.79, 9768, 9768, 9768, 9772, 9772, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3577719, 0, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 4589290, 0, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290
Thu Jan 12 21:40:21 EST 2017, 1, 10, 0.000, 1, 5.78333, 0.020548, 5.74558, 5.82108, 5.76, 5.76, 5.78, 5.81, 5.81, 9881.33, 1.88562, 9877.87, 9884.79, 9880, 9880, 9880, 9884, 9884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3906223, 0, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:42:22 EST 2017, 1, 1, 0.250, 1, 2.75, 0.0141421, 2.72402, 2.77598, 2.74, 2.74, 2.74, 2.77, 2.77, 9088, 0, 9088, 9088, 9088, 9088, 9088, 9088, 9088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161
Thu Jan 12 21:44:23 EST 2017, 1, 2, 0.250, 1, 4.25667, 0.0865384, 4.09769, 4.41565, 4.16, 4.16, 4.24, 4.37, 4.37, 9166.67, 3.77124, 9159.74, 9173.6, 9164, 9164, 9164, 9172, 9172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2570980, 0, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 3162078, 0, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078
Thu Jan 12 21:46:29 EST 2017, 1, 5, 0.250, 1, 5.2, 0.0355903, 5.13462, 5.26538, 5.17, 5.17, 5.18, 5.25, 5.25, 9158.67, 1.88562, 9155.21, 9162.13, 9156, 9156, 9160, 9160, 9160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3441431, 0, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 4589164, 0, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164
Thu Jan 12 21:48:30 EST 2017, 1, 10, 0.250, 1, 5.61, 0.0374166, 5.54126, 5.67874, 5.56, 5.56, 5.62, 5.65, 5.65, 9201.33, 1.88562, 9197.87, 9204.79, 9200, 9200, 9200, 9204, 9204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:50:31 EST 2017, 1, 1, 0.000, 2, 4.72, 0.0326599, 4.66, 4.78, 4.68, 4.68, 4.72, 4.76, 4.76, 9701.33, 1.88562, 9697.87, 9704.79, 9700, 9700, 9700, 9704, 9704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2891147, 0, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 3935461, 0, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461
Thu Jan 12 21:52:36 EST 2017, 1, 2, 0.000, 2, 6.90667, 0.0124722, 6.88376, 6.92958, 6.89, 6.89, 6.91, 6.92, 6.92, 9966.67, 1.88562, 9963.21, 9970.13, 9964, 9964, 9968, 9968, 9968, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3899545, 0, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 6321011, 0, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011
