# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 10:44:13 EST 2017, 4450, 0.060, 9, 0.660, 459, 38, 1, 12, 56, 3.960, 4.167
Mon Jan  9 10:44:26 EST 2017, 9400, 0.560, 5, 0.160, 309, 83, 11, 37, 11, 12.880, 12.283
Mon Jan  9 10:44:31 EST 2017, 6925, 0.310, 2, 0.910, 384, 15, 16, 0, 79, 4.927, 3.657
Mon Jan  9 10:44:54 EST 2017, 1975, 0.810, 7, 0.410, 534, 60, 6, 25, 34, 22.467, 21.313
Mon Jan  9 10:45:02 EST 2017, 1356, 0.120, 1, 0.230, 591, 55, 5, 3, 62, 7.447, 8.043
Mon Jan  9 10:45:06 EST 2017, 6306, 0.620, 5, 0.730, 441, 10, 14, 28, 17, 3.520, 3.370
Mon Jan  9 10:47:18 EST 2017, 8781, 0.370, 8, 0.480, 366, 77, 19, 15, 85, 130.480, 102.263
Mon Jan  9 10:47:43 EST 2017, 3831, 0.870, 3, 0.980, 516, 32, 10, 40, 40, 24.903, 23.383
Mon Jan  9 10:47:53 EST 2017, 2594, 0.250, 6, 0.100, 328, 43, 2, 34, 73, 9.130, 9.773
Mon Jan  9 10:48:12 EST 2017, 7544, 0.750, 2, 0.600, 478, 88, 12, 9, 28, 18.273, 16.407
Mon Jan  9 10:49:42 EST 2017, 5069, 0.000, 4, 0.350, 553, 21, 17, 46, 96, 89.360, 84.630
Mon Jan  9 10:50:10 EST 2017, 119, 0.500, 9, 0.850, 403, 66, 7, 21, 51, 27.863, 26.663
Mon Jan  9 10:51:20 EST 2017, 129, 0.250, 4, 0.150, 568, 49, 14, 21, 65, 68.017, 65.717
Mon Jan  9 10:51:41 EST 2017, 5079, 0.750, 8, 0.650, 418, 94, 5, 46, 20, 21.173, 20.353
Mon Jan  9 10:51:54 EST 2017, 7554, 0.000, 6, 0.400, 343, 26, 9, 8, 87, 12.650, 11.390
Mon Jan  9 10:53:11 EST 2017, 2604, 0.500, 2, 0.900, 493, 71, 19, 33, 42, 75.293, 68.580
Mon Jan  9 10:54:32 EST 2017, 3841, 0.120, 9, 0.020, 306, 60, 12, 39, 76, 80.777, 75.727
Mon Jan  9 10:54:33 EST 2017, 8791, 0.620, 5, 0.520, 456, 15, 2, 14, 31, 1.167, 1.173
Mon Jan  9 10:56:10 EST 2017, 6316, 0.370, 3, 0.270, 531, 83, 7, 27, 99, 94.953, 87.877
Mon Jan  9 10:56:27 EST 2017, 1366, 0.870, 7, 0.770, 381, 38, 17, 2, 54, 16.843, 12.200
Mon Jan  9 10:56:48 EST 2017, 1985, 0.060, 1, 0.580, 437, 32, 13, 30, 71, 20.747, 20.337
Mon Jan  9 10:56:54 EST 2017, 6935, 0.560, 5, 0.080, 587, 77, 3, 5, 26, 5.963, 5.937
Mon Jan  9 10:57:13 EST 2017, 9410, 0.310, 8, 0.830, 512, 10, 8, 43, 93, 18.633, 18.073
Mon Jan  9 10:57:53 EST 2017, 4460, 0.810, 3, 0.330, 362, 55, 18, 18, 48, 38.163, 34.143
Mon Jan  9 10:58:37 EST 2017, 3222, 0.430, 7, 0.710, 474, 66, 11, 11, 59, 43.540, 36.737
Mon Jan  9 10:58:38 EST 2017, 8172, 0.930, 2, 0.210, 324, 21, 1, 36, 14, 0.497, 0.363
Mon Jan  9 10:59:32 EST 2017, 5697, 0.180, 4, 0.960, 399, 88, 6, 24, 82, 53.787, 48.033
Mon Jan  9 11:00:44 EST 2017, 747, 0.680, 9, 0.460, 549, 43, 15, 49, 37, 71.640, 69.223
Mon Jan  9 11:00:54 EST 2017, 1057, 0.210, 5, 0.300, 503, 24, 5, 35, 40, 9.883, 9.623
Mon Jan  9 11:01:25 EST 2017, 6007, 0.710, 1, 0.800, 353, 69, 15, 10, 85, 29.960, 25.390
Mon Jan  9 11:01:53 EST 2017, 8482, 0.460, 3, 0.050, 428, 46, 19, 47, 17, 27.233, 25.850
Mon Jan  9 11:03:41 EST 2017, 3532, 0.960, 7, 0.550, 578, 91, 10, 22, 62, 107.260, 95.117
Mon Jan  9 11:03:47 EST 2017, 4769, 0.340, 2, 0.430, 390, 80, 3, 4, 51, 6.023, 6.220
Mon Jan  9 11:05:08 EST 2017, 9719, 0.840, 6, 0.930, 540, 35, 12, 29, 96, 79.910, 71.677
Mon Jan  9 11:05:41 EST 2017, 7244, 0.090, 9, 0.180, 465, 57, 17, 16, 28, 32.463, 28.943
Mon Jan  9 11:05:50 EST 2017, 2294, 0.590, 4, 0.680, 315, 12, 8, 41, 73, 9.407, 8.980
Mon Jan  9 11:05:53 EST 2017, 1675, 0.400, 8, 0.990, 371, 18, 4, 13, 45, 2.747, 2.470
Mon Jan  9 11:08:41 EST 2017, 6625, 0.900, 3, 0.490, 521, 63, 14, 38, 90, 163.433, 148.170
Mon Jan  9 11:08:46 EST 2017, 9100, 0.150, 1, 0.740, 596, 41, 18, 0, 23, 4.600, 3.723
