# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Sun Jul  2 09:11:15 EDT 2017, 0.210, 123, 25, 5, 15, 497, 1, 35, 22, 22, 0.580, 0.650
Sun Jul  2 09:11:23 EDT 2017, 0.710, 143, 20, 9, 26, 347, 10, 15, 7, 42, 7.937, 1.347
Sun Jul  2 09:14:43 EDT 2017, 0.960, 133, 22, 3, 20, 572, 15, 45, 15, 32, 198.693, 7.390
Sun Jul  2 09:14:44 EDT 2017, 0.460, 153, 27, 7, 9, 422, 6, 25, 0, 12, 1.123, 0.717
Sun Jul  2 09:14:45 EDT 2017, 0.340, 138, 21, 4, 23, 385, 3, 10, 26, 37, 0.613, 0.533
Sun Jul  2 09:14:56 EDT 2017, 0.840, 158, 26, 8, 12, 535, 13, 30, 11, 17, 10.653, 1.907
Sun Jul  2 09:15:13 EDT 2017, 0.590, 128, 29, 2, 18, 310, 18, 20, 18, 27, 17.680, 1.687
Sun Jul  2 09:16:11 EDT 2017, 0.090, 148, 24, 6, 29, 460, 8, 40, 3, 47, 57.310, 4.350
Sun Jul  2 09:16:24 EDT 2017, 0.060, 127, 20, 7, 20, 525, 12, 31, 6, 16, 12.683, 1.983
Sun Jul  2 09:16:25 EDT 2017, 0.560, 147, 25, 3, 9, 375, 3, 11, 21, 36, 0.560, 0.433
Sun Jul  2 09:17:05 EDT 2017, 0.810, 137, 27, 9, 14, 450, 7, 41, 14, 46, 40.627, 3.620
Sun Jul  2 09:17:19 EDT 2017, 0.310, 157, 22, 5, 25, 300, 17, 21, 29, 26, 13.930, 1.617
Sun Jul  2 09:17:38 EDT 2017, 0.430, 132, 26, 6, 17, 338, 15, 16, 2, 41, 18.310, 1.830
Sun Jul  2 09:17:43 EDT 2017, 0.930, 152, 21, 2, 28, 488, 5, 36, 17, 21, 4.983, 1.587
Sun Jul  2 09:17:45 EDT 2017, 0.680, 122, 23, 8, 22, 413, 10, 26, 10, 11, 2.297, 0.847
