# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 11:21:26 EDT 2017, 100, 0.000, 1, 1, 0.000, 300, 10, 1, 0, 10, 0.990, 0.953
Wed Apr 19 11:21:42 EDT 2017, 5050, 0.500, 5000, 5, 0.500, 450, 55, 10, 25, 55, 14.980, 15.203
Wed Apr 19 11:21:55 EDT 2017, 7525, 0.250, 7500, 3, 0.750, 375, 77, 5, 12, 77, 12.527, 12.740
Wed Apr 19 11:22:04 EDT 2017, 2575, 0.750, 2500, 7, 0.250, 525, 32, 15, 37, 32, 8.677, 8.530
Wed Apr 19 11:22:15 EDT 2017, 3812, 0.370, 6250, 2, 0.870, 562, 21, 12, 6, 88, 11.160, 8.617
Wed Apr 19 11:22:20 EDT 2017, 8762, 0.870, 1250, 6, 0.370, 412, 66, 3, 31, 43, 4.123, 4.580
Wed Apr 19 11:22:36 EDT 2017, 6287, 0.120, 3750, 4, 0.120, 487, 88, 17, 18, 21, 15.687, 14.423
Wed Apr 19 11:22:46 EDT 2017, 1337, 0.620, 8750, 8, 0.620, 337, 43, 8, 43, 66, 8.853, 9.340
Wed Apr 19 11:22:47 EDT 2017, 1956, 0.310, 3125, 7, 0.560, 356, 15, 18, 9, 15, 0.800, 0.757
Wed Apr 19 11:23:26 EDT 2017, 6906, 0.810, 8125, 2, 0.060, 506, 60, 9, 34, 60, 38.480, 37.950
Wed Apr 19 11:23:55 EDT 2017, 9381, 0.060, 5625, 9, 0.310, 431, 83, 14, 21, 83, 27.807, 28.540
Wed Apr 19 11:24:02 EDT 2017, 4431, 0.560, 625, 4, 0.810, 581, 38, 4, 46, 38, 6.620, 6.657
Wed Apr 19 11:24:06 EDT 2017, 3193, 0.180, 9375, 6, 0.430, 543, 26, 6, 3, 94, 3.690, 4.087
Wed Apr 19 11:25:03 EDT 2017, 8143, 0.680, 4375, 1, 0.930, 393, 71, 16, 28, 49, 55.957, 48.327
Wed Apr 19 11:25:05 EDT 2017, 5668, 0.430, 1875, 8, 0.680, 468, 94, 2, 15, 26, 1.670, 1.827
Wed Apr 19 11:25:30 EDT 2017, 718, 0.930, 6875, 3, 0.180, 318, 49, 11, 40, 71, 25.047, 24.680
Wed Apr 19 11:26:00 EDT 2017, 1028, 0.460, 8437, 4, 0.280, 403, 57, 17, 39, 46, 30.257, 29.070
Wed Apr 19 11:26:03 EDT 2017, 5978, 0.960, 3438, 9, 0.780, 553, 12, 7, 14, 91, 2.220, 2.320
Wed Apr 19 11:26:20 EDT 2017, 8453, 0.210, 938, 2, 0.530, 328, 35, 12, 26, 69, 17.297, 16.453
Wed Apr 19 11:26:22 EDT 2017, 3503, 0.710, 5937, 6, 0.030, 478, 80, 2, 1, 24, 1.010, 1.200
Wed Apr 19 11:27:04 EDT 2017, 4740, 0.090, 4688, 3, 0.650, 515, 69, 9, 45, 57, 41.507, 40.220
Wed Apr 19 11:27:05 EDT 2017, 9690, 0.590, 9687, 8, 0.150, 365, 24, 19, 20, 12, 1.497, 1.477
Wed Apr 19 11:27:19 EDT 2017, 7215, 0.340, 7187, 1, 0.400, 590, 46, 5, 32, 35, 13.713, 13.223
Wed Apr 19 11:27:47 EDT 2017, 2265, 0.840, 2188, 5, 0.900, 440, 91, 14, 7, 80, 27.877, 25.747
Wed Apr 19 11:27:53 EDT 2017, 1646, 0.150, 5312, 8, 0.840, 421, 63, 3, 48, 52, 5.470, 5.827
Wed Apr 19 11:28:08 EDT 2017, 6596, 0.650, 313, 4, 0.340, 571, 18, 13, 23, 97, 14.830, 14.053
Wed Apr 19 11:28:19 EDT 2017, 9071, 0.400, 2813, 6, 0.090, 346, 40, 8, 35, 74, 9.907, 10.303
Wed Apr 19 11:28:52 EDT 2017, 4121, 0.900, 7812, 1, 0.590, 496, 85, 18, 10, 29, 31.773, 25.593
Wed Apr 19 11:29:18 EDT 2017, 2884, 0.280, 1563, 9, 0.210, 459, 74, 11, 42, 63, 24.583, 25.210
Wed Apr 19 11:29:18 EDT 2017, 7834, 0.780, 6562, 5, 0.710, 309, 29, 1, 17, 18, 0.240, 0.267
Wed Apr 19 11:29:33 EDT 2017, 5359, 0.030, 9062, 7, 0.960, 534, 52, 15, 29, 40, 15.100, 14.300
Wed Apr 19 11:29:53 EDT 2017, 409, 0.530, 4063, 2, 0.460, 384, 97, 6, 4, 85, 18.840, 18.493
Wed Apr 19 11:29:55 EDT 2017, 564, 0.260, 6094, 6, 0.700, 492, 33, 13, 28, 14, 2.813, 2.750
Wed Apr 19 11:30:03 EDT 2017, 5514, 0.760, 1094, 1, 0.200, 342, 78, 4, 3, 59, 7.543, 7.573
Wed Apr 19 11:30:53 EDT 2017, 7989, 0.010, 3594, 8, 0.450, 567, 56, 18, 41, 81, 49.543, 48.550
Wed Apr 19 11:30:55 EDT 2017, 3039, 0.510, 8593, 3, 0.950, 417, 11, 9, 16, 36, 1.570, 1.503
Wed Apr 19 11:30:57 EDT 2017, 4276, 0.140, 2344, 7, 0.320, 379, 45, 1, 35, 92, 2.197, 2.423
Wed Apr 19 11:31:26 EDT 2017, 9226, 0.640, 7344, 2, 0.820, 529, 90, 11, 10, 47, 28.083, 23.080
Wed Apr 19 11:31:30 EDT 2017, 6751, 0.390, 9843, 9, 0.570, 304, 67, 6, 47, 25, 3.350, 3.650
Wed Apr 19 11:31:41 EDT 2017, 1801, 0.890, 4844, 5, 0.070, 454, 22, 16, 22, 70, 10.713, 10.327
Wed Apr 19 11:31:46 EDT 2017, 2420, 0.070, 7968, 2, 0.140, 473, 39, 7, 32, 19, 5.170, 5.073
