# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 14:28:58 EST 2017, 1187, 0.080, 3, 0.620, 493, 87, 2, 47, 90, 37.373, 40.900
Mon Jan  9 14:29:20 EST 2017, 6137, 0.580, 8, 0.120, 343, 42, 11, 22, 45, 22.290, 20.800
Mon Jan  9 14:31:14 EST 2017, 8612, 0.330, 5, 0.870, 418, 64, 16, 35, 67, 112.843, 108.270
Mon Jan  9 14:31:15 EST 2017, 3662, 0.830, 1, 0.370, 568, 19, 6, 10, 22, 1.343, 1.243
Mon Jan  9 14:31:25 EST 2017, 4900, 0.450, 9, 0.740, 381, 31, 4, 16, 78, 10.063, 9.697
Mon Jan  9 14:32:42 EST 2017, 9850, 0.950, 4, 0.240, 531, 76, 13, 41, 33, 76.147, 71.490
Mon Jan  9 14:33:07 EST 2017, 7375, 0.200, 2, 0.990, 456, 53, 18, 3, 56, 24.477, 16.633
Mon Jan  9 14:33:18 EST 2017, 2425, 0.700, 7, 0.490, 306, 98, 9, 28, 11, 10.620, 10.070
Mon Jan  9 14:33:28 EST 2017, 1806, 0.260, 1, 0.180, 362, 93, 3, 0, 84, 6.760, 9.650
Mon Jan  9 14:34:06 EST 2017, 6756, 0.760, 6, 0.680, 512, 48, 12, 25, 39, 37.580, 34.357
Mon Jan  9 14:35:59 EST 2017, 9231, 0.010, 8, 0.430, 587, 70, 17, 13, 61, 110.147, 85.560
Mon Jan  9 14:36:05 EST 2017, 4281, 0.510, 4, 0.930, 437, 25, 8, 38, 16, 5.460, 5.283
Mon Jan  9 14:36:20 EST 2017, 3043, 0.140, 7, 0.050, 550, 14, 5, 32, 95, 14.787, 14.153
Mon Jan  9 14:36:47 EST 2017, 7993, 0.640, 3, 0.550, 400, 59, 15, 7, 50, 26.463, 21.390
Mon Jan  9 14:38:07 EST 2017, 5518, 0.390, 5, 0.300, 325, 36, 19, 44, 73, 78.890, 74.720
Mon Jan  9 14:38:36 EST 2017, 568, 0.890, 9, 0.800, 475, 81, 10, 19, 28, 28.883, 27.827
Mon Jan  9 14:38:50 EST 2017, 414, 0.150, 1, 0.380, 404, 21, 15, 25, 77, 13.723, 13.360
Mon Jan  9 14:38:57 EST 2017, 5364, 0.650, 6, 0.880, 554, 66, 5, 0, 32, 6.537, 5.263
Mon Jan  9 14:39:09 EST 2017, 7839, 0.400, 8, 0.130, 479, 43, 1, 37, 99, 10.707, 12.020
Mon Jan  9 14:39:39 EST 2017, 2889, 0.900, 3, 0.630, 329, 88, 10, 12, 54, 29.907, 26.080
Mon Jan  9 14:41:07 EST 2017, 4126, 0.280, 7, 0.260, 517, 77, 17, 6, 66, 82.690, 63.593
Mon Jan  9 14:41:12 EST 2017, 9076, 0.780, 2, 0.760, 367, 32, 8, 31, 21, 5.167, 4.890
Mon Jan  9 14:41:31 EST 2017, 6601, 0.030, 4, 0.010, 442, 55, 3, 18, 88, 17.783, 18.840
Mon Jan  9 14:41:48 EST 2017, 1651, 0.530, 9, 0.510, 592, 10, 13, 43, 43, 16.283, 15.537
Mon Jan  9 14:42:08 EST 2017, 2270, 0.470, 4, 0.820, 535, 15, 16, 21, 60, 19.577, 17.867
Mon Jan  9 14:42:21 EST 2017, 7220, 0.970, 8, 0.320, 385, 60, 7, 46, 15, 12.853, 12.697
Mon Jan  9 14:42:26 EST 2017, 9695, 0.220, 6, 0.570, 310, 38, 2, 9, 82, 4.490, 4.840
Mon Jan  9 14:43:19 EST 2017, 4745, 0.720, 2, 0.070, 460, 83, 11, 34, 37, 46.520, 42.360
Mon Jan  9 14:46:58 EST 2017, 3507, 0.090, 9, 0.940, 348, 94, 19, 40, 71, 213.800, 194.973
Mon Jan  9 14:47:12 EST 2017, 8457, 0.590, 5, 0.440, 498, 49, 9, 15, 26, 13.177, 11.983
Mon Jan  9 14:48:10 EST 2017, 5982, 0.340, 3, 0.690, 573, 71, 4, 28, 94, 49.023, 51.837
Mon Jan  9 14:48:20 EST 2017, 1032, 0.840, 7, 0.190, 423, 26, 14, 3, 49, 9.683, 7.843
Mon Jan  9 14:48:35 EST 2017, 723, 0.310, 8, 0.040, 320, 52, 6, 17, 52, 14.453, 14.107
Mon Jan  9 14:54:15 EST 2017, 5673, 0.810, 4, 0.540, 470, 97, 16, 42, 97, 338.797, 299.020
Mon Jan  9 14:54:18 EST 2017, 8148, 0.060, 1, 0.290, 545, 29, 11, 4, 29, 3.233, 2.940
Mon Jan  9 14:54:29 EST 2017, 3198, 0.560, 6, 0.790, 395, 74, 1, 29, 74, 9.597, 10.770
Mon Jan  9 14:55:31 EST 2017, 4436, 0.180, 5, 0.160, 582, 63, 8, 48, 40, 61.760, 59.377
Mon Jan  9 14:56:09 EST 2017, 9386, 0.680, 9, 0.660, 432, 18, 18, 23, 85, 37.573, 34.643
Mon Jan  9 14:56:40 EST 2017, 6911, 0.430, 7, 0.410, 357, 85, 13, 35, 18, 30.083, 28.223
Mon Jan  9 14:56:48 EST 2017, 1961, 0.930, 2, 0.910, 507, 40, 4, 10, 63, 7.847, 7.770
Mon Jan  9 14:57:03 EST 2017, 1342, 0.000, 5, 0.720, 451, 35, 7, 32, 35, 14.680, 13.660
Mon Jan  9 14:57:33 EST 2017, 6292, 0.500, 1, 0.220, 301, 80, 17, 7, 80, 29.407, 25.430
Mon Jan  9 14:57:36 EST 2017, 8767, 0.250, 3, 0.970, 376, 12, 12, 45, 12, 2.777, 2.720
