# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 21:55:29 EDT 2017, 0.000, 120, 20, 2, 8, 300, 1, 10, 0, 10, 0.177, 0.190
Sun Jul  2 21:55:49 EDT 2017, 0.500, 140, 25, 6, 19, 450, 10, 30, 15, 30, 19.670, 2.833
Sun Jul  2 21:56:20 EDT 2017, 0.750, 130, 27, 4, 24, 375, 15, 20, 7, 40, 30.827, 2.983
Sun Jul  2 21:56:25 EDT 2017, 0.250, 150, 22, 8, 13, 525, 5, 40, 22, 20, 4.577, 1.797
Sun Jul  2 21:56:33 EDT 2017, 0.370, 135, 26, 3, 27, 562, 3, 35, 3, 45, 7.820, 2.490
Sun Jul  2 21:56:38 EDT 2017, 0.870, 155, 21, 7, 16, 412, 12, 15, 18, 25, 4.737, 1.887
Sun Jul  2 21:57:19 EDT 2017, 0.620, 125, 23, 5, 10, 487, 17, 45, 11, 15, 40.960, 3.380
Sun Jul  2 21:57:27 EDT 2017, 0.120, 145, 28, 9, 21, 337, 8, 25, 26, 35, 7.480, 1.663
Sun Jul  2 21:57:28 EDT 2017, 0.180, 132, 23, 7, 20, 356, 2, 47, 5, 12, 0.557, 0.527
Sun Jul  2 21:57:50 EDT 2017, 0.680, 152, 28, 3, 9, 506, 11, 27, 20, 32, 22.423, 3.127
Sun Jul  2 22:00:26 EDT 2017, 0.930, 122, 25, 9, 14, 431, 16, 37, 13, 42, 155.383, 6.413
Sun Jul  2 22:00:29 EDT 2017, 0.430, 142, 20, 5, 25, 581, 6, 17, 28, 22, 2.370, 1.420
Sun Jul  2 22:00:34 EDT 2017, 0.310, 127, 29, 6, 17, 543, 4, 22, 1, 47, 5.140, 1.687
Sun Jul  2 22:01:32 EDT 2017, 0.810, 147, 24, 2, 28, 393, 14, 42, 16, 27, 58.127, 4.180
Sun Jul  2 22:01:36 EDT 2017, 0.560, 137, 21, 8, 23, 468, 18, 12, 9, 17, 3.777, 1.233
Sun Jul  2 22:01:54 EDT 2017, 0.060, 157, 26, 4, 12, 318, 9, 32, 24, 37, 17.800, 2.493
Sun Jul  2 22:02:26 EDT 2017, 0.090, 138, 28, 5, 14, 403, 11, 43, 23, 26, 31.157, 3.317
Sun Jul  2 22:02:26 EDT 2017, 0.590, 158, 23, 9, 25, 553, 1, 23, 8, 46, 0.753, 0.863
Sun Jul  2 22:02:39 EDT 2017, 0.840, 128, 20, 3, 19, 328, 6, 33, 15, 36, 12.787, 2.153
Sun Jul  2 22:02:42 EDT 2017, 0.340, 148, 25, 7, 8, 478, 15, 13, 0, 16, 2.417, 1.093
Sun Jul  2 22:03:25 EDT 2017, 0.460, 123, 24, 4, 22, 515, 13, 28, 27, 31, 43.087, 3.843
Sun Jul  2 22:03:26 EDT 2017, 0.960, 143, 29, 8, 11, 365, 3, 48, 12, 11, 0.820, 0.723
Sun Jul  2 22:03:30 EDT 2017, 0.710, 133, 27, 2, 16, 590, 8, 18, 19, 21, 3.420, 1.557
Sun Jul  2 22:06:39 EDT 2017, 0.210, 153, 22, 6, 27, 440, 18, 38, 4, 41, 188.687, 7.283
Sun Jul  2 22:06:46 EDT 2017, 0.150, 126, 25, 8, 26, 421, 12, 16, 29, 28, 6.800, 1.533
Sun Jul  2 22:06:51 EDT 2017, 0.650, 146, 20, 4, 15, 571, 2, 36, 14, 48, 4.950, 2.300
Sun Jul  2 22:07:01 EDT 2017, 0.900, 136, 22, 6, 10, 346, 7, 26, 21, 38, 10.030, 2.213
Sun Jul  2 22:07:49 EDT 2017, 0.400, 156, 27, 2, 21, 496, 17, 46, 6, 18, 48.227, 4.113
Sun Jul  2 22:08:45 EDT 2017, 0.280, 131, 21, 9, 12, 459, 14, 31, 25, 33, 55.473, 4.223
Sun Jul  2 22:08:46 EDT 2017, 0.780, 151, 26, 5, 23, 309, 5, 11, 10, 13, 0.237, 0.260
Sun Jul  2 22:09:06 EDT 2017, 0.530, 121, 29, 7, 29, 534, 9, 41, 17, 23, 20.693, 3.043
Sun Jul  2 22:10:11 EDT 2017, 0.030, 141, 24, 3, 18, 384, 19, 21, 2, 43, 64.830, 4.143
Sun Jul  2 22:10:13 EDT 2017, 0.040, 130, 26, 6, 23, 492, 6, 36, 17, 11, 1.827, 1.083
Sun Jul  2 22:10:25 EDT 2017, 0.540, 150, 21, 2, 12, 342, 15, 16, 2, 31, 11.447, 1.863
Sun Jul  2 22:12:38 EDT 2017, 0.790, 120, 23, 8, 17, 567, 10, 46, 24, 41, 133.127, 7.683
Sun Jul  2 22:12:39 EDT 2017, 0.290, 140, 28, 4, 28, 417, 1, 26, 9, 21, 0.343, 0.387
Sun Jul  2 22:12:43 EDT 2017, 0.420, 125, 22, 7, 15, 379, 8, 11, 21, 46, 4.067, 1.370
Sun Jul  2 22:13:36 EDT 2017, 0.920, 145, 27, 3, 26, 529, 17, 31, 6, 26, 52.047, 4.267
Sun Jul  2 22:13:38 EDT 2017, 0.670, 135, 29, 9, 20, 304, 13, 21, 28, 16, 2.780, 0.953
Sun Jul  2 22:13:44 EDT 2017, 0.170, 155, 24, 5, 9, 454, 3, 41, 13, 36, 5.020, 2.070
Sun Jul  2 22:13:45 EDT 2017, 0.230, 123, 27, 3, 11, 473, 7, 24, 19, 14, 1.863, 1.007
