# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Wed May 17 07:37:54 EDT 2017, 0.100, 1, 3, 0.620, 6, 8, 15, 586, 90, 16, 47, 91, 226.533, 209.850
Wed May 17 07:38:02 EDT 2017, 0.600, 6, 8, 0.120, 2, 4, 60, 436, 45, 6, 22, 46, 6.877, 8.430
Wed May 17 07:38:07 EDT 2017, 0.850, 3, 5, 0.870, 4, 6, 82, 511, 67, 2, 35, 24, 3.237, 4.517
Wed May 17 07:38:31 EDT 2017, 0.350, 8, 1, 0.370, 9, 1, 37, 361, 22, 11, 10, 69, 23.287, 16.607
Wed May 17 07:38:39 EDT 2017, 0.480, 5, 9, 0.740, 3, 3, 26, 398, 78, 4, 28, 35, 5.390, 7.637
Wed May 17 07:39:14 EDT 2017, 0.980, 9, 4, 0.240, 7, 7, 71, 548, 33, 13, 3, 80, 34.833, 29.740
Wed May 17 07:40:09 EDT 2017, 0.730, 2, 2, 0.990, 5, 5, 93, 323, 56, 18, 41, 58, 55.033, 35.757
Wed May 17 07:40:11 EDT 2017, 0.230, 7, 7, 0.490, 1, 9, 48, 473, 11, 9, 16, 13, 0.913, 1.073
Wed May 17 07:40:59 EDT 2017, 0.170, 3, 1, 0.180, 2, 9, 20, 304, 84, 17, 13, 29, 47.817, 31.660
Wed May 17 07:41:15 EDT 2017, 0.670, 7, 6, 0.680, 7, 4, 65, 454, 39, 7, 38, 74, 13.937, 16.157
Wed May 17 07:41:31 EDT 2017, 0.920, 1, 8, 0.430, 9, 7, 88, 379, 61, 3, 0, 97, 9.670, 14.973
Wed May 17 07:41:40 EDT 2017, 0.420, 5, 4, 0.930, 5, 2, 43, 529, 16, 12, 25, 52, 9.197, 7.513
Wed May 17 07:42:10 EDT 2017, 0.290, 2, 7, 0.050, 8, 1, 32, 492, 95, 5, 6, 63, 20.673, 29.640
Wed May 17 07:42:20 EDT 2017, 0.790, 6, 3, 0.550, 4, 5, 77, 342, 50, 15, 31, 18, 9.573, 7.293
Wed May 17 07:43:10 EDT 2017, 0.540, 4, 5, 0.300, 1, 3, 99, 567, 73, 19, 19, 41, 49.057, 38.757
Wed May 17 07:43:22 EDT 2017, 0.040, 9, 9, 0.800, 6, 8, 54, 417, 28, 10, 44, 86, 10.887, 12.423
Wed May 17 07:43:51 EDT 2017, 0.030, 2, 1, 0.380, 4, 2, 78, 450, 77, 13, 34, 17, 28.527, 18.863
Wed May 17 07:43:56 EDT 2017, 0.530, 6, 6, 0.880, 8, 6, 33, 300, 32, 4, 9, 62, 4.117, 5.213
Wed May 17 07:44:50 EDT 2017, 0.780, 4, 8, 0.130, 6, 4, 11, 525, 99, 8, 46, 84, 42.773, 53.190
Wed May 17 07:45:21 EDT 2017, 0.280, 9, 3, 0.630, 1, 8, 56, 375, 54, 18, 21, 39, 30.203, 22.460
Wed May 17 07:45:39 EDT 2017, 0.400, 3, 7, 0.260, 7, 7, 89, 337, 66, 6, 40, 73, 13.977, 17.863
Wed May 17 07:45:52 EDT 2017, 0.900, 8, 2, 0.760, 3, 3, 44, 487, 21, 16, 15, 28, 12.723, 8.180
Wed May 17 07:46:30 EDT 2017, 0.650, 1, 4, 0.010, 5, 5, 22, 412, 88, 11, 28, 51, 37.990, 35.020
Wed May 17 07:46:36 EDT 2017, 0.150, 5, 9, 0.510, 9, 1, 67, 562, 43, 1, 3, 96, 3.963, 5.873
Wed May 17 07:47:33 EDT 2017, 0.210, 5, 4, 0.820, 8, 1, 84, 431, 60, 14, 6, 79, 54.847, 44.330
Wed May 17 07:47:35 EDT 2017, 0.710, 9, 8, 0.320, 3, 6, 39, 581, 15, 5, 31, 34, 2.013, 2.390
Wed May 17 07:47:40 EDT 2017, 0.960, 2, 6, 0.570, 1, 3, 16, 356, 82, 10, 18, 11, 4.420, 4.367
Wed May 17 07:48:39 EDT 2017, 0.460, 7, 2, 0.070, 5, 8, 61, 506, 37, 19, 43, 56, 58.513, 37.220
Wed May 17 07:48:57 EDT 2017, 0.340, 1, 9, 0.940, 2, 9, 95, 543, 71, 7, 24, 45, 13.447, 17.407
Wed May 17 07:49:21 EDT 2017, 0.840, 6, 5, 0.440, 6, 4, 50, 393, 26, 17, 49, 90, 23.577, 19.700
Wed May 17 07:50:42 EDT 2017, 0.590, 4, 3, 0.690, 9, 7, 27, 468, 94, 12, 12, 67, 79.880, 68.747
Wed May 17 07:50:44 EDT 2017, 0.090, 8, 7, 0.190, 4, 2, 72, 318, 49, 2, 37, 22, 1.273, 1.700
Wed May 17 07:51:14 EDT 2017, 0.060, 3, 8, 0.040, 1, 5, 36, 403, 52, 15, 38, 81, 29.110, 29.470
Wed May 17 07:51:39 EDT 2017, 0.560, 8, 4, 0.540, 6, 9, 81, 553, 97, 5, 13, 36, 21.030, 24.287
Wed May 17 07:51:40 EDT 2017, 0.810, 1, 1, 0.290, 8, 2, 58, 328, 29, 1, 26, 14, 1.023, 1.217
