# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 09:58:32 EDT 2017, 0.000, 120, 20, 2, 8, 300, 1, 10, 0, 10, 0.210, 0.210
Mon Jul  3 09:58:52 EDT 2017, 0.500, 140, 25, 6, 19, 450, 10, 30, 15, 30, 19.620, 2.060
Mon Jul  3 09:59:23 EDT 2017, 0.750, 130, 27, 4, 24, 375, 15, 20, 7, 40, 30.807, 1.910
Mon Jul  3 09:59:28 EDT 2017, 0.250, 150, 22, 8, 13, 525, 5, 40, 22, 20, 4.857, 1.130
Mon Jul  3 09:59:36 EDT 2017, 0.370, 135, 26, 3, 27, 562, 3, 35, 3, 45, 7.743, 1.700
Mon Jul  3 09:59:41 EDT 2017, 0.870, 155, 21, 7, 16, 412, 12, 15, 18, 25, 4.363, 1.043
Mon Jul  3 10:00:22 EDT 2017, 0.620, 125, 23, 5, 10, 487, 17, 45, 11, 15, 40.977, 2.547
Mon Jul  3 10:00:29 EDT 2017, 0.120, 145, 28, 9, 21, 337, 8, 25, 26, 35, 7.303, 1.117
Mon Jul  3 10:00:30 EDT 2017, 0.180, 132, 23, 7, 20, 356, 2, 47, 5, 12, 0.660, 0.517
Mon Jul  3 10:00:53 EDT 2017, 0.680, 152, 28, 3, 9, 506, 11, 27, 20, 32, 22.490, 2.290
Mon Jul  3 10:03:28 EDT 2017, 0.930, 122, 25, 9, 14, 431, 16, 37, 13, 42, 154.803, 4.463
Mon Jul  3 10:03:30 EDT 2017, 0.430, 142, 20, 5, 25, 581, 6, 17, 28, 22, 2.363, 1.063
Mon Jul  3 10:03:36 EDT 2017, 0.310, 127, 29, 6, 17, 543, 4, 22, 1, 47, 5.433, 1.297
Mon Jul  3 10:04:34 EDT 2017, 0.810, 147, 24, 2, 28, 393, 14, 42, 16, 27, 58.153, 2.907
Mon Jul  3 10:04:38 EDT 2017, 0.560, 137, 21, 8, 23, 468, 18, 12, 9, 17, 3.613, 0.967
Mon Jul  3 10:04:56 EDT 2017, 0.060, 157, 26, 4, 12, 318, 9, 32, 24, 37, 17.847, 1.817
Mon Jul  3 10:05:27 EDT 2017, 0.090, 138, 28, 5, 14, 403, 11, 43, 23, 26, 31.337, 2.273
Mon Jul  3 10:05:28 EDT 2017, 0.590, 158, 23, 9, 25, 553, 1, 23, 8, 46, 0.690, 0.690
Mon Jul  3 10:05:41 EDT 2017, 0.840, 128, 20, 3, 19, 328, 6, 33, 15, 36, 12.977, 1.497
Mon Jul  3 10:05:44 EDT 2017, 0.340, 148, 25, 7, 8, 478, 15, 13, 0, 16, 2.550, 0.953
Mon Jul  3 10:06:27 EDT 2017, 0.460, 123, 24, 4, 22, 515, 13, 28, 27, 31, 43.167, 2.850
Mon Jul  3 10:06:29 EDT 2017, 0.960, 143, 29, 8, 11, 365, 3, 48, 12, 11, 1.037, 0.807
Mon Jul  3 10:06:32 EDT 2017, 0.710, 133, 27, 2, 16, 590, 8, 18, 19, 21, 3.420, 1.130
Mon Jul  3 10:09:43 EDT 2017, 0.210, 153, 22, 6, 27, 440, 18, 38, 4, 41, 189.187, 5.283
Mon Jul  3 10:09:50 EDT 2017, 0.150, 126, 25, 8, 26, 421, 12, 16, 29, 28, 6.923, 1.323
Mon Jul  3 10:09:55 EDT 2017, 0.650, 146, 20, 4, 15, 571, 2, 36, 14, 48, 5.170, 1.743
Mon Jul  3 10:10:05 EDT 2017, 0.900, 136, 22, 6, 10, 346, 7, 26, 21, 38, 10.017, 1.457
Mon Jul  3 10:10:54 EDT 2017, 0.400, 156, 27, 2, 21, 496, 17, 46, 6, 18, 48.140, 3.007
Mon Jul  3 10:11:50 EDT 2017, 0.280, 131, 21, 9, 12, 459, 14, 31, 25, 33, 55.513, 3.143
Mon Jul  3 10:11:50 EDT 2017, 0.780, 151, 26, 5, 23, 309, 5, 11, 10, 13, 0.253, 0.263
