# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 08:44:49 EST 2017, 1187, 0.080, 3, 0.620, 493, 87, 2, 47, 90, 39.037, 38.470
Mon Jan  9 08:45:12 EST 2017, 6137, 0.580, 8, 0.120, 343, 42, 11, 22, 45, 22.817, 22.583
Mon Jan  9 08:47:06 EST 2017, 8612, 0.330, 5, 0.870, 418, 64, 16, 35, 67, 113.697, 113.270
Mon Jan  9 08:47:08 EST 2017, 3662, 0.830, 1, 0.370, 568, 19, 6, 10, 22, 1.343, 1.320
Mon Jan  9 08:47:18 EST 2017, 4900, 0.450, 9, 0.740, 381, 31, 4, 16, 78, 9.990, 10.000
Mon Jan  9 08:48:34 EST 2017, 9850, 0.950, 4, 0.240, 531, 76, 13, 41, 33, 75.927, 76.100
Mon Jan  9 08:49:01 EST 2017, 7375, 0.200, 2, 0.990, 456, 53, 18, 3, 56, 26.017, 25.153
Mon Jan  9 08:49:11 EST 2017, 2425, 0.700, 7, 0.490, 306, 98, 9, 28, 11, 10.520, 10.420
Mon Jan  9 08:49:18 EST 2017, 1806, 0.260, 1, 0.180, 362, 93, 3, 0, 84, 6.777, 6.653
Mon Jan  9 08:49:56 EST 2017, 6756, 0.760, 6, 0.680, 512, 48, 12, 25, 39, 37.387, 37.780
Mon Jan  9 08:51:51 EST 2017, 9231, 0.010, 8, 0.430, 587, 70, 17, 13, 61, 113.710, 112.730
Mon Jan  9 08:51:57 EST 2017, 4281, 0.510, 4, 0.930, 437, 25, 8, 38, 16, 5.563, 5.580
Mon Jan  9 08:52:12 EST 2017, 3043, 0.140, 7, 0.050, 550, 14, 5, 32, 95, 14.587, 14.720
Mon Jan  9 08:52:39 EST 2017, 7993, 0.640, 3, 0.550, 400, 59, 15, 7, 50, 27.537, 26.917
Mon Jan  9 08:53:59 EST 2017, 5518, 0.390, 5, 0.300, 325, 36, 19, 44, 73, 79.820, 79.480
Mon Jan  9 08:54:29 EST 2017, 568, 0.890, 9, 0.800, 475, 81, 10, 19, 28, 29.243, 29.300
Mon Jan  9 08:54:43 EST 2017, 414, 0.150, 1, 0.380, 404, 21, 15, 25, 77, 13.810, 13.843
Mon Jan  9 08:54:50 EST 2017, 5364, 0.650, 6, 0.880, 554, 66, 5, 0, 32, 6.560, 6.437
Mon Jan  9 08:55:01 EST 2017, 7839, 0.400, 8, 0.130, 479, 43, 1, 37, 99, 10.750, 10.800
Mon Jan  9 08:55:32 EST 2017, 2889, 0.900, 3, 0.630, 329, 88, 10, 12, 54, 30.680, 30.273
Mon Jan  9 08:57:03 EST 2017, 4126, 0.280, 7, 0.260, 517, 77, 17, 6, 66, 90.793, 88.533
Mon Jan  9 08:57:09 EST 2017, 9076, 0.780, 2, 0.760, 367, 32, 8, 31, 21, 5.040, 5.027
Mon Jan  9 08:57:27 EST 2017, 6601, 0.030, 4, 0.010, 442, 55, 3, 18, 88, 18.043, 17.673
Mon Jan  9 08:57:44 EST 2017, 1651, 0.530, 9, 0.510, 592, 10, 13, 43, 43, 16.223, 16.320
Mon Jan  9 08:58:04 EST 2017, 2270, 0.470, 4, 0.820, 535, 15, 16, 21, 60, 19.677, 20.093
Mon Jan  9 08:58:17 EST 2017, 7220, 0.970, 8, 0.320, 385, 60, 7, 46, 15, 12.643, 12.613
Mon Jan  9 08:58:22 EST 2017, 9695, 0.220, 6, 0.570, 310, 38, 2, 9, 82, 4.417, 4.333
Mon Jan  9 08:59:06 EST 2017, 4745, 0.720, 2, 0.070, 460, 83, 11, 34, 37, 44.497, 43.413
Mon Jan  9 09:02:47 EST 2017, 3507, 0.090, 9, 0.940, 348, 94, 19, 40, 71, 214.227, 215.987
