# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:02:05 EDT 2017, 0.000, 120, 20, 2, 8, 300, 1, 10, 0, 10, 0.163, 0.163
Sun Jul  2 10:02:26 EDT 2017, 0.500, 140, 25, 6, 19, 450, 10, 30, 15, 30, 20.217, 16.617
Sun Jul  2 10:02:58 EDT 2017, 0.750, 130, 27, 4, 24, 375, 15, 20, 7, 40, 31.957, 25.363
Sun Jul  2 10:03:03 EDT 2017, 0.250, 150, 22, 8, 13, 525, 5, 40, 22, 20, 4.703, 4.353
Sun Jul  2 10:03:11 EDT 2017, 0.370, 135, 26, 3, 27, 562, 3, 35, 3, 45, 8.083, 7.437
Sun Jul  2 10:03:16 EDT 2017, 0.870, 155, 21, 7, 16, 412, 12, 15, 18, 25, 4.477, 4.170
Sun Jul  2 10:03:59 EDT 2017, 0.620, 125, 23, 5, 10, 487, 17, 45, 11, 15, 43.070, 34.520
Sun Jul  2 10:04:07 EDT 2017, 0.120, 145, 28, 9, 21, 337, 8, 25, 26, 35, 7.623, 6.470
Sun Jul  2 10:04:07 EDT 2017, 0.180, 132, 23, 7, 20, 356, 2, 47, 5, 12, 0.393, 0.460
Sun Jul  2 10:04:31 EDT 2017, 0.680, 152, 28, 3, 9, 506, 11, 27, 20, 32, 23.420, 19.470
Sun Jul  2 10:07:31 EDT 2017, 0.930, 122, 25, 9, 14, 431, 16, 37, 13, 42, 168.310, 133.497
Sun Jul  2 10:07:33 EDT 2017, 0.430, 142, 20, 5, 25, 581, 6, 17, 28, 22, 2.430, 2.450
Sun Jul  2 10:07:39 EDT 2017, 0.310, 127, 29, 6, 17, 543, 4, 22, 1, 47, 5.557, 5.183
Sun Jul  2 10:09:09 EDT 2017, 0.810, 147, 24, 2, 28, 393, 14, 42, 16, 27, 70.510, 56.073
Sun Jul  2 10:09:13 EDT 2017, 0.560, 137, 21, 8, 23, 468, 18, 12, 9, 17, 4.300, 3.920
Sun Jul  2 10:09:36 EDT 2017, 0.060, 157, 26, 4, 12, 318, 9, 32, 24, 37, 20.930, 16.477
Sun Jul  2 10:10:14 EDT 2017, 0.090, 138, 28, 5, 14, 403, 11, 43, 23, 26, 35.463, 27.510
Sun Jul  2 10:10:15 EDT 2017, 0.590, 158, 23, 9, 25, 553, 1, 23, 8, 46, 0.840, 0.900
Sun Jul  2 10:10:31 EDT 2017, 0.840, 128, 20, 3, 19, 328, 6, 33, 15, 36, 14.020, 11.557
Sun Jul  2 10:10:34 EDT 2017, 0.340, 148, 25, 7, 8, 478, 15, 13, 0, 16, 2.603, 2.580
Sun Jul  2 10:11:26 EDT 2017, 0.460, 123, 24, 4, 22, 515, 13, 28, 27, 31, 49.990, 36.853
Sun Jul  2 10:11:27 EDT 2017, 0.960, 143, 29, 8, 11, 365, 3, 48, 12, 11, 0.783, 0.850
Sun Jul  2 10:11:31 EDT 2017, 0.710, 133, 27, 2, 16, 590, 8, 18, 19, 21, 3.363, 3.410
Sun Jul  2 10:15:27 EDT 2017, 0.210, 153, 22, 6, 27, 440, 18, 38, 4, 41, 222.640, 150.933
Sun Jul  2 10:15:35 EDT 2017, 0.150, 126, 25, 8, 26, 421, 12, 16, 29, 28, 7.070, 6.540
Sun Jul  2 10:15:40 EDT 2017, 0.650, 146, 20, 4, 15, 571, 2, 36, 14, 48, 5.113, 4.867
Sun Jul  2 10:15:53 EDT 2017, 0.900, 136, 22, 6, 10, 346, 7, 26, 21, 38, 12.297, 9.263
Sun Jul  2 10:16:44 EDT 2017, 0.400, 156, 27, 2, 21, 496, 17, 46, 6, 18, 50.200, 38.817
Sun Jul  2 10:17:41 EDT 2017, 0.280, 131, 21, 9, 12, 459, 14, 31, 25, 33, 57.380, 44.220
Sun Jul  2 10:17:41 EDT 2017, 0.780, 151, 26, 5, 23, 309, 5, 11, 10, 13, 0.220, 0.240
Sun Jul  2 10:18:03 EDT 2017, 0.530, 121, 29, 7, 29, 534, 9, 41, 17, 23, 21.477, 18.560
Sun Jul  2 10:19:11 EDT 2017, 0.030, 141, 24, 3, 18, 384, 19, 21, 2, 43, 67.040, 51.710
Sun Jul  2 10:19:13 EDT 2017, 0.040, 130, 26, 6, 23, 492, 6, 36, 17, 11, 1.833, 1.913
Sun Jul  2 10:19:25 EDT 2017, 0.540, 150, 21, 2, 12, 342, 15, 16, 2, 31, 11.853, 10.097
Sun Jul  2 10:21:43 EDT 2017, 0.790, 120, 23, 8, 17, 567, 10, 46, 24, 41, 138.147, 105.120
Sun Jul  2 10:21:44 EDT 2017, 0.290, 140, 28, 4, 28, 417, 1, 26, 9, 21, 0.353, 0.370
Sun Jul  2 10:21:48 EDT 2017, 0.420, 125, 22, 7, 15, 379, 8, 11, 21, 46, 4.243, 4.017
Sun Jul  2 10:22:42 EDT 2017, 0.920, 145, 27, 3, 26, 529, 17, 31, 6, 26, 53.490, 41.787
Sun Jul  2 10:22:44 EDT 2017, 0.670, 135, 29, 9, 20, 304, 13, 21, 28, 16, 2.710, 2.547
Sun Jul  2 10:22:50 EDT 2017, 0.170, 155, 24, 5, 9, 454, 3, 41, 13, 36, 5.117, 4.750
Sun Jul  2 10:22:52 EDT 2017, 0.230, 123, 27, 3, 11, 473, 7, 24, 19, 14, 1.810, 1.817
Sun Jul  2 10:24:39 EDT 2017, 0.730, 143, 22, 7, 22, 323, 16, 44, 4, 34, 106.670, 79.793
Sun Jul  2 10:24:56 EDT 2017, 0.980, 133, 20, 5, 27, 548, 11, 14, 26, 44, 17.397, 14.460
Sun Jul  2 10:24:57 EDT 2017, 0.480, 153, 25, 9, 16, 398, 2, 34, 11, 24, 0.830, 0.803
Sun Jul  2 10:27:22 EDT 2017, 0.350, 138, 24, 2, 24, 435, 9, 49, 15, 49, 143.343, 106.053
Sun Jul  2 10:28:26 EDT 2017, 0.850, 158, 29, 6, 13, 585, 19, 29, 0, 29, 63.607, 50.063
Sun Jul  2 10:28:51 EDT 2017, 0.600, 128, 26, 4, 8, 360, 14, 39, 22, 19, 24.053, 19.640
Sun Jul  2 10:28:53 EDT 2017, 0.100, 148, 21, 8, 19, 510, 4, 19, 7, 39, 2.800, 2.800
Sun Jul  2 10:29:38 EDT 2017, 0.070, 129, 22, 9, 29, 595, 16, 28, 10, 25, 44.000, 35.540
Sun Jul  2 10:30:17 EDT 2017, 0.570, 149, 27, 5, 18, 445, 6, 48, 25, 45, 38.473, 30.490
Sun Jul  2 10:30:17 EDT 2017, 0.820, 139, 25, 7, 13, 520, 1, 18, 3, 35, 0.327, 0.390
Sun Jul  2 10:30:27 EDT 2017, 0.320, 159, 20, 3, 24, 370, 11, 38, 18, 15, 9.293, 7.777
Sun Jul  2 10:31:59 EDT 2017, 0.450, 134, 28, 8, 10, 332, 18, 43, 14, 30, 92.377, 69.913
