# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 13:18:32 EST 2017, 4450, 0.060, 11, 0.660, 459, 38, 1, 12, 56, 0.933, 0.980
Tue Jan 10 13:21:44 EST 2017, 9400, 0.560, 5, 0.160, 309, 83, 11, 37, 11, 6.820, 6.347
Tue Jan 10 13:23:44 EST 2017, 6925, 0.310, 2, 0.910, 384, 15, 16, 0, 79, 1.873, 1.443
Tue Jan 10 13:25:55 EST 2017, 1975, 0.810, 8, 0.410, 534, 60, 6, 25, 34, 11.877, 12.250
Tue Jan 10 13:29:51 EST 2017, 1356, 0.120, 0, 0.230, 591, 55, 5, 3, 62, 4.870, 5.607
Tue Jan 10 13:30:52 EST 2017, 6306, 0.620, 6, 0.730, 441, 10, 14, 28, 17, 2.027, 1.963
Tue Jan 10 13:33:38 EST 2017, 8781, 0.370, 9, 0.480, 366, 77, 19, 15, 85, 48.530, 40.297
Tue Jan 10 13:35:04 EST 2017, 3831, 0.870, 3, 0.980, 516, 32, 10, 40, 40, 11.667, 11.120
Tue Jan 10 13:35:59 EST 2017, 2594, 0.250, 7, 0.100, 328, 43, 2, 34, 73, 3.880, 4.033
Tue Jan 10 13:39:05 EST 2017, 7544, 0.750, 1, 0.600, 478, 88, 12, 9, 28, 6.703, 6.737
Tue Jan 10 13:40:21 EST 2017, 5069, 0.000, 4, 0.350, 553, 21, 17, 46, 96, 24.693, 23.363
Tue Jan 10 13:42:11 EST 2017, 119, 0.500, 10, 0.850, 403, 66, 7, 21, 51, 11.853, 11.150
Tue Jan 10 13:44:32 EST 2017, 129, 0.250, 4, 0.150, 568, 49, 14, 21, 65, 32.170, 29.620
Tue Jan 10 13:46:13 EST 2017, 5079, 0.750, 10, 0.650, 418, 94, 5, 46, 20, 10.010, 9.937
Tue Jan 10 13:48:09 EST 2017, 7554, 0.000, 7, 0.400, 343, 26, 9, 8, 87, 4.103, 3.710
Tue Jan 10 13:50:25 EST 2017, 2604, 0.500, 1, 0.900, 493, 71, 19, 33, 42, 18.663, 17.330
Tue Jan 10 13:52:36 EST 2017, 3841, 0.120, 11, 0.020, 306, 60, 12, 39, 76, 24.433, 24.313
Tue Jan 10 13:54:11 EST 2017, 8791, 0.620, 5, 0.520, 456, 15, 2, 14, 31, 0.723, 0.823
Tue Jan 10 13:56:52 EST 2017, 6316, 0.370, 2, 0.270, 531, 83, 7, 27, 99, 34.390, 38.950
Tue Jan 10 13:58:22 EST 2017, 1366, 0.870, 8, 0.770, 381, 38, 17, 2, 54, 9.990, 8.143
Tue Jan 10 14:00:23 EST 2017, 1985, 0.060, 0, 0.580, 437, 32, 13, 30, 71, 14.233, 13.527
Tue Jan 10 14:02:14 EST 2017, 6935, 0.560, 6, 0.080, 587, 77, 3, 5, 26, 3.120, 3.593
Tue Jan 10 14:04:19 EST 2017, 9410, 0.310, 9, 0.830, 512, 10, 8, 43, 93, 6.877, 6.613
Tue Jan 10 14:06:55 EST 2017, 4460, 0.810, 3, 0.330, 362, 55, 18, 18, 48, 41.483, 28.157
Tue Jan 10 14:08:30 EST 2017, 3222, 0.430, 8, 0.710, 474, 66, 11, 11, 59, 17.003, 15.717
Tue Jan 10 14:10:16 EST 2017, 8172, 0.930, 2, 0.210, 324, 21, 1, 36, 14, 0.080, 0.353
Tue Jan 10 14:12:37 EST 2017, 5697, 0.180, 5, 0.960, 399, 88, 6, 24, 82, 16.270, 15.427
Tue Jan 10 14:14:53 EST 2017, 747, 0.680, 11, 0.460, 549, 43, 15, 49, 37, 33.747, 33.710
Tue Jan 10 14:18:29 EST 2017, 1057, 0.210, 6, 0.300, 503, 24, 5, 35, 40, 3.867, 3.943
Tue Jan 10 14:20:55 EST 2017, 6007, 0.710, 0, 0.800, 353, 69, 15, 10, 85, 31.953, 24.327
Tue Jan 10 14:24:51 EST 2017, 8482, 0.460, 3, 0.050, 428, 46, 19, 47, 17, 24.277, 14.957
Tue Jan 10 14:27:32 EST 2017, 3532, 0.960, 9, 0.550, 578, 91, 10, 22, 62, 0.623, 62.140
Tue Jan 10 14:30:13 EST 2017, 4769, 0.340, 1, 0.430, 390, 80, 3, 4, 51, 1.683, 2.080
Tue Jan 10 14:32:49 EST 2017, 9719, 0.840, 7, 0.930, 540, 35, 12, 29, 96, 39.143, 35.410
Tue Jan 10 14:36:24 EST 2017, 7244, 0.090, 10, 0.180, 465, 57, 17, 16, 28, 9.887, 9.340
Tue Jan 10 15:40:47 EST 2017, 2294, 0.590, 4, 0.680, 315, 12, 8, 41, 73, 4.630, 4.467
Tue Jan 10 15:42:48 EST 2017, 1675, 0.400, 9, 0.990, 371, 18, 4, 13, 45, 1.157, 1.083
Tue Jan 10 15:48:35 EST 2017, 6625, 0.900, 3, 0.490, 521, 63, 14, 38, 90, 141.283, 108.617
Tue Jan 10 15:51:00 EST 2017, 9100, 0.150, 0, 0.740, 596, 41, 18, 0, 23, 2.960, 2.253
Tue Jan 10 15:53:41 EST 2017, 4150, 0.650, 6, 0.240, 446, 86, 9, 25, 68, 41.453, 40.997
Tue Jan 10 15:57:13 EST 2017, 2913, 0.030, 5, 0.870, 559, 97, 2, 44, 34, 4.977, 5.063
Tue Jan 10 16:00:34 EST 2017, 7863, 0.530, 11, 0.370, 409, 52, 11, 19, 79, 24.067, 24.140
Tue Jan 10 16:04:25 EST 2017, 5388, 0.280, 8, 0.620, 334, 74, 16, 32, 12, 6.437, 6.123
Tue Jan 10 16:05:30 EST 2017, 438, 0.780, 2, 0.120, 484, 29, 6, 7, 57, 5.783, 8.057
Tue Jan 10 16:06:31 EST 2017, 593, 0.010, 9, 0.690, 395, 84, 19, 37, 13, 9.357, 8.783
Tue Jan 10 16:10:47 EST 2017, 5543, 0.510, 3, 0.190, 545, 39, 9, 12, 58, 19.750, 15.723
Tue Jan 10 16:14:38 EST 2017, 8018, 0.260, 0, 0.940, 470, 62, 4, 25, 35, 4.527, 4.343
Tue Jan 10 16:16:39 EST 2017, 3068, 0.760, 6, 0.440, 320, 17, 14, 0, 80, 1.620, 4.750
Tue Jan 10 16:18:44 EST 2017, 4305, 0.390, 4, 0.570, 507, 28, 16, 18, 24, 6.150, 5.717
Tue Jan 10 16:23:21 EST 2017, 9255, 0.890, 10, 0.070, 357, 73, 7, 43, 69, 0.200, 36.853
Tue Jan 10 16:26:47 EST 2017, 6780, 0.140, 7, 0.820, 432, 50, 2, 6, 47, 1.227, 1.313
Tue Jan 10 16:31:18 EST 2017, 1830, 0.640, 1, 0.320, 582, 95, 11, 31, 92, 62.670, 67.203
Tue Jan 10 16:34:34 EST 2017, 2449, 0.320, 6, 0.010, 526, 90, 17, 9, 30, 20.603, 18.590
Tue Jan 10 16:37:45 EST 2017, 7399, 0.820, 0, 0.510, 376, 45, 8, 34, 75, 21.767, 23.373
Tue Jan 10 16:38:25 EST 2017, 9874, 0.070, 3, 0.260, 301, 67, 3, 22, 52, 2.660, 2.833
Tue Jan 10 16:40:51 EST 2017, 4924, 0.570, 9, 0.760, 451, 22, 13, 47, 97, 28.893, 27.893
