# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Mon Jul  3 15:37:21 EDT 2017, 0.000, 120, 20, 2, 8, 300, 1, 10, 0, 10, 1.267, 1.243
Mon Jul  3 15:40:22 EDT 2017, 0.500, 140, 25, 6, 19, 450, 10, 30, 15, 30, 1.607, 1.453
Mon Jul  3 15:44:28 EDT 2017, 0.750, 130, 27, 4, 24, 375, 15, 20, 7, 40, 1.760, 1.563
Mon Jul  3 15:49:30 EDT 2017, 0.250, 150, 22, 8, 13, 525, 5, 40, 22, 20, 1.263, 1.263
Mon Jul  3 15:54:36 EDT 2017, 0.370, 135, 26, 3, 27, 562, 3, 35, 3, 45, 1.267, 1.360
Mon Jul  3 15:59:43 EDT 2017, 0.870, 155, 21, 7, 16, 412, 12, 15, 18, 25, 1.267, 1.250
Mon Jul  3 16:04:19 EDT 2017, 0.620, 125, 23, 5, 10, 487, 17, 45, 11, 15, 1.837, 1.563
Mon Jul  3 16:09:21 EDT 2017, 0.120, 145, 28, 9, 21, 337, 8, 25, 26, 35, 1.260, 1.287
Mon Jul  3 16:14:27 EDT 2017, 0.180, 132, 23, 7, 20, 356, 2, 47, 5, 12, 1.273, 1.273
Mon Jul  3 16:19:34 EDT 2017, 0.680, 152, 28, 3, 9, 506, 11, 27, 20, 32, 1.560, 1.570
Mon Jul  3 16:24:40 EDT 2017, 0.930, 122, 25, 9, 14, 431, 16, 37, 13, 42, 3.670, 2.197
Mon Jul  3 16:29:52 EDT 2017, 0.430, 142, 20, 5, 25, 581, 6, 17, 28, 22, 1.257, 1.263
Mon Jul  3 16:34:18 EDT 2017, 0.310, 127, 29, 6, 17, 543, 4, 22, 1, 47, 1.257, 1.270
Mon Jul  3 16:39:25 EDT 2017, 0.810, 147, 24, 2, 28, 393, 14, 42, 16, 27, 2.173, 2.067
Mon Jul  3 16:44:26 EDT 2017, 0.560, 137, 21, 8, 23, 468, 18, 12, 9, 17, 1.370, 1.370
Mon Jul  3 16:49:43 EDT 2017, 0.060, 157, 26, 4, 12, 318, 9, 32, 24, 37, 1.373, 1.360
Mon Jul  3 16:54:44 EDT 2017, 0.090, 138, 28, 5, 14, 403, 11, 43, 23, 26, 1.573, 1.550
Mon Jul  3 16:59:51 EDT 2017, 0.590, 158, 23, 9, 25, 553, 1, 23, 8, 46, 1.250, 1.257
Mon Jul  3 17:04:27 EDT 2017, 0.840, 128, 20, 3, 19, 328, 6, 33, 15, 36, 1.567, 1.540
Mon Jul  3 17:09:24 EDT 2017, 0.340, 148, 25, 7, 8, 478, 15, 13, 0, 16, 1.287, 1.253
Mon Jul  3 17:14:25 EDT 2017, 0.460, 123, 24, 4, 22, 515, 13, 28, 27, 31, 1.890, 1.663
Mon Jul  3 17:19:42 EDT 2017, 0.960, 143, 29, 8, 11, 365, 3, 48, 12, 11, 1.273, 1.257
Mon Jul  3 17:24:49 EDT 2017, 0.710, 133, 27, 2, 16, 590, 8, 18, 19, 21, 1.377, 1.457
Mon Jul  3 17:29:40 EDT 2017, 0.210, 153, 22, 6, 27, 440, 18, 38, 4, 41, 2.553, 1.877
Mon Jul  3 17:34:27 EDT 2017, 0.150, 126, 25, 8, 26, 421, 12, 16, 29, 28, 1.267, 1.247
Mon Jul  3 17:39:24 EDT 2017, 0.650, 146, 20, 4, 15, 571, 2, 36, 14, 48, 1.370, 1.453
Mon Jul  3 18:44:27 EDT 2017, 0.900, 136, 22, 6, 10, 346, 7, 26, 21, 38, 1.557, 1.577
Mon Jul  3 18:49:34 EDT 2017, 0.400, 156, 27, 2, 21, 496, 17, 46, 6, 18, 1.757, 1.587
Mon Jul  3 18:54:35 EDT 2017, 0.280, 131, 21, 9, 12, 459, 14, 31, 25, 33, 1.520, 1.563
Mon Jul  3 18:59:42 EDT 2017, 0.780, 151, 26, 5, 23, 309, 5, 11, 10, 13, 1.273, 1.267
Mon Jul  3 19:04:19 EDT 2017, 0.530, 121, 29, 7, 29, 534, 9, 41, 17, 23, 1.553, 1.553
Mon Jul  3 19:09:20 EDT 2017, 0.030, 141, 24, 3, 18, 384, 19, 21, 2, 43, 1.797, 1.593
Mon Jul  3 19:14:27 EDT 2017, 0.040, 130, 26, 6, 23, 492, 6, 36, 17, 11, 1.253, 1.283
Mon Jul  3 19:19:33 EDT 2017, 0.540, 150, 21, 2, 12, 342, 15, 16, 2, 31, 1.550, 1.473
Mon Jul  3 19:24:40 EDT 2017, 0.790, 120, 23, 8, 17, 567, 10, 46, 24, 41, 3.050, 2.160
Mon Jul  3 19:29:41 EDT 2017, 0.290, 140, 28, 4, 28, 417, 1, 26, 9, 21, 1.267, 1.283
Mon Jul  3 19:34:18 EDT 2017, 0.420, 125, 22, 7, 15, 379, 8, 11, 21, 46, 1.287, 1.387
Mon Jul  3 19:45:32 EDT 2017, 0.920, 145, 27, 3, 26, 529, 17, 31, 6, 26, 2.170, 1.883
Mon Jul  3 19:50:33 EDT 2017, 0.670, 135, 29, 9, 20, 304, 13, 21, 28, 16, 1.267, 1.270
Mon Jul  3 20:53:50 EDT 2017, 0.170, 155, 24, 5, 9, 454, 3, 41, 13, 36, 1.220, 1.233
Mon Jul  3 20:58:57 EDT 2017, 0.230, 123, 27, 3, 11, 473, 7, 24, 19, 14, 1.263, 1.257
Mon Jul  3 21:03:18 EDT 2017, 0.730, 143, 22, 7, 22, 323, 16, 44, 4, 34, 2.487, 1.857
