# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Wed Dec 28 22:44:57 EST 2016, 100, 0, 0, 0, 300, 10, 1, 0, 10, 0.160, 0.147
Wed Dec 28 22:46:28 EST 2016, 5050, .50000000000000000000, 6, .50000000000000000000, 450, 55, 10, 25, 55, 27.763, 22.063
Wed Dec 28 22:47:14 EST 2016, 7525, .25000000000000000000, 9, .25000000000000000000, 525, 32, 15, 12, 32, 9.570, 7.567
Wed Dec 28 22:48:24 EST 2016, 2575, .75000000000000000000, 3, .75000000000000000000, 375, 77, 5, 37, 77, 23.197, 19.540
Wed Dec 28 22:49:10 EST 2016, 3812, .37000000000000000000, 7, .12000000000000000000, 562, 88, 3, 31, 21, 5.250, 5.367
Wed Dec 28 23:05:49 EST 2016, 8762, .87000000000000000000, 1, .62000000000000000000, 412, 43, 12, 6, 66, 0.000, 7.327
Wed Dec 28 23:06:34 EST 2016, 6287, .12000000000000000000, 4, .37000000000000000000, 337, 66, 17, 43, 43, 22.940, 21.653
Wed Dec 28 23:07:20 EST 2016, 1337, .62000000000000000000, 10, .87000000000000000000, 487, 21, 8, 18, 88, 10.137, 8.047
Wed Dec 28 23:08:10 EST 2016, 1956, .31000000000000000000, 3, .68000000000000000000, 468, 26, 2, 46, 26, 1.280, 1.323
Wed Dec 28 23:24:44 EST 2016, 6906, .81000000000000000000, 9, .18000000000000000000, 318, 71, 11, 21, 71, 0.000, 29.307
Wed Dec 28 23:25:39 EST 2016, 9381, .06000000000000000000, 6, .93000000000000000000, 393, 49, 16, 34, 49, 16.497, 15.297
Wed Dec 28 23:26:20 EST 2016, 4431, .56000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.057
Wed Dec 28 23:27:25 EST 2016, 3193, .18000000000000000000, 11, .56000000000000000000, 431, 83, 4, 15, 15, 2.027, 2.207
Wed Dec 28 23:30:36 EST 2016, 8143, .68000000000000000000, 5, .06000000000000000000, 581, 38, 14, 40, 60, 127.307, 61.287
Wed Dec 28 23:31:36 EST 2016, 5668, .43000000000000000000, 2, .81000000000000000000, 506, 60, 18, 3, 38, 9.957, 6.397
Wed Dec 28 23:32:42 EST 2016, 718, .93000000000000000000, 8, .31000000000000000000, 356, 15, 9, 28, 83, 14.493, 11.610
Wed Dec 28 23:34:12 EST 2016, 1028, .46000000000000000000, 10, .40000000000000000000, 384, 40, 11, 42, 80, 40.143, 27.537
Wed Dec 28 23:34:32 EST 2016, 5978, .96000000000000000000, 4, .90000000000000000000, 534, 85, 1, 17, 35, 2.453, 2.553
Wed Dec 28 23:35:33 EST 2016, 8453, .21000000000000000000, 1, .15000000000000000000, 459, 18, 6, 29, 57, 2.467, 2.283
Wed Dec 28 23:36:33 EST 2016, 3503, .71000000000000000000, 7, .65000000000000000000, 309, 63, 15, 4, 12, 3.417, 2.557
Wed Dec 28 23:53:17 EST 2016, 4740, .09000000000000000000, 5, .28000000000000000000, 496, 74, 13, 23, 91, 0.000, 41.493
Wed Dec 28 23:53:47 EST 2016, 9690, .59000000000000000000, 11, .78000000000000000000, 346, 29, 3, 48, 46, 3.713, 3.650
Thu Dec 29 00:10:31 EST 2016, 7215, .34000000000000000000, 8, .03000000000000000000, 421, 97, 8, 10, 69, 0.000, 21.180
Thu Dec 29 00:11:46 EST 2016, 2265, .84000000000000000000, 2, .53000000000000000000, 571, 52, 18, 35, 24, 42.233, 31.203
Thu Dec 29 00:12:17 EST 2016, 1646, .15000000000000000000, 6, .84000000000000000000, 553, 46, 12, 7, 97, 15.860, 13.317
Thu Dec 29 00:13:02 EST 2016, 6596, .65000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.057
Thu Dec 29 00:14:08 EST 2016, 9071, .40000000000000000000, 3, .59000000000000000000, 328, 24, 7, 20, 74, 5.357, 4.590
Thu Dec 29 00:16:33 EST 2016, 4121, .90000000000000000000, 9, .09000000000000000000, 478, 69, 17, 45, 29, 89.423, 46.220
Thu Dec 29 00:17:19 EST 2016, 2884, .28000000000000000000, 1, .96000000000000000000, 365, 57, 14, 26, 85, 12.307, 11.323
Thu Dec 29 00:18:09 EST 2016, 7834, .78000000000000000000, 7, .46000000000000000000, 515, 12, 5, 1, 40, 2.167, 1.887
Thu Dec 29 00:19:45 EST 2016, 5359, .03000000000000000000, 10, .71000000000000000000, 590, 80, 9, 39, 63, 33.473, 31.980
Thu Dec 29 00:20:20 EST 2016, 409, .53000000000000000000, 4, .21000000000000000000, 440, 35, 19, 14, 18, 11.673, 6.790
Thu Dec 29 00:21:31 EST 2016, 564, .26000000000000000000, 7, .57000000000000000000, 510, 67, 6, 33, 62, 20.390, 18.267
Thu Dec 29 00:22:16 EST 2016, 5514, .76000000000000000000, 1, .07000000000000000000, 360, 22, 15, 8, 17, 2.620, 2.243
Thu Dec 29 00:23:56 EST 2016, 7989, .01000000000000000000, 4, .82000000000000000000, 435, 90, 10, 46, 84, 39.770, 38.190
Thu Dec 29 00:24:17 EST 2016, 3039, .51000000000000000000, 10, .32000000000000000000, 585, 45, 1, 21, 39, 1.903, 2.043
Thu Dec 29 00:25:17 EST 2016, 4276, .14000000000000000000, 2, .70000000000000000000, 398, 33, 8, 2, 73, 2.543, 2.333
Thu Dec 29 00:27:03 EST 2016, 9226, .64000000000000000000, 8, .20000000000000000000, 548, 78, 17, 27, 28, 47.677, 36.630
Thu Dec 29 00:27:23 EST 2016, 6751, .39000000000000000000, 11, .95000000000000000000, 473, 11, 13, 14, 95, 5.690, 4.840
Thu Dec 29 00:28:29 EST 2016, 1801, .89000000000000000000, 5, .45000000000000000000, 323, 56, 3, 39, 50, 8.100, 7.297
