# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 11:14:30 EST 2016, 1187, .08000000000000000000, 3, .62000000000000000000, 493, 87, 2, 47, 90, 11.627, 11.673
Thu Dec 29 11:15:36 EST 2016, 6137, .58000000000000000000, 9, .12000000000000000000, 343, 42, 11, 22, 45, 16.443, 11.937
Thu Dec 29 11:17:06 EST 2016, 8612, .33000000000000000000, 6, .87000000000000000000, 418, 64, 16, 35, 67, 46.117, 37.040
Thu Dec 29 11:17:22 EST 2016, 3662, .83000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.040, 0.050
Thu Dec 29 11:18:27 EST 2016, 4900, .45000000000000000000, 11, .74000000000000000000, 381, 31, 4, 16, 78, 4.453, 4.043
Thu Dec 29 11:21:38 EST 2016, 9850, .95000000000000000000, 5, .24000000000000000000, 531, 76, 13, 41, 33, 126.290, 53.873
Thu Dec 29 11:22:34 EST 2016, 7375, .20000000000000000000, 2, .99000000000000000000, 456, 53, 18, 3, 56, 6.403, 4.757
Thu Dec 29 11:23:34 EST 2016, 2425, .70000000000000000000, 8, .49000000000000000000, 306, 98, 9, 28, 11, 5.683, 5.323
Thu Dec 29 11:24:30 EST 2016, 1806, .26000000000000000000, 1, .18000000000000000000, 362, 93, 3, --cols, , 0.057, 0.060
Thu Dec 29 11:26:00 EST 2016, 6756, .76000000000000000000, 7, .68000000000000000000, 512, 48, 12, 25, 39, 28.797, 18.367
Thu Dec 29 11:32:17 EST 2016, 9231, .01000000000000000000, 10, .43000000000000000000, 587, 70, 17, 13, 61, 0.000, 27.470
Thu Dec 29 11:32:43 EST 2016, 4281, .51000000000000000000, 4, .93000000000000000000, 437, 25, 8, 38, 16, 2.463, 2.170
Thu Dec 29 11:33:43 EST 2016, 3043, .14000000000000000000, 8, .05000000000000000000, 550, 14, 5, 32, 95, 6.113, 6.377
Thu Dec 29 11:40:20 EST 2016, 7993, .64000000000000000000, 2, .55000000000000000000, 400, 59, 15, 7, 50, 0.000, 12.113
Thu Dec 29 11:41:31 EST 2016, 5518, .39000000000000000000, 5, .30000000000000000000, 325, 36, 19, 44, 73, 45.367, 32.390
Thu Dec 29 11:42:11 EST 2016, 568, .89000000000000000000, 11, .80000000000000000000, 475, 81, 10, 19, 28, 21.330, 14.920
Thu Dec 29 11:42:47 EST 2016, 414, .15000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.063
Thu Dec 29 11:43:47 EST 2016, 5364, .65000000000000000000, 6, .88000000000000000000, 554, 66, 5, --cols, , 0.047, 0.057
Thu Dec 29 11:44:58 EST 2016, 7839, .40000000000000000000, 9, .13000000000000000000, 479, 43, 1, 37, 99, 4.917, 5.033
Thu Dec 29 11:51:35 EST 2016, 2889, .90000000000000000000, 3, .63000000000000000000, 329, 88, 10, 12, 54, 0.000, 16.120
Thu Dec 29 11:57:21 EST 2016, 4126, .28000000000000000000, 8, .26000000000000000000, 517, 77, 17, 6, 66, 0.000, 27.793
Thu Dec 29 11:58:07 EST 2016, 9076, .78000000000000000000, 2, .76000000000000000000, 367, 32, 8, 31, 21, 2.903, 2.713
Thu Dec 29 11:59:12 EST 2016, 6601, .03000000000000000000, 5, .01000000000000000000, 442, 55, 3, 18, 88, 6.157, 7.557
Thu Dec 29 12:00:13 EST 2016, 1651, .53000000000000000000, 11, .51000000000000000000, 592, 10, 13, 43, 43, 9.347, 7.973
Thu Dec 29 12:01:19 EST 2016, 2270, .47000000000000000000, 4, .82000000000000000000, 535, 15, 16, 21, 60, 10.243, 7.800
Thu Dec 29 12:02:14 EST 2016, 7220, .97000000000000000000, 10, .32000000000000000000, 385, 60, 7, 46, 15, 8.170, 7.593
Thu Dec 29 12:03:10 EST 2016, 9695, .22000000000000000000, 7, .57000000000000000000, 310, 38, 2, 9, 82, 1.733, 1.860
Thu Dec 29 12:04:35 EST 2016, 4745, .72000000000000000000, 1, .07000000000000000000, 460, 83, 11, 34, 37, 26.573, 24.730
Thu Dec 29 12:06:21 EST 2016, 3507, .09000000000000000000, 11, .94000000000000000000, 348, 94, 19, 40, 71, 63.753, 55.180
Thu Dec 29 12:07:22 EST 2016, 8457, .59000000000000000000, 5, .44000000000000000000, 498, 49, 9, 15, 26, 9.437, 7.563
Thu Dec 29 12:08:32 EST 2016, 5982, .34000000000000000000, 2, .69000000000000000000, 573, 71, 4, 28, 94, 16.220, 15.400
Thu Dec 29 12:14:59 EST 2016, 1032, .84000000000000000000, 8, .19000000000000000000, 423, 26, 14, 3, 49, 0.000, 9.543
