# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 12:36:17 EST 2017, 4450, 0.060, 11, 0.660, 459, 38, 1, 12, 56, 0.903, 0.940
Tue Jan 10 12:38:23 EST 2017, 9400, 0.560, 5, 0.160, 309, 83, 11, 37, 11, 6.490, 6.497
Tue Jan 10 12:40:19 EST 2017, 6925, 0.310, 2, 0.910, 384, 15, 16, 0, 79, 1.920, 1.840
Tue Jan 10 12:42:35 EST 2017, 1975, 0.810, 8, 0.410, 534, 60, 6, 25, 34, 11.893, 12.013
Tue Jan 10 12:44:31 EST 2017, 1356, 0.120, 0, 0.230, 591, 55, 5, 3, 62, 4.933, 5.493
Tue Jan 10 12:46:26 EST 2017, 6306, 0.620, 6, 0.730, 441, 10, 14, 28, 17, 1.950, 1.917
Tue Jan 10 12:54:14 EST 2017, 8781, 0.370, 9, 0.480, 366, 77, 19, 15, 85, 48.437, 0.000
Tue Jan 10 12:54:44 EST 2017, 3831, 0.870, 3, 0.980, 516, 32, 10, 40, 40, 11.773, 11.610
Tue Jan 10 12:56:35 EST 2017, 2594, 0.250, 7, 0.100, 328, 43, 2, 34, 73, 3.620, 3.563
Tue Jan 10 12:58:36 EST 2017, 7544, 0.750, 1, 0.600, 478, 88, 12, 9, 28, 6.573, 7.270
Tue Jan 10 13:00:36 EST 2017, 5069, 0.000, 4, 0.350, 553, 21, 17, 46, 96, 24.880, 24.640
Tue Jan 10 13:02:22 EST 2017, 119, 0.500, 10, 0.850, 403, 66, 7, 21, 51, 11.833, 11.913
Tue Jan 10 13:04:48 EST 2017, 129, 0.250, 4, 0.150, 568, 49, 14, 21, 65, 31.727, 26.887
Tue Jan 10 13:05:29 EST 2017, 5079, 0.750, 10, 0.650, 418, 94, 5, 46, 20, 9.957, 9.947
