# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jul  7 11:02:10 EDT 2017, 0.210, 123, 25, 5, 15, 497, 1, 35, 22, 22, 1.247, 1.213
Fri Jul  7 11:05:17 EDT 2017, 0.710, 143, 20, 9, 26, 347, 10, 15, 7, 42, 1.330, 1.240
Fri Jul  7 11:10:18 EDT 2017, 0.960, 133, 22, 3, 20, 572, 15, 45, 15, 32, 4.143, 4.417
Fri Jul  7 11:15:30 EDT 2017, 0.460, 153, 27, 7, 9, 422, 6, 25, 0, 12, 1.237, 1.223
Fri Jul  7 11:20:37 EDT 2017, 0.340, 138, 21, 4, 23, 385, 3, 10, 26, 37, 1.230, 1.230
Fri Jul  7 11:25:38 EDT 2017, 0.840, 158, 26, 8, 12, 535, 13, 30, 11, 17, 1.350, 1.423
Fri Jul  7 11:30:15 EDT 2017, 0.590, 128, 29, 2, 18, 310, 18, 20, 18, 27, 1.483, 1.507
Fri Jul  7 11:35:12 EDT 2017, 0.090, 148, 24, 6, 29, 460, 8, 40, 3, 47, 1.557, 1.823
Fri Jul  7 11:40:18 EDT 2017, 0.060, 127, 20, 7, 20, 525, 12, 31, 6, 16, 1.273, 1.213
Fri Jul  7 11:45:30 EDT 2017, 0.560, 147, 25, 3, 9, 375, 3, 11, 21, 36, 1.247, 1.243
Fri Jul  7 11:50:34 EDT 2017, 0.810, 137, 27, 9, 14, 450, 7, 41, 14, 46, 1.840, 1.807
Fri Jul  7 11:55:30 EDT 2017, 0.310, 157, 22, 5, 25, 300, 17, 21, 29, 26, 1.330, 1.190
Fri Jul  7 12:00:17 EDT 2017, 0.430, 132, 26, 6, 17, 338, 15, 16, 2, 41, 1.473, 1.497
Fri Jul  7 12:05:14 EDT 2017, 0.930, 152, 21, 2, 28, 488, 5, 36, 17, 21, 1.257, 1.253
