# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Thu Jun 22 18:58:20 EDT 2017, 0.100, 1, 3, 0.620, 6, 8, 15, 586, 90, 16, 47, 91, 12.957, 74.433
Thu Jun 22 19:02:47 EDT 2017, 0.600, 6, 8, 0.120, 2, 4, 60, 436, 45, 6, 22, 46, 2.130, 2.130
Thu Jun 22 19:07:38 EDT 2017, 0.850, 3, 5, 0.870, 4, 6, 82, 511, 67, 2, 35, 24, 1.533, 1.537
Thu Jun 22 19:12:46 EDT 2017, 0.350, 8, 1, 0.370, 9, 1, 37, 361, 22, 11, 10, 69, 3.347, 3.337
Thu Jun 22 19:17:53 EDT 2017, 0.480, 5, 9, 0.740, 3, 3, 26, 398, 78, 4, 28, 35, 1.817, 1.810
Thu Jun 22 19:23:04 EDT 2017, 0.980, 9, 4, 0.240, 7, 7, 71, 548, 33, 13, 3, 80, 8.140, 9.970
Thu Jun 22 19:28:11 EDT 2017, 0.730, 2, 2, 0.990, 5, 5, 93, 323, 56, 18, 41, 58, 7.667, 10.940
Thu Jun 22 19:32:38 EDT 2017, 0.230, 7, 7, 0.490, 1, 9, 48, 473, 11, 9, 16, 13, 1.250, 1.250
Thu Jun 22 19:37:44 EDT 2017, 0.170, 3, 1, 0.180, 2, 9, 20, 304, 84, 17, 13, 29, 4.947, 5.557
Thu Jun 22 19:42:46 EDT 2017, 0.670, 7, 6, 0.680, 7, 4, 65, 454, 39, 7, 38, 74, 2.957, 3.060
Thu Jun 22 19:48:02 EDT 2017, 0.920, 1, 8, 0.430, 9, 7, 88, 379, 61, 3, 0, 97, 2.443, 2.613
Thu Jun 22 19:52:54 EDT 2017, 0.420, 5, 4, 0.930, 5, 2, 43, 529, 16, 12, 25, 52, 2.123, 2.337
Thu Jun 22 19:58:01 EDT 2017, 0.290, 2, 7, 0.050, 8, 1, 32, 492, 95, 5, 6, 63, 3.037, 3.327
Thu Jun 22 20:02:37 EDT 2017, 0.790, 6, 3, 0.550, 4, 5, 77, 342, 50, 15, 31, 18, 2.713, 2.830
Thu Jun 22 20:07:44 EDT 2017, 0.540, 4, 5, 0.300, 1, 3, 99, 567, 73, 19, 19, 41, 5.843, 6.553
Thu Jun 22 20:12:46 EDT 2017, 0.040, 9, 9, 0.800, 6, 8, 54, 417, 28, 10, 44, 86, 2.133, 2.323
Thu Jun 22 20:17:53 EDT 2017, 0.030, 2, 1, 0.380, 4, 2, 78, 450, 77, 13, 34, 17, 3.237, 3.860
Thu Jun 22 20:22:54 EDT 2017, 0.530, 6, 6, 0.880, 8, 6, 33, 300, 32, 4, 9, 62, 1.613, 1.730
Thu Jun 22 20:28:06 EDT 2017, 0.780, 4, 8, 0.130, 6, 4, 11, 525, 99, 8, 46, 84, 7.040, 7.643
Thu Jun 22 20:32:38 EDT 2017, 0.280, 9, 3, 0.630, 1, 8, 56, 375, 54, 18, 21, 39, 3.617, 3.850
Thu Jun 22 20:37:39 EDT 2017, 0.400, 3, 7, 0.260, 7, 7, 89, 337, 66, 6, 40, 73, 2.440, 2.533
Thu Jun 22 20:42:46 EDT 2017, 0.900, 8, 2, 0.760, 3, 3, 44, 487, 21, 16, 15, 28, 3.723, 3.843
Thu Jun 22 20:47:53 EDT 2017, 0.650, 1, 4, 0.010, 5, 5, 22, 412, 88, 11, 28, 51, 5.340, 5.943
Thu Jun 22 20:52:55 EDT 2017, 0.150, 5, 9, 0.510, 9, 1, 67, 562, 43, 1, 3, 96, 1.543, 1.553
Thu Jun 22 20:58:07 EDT 2017, 0.210, 5, 4, 0.820, 8, 1, 84, 431, 60, 14, 6, 79, 5.443, 5.727
Thu Jun 22 21:02:38 EDT 2017, 0.710, 9, 8, 0.320, 3, 6, 39, 581, 15, 5, 31, 34, 1.440, 1.517
Thu Jun 22 21:07:40 EDT 2017, 0.960, 2, 6, 0.570, 1, 3, 16, 356, 82, 10, 18, 11, 1.873, 1.860
Thu Jun 22 21:12:52 EDT 2017, 0.460, 7, 2, 0.070, 5, 8, 61, 506, 37, 19, 43, 56, 6.757, 7.640
