"procs","X..delay","X..selfEvents.","X..eventsPerAgent","para_runtime_mean","serial_runtime_mean","SpeedUp","Efficiency","TotOverhead"
1,1,0,2,4.221,4.221,1,1,0
2,1,0,2,16.248,4.221,0.259785819793205,0.129892909896603,28.275
4,1,0,2,10.48,4.221,0.402767175572519,0.10069179389313,37.699
8,1,0,2,5.038,4.221,0.837832473203652,0.104729059150457,36.083
16,1,0,2,4.511,4.221,0.935712702283307,0.0584820438927067,67.955
32,1,0,2,6.391,4.221,0.660460021905805,0.0206393756845564,200.291
1,1,0,5,8.717,8.717,1,1,0
2,1,0,5,30.364,8.717,0.287083388222896,0.143541694111448,52.011
4,1,0,5,14.597,8.717,0.597177502226485,0.149294375556621,49.671
8,1,0,5,9.461,8.717,0.921361378289821,0.115170172286228,66.971
16,1,0,5,15.506,8.717,0.562169482780859,0.0351355926738037,239.379
32,1,0,5,45.888,8.717,0.189962517433752,0.00593632866980474,1459.699
1,1,0,10,16.907,16.907,1,1,0
2,1,0,10,46.279,16.907,0.365327686423648,0.182663843211824,75.651
4,1,0,10,24.446,16.907,0.691605988709809,0.172901497177452,80.877
8,1,0,10,15.145,16.907,1.11634202707164,0.139542753383955,104.253
16,1,0,10,92.058,16.907,0.183655956027722,0.0114784972517326,1456.021
32,1,0,10,123.557,16.907,0.136835630518708,0.00427611345370962,3936.917
1,1,0.25,2,4.247,4.247,1,1,0
2,1,0.25,2,15.674,4.247,0.27095827485007,0.135479137425035,27.101
4,1,0.25,2,8.281,4.247,0.512860765608018,0.128215191402005,28.877
8,1,0.25,2,5.01,4.247,0.847704590818363,0.105963073852295,35.833
16,1,0.25,2,3.925,4.247,1.08203821656051,0.0676273885350318,58.553
32,1,0.25,2,5.363,4.247,0.791907514450867,0.0247471098265896,167.369
1,1,0.25,5,8.836,8.836,1,1,0
2,1,0.25,5,29.786,8.836,0.296649432619351,0.148324716309676,50.736
4,1,0.25,5,17.949,8.836,0.492283692684829,0.123070923171207,62.96
8,1,0.25,5,8.681,8.836,1.01785508581961,0.127231885727451,60.612
16,1,0.25,5,6.114,8.836,1.44520771998692,0.0903254824991822,88.988
32,1,0.25,5,13.83,8.836,0.638900939985539,0.0199656543745481,433.724
1,1,0.25,10,16.798,16.798,1,1,0
2,1,0.25,10,47.868,16.798,0.350923372608005,0.175461686304003,78.938
4,1,0.25,10,22.14,16.798,0.758717253839205,0.189679313459801,71.762
8,1,0.25,10,13.601,16.798,1.23505624586427,0.154382030733034,92.01
16,1,0.25,10,30.792,16.798,0.545531306832943,0.034095706677059,475.874
32,1,0.25,10,9.087,16.798,1.8485748872015,0.0577679652250468,273.986
1,10,0,2,8.602,8.602,1,1,0
2,10,0,2,29.572,8.602,0.290883267956175,0.145441633978087,50.542
4,10,0,2,18.648,8.602,0.461282711282711,0.115320677820678,65.99
8,10,0,2,8.313,8.602,1.03476482617587,0.129345603271984,57.902
16,10,0,2,7.545,8.602,1.14009277667329,0.0712557985420808,112.118
32,10,0,2,10.421,8.602,0.825448613376835,0.0257952691680261,324.87
1,10,0,5,21.138,21.138,1,1,0
2,10,0,5,51.896,21.138,0.407314629258517,0.203657314629259,82.654
4,10,0,5,25.442,21.138,0.830830909519692,0.207707727379923,80.63
8,10,0,5,17.348,21.138,1.21846898777957,0.152308623472446,117.646
16,10,0,5,15.231,21.138,1.38782745715974,0.0867392160724838,222.558
32,10,0,5,17.149,21.138,1.23260831535366,0.038519009854802,527.63
1,10,0,10,42.338,42.338,1,1,0
2,10,0,10,96.983,42.338,0.436550735695947,0.218275367847973,151.628
4,10,0,10,45.897,42.338,0.922456805455694,0.230614201363924,141.25
8,10,0,10,27.355,42.338,1.54772436483275,0.193465545604094,176.502
16,10,0,10,31.351,42.338,1.35045134126503,0.0844032088290645,459.278
32,10,0,10,29.747,42.338,1.42326957340236,0.0444771741688237,909.566
1,10,0.25,2,8.284,8.284,1,1,0
2,10,0.25,2,29.367,8.284,0.282085333878163,0.141042666939081,50.45
4,10,0.25,2,13.981,8.284,0.5925184178528,0.1481296044632,47.64
8,10,0.25,2,9.399,8.284,0.881370358548782,0.110171294818598,66.908
16,10,0.25,2,6.093,8.284,1.35959297554571,0.0849745609716068,89.204
32,10,0.25,2,8.329,8.284,0.99459719053908,0.0310811622043463,258.244
1,10,0.25,5,19.733,19.733,1,1,0
2,10,0.25,5,51.852,19.733,0.380563912674535,0.190281956337268,83.971
4,10,0.25,5,25.155,19.733,0.784456370502882,0.196114092625721,80.887
8,10,0.25,5,15.895,19.733,1.2414595784838,0.155182447310475,107.427
16,10,0.25,5,12.709,19.733,1.5526792037139,0.097042450232119,183.611
32,10,0.25,5,10.907,19.733,1.80920509764372,0.0565376593013661,329.291
1,10,0.25,10,41.284,41.284,1,1,0
2,10,0.25,10,96.568,41.284,0.427512219368735,0.213756109684367,151.852
4,10,0.25,10,44.308,41.284,0.931750473955042,0.23293761848876,135.948
8,10,0.25,10,25.944,41.284,1.59127351218008,0.19890918902251,166.268
16,10,0.25,10,21.478,41.284,1.92215290064252,0.120134556290157,302.364
32,10,0.25,10,19.357,41.284,2.13276850751666,0.0666490158598956,578.14
