"procs","X..delay","X..selfEvents.","X..eventsPerAgent","para_runtime_mean","serial_runtime_mean","SpeedUp","Efficiency","TotOverhead"
1,1,0,2,7.952,7.952,1,1,0
2,1,0,2,60.058,7.952,0.132405341503214,0.0662026707516068,112.164
4,1,0,2,25.956,7.952,0.306364617044229,0.0765911542610572,95.872
8,1,0,2,11.303,7.952,0.703530036273556,0.0879412545341944,82.472
16,1,0,2,6.807,7.952,1.16820919641545,0.0730130747759659,100.96
32,1,0,2,5.813,7.952,1.36796834680888,0.0427490108377774,178.064
1,1,0,5,16.313,16.313,1,1,0
2,1,0,5,106.579,16.313,0.15306017132831,0.0765300856641552,196.845
4,1,0,5,47.764,16.313,0.341533372414371,0.0853833431035926,174.743
8,1,0,5,165.012,16.313,0.0988594768865295,0.0123574346108162,1303.783
16,1,0,5,18.117,16.313,0.900425015179113,0.0562765634486946,273.559
32,1,0,5,11.813,16.313,1.38093625666638,0.0431542580208245,361.703
1,1,0,10,29.705,29.705,1,1,0
2,1,0,10,165.571,29.705,0.179409437643065,0.0897047188215327,301.437
4,1,0,10,293.355,29.705,0.10125956605478,0.025314891513695,1143.715
8,1,0,10,403.895,29.705,0.0735463424900036,0.00919329281125045,3201.455
16,1,0,10,121.198,29.705,0.245094803544613,0.0153184252215383,1909.463
32,1,0,10,25.159,29.705,1.18069080647085,0.0368965877022139,775.383
1,1,0.25,2,7.923,7.923,1,1,0
2,1,0.25,2,58.455,7.923,0.135540159096741,0.0677700795483705,108.987
4,1,0.25,2,28.324,7.923,0.279727439627171,0.0699318599067928,105.373
8,1,0.25,2,10.653,7.923,0.743734159391721,0.0929667699239651,77.301
16,1,0.25,2,6.034,7.923,1.31305933046072,0.0820662081537952,88.621
32,1,0.25,2,5.564,7.923,1.42397555715313,0.0444992361610352,170.125
1,1,0.25,5,15.923,15.923,1,1,0
2,1,0.25,5,105.498,15.923,0.150931771218412,0.0754658856092059,195.073
4,1,0.25,5,49.555,15.923,0.32131974573706,0.080329936434265,182.297
8,1,0.25,5,23.346,15.923,0.682044033239099,0.0852555041548873,170.845
16,1,0.25,5,15.764,15.923,1.01008627251967,0.0631303920324791,236.301
32,1,0.25,5,9.393,15.923,1.69519855211328,0.0529749547535399,284.653
1,1,0.25,10,28.895,28.895,1,1,0
2,1,0.25,10,173.818,28.895,0.166237098574371,0.0831185492871854,318.741
4,1,0.25,10,479.152,28.895,0.0603044545363476,0.0150761136340869,1887.713
8,1,0.25,10,1094.84,28.895,0.0263919842168719,0.00329899802710898,8729.825
16,1,0.25,10,659.529,28.895,0.0438115685587745,0.00273822303492341,10523.569
32,1,0.25,10,161.788,28.895,0.178597918263406,0.00558118494573145,5148.321
1,10,0,2,14.845,14.845,1,1,0
2,10,0,2,106.319,14.845,0.139626971660757,0.0698134858303784,197.793
4,10,0,2,52.313,14.845,0.283772676007876,0.0709431690019689,194.407
8,10,0,2,25.303,14.845,0.586689325376438,0.0733361656720547,187.579
16,10,0,2,15.637,14.845,0.949350898509944,0.0593344311568715,235.347
32,10,0,2,14.937,14.845,0.993840798018344,0.0310575249380732,463.139
1,10,0,5,29.921,29.921,1,1,0
2,10,0,5,203.302,29.921,0.14717513846396,0.07358756923198,376.683
4,10,0,5,368.678,29.921,0.0811575412690749,0.0202893853172687,1444.791
8,10,0,5,443.045,29.921,0.0675349005180061,0.00844186256475076,3514.439
16,10,0,5,223.771,29.921,0.133712590103275,0.0083570368814547,3550.415
32,10,0,5,33.041,29.921,0.905571865258315,0.0282991207893224,1027.391
1,10,0,10,62.128,62.128,1,1,0
2,10,0,10,421.848,62.128,0.147275796021316,0.0736378980106579,781.568
4,10,0,10,522.905,62.128,0.11881316874002,0.0297032921850049,2029.492
8,10,0,10,1094.84,62.128,0.0567461912242885,0.00709327390303606,8696.592
16,10,0,10,659.529,62.128,0.0942005582771948,0.00588753489232467,10490.336
32,10,0,10,161.788,62.128,0.384008702746804,0.0120002719608376,5115.088
1,10,0.25,2,14.667,14.667,1,1,0
2,10,0.25,2,106.688,14.667,0.137475629874025,0.0687378149370126,198.709
4,10,0.25,2,50.748,14.667,0.289016315913928,0.0722540789784819,188.325
8,10,0.25,2,22.38,14.667,0.655361930294906,0.0819202412868633,164.373
16,10,0.25,2,13.517,14.667,1.08507804986314,0.067817378116446,201.605
32,10,0.25,2,12.936,14.667,1.13381261595547,0.0354316442486085,399.285
1,10,0.25,5,28.967,28.967,1,1,0
2,10,0.25,5,206.125,28.967,0.140531231049121,0.0702656155245603,383.283
4,10,0.25,5,293.355,28.967,0.0987438427843398,0.0246859606960849,1144.453
8,10,0.25,5,403.895,28.967,0.0717191349236807,0.00896489186546008,3202.193
16,10,0.25,5,121.198,28.967,0.239005594151719,0.0149378496344824,1910.201
32,10,0.25,5,25.159,28.967,1.15135736714496,0.0359799177232799,776.121
1,10,0.25,10,58.582,58.582,1,1,0
2,10,0.25,10,414.007,58.582,0.141500022946472,0.070750011473236,769.432
4,10,0.25,10,1075.35,58.582,0.0544771469754034,0.0136192867438508,4242.818
8,10,0.25,10,1050.94,58.582,0.055742478162407,0.00696780977030087,8348.938
16,10,0.25,10,575.403,58.582,0.101810383331335,0.00636314895820842,9147.866
32,10,0.25,10,159.932,58.582,0.366293174599205,0.0114466617062251,5059.242
