# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Wed Aug 30 16:11:31 EDT 2017, 2, 1, 14.994, 0.304802, 14.7793, 15.2087, 14.50, 14.81, 15.13, 15.43, 15.46, 118632, 1347.68, 117682, 119582, 116980, 117288, 118654, 120776, 120972, 2726.5, 981.334, 2035.1, 3417.9, 1439, 1874, 2809.5, 4210, 4486, 2726.5, 981.334, 2035.1, 3417.9, 1439, 1874, 2809.5, 4210, 4486, 2027.6, 82.8736, 1969.21, 2085.99, 1897, 1975, 2038.5, 2115, 2170, 1115.8, 81.9766, 1058.04, 1173.56, 988, 1057, 1131, 1197, 1251, 1985432, 11161.3, 1.97757e+06, 1.9933e+06, 1971265, 1974620, 1.98576e+06, 2002769, 2006481, 1.00387e+06, 11105.4, 996046, 1.01169e+06, 990587, 992820, 1004113, 1022081, 1024044, 2.02234e+06, 898.848, 2.02171e+06, 2.02297e+06, 2020587, 2021737, 2.02268e+06, 2023446, 2023744, 1.0118e+06, 605.038, 1.01137e+06, 1.01223e+06, 1010530, 1011296, 1011955, 1012359, 1012768
Wed Aug 30 16:12:43 EDT 2017, 2, 2, 24.751, 0.492777, 24.4038, 25.0982, 23.82, 24.44, 25.045, 25.34, 25.38, 223033, 2287.93, 221421, 224645, 220184, 220340, 223480, 225916, 226332, 3194.9, 2117.73, 1702.84, 4686.96, 245, 459, 3941.5, 5628, 5958, 3183.5, 2133.12, 1680.6, 4686.4, 182, 447, 3941.5, 5628, 5958, 3998.5, 270.442, 3807.96, 4189.04, 3667, 3680, 4043.5, 4365, 4414, 2173.8, 271.68, 1982.39, 2365.21, 1837, 1845, 2221, 2539, 2588, 3796614, 18582.3, 3.78352e+06, 3.80971e+06, 3773142, 3775678, 3799887, 3820501, 3824196, 1.91017e+06, 18718.3, 1.89698e+06, 1.92336e+06, 1886614, 1888933, 1913171, 1933934, 1938038, 4.04483e+06, 1290.88, 4.04392e+06, 4.04574e+06, 4042965, 4043818, 4045036, 4046341, 4047481, 2.02326e+06, 551.162, 2.02287e+06, 2.02365e+06, 2021762, 2023145, 2023471, 2023726, 2023814
Wed Aug 30 16:14:10 EDT 2017, 2, 5, 49.943, 1.18849, 49.1056, 50.7804, 48.13, 48.46, 50.575, 51.27, 51.48, 536900, 1643, 535742, 538058, 534432, 535428, 537686, 539088, 539484, 6268.5, 1202.53, 5421.25, 7115.75, 4137, 5171, 6892.5, 7842, 7942, 6267, 1205.19, 5417.88, 7116.12, 4122, 5171, 6892.5, 7842, 7942, 9760, 255.534, 9579.96, 9940.04, 9363, 9525, 9874.5, 10106, 10148, 5192.3, 255.204, 5012.49, 5372.11, 4797, 4958, 5312, 5532, 5580, 8395366, 12790.7, 8.38635e+06, 8.40438e+06, 8375628, 8384740, 8.39974e+06, 8413720, 8416622, 4.21189e+06, 12397, 4.20316e+06, 4.22062e+06, 4194124, 4200579, 4217203, 4229827, 4231758, 1.01146e+07, 1577.95, 1.01135e+07, 1.01157e+07, 10112753, 10112960, 10115073, 10116771, 10117380, 5.05871e+06, 1100.2, 5.05793e+06, 5.05949e+06, 5056915, 5058172, 5058960, 5059625, 5060886
Wed Aug 30 16:19:49 EDT 2017, 2, 10, 85.736, 1.58038, 84.6225, 86.8495, 81.53, 85.40, 86.31, 86.93, 87.49, 1.05503e+06, 1583.98, 1.05391e+06, 1.05615e+06, 1050940, 1054408, 1055470, 1056536, 1056756, 4569.4, 2422.62, 2862.53, 6276.27, 1919, 2419, 4550.5, 7763, 8821, 4340.2, 2640.91, 2479.53, 6200.87, 1115, 2102, 4549.5, 7740, 8791, 18490.7, 167.303, 18372.8, 18608.6, 18317, 18348, 18479.5, 18684, 18820, 9353.5, 175.393, 9229.93, 9477.07, 9161, 9216, 9355, 9553, 9696, 1.38749e+07, 5580.48, 1.3871e+07, 1.38788e+07, 13868741, 13869301, 1.3875e+07, 13883008, 13885166, 6.94153e+06, 5204.98, 6.93786e+06, 6.9452e+06, 6935432, 6936490, 6942274, 6948512, 6951086, 20221811, 1883.58, 2.02205e+07, 2.02231e+07, 20219115, 20220150, 20222108, 20223866, 20225838, 1.0114e+07, 2580.3, 1.01122e+07, 1.01158e+07, 10110665, 10112264, 10114084, 10117691, 10119523
Wed Aug 30 16:24:12 EDT 2017, 2, 15, 159.555, 42.6444, 129.51, 189.6, 112.71, 116.92, 174.89, 210.84, 225.39, 1.523e+06, 55128.1, 1.48416e+06, 1.56184e+06, 1390756, 1502680, 1545104, 1577328, 1577784, 6560.4, 3219.82, 4291.86, 8828.94, 3566, 4656, 5604, 8908, 14933, 5215.8, 2090.54, 3742.9, 6688.7, 2925, 4262, 5096.5, 5888, 10903, 27990.3, 566.614, 27591.1, 28389.5, 27520, 27589, 27869.5, 28523, 29400, 14104.7, 344.118, 13862.2, 14347.2, 13806, 13888, 14024.5, 14313, 15008, 1.75871e+07, 26131.6, 1.75687e+07, 1.76055e+07, 17564948, 17568812, 1.75826e+07, 17611345, 17650877, 8.79833e+06, 15502.9, 8.78741e+06, 8.80925e+06, 8784330, 8786556, 8.79654e+06, 8808648, 8837258, 3.03267e+07, 4238.88, 3.03237e+07, 3.03297e+07, 30321161, 30323871, 3.03268e+07, 30332926, 30334562, 1.51675e+07, 2451.64, 1.51658e+07, 1.51692e+07, 15162824, 15165569, 1.51683e+07, 15170613, 15170923
Wed Aug 30 16:25:38 EDT 2017, 4, 1, 7.042, 0.393797, 6.76455, 7.31945, 6.73, 6.75, 7.06, 7.43, 8.03, 65082, 1343.09, 64135.7, 66028.3, 62812, 64652, 65192, 66872, 67088, 11162.6, 2401.73, 9470.45, 12854.8, 6585, 10524, 12104, 13737, 14164, 4270.8, 785.713, 3717.22, 4824.38, 3137, 3611, 4482, 5422, 5449, 4624.4, 225.311, 4465.66, 4783.14, 4204, 4556, 4681.5, 4897, 4905, 1317.8, 73.4899, 1266.02, 1369.58, 1220, 1267, 1322.5, 1390, 1480, 2.08367e+06, 33747.2, 2.05989e+06, 2.10745e+06, 2020418, 2074527, 2095846, 2120863, 2123902, 539348, 11771.8, 531054, 547642, 519119, 534725, 541348, 555325, 557225, 2.02204e+06, 754.801, 2.02151e+06, 2.02257e+06, 2020499, 2021569, 2.02222e+06, 2022820, 2023272, 507278, 605.129, 506852, 507704, 506305, 506928, 507242, 508205, 508501
Wed Aug 30 16:26:45 EDT 2017, 4, 2, 11.453, 0.252272, 11.2753, 11.6307, 11.23, 11.24, 11.46, 11.86, 11.87, 118415, 1955.94, 117037, 119793, 114572, 116740, 119598, 120348, 120524, 17559.4, 3937.6, 14785.1, 20333.7, 11145, 14182, 19881, 21788, 22318, 6627.4, 1060.65, 5880.11, 7374.69, 4186, 6064, 6942.5, 7577, 8103, 9534, 533.175, 9158.35, 9909.65, 8592, 9092, 9844, 10010, 10184, 2716.7, 148.86, 2611.82, 2821.58, 2341, 2643, 2789, 2820, 2910, 3.95229e+06, 51374.6, 3.91609e+06, 3.98849e+06, 3868732, 3909190, 3.98205e+06, 4009988, 4015685, 1.01607e+06, 15702.1, 1.00501e+06, 1.02713e+06, 985749, 1004382, 1024301, 1033094, 1033184, 4.0441e+06, 1308.95, 4.04318e+06, 4.04502e+06, 4041813, 4043258, 4043949, 4045797, 4046364, 1.01351e+06, 1023.64, 1.01279e+06, 1.01423e+06, 1011403, 1012760, 1013972, 1014496, 1014538
Wed Aug 30 16:27:58 EDT 2017, 4, 5, 23.779, 0.542595, 23.3967, 24.1613, 22.97, 23.54, 23.88, 24.49, 24.49, 273941, 4184.97, 270992, 276890, 267928, 269136, 276718, 278116, 278896, 26737.1, 6535.87, 22132.2, 31342, 17641, 19224, 31001, 32818, 34600, 10947.7, 1500.94, 9890.2, 12005.2, 8475, 9320, 11830.5, 12458, 12655, 22658.3, 1343.92, 21711.4, 23605.2, 20687, 21158, 23537.5, 23895, 24223, 6340.8, 384.721, 6069.74, 6611.86, 5737, 5922, 6610.5, 6701, 6751, 8.59762e+06, 84894.7, 8.53781e+06, 8.65743e+06, 8481355, 8500957, 8.6535e+06, 8675575, 8702638, 2.18678e+06, 30042.1, 2.16561e+06, 2.20795e+06, 2142301, 2152218, 2206954, 2217879, 2221692, 1.01137e+07, 2253.52, 1.01121e+07, 1.01153e+07, 10110107, 10112156, 10114319, 10115551, 10117974, 2.53109e+06, 1074.21, 2.53033e+06, 2.53185e+06, 2529024, 2530569, 2531669, 2532222, 2532260
Wed Aug 30 16:29:19 EDT 2017, 4, 10, 41.134, 0.844952, 40.5387, 41.7293, 40.08, 40.37, 41.435, 42.17, 42.51, 526814, 2477, 525069, 528559, 523276, 524392, 527126, 529900, 531284, 28581.9, 3377.22, 26202.5, 30961.3, 21672, 26138, 30223, 32863, 33072, 11924.3, 1224.29, 11061.7, 12786.9, 8689, 11577, 12370.5, 13116, 13200, 40618.1, 805.464, 40050.6, 41185.6, 39171, 40034, 41003.5, 41553, 41847, 10887.6, 309.524, 10669.5, 11105.7, 10295, 10668, 10945, 11319, 11422, 1.40156e+07, 31926, 1.39931e+07, 1.40381e+07, 13961497, 13993764, 14029383, 14052964, 14066215, 3.53281e+06, 14527.7, 3.52257e+06, 3.54305e+06, 3511983, 3519906, 3.53567e+06, 3550471, 3560240, 20221266, 3553.94, 2.02188e+07, 2.02238e+07, 20215909, 20218230, 2.02209e+07, 20227218, 20227340, 5060818, 2636.89, 5.05896e+06, 5.06268e+06, 5056491, 5059641, 5.06048e+06, 5063427, 5066475
Wed Aug 30 16:30:32 EDT 2017, 4, 15, 56.089, 1.4212, 55.0877, 57.0903, 54.20, 54.82, 56.3, 58.08, 58.12, 782167, 3705.18, 779556, 784778, 776152, 778524, 784316, 786304, 787028, 31193.4, 5154.81, 27561.6, 34825.2, 23754, 27563, 32616.5, 37770, 39080, 12483.7, 1652.53, 11319.4, 13648, 10345, 11114, 13093, 14612, 14932, 58506.8, 1381.15, 57533.7, 59479.9, 56469, 57372, 59073.5, 60381, 60444, 15249.8, 520.453, 14883.1, 15616.5, 14499, 14719, 15538, 15824, 15991, 1.76685e+07, 42429.5, 1.76386e+07, 1.76984e+07, 17606297, 17629952, 17687496, 17726090, 17728073, 4.43625e+06, 17552, 4.42388e+06, 4.44862e+06, 4411430, 4417951, 4444323, 4456513, 4462213, 3.03275e+07, 2808.72, 3.03255e+07, 3.03295e+07, 30320996, 30325970, 30328421, 30329297, 30332138, 7.58691e+06, 1853.76, 7.5856e+06, 7.58822e+06, 7584442, 7585364, 7587468, 7589198, 7589771
Wed Aug 30 16:33:21 EDT 2017, 8, 1, 3.252, 0.0378946, 3.2253, 3.2787, 3.19, 3.23, 3.25, 3.30, 3.33, 39533.6, 811.31, 38962, 40105.2, 38316, 38940, 39806, 40032, 41336, 19598.3, 2446.23, 17874.8, 21321.8, 16453, 17987, 19921, 21263, 25500, 3929.4, 478.637, 3592.17, 4266.63, 3250, 3528, 4046, 4382, 4920, 8953, 213.778, 8802.38, 9103.62, 8728, 8795, 8964, 9075, 9485, 1275.4, 71.896, 1224.75, 1326.05, 1191, 1218, 1287.5, 1384, 1409, 2.17631e+06, 34231.5, 2.15219e+06, 2.20043e+06, 2131367, 2154142, 2.17947e+06, 2195334, 2261961, 292488, 7662.07, 287090, 297886, 281193, 286258, 295336, 297663, 308930, 2.0227e+06, 747.557, 2.02217e+06, 2.02323e+06, 2021316, 2022076, 2023044, 2023711, 2023736, 254134, 446.246, 253820, 254448, 253170, 253986, 254158, 254533, 254900
Wed Aug 30 16:34:29 EDT 2017, 8, 2, 5.587, 0.177316, 5.46207, 5.71193, 5.29, 5.35, 5.685, 5.74, 5.74, 68995.6, 1512.12, 67930.2, 70061, 67444, 67840, 68990, 70268, 72600, 35918.8, 4150.01, 32994.9, 38842.7, 31273, 32929, 35545, 42689, 43413, 6541.7, 894.445, 5911.51, 7171.89, 5534, 5894, 6630.5, 7100, 8728, 19136, 534.259, 18759.6, 19512.4, 18585, 18728, 19032, 20041, 20159, 2702.3, 129.311, 2611.19, 2793.41, 2559, 2639, 2671, 2792, 3034, 4.14972e+06, 56966.5, 4.10958e+06, 4.18986e+06, 4091759, 4101379, 4148446, 4236402, 4256005, 546488, 13171.2, 537208, 555768, 533796, 536358, 546236, 557174, 578449, 4.04453e+06, 1768.37, 4.04328e+06, 4.04578e+06, 4040735, 4043190, 4.04527e+06, 4045626, 4047627, 507734, 987.327, 507038, 508430, 506634, 506832, 507908, 509000, 509607
Wed Aug 30 16:36:27 EDT 2017, 8, 5, 11.628, 0.276724, 11.433, 11.823, 11.35, 11.37, 11.715, 12.00, 12.01, 154017, 1792.08, 152754, 155280, 150688, 152796, 154094, 156600, 156664, 64396.2, 5702.83, 60378.2, 68414.2, 51323, 60297, 67378.5, 69765, 71743, 11369.1, 1050.08, 10629.3, 12108.9, 9238, 10862, 11330, 12766, 12966, 47561.7, 1147.6, 46753.2, 48370.2, 44992, 46874, 48261.5, 48587, 48963, 6564.1, 178.12, 6438.6, 6689.6, 6198, 6457, 6572, 6788, 6800, 8.97886e+06, 74839.8, 8.92613e+06, 9.03159e+06, 8809175, 8919515, 9017562, 9048264, 9076333, 1.16524e+06, 14559.9, 1.15498e+06, 1.1755e+06, 1137378, 1157250, 1.16436e+06, 1186351, 1186776, 1.01133e+07, 1525.74, 1.01122e+07, 1.01144e+07, 10110821, 10112451, 1.01135e+07, 10115145, 10116366, 1.26685e+06, 866.977, 1.26624e+06, 1.26746e+06, 1265149, 1266453, 1267262, 1267876, 1268031
