# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Wed Aug  2 16:15:52 EDT 2017,2,1,75.735,0.363847,75.4786,75.9914,74.94,75.5,75.815,75.96,76.44,318698,236.11,318532,318864,318480,318544,318654,318948,319300,341.5,197.299,202.492,480.508,148,233,299.5,451,888,339.3,195.612,201.48,477.12,138,233,299.5,451,878,4180.4,18.3586,4167.47,4193.33,4157,4164,4184.5,4193,4221,2095.2,10.6094,2087.73,2102.67,2080,2088,2096.5,2109,2114,4904272,1472.21,4.90E+06,4.91E+06,4901681,4903638,4.90E+06,4905566,4907394,2.45E+06,1153.28,2.45E+06,2.45E+06,2451110,2452236,2453368,2454429,2454781,5.05E+06,1371.35,5.05E+06,5.05E+06,5050019,5051595,5052955,5053877,5055172,2.53E+06,931.89,2.53E+06,2.53E+06,2525076,2526269,2527082,2528179,2528251
Wed Aug  2 16:18:29 EDT 2017,2,2,106.821,8.5309,100.811,112.831,89.65,110.05,111.355,111.54,111.83,581320,407.774,581033,581607,580496,581028,581404,581844,581864,1140.3,546.315,755.391,1525.21,99,784,1407,1646,2008,1133.6,554.064,743.231,1523.97,73,743,1407,1646,2008,8394,23.677,8377.32,8410.68,8331,8391,8399.5,8415,8422,4210.9,15.3131,4200.11,4221.69,4170,4208,4215.5,4225,4227,9.43E+06,1130.4,9.43E+06,9.43E+06,9424145,9425829,9427096,9427730,9427948,4.71E+06,865.54,4.71E+06,4.71E+06,4712895,4713232,4.71E+06,4714953,4715419,1.01E+07,1977.56,1.01E+07,1.01E+07,10095047,10099361,10100536,10101049,10102682,5.05E+06,1059.07,5.05E+06,5.05E+06,5047830,5050542,5050784,5051573,5051976
Wed Aug  2 16:22:46 EDT 2017,2,5,209.574,20.1806,195.356,223.792,181.19,197.69,212.34,241.92,243.42,1.39E+06,66579.3,1.34E+06,1.44E+06,1350048,1365840,1369332,1387212,1588128,17907.9,36876.9,-8073.92,43889.7,158,2171,6377,20122,127352,17763.3,36927.1,-8253.89,43780.5,149,1827,5987.5,20122,127352,23299.8,5797.63,19215,27384.6,20944,21004,21209.5,23347,40570,12823,5797.19,8738.56,16907.4,10475,10533,10715.5,12891,30090,2.11E+07,489384,2.07E+07,2.14E+07,20900735,20904228,20910701,21029439,22550108,1.06E+07,487808,1.03E+07,1.10E+07,10453314,10454388,1.05E+07,10579660,12094833,25251496,3520.67,2.52E+07,2.53E+07,25246462,25248797,25252238,25256032,25257002,1.26E+07,1700.5,1.26E+07,1.26E+07,12625313,12626377,12629315,12629933,12629953
Wed Aug  2 17:26:39 EDT 2017,2,10,2825.32,1276.16,1926.19,3724.45,307.68,2983.75,3457.78,3767.36,3770.73,2.26E+06,289614,2.05E+06,2.46E+06,1877972,1937100,2401024,2682768,2682848,23896.9,8347.38,18015.7,29778.1,8152,17366,29198,30333,35153,23177.5,8881.78,16919.8,29435.2,5264,16262,28934,29958,35151,44388.5,1228.97,43522.6,45254.4,42205,43871,45007.5,45521,46083,23402.8,1253.31,22519.8,24285.8,21119,22870,24060,24504,25120,3.48E+07,53829.6,3.47E+07,3.48E+07,34665948,34725088,34785315,34813437,34830101,1.74E+07,54091.9,1.74E+07,1.75E+07,17333361,17398085,1.75E+07,17477778,17503238,5.05E+07,5147.65,5.05E+07,5.05E+07,50501920,50508370,50514392,50518582,50519393,2.53E+07,3157.88,2.53E+07,2.53E+07,25254792,25258225,2.53E+07,25261868,25267125
Wed Aug  2 20:34:40 EDT 2017,2,15,8433.23,1667.17,7176.18,9690.28,6531.44,7305.39,7733.7,10964.3,11270.82,2.39E+06,724129,1.85E+06,2.94E+06,1432960,1862618,2160632,3389434,3432812,41130.6,6358.74,36336.1,45925.1,31340,36980,37885,50221,51838,36430.7,7734.43,30598.9,42262.5,22081,31995.5,36049,46239.5,48561,68316,1001.07,67561.2,69070.8,67083,67747.5,68216,69794,70510,36416.6,1181.98,35525.4,37307.8,34463,35860,36281,38015,38699,4.41E+07,77548.6,4.41E+07,4.42E+07,44034811,44085002,44107917,4.43E+07,44293518,2.22E+07,83250,2.21E+07,2.22E+07,22063459,2.21E+07,22146954,2.23E+07,22333845,7.58E+07,4558.56,7.58E+07,7.58E+07,75756996,75766484,75768939,75772374,75772785,3.79E+07,2813.19,3.79E+07,3.79E+07,37884588,37888731,37889864,3.79E+07,37894273
Wed Aug  2 21:36:04 EDT 2017,4,1,34.642,3.64635,32.0729,37.2111,26.27,35.6,36.52,36.8,37.1,161641,6475.82,157078,166204,157888,158400,160170,161004,180824,5386.1,4086.24,2507.12,8265.08,2207,2446,4988,5886,16993,3157.9,3766.85,503.945,5811.85,1401,1850,2060.5,2328,14427,8717.1,366.972,8458.55,8975.65,8403,8475,8675.5,8764,9763,2347.2,345.193,2103.99,2590.41,2148,2180,2273,2351,3366,4.94E+06,47889.8,4.91E+06,4.97E+06,4908645,4909892,4.93E+06,4938657,5079352,1.25E+06,45816.3,1.22E+06,1.28E+06,1229626,1233313,1.24E+06,1242778,1388160,5.05E+06,1232.49,5.05E+06,5.05E+06,5050451,5051549,5.05E+06,5053818,5054170,1264063,376.969,1.26E+06,1.26E+06,1263500,1263786,1.26E+06,1264490,1264709
Wed Aug  2 21:37:26 EDT 2017,4,2,53.23,4.2379,50.2442,56.2158,43.38,54.78,55.43,55.69,56,294176,13659.7,284552,303800,283936,287440,292332,293916,333972,16610.2,9866.53,9658.68,23561.7,5571,9936,16596.5,20909,43020,8875.9,8387.15,2966.69,14785.1,3013,4461,7716,8344,33442,18335.7,1200.8,17489.7,19181.7,16944,17531,18388,18976,21451,5110.5,1015.99,4394.68,5826.32,4337,4589,4946,5184,8047,9.55E+06,120698,9.46E+06,9.63E+06,9437708,9478465,9536440,9579906,9885871,2.43E+06,107075,2.36E+06,2.51E+06,2362992,2382976,2.41E+06,2426570,2747107,1.01E+07,1143.56,1.01E+07,1.01E+07,10098965,10099706,10101390,10102011,10102383,2527150,453.006,2.53E+06,2.53E+06,2526090,2526923,2.53E+06,2527632,2527695
Wed Aug  2 21:40:14 EDT 2017,4,5,99.073,4.39685,95.9752,102.171,88.43,97.76,101.935,102.23,102.28,695937,32546.4,673006,718868,665456,681688,688596,707392,788688,51313.5,22007.1,35808.3,66818.7,11473,43599,50172.5,68355,103100,25522.9,18646.1,12385.7,38660.1,9429,19509,20023,28994,79673,48987.2,3611.29,46442.8,51531.6,42457,47517,48997,52194,57197,14142.4,2996.41,12031.3,16253.5,10979,12895,13627.5,15165,22580,2.13E+07,273192,2.11E+07,2.15E+07,20926044,21202491,2.13E+07,21524444,22019573,5.46E+06,248832,5.29E+06,5.64E+06,5248642,5349371,5.41E+06,5540141,6179102,2.53E+07,3213.85,2.52E+07,2.53E+07,25245570,25248448,2.53E+07,25254051,25255875,6315499,1455.5,6.31E+06,6.32E+06,6312802,6315168,6315336,6316401,6318864
Wed Aug  2 21:43:21 EDT 2017,4,10,163.618,4.65901,160.335,166.901,152.08,165.01,165.745,166.48,166.83,1.38E+06,53355.3,1.34E+06,1.41E+06,1340540,1354940,1362044,1375308,1533884,119994,32740.1,96926.8,143061,82376,101505,116334,134961,208619,53590.8,25959.4,35301,71880.6,34431,40739,48499,55378,129637,104050,6459.83,99498.7,108601,95698,100273,103614,107931,120694,30163.3,4699.24,26852.4,33474.2,26456,28534,28797.5,30220,43908,3.56E+07,435022,3.53E+07,3.59E+07,35160257,35370362,3.55E+07,35758482,36821513,9.13E+06,348561,8.89E+06,9.38E+06,8906238,8990090,9.04E+06,9124005,10166044,5.05E+07,4576.01,5.05E+07,5.05E+07,50501693,50512288,50514009,50517428,50520242,1.26E+07,2788.38,1.26E+07,1.26E+07,12627581,12630128,1.26E+07,12633676,12638234
Wed Aug  2 23:32:13 EDT 2017,4,15,216.39,4.70252,212.844,219.936,204.03,216.63,218.46,220.11,220.55,2.05E+06,75992.2,2.00E+06,2.11E+06,1993768,2017874,2027916,2165060,2258724,172325,47100.3,139140,205510,119941,132838,173874,218529,283133,75660,31900.3,53184.5,98135.5,50000,59622,69228,84667,167160,157232,10546.3,149802,164662,144976,147887,157807,168410,181483,45580.2,7001.71,40647.1,50513.3,38889,40944,44781.5,48088,64879,4.51E+07,544567,4.48E+07,4.55E+07,44577481,44682846,45105377,45602191,46512399,1.16E+07,406968,1.13E+07,1.19E+07,11229311,11332775,11518444,11698312,12723044,7.58E+07,4234.91,7.58E+07,7.58E+07,75757253,75762475,75763633,75769333,75771052,1.89E+07,2612.76,1.89E+07,1.89E+07,18942589,18945390,1.89E+07,18950882,18951494
