# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Mon Aug 28 15:03:23 EDT 2017, 2, 1, 1990.27, 35.1506, 1965.5, 2015.04, 1920.68, 1992.75, 2003.72, 2020.04, 2028.41, 998659, 4650.47, 995382, 1.00194e+06, 993060, 993860, 1000836, 1004964, 1005116, 168.1, 41.92, 138.565, 197.635, 114, 133, 175, 224, 235, 167.5, 42.6269, 137.467, 197.533, 111, 133, 175, 224, 235, 828.6, 6.8, 823.809, 833.391, 819, 823, 831, 837, 837, 419.3, 6.78307, 414.521, 424.079, 411, 413, 421.5, 427, 432, 9.81056e+06, 1823.14, 9.80928e+06, 9.81184e+06, 9807355, 9808477, 9811617, 9811925, 9813235, 4.90622e+06, 939.975, 4.90556e+06, 4.90688e+06, 4904883, 4904933, 4906631, 4907047, 4907555, 1.01219e+07, 1842.2, 1.01206e+07, 1.01232e+07, 10118497, 10120382, 10122605, 10123993, 10124476, 5.06128e+06, 970.176, 5.0606e+06, 5.06196e+06, 5059707, 5060331, 5061634, 5062575, 5062609
Mon Aug 28 17:16:18 EDT 2017, 2, 2, 7834.03, 142.361, 7733.73, 7934.33, 7535.65, 7885.46, 7904.65, 7917.06, 7925.70, 1.51598e+06, 2428.79, 1.51427e+06, 1.51769e+06, 1513200, 1513608, 1516432, 1518932, 1520100, 130.4, 70.1758, 80.9573, 179.843, 63, 80, 117, 193, 315, 108.2, 78.7551, 52.7127, 163.687, 40, 56, 85.5, 186, 315, 1668, 10.8444, 1660.36, 1675.64, 1650, 1660, 1671.5, 1676, 1690, 837.3, 7.73369, 831.851, 842.749, 826, 831, 838.5, 846, 853, 1.88503e+07, 3055.87, 1.88481e+07, 1.88525e+07, 18844295, 18847279, 18852289, 18852641, 18854516, 9.42709e+06, 2095.97, 9.42561e+06, 9.42857e+06, 9424228, 9425298, 9427694, 9429440, 9431240, 20193240, 3045.77, 2.01911e+07, 2.01954e+07, 20188195, 20190519, 2.01947e+07, 20196675, 20197144, 1.00986e+07, 2353.56, 1.00969e+07, 1.01003e+07, 10095797, 10096823, 10098825, 10102182, 10102347
Tue Aug 29 12:04:28 EDT 2017, 2, 5, 58302.7, 9866.18, 51351.4, 65254, 45504.38, 46488.12, 66057.4, 67047.57, 67626.15, 2.85512e+06, 330335, 2.62238e+06, 3.08786e+06, 1977020, 2678856, 3051996, 3071020, 3097844, 705.6, 284.581, 505.097, 906.103, 354, 441, 715, 1097, 1211, 567, 274.318, 373.728, 760.272, 222, 345, 553, 934, 1099, 4220.2, 39.0533, 4192.68, 4247.72, 4182, 4188, 4218.5, 4281, 4300, 2128.3, 38.4631, 2101.2, 2155.4, 2094, 2095, 2124.5, 2189, 2209, 4.1789e+07, 3616.16, 4.17865e+07, 4.17915e+07, 41779106, 41788395, 4.17906e+07, 41791561, 41792267, 20897780, 2649.69, 2.08959e+07, 2.08996e+07, 20892651, 20896342, 20898442, 20901301, 20902097, 5.04499e+07, 4686.11, 5.04466e+07, 5.04532e+07, 50438721, 50448285, 50451860, 50454160, 50455438, 2.52305e+07, 3350.34, 2.52281e+07, 2.52329e+07, 25224120, 25227651, 2.52318e+07, 25233756, 25235629
Tue Aug 29 14:05:57 EDT 2017, 4, 1, 489.983, 4.68724, 486.681, 493.285, 483.74, 487.55, 489.685, 494.45, 500.45, 501589, 1298.5, 500674, 502504, 500160, 500416, 501762, 503368, 503588, 181.6, 34.9291, 156.991, 206.209, 125, 152, 200.5, 211, 245, 70.2, 16.934, 58.2691, 82.1309, 40, 60, 74, 91, 99, 1659.3, 8.03803, 1653.64, 1664.96, 1648, 1651, 1661.5, 1669, 1672, 420.8, 4.74974, 417.454, 424.146, 416, 416, 422, 426, 431, 9.8105e+06, 1490.13, 9.80945e+06, 9.81155e+06, 9808043, 9809087, 9811154, 9811995, 9812838, 2.45431e+06, 737.145, 2.45379e+06, 2.45483e+06, 2452763, 2453881, 2.45458e+06, 2455210, 2455378, 1.01216e+07, 1514.72, 1.01205e+07, 1.01227e+07, 10119205, 10119841, 1.01225e+07, 10122870, 10124023, 2.53216e+06, 808.461, 2.53159e+06, 2.53273e+06, 2530695, 2531647, 2.5325e+06, 2532987, 2533229
Tue Aug 29 14:40:52 EDT 2017, 4, 2, 2015.29, 47.0448, 1982.14, 2048.44, 1967.69, 1975.21, 2024.43, 2075.34, 2080.73, 766992, 4369.43, 763913, 770071, 759304, 763960, 767498, 772204, 774556, 923.8, 223.121, 766.599, 1081, 490, 903, 996.5, 1154, 1162, 583.5, 216.168, 431.198, 735.802, 250, 384, 715, 802, 843, 3379.8, 30.036, 3358.64, 3400.96, 3342, 3354, 3386, 3422, 3436, 871.4, 20.8864, 856.684, 886.116, 846, 851, 874.5, 892, 914, 1.8851e+07, 3129.67, 1.88488e+07, 1.88532e+07, 18846759, 18848364, 18851856, 18854902, 18855253, 4.71484e+06, 1151.46, 4.71403e+06, 4.71565e+06, 4713271, 4713939, 4715067, 4715582, 4717519, 2.01907e+07, 2679.53, 2.01888e+07, 2.01926e+07, 20187456, 20189441, 2.019e+07, 20195440, 20195811, 5050360, 1195.24, 5.04952e+06, 5.0512e+06, 5048237, 5049792, 5050396, 5051348, 5053059
Tue Aug 29 18:09:52 EDT 2017, 4, 5, 12442.6, 55.5972, 12403.4, 12481.8, 12360.37, 12373.27, 12477.5, 12498.90, 12516.22, 1.52318e+06, 6904.64, 1.51832e+06, 1.52804e+06, 1508744, 1519188, 1526698, 1528448, 1532824, 3723.4, 504.795, 3367.74, 4079.06, 3217, 3242, 3708, 4483, 4747, 2864, 195.539, 2726.23, 3001.77, 2627, 2650, 2871, 3029, 3284, 8666.5, 68.6181, 8618.15, 8714.85, 8547, 8613, 8694, 8733, 8781, 2356.5, 46.265, 2323.9, 2389.1, 2279, 2318, 2377, 2406, 2423, 4.17999e+07, 5203.88, 4.17962e+07, 4.18036e+07, 41794183, 41795853, 41799473, 41808459, 41810735, 10457367, 2757.13, 1.04554e+07, 1.04593e+07, 10453257, 10454474, 1.04578e+07, 10460692, 10462574, 5.04483e+07, 3075.75, 5.04461e+07, 5.04505e+07, 50443702, 50445887, 5.04481e+07, 50450732, 50455437, 1.26161e+07, 1887.6, 1.26148e+07, 1.26174e+07, 12613397, 12613826, 12616415, 12618028, 12619551
Tue Aug 29 18:49:35 EDT 2017, 8, 1, 131.179, 0.740263, 130.657, 131.701, 130.10, 130.70, 131.3, 131.70, 132.81, 258797, 320.41, 258571, 259023, 258360, 258504, 258848, 259052, 259512, 358.7, 35.245, 333.868, 383.532, 326, 329, 354.5, 415, 428, 114.2, 20.2228, 99.9519, 128.448, 78, 103, 120.5, 137, 148, 3322, 10.469, 3314.62, 3329.38, 3300, 3316, 3326.5, 3334, 3337, 422, 1.78885, 420.74, 423.26, 419, 421, 422.5, 423, 426, 9.80933e+06, 1232.5, 9.80846e+06, 9.8102e+06, 9807698, 9808015, 9.80973e+06, 9810351, 9811722, 1.22753e+06, 305.282, 1.22731e+06, 1.22775e+06, 1227158, 1227325, 1227528, 1227752, 1228311, 1.01202e+07, 1468.18, 1.01192e+07, 1.01212e+07, 10118418, 10118852, 1.01202e+07, 10122274, 10123292, 1.26658e+06, 350.946, 1.26633e+06, 1.26683e+06, 1265910, 1266391, 1266640, 1266800, 1267326
Tue Aug 29 19:06:50 EDT 2017, 8, 2, 480.063, 9.97621, 473.034, 487.092, 469.30, 471.14, 478.62, 493.94, 497.66, 394831, 1460.25, 393802, 395860, 392912, 393708, 394568, 396800, 397680, 1951.3, 148.323, 1846.8, 2055.8, 1726, 1857, 1982.5, 2124, 2236, 557.2, 108.551, 480.72, 633.68, 414, 439, 577.5, 685, 760, 6737.9, 31.5926, 6715.64, 6760.16, 6673, 6722, 6740, 6775, 6790, 859.1, 10.4159, 851.761, 866.439, 845, 852, 861, 864, 884, 1.8854e+07, 2316.94, 1.88524e+07, 1.88556e+07, 18850024, 18852154, 18854632, 18857082, 18857419, 2.35851e+06, 660.452, 2.35804e+06, 2.35898e+06, 2357415, 2358044, 2.35846e+06, 2359357, 2359737, 20192602, 2336.69, 2.0191e+07, 2.01942e+07, 20189020, 20190280, 20193773, 20194008, 20196932, 2525865, 461.557, 2.52554e+06, 2.52619e+06, 2525275, 2525424, 2.52604e+06, 2526407, 2526723
Tue Aug 29 20:52:03 EDT 2017, 8, 5, 3101.8, 66.4203, 3055, 3148.6, 3050.00, 3056.87, 3063.93, 3201.98, 3210.92, 795133, 6488.5, 790561, 799705, 786536, 790184, 797272, 803204, 807196, 6580.6, 1334.62, 5640.29, 7520.91, 4445, 5809, 6744, 8447, 9252, 2161, 759.489, 1625.9, 2696.1, 1061, 1600, 2291, 3221, 3437, 17191.9, 209.214, 17044.5, 17339.3, 16887, 17049, 17182.5, 17427, 17637, 2285.1, 103.372, 2212.27, 2357.93, 2148, 2225, 2286, 2410, 2486, 4.18082e+07, 12174.6, 4.17996e+07, 4.18168e+07, 41793304, 41795226, 41810722, 41820707, 41834304, 5.23312e+06, 4393.39, 5.23002e+06, 5.23622e+06, 5227605, 5229314, 5.23339e+06, 5239428, 5239623, 5.04504e+07, 3733.44, 5.04478e+07, 5.0453e+07, 50445089, 50446734, 50451189, 50453512, 50458490, 6.30928e+06, 1096.44, 6.30851e+06, 6.31005e+06, 6307518, 6308629, 6309078, 6310906, 6311518
Tue Aug 29 21:03:53 EDT 2017, 16, 1, 41.695, 1.11244, 40.9112, 42.4788, 40.36, 40.95, 41.81, 42.82, 44.02, 137875, 301.442, 137663, 138087, 137456, 137656, 137916, 138148, 138536, 958, 88.6668, 895.529, 1020.47, 810, 907, 973, 1074, 1090, 217, 24.7871, 199.536, 234.464, 183, 198, 224, 233, 275, 6629.3, 14.8664, 6618.83, 6639.77, 6601, 6620, 6634, 6642, 6656, 426, 3.49285, 423.539, 428.461, 422, 423, 426, 428, 435, 9.81239e+06, 1072.05, 9.81163e+06, 9.81315e+06, 9810477, 9811420, 9.81282e+06, 9813531, 9813996, 614603, 161.854, 614489, 614717, 614282, 614503, 614655, 614746, 614911, 1.01218e+07, 1212.35, 1.01209e+07, 1.01227e+07, 10119875, 10120199, 1.01224e+07, 10123004, 10123145, 634141, 391.266, 633865, 634417, 633499, 633854, 634242, 634591, 634689
