# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Mon Sep 18 00:24:48 EDT 2017, 2, 25, 194.036, 0.633785, 193.589, 194.483, 192.57, 193.82, 194.255, 194.45, 195.05, 607332, 2079.58, 605867, 608797, 604152, 605328, 608432, 609924, 609940, 7833.3, 791.44, 7275.69, 8390.91, 6839, 7003, 8165.5, 8921, 8951, 5991.4, 1265.93, 5099.48, 6883.32, 3667, 4947, 6472.5, 7123, 8233, 11681.7, 221.951, 11525.3, 11838.1, 11400, 11474, 11726, 11965, 12007, 6273.5, 295.965, 6064.98, 6482.02, 5759, 6026, 6386.5, 6570, 6799, 4.97717e+06, 6286.65, 4.97274e+06, 4.9816e+06, 4967713, 4971717, 4.97921e+06, 4985461, 4985501, 2.49906e+06, 8166.94, 2.49331e+06, 2.50481e+06, 2486670, 2492207, 2502431, 2508955, 2512312, 1.13539e+07, 2532.12, 1.13521e+07, 1.13557e+07, 11350272, 11351781, 1.13539e+07, 11357806, 11358189, 5.67777e+06, 1672.65, 5.67659e+06, 5.67895e+06, 5675360, 5676562, 5.67788e+06, 5680351, 5680933
Mon Sep 18 00:36:58 EDT 2017, 2, 50, 678.392, 2.55048, 676.595, 680.189, 675.37, 677.13, 678.36, 681.11, 684.06, 1.19639e+06, 7744, 1.19093e+06, 1.20185e+06, 1188700, 1189640, 1196876, 1206420, 1212624, 31227.5, 2558.98, 29424.6, 33030.4, 27955, 28830, 31588, 34757, 35508, 19164.3, 3892.92, 16421.5, 21907.1, 14958, 15580, 19757.5, 24668, 26450, 28759.6, 764.387, 28221, 29298.2, 27863, 27977, 28925, 29794, 30054, 15347.7, 1119.84, 14558.7, 16136.7, 14087, 14402, 15473, 16930, 17503, 6.20374e+06, 15870.1, 6.19256e+06, 6.21492e+06, 6185119, 6187941, 6207340, 6221581, 6232812, 3.12201e+06, 22015.7, 3.1065e+06, 3.13752e+06, 3100074, 3102922, 3.12344e+06, 3153062, 3167709, 2.21792e+07, 7642.75, 2.21738e+07, 2.21846e+07, 22168779, 22173397, 2.2179e+07, 22189883, 22192460, 1.10921e+07, 4808.32, 1.10887e+07, 1.10955e+07, 11085283, 11088803, 11092201, 11098082, 11101567
Mon Sep 18 01:02:02 EDT 2017, 2, 75, 1440.96, 44.4747, 1409.63, 1472.29, 1338.97, 1407.70, 1468.69, 1479.52, 1482.18, 1.79341e+06, 11466.6, 1.78533e+06, 1.80149e+06, 1777628, 1782036, 1794626, 1809940, 1813548, 69533.1, 3807.95, 66850.2, 72216, 63336, 65124, 71692.5, 72284, 74869, 44282.3, 4188.46, 41331.3, 47233.3, 37003, 42364, 44698, 49241, 52535, 50596.9, 1037.64, 49865.8, 51328, 49002, 49225, 51105, 51661, 51725, 28012.5, 1290.23, 27103.5, 28921.5, 25691, 27624, 28304, 29590, 30232, 7037998, 23926.5, 7.02114e+06, 7.05486e+06, 7002444, 7009932, 7.04982e+06, 7059784, 7077054, 3.56915e+06, 22478.6, 3.55331e+06, 3.58499e+06, 3536413, 3550945, 3.56819e+06, 3602345, 3610348, 32318503, 16011.9, 3.23072e+07, 3.23298e+07, 32283203, 32312114, 3.23212e+07, 32336312, 32340186, 1.61663e+07, 8575.3, 1.61603e+07, 1.61723e+07, 16152867, 16157615, 16170293, 16178393, 16178593
Mon Sep 18 01:48:32 EDT 2017, 2, 100, 2486.9, 191.621, 2351.89, 2621.91, 2287.15, 2296.72, 2623.81, 2697.51, 2780.95, 2.0874e+06, 264059, 1.90136e+06, 2.27344e+06, 1581768, 1917604, 2277620, 2292052, 2309216, 64682.4, 13120.8, 55438.1, 73926.7, 40091, 61034, 65833.5, 77158, 91379, 40350.8, 14675.2, 30011.3, 50690.3, 24014, 33035, 40028.5, 43414, 81448, 60127.7, 4113.81, 57229.3, 63026.1, 52524, 58688, 59898, 63621, 69227, 32551, 4685.63, 29249.7, 35852.3, 27228, 30259, 32009.5, 33312, 45762, 7.48694e+06, 66036.4, 7.44041e+06, 7.53347e+06, 7360419, 7475328, 7.49804e+06, 7549174, 7613723, 3.77786e+06, 67584.2, 3.73024e+06, 3.82548e+06, 3683180, 3750722, 3.77718e+06, 3789812, 3961251, 4.20501e+07, 39269.1, 4.20224e+07, 4.20778e+07, 41979136, 42023346, 42060367, 42099014, 42102212, 2.10301e+07, 18542.2, 2.1017e+07, 2.10432e+07, 20991586, 21020202, 21035408, 21053899, 21055651
Mon Sep 18 02:57:27 EDT 2017, 2, 125, 3712.96, 284.004, 3512.86, 3913.06, 3269.50, 3508.95, 3847.97, 4049.68, 4077.90, 2.29968e+06, 321854, 2.07292e+06, 2.52644e+06, 1874100, 2020508, 2333106, 2739500, 2739864, 45651.1, 13884.4, 35868.8, 55433.4, 27525, 33714, 50127.5, 60372, 71886, 34199.4, 13265.1, 24853.4, 43545.4, 18532, 21091, 38281, 53005, 53608, 65988.4, 4837.29, 62580.3, 69396.5, 59672, 61316, 68175, 70862, 74896, 36851.1, 4747.62, 33506.1, 40196.1, 31225, 32493, 38913, 43976, 44089, 7.78021e+06, 60102.9, 7.73786e+06, 7.82256e+06, 7704970, 7728470, 7.7895e+06, 7861218, 7899058, 3.9298e+06, 50848.1, 3.89397e+06, 3.96563e+06, 3866562, 3878203, 3.94574e+06, 3997057, 4006668, 5.1468e+07, 45225.8, 5.14361e+07, 5.14999e+07, 51399367, 51431459, 51478619, 51526071, 51551995, 2.57556e+07, 30928.9, 2.57338e+07, 2.57774e+07, 25710472, 25723499, 25762750, 25795213, 25802148
Tue Sep 19 12:16:25 EDT 2017, 4, 25, 53.436, 1.22828, 52.5706, 54.3014, 51.47, 51.78, 54.23, 54.27, 54.54, 306257, 1607.11, 305125, 307389, 303864, 305112, 306532, 307296, 310108, 14685.9, 2015.18, 13266.1, 16105.7, 11554, 13324, 15018.5, 15508, 19564, 5907.7, 1156.79, 5092.68, 6722.72, 3867, 5051, 6416.5, 6829, 8138, 23071.6, 585.712, 22658.9, 23484.3, 22172, 22746, 23151, 23327, 24499, 6177.1, 265.543, 5990.01, 6364.19, 5803, 5946, 6219, 6433, 6749, 5.0015e+06, 14988, 4.99094e+06, 5.01206e+06, 4979552, 4991968, 5.0019e+06, 5009443, 5039044, 1259574, 6543.58, 1.25496e+06, 1.26418e+06, 1250471, 1253504, 1.26068e+06, 1264453, 1274508, 11352896, 1702.01, 1.13517e+07, 1.13541e+07, 11350423, 11351455, 1.13535e+07, 11354890, 11355827, 2.83978e+06, 987.552, 2.83908e+06, 2.84048e+06, 2838589, 2839223, 2.83966e+06, 2840623, 2842321
Tue Sep 19 12:19:28 EDT 2017, 4, 50, 171.059, 3.65638, 168.483, 173.635, 163.47, 172.23, 172.96, 173.12, 173.40, 598610, 2471.65, 596869, 600351, 592304, 598108, 599428, 601284, 601448, 35666.9, 1916.83, 34316.4, 37017.4, 32157, 34423, 35560.5, 38038, 38885, 12733.8, 1437.53, 11721, 13746.6, 9007, 12623, 13182, 13954, 14492, 49442.2, 577.097, 49035.6, 49848.8, 48375, 49138, 49422, 50244, 50307, 13371.7, 345.277, 13128.4, 13615, 12454, 13296, 13449.5, 13686, 13734, 6.18385e+06, 10664, 6.17634e+06, 6.19136e+06, 6163632, 6176668, 6184300, 6198854, 6200000, 1.56314e+06, 5982.27, 1.55893e+06, 1.56735e+06, 1546984, 1561735, 1.56557e+06, 1568608, 1569056, 22178783, 7266.51, 2.21737e+07, 2.21839e+07, 22167357, 22169820, 2.21826e+07, 22186501, 22187864, 5.5501e+06, 2534.54, 5.54831e+06, 5.55189e+06, 5545874, 5547972, 5.55067e+06, 5553265, 5554233
Tue Sep 19 12:25:16 EDT 2017, 4, 75, 328.669, 7.71492, 323.233, 334.105, 322.27, 322.93, 325.86, 340.35, 340.37, 889488, 5279.73, 885768, 893208, 883564, 884952, 890720, 894584, 901268, 80301.5, 4042.6, 77453.3, 83149.7, 75922, 77769, 79246.5, 85027, 89568, 24320.6, 2559.9, 22517, 26124.2, 20801, 22047, 24914.5, 27920, 28117, 85007.7, 1184.87, 84172.9, 85842.5, 83510, 84249, 84827, 85963, 87904, 22578.7, 743.092, 22055.2, 23102.2, 21639, 21895, 22927.5, 23257, 23990, 7.01102e+06, 23218.8, 6.99466e+06, 7.02738e+06, 6987747, 6997448, 7004711, 7036467, 7067206, 1.77129e+06, 10873.7, 1.76363e+06, 1.77895e+06, 1756545, 1762664, 1.77537e+06, 1781051, 1794037, 3.23284e+07, 16243.3, 3.2317e+07, 3.23398e+07, 32299349, 32322580, 3.23271e+07, 32351983, 32353043, 8.09145e+06, 8753.9, 8.08528e+06, 8.09762e+06, 8079513, 8087241, 8.09036e+06, 8098209, 8113728
Tue Sep 19 12:34:51 EDT 2017, 4, 100, 526.776, 12.6064, 517.894, 535.658, 515.94, 517.46, 520.34, 546.33, 546.62, 1.18482e+06, 3362.87, 1.18245e+06, 1.18719e+06, 1178912, 1181972, 1185664, 1188320, 1191168, 141884, 3765, 139231, 144537, 135644, 139054, 144694, 145486, 145588, 39720.9, 1585.78, 38603.6, 40838.2, 36882, 38553, 40323.5, 41611, 42018, 127290, 1405.08, 126300, 128280, 125007, 126434, 128336, 128631, 128817, 33122, 515.784, 32758.6, 33485.4, 32127, 32960, 33264, 33760, 33916, 7.76735e+06, 17508.8, 7.75501e+06, 7.77969e+06, 7737410, 7750769, 7.78065e+06, 7784979, 7786506, 1.96179e+06, 7021.48, 1.95684e+06, 1.96674e+06, 1946002, 1958887, 1962796, 1970854, 1972063, 4.20395e+07, 25440.8, 4.20216e+07, 4.20574e+07, 42006614, 42022927, 4.20445e+07, 42076521, 42088571, 1.05277e+07, 13319.2, 1.05183e+07, 1.05371e+07, 10512002, 10518541, 1.05273e+07, 10550317, 10554166
Tue Sep 19 12:48:27 EDT 2017, 4, 125, 761.103, 16.3111, 749.611, 772.595, 743.85, 744.80, 768.535, 781.12, 781.40, 1.4663e+06, 7163.59, 1.46125e+06, 1.47135e+06, 1451652, 1460620, 1469936, 1472164, 1477424, 180641, 6033.71, 176390, 184892, 173276, 173675, 182094, 185735, 192968, 52040.3, 2300.54, 50419.4, 53661.2, 47334, 50612, 52861.5, 53262, 56617, 162298, 2134.62, 160794, 163802, 159360, 160188, 162664, 164053, 166949, 42770.6, 729.476, 42256.6, 43284.6, 41234, 42498, 43088, 43477, 43713, 8.30912e+06, 25603, 8.29108e+06, 8.32716e+06, 8277244, 8279059, 8316837, 8331898, 8357927, 2.10435e+06, 9108.7, 2.09793e+06, 2.11077e+06, 2088339, 2096844, 2108610, 2110423, 2121718, 5.14767e+07, 39833.6, 5.14486e+07, 5.15048e+07, 51403346, 51445627, 51499999, 51525086, 51525524, 12886434, 15892.8, 1.28752e+07, 1.28976e+07, 12859281, 12873251, 1.28897e+07, 12904946, 12914152
