# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, agentBktsMax_mean, agentBktsMax_sd, agentBktsMax_ci, agentBktsMax_ci, agentBktsMax_min, agentBktsMax_box_q1, agentBktsMax_median, agentBktsMax_box_q2, agentBktsMax_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, schedBktSzMax_mean, schedBktSzMax_sd, schedBktSzMax_ci, schedBktSzMax_ci, schedBktSzMax_min, schedBktSzMax_box_q1, schedBktSzMax_median, schedBktSzMax_box_q2, schedBktSzMax_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapCompMax_mean, fixHeapCompMax_sd, fixHeapCompMax_ci, fixHeapCompMax_ci, fixHeapCompMax_min, fixHeapCompMax_box_q1, fixHeapCompMax_median, fixHeapCompMax_box_q2, fixHeapCompMax_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max, fixHeapOpsMax_mean, fixHeapOpsMax_sd, fixHeapOpsMax_ci, fixHeapOpsMax_ci, fixHeapOpsMax_min, fixHeapOpsMax_box_q1, fixHeapOpsMax_median, fixHeapOpsMax_box_q2, fixHeapOpsMax_max
Sun Jan 15 22:39:45 EST 2017, 2, 1, 0.000, 2, 203.681, 7.74409, 198.225, 209.137, 187.82, 203.36, 207.59, 210.29, 210.75, 305872, 22870.5, 289758, 321986, 278052, 290076, 308600, 342488, 343012, 102908, 155454, -6617.96, 212434, 779, 5492, 43317.5, 390265, 427364, 102890, 155464, -6643.01, 212423, 779, 5342, 43302, 390265, 427364, 104145, 33510.9, 80534.7, 127755, 79381, 80915, 94049.5, 164576, 172638, 64350.3, 33126, 41011.2, 87689.4, 39795, 41288, 54456.5, 124100, 131938, 5.79024e+07, 294493, 5.76949e+07, 5.81099e+07, 57721087, 57726237, 5.77793e+07, 58444268, 58525577, 2.90414e+07, 290286, 2.88369e+07, 2.92459e+07, 28863077, 28863935, 28920834, 29578208, 29652935, 7.85206e+07, 23960.7, 7.85037e+07, 7.85375e+07, 78508227, 78508276, 7.8509e+07, 78561213, 78574985, 3.92648e+07, 14980.5, 3.92542e+07, 3.92754e+07, 39257001, 39257112, 3.92575e+07, 39292838, 39296611, 2.7546, 0.00689313, 2.74974, 2.75946, 2.75055, 2.75066, 2.75157, 2.7668, 2.76972, 1.37848, 0.0043651, 1.3754, 1.38156, 1.37547, 1.37563, 1.37691, 1.38581, 1.38823, 2.72409, 0.000131761, 2.724, 2.72418, 2.72382, 2.72404, 2.72412, 2.72416, 2.72434, 1.36212, 9.72677e-05, 1.36205, 1.36219, 1.36205, 1.36207, 1.36207, 1.36229, 1.36233, 24.4283, 0.0996447, 24.3581, 24.4985, 24.3585, 24.3627, 24.3941, 24.6105, 24.6343, 12.2523, 0.0996478, 12.1821, 12.3225, 12.1828, 12.1863, 12.2182, 12.4344, 12.458, 8.18657e+07, 619418, 8.14293e+07, 8.23021e+07, 81466133, 81486218, 81621761, 83009400, 83164630, 4.1137e+07, 614450, 4.07041e+07, 4.15699e+07, 40739977, 40750972, 40897322, 42275505, 42421245
Sun Jan 15 22:46:34 EST 2017, 2, 10, 0.000, 2, 373.177, 12.8029, 364.157, 382.197, 341.98, 377.09, 379.685, 380.7, 381.51, 339904, 22012.9, 324395, 355413, 317976, 320976, 333966, 373096, 380068, 142688, 195081, 5242.62, 280133, 3084, 16008, 59673.5, 424516, 603238, 136497, 194390, -461.536, 273456, 1708, 16008, 59673.5, 424516, 600068, 244369, 59873.2, 202185, 286553, 200904, 204634, 217492, 333020, 381944, 142348, 59414, 100488, 184208, 100509, 104643, 117500, 233029, 281022, 9.94116e+07, 326655, 9.91815e+07, 9.96417e+07, 99201755, 99214185, 9.92581e+07, 99861650, 100207193, 4.9806e+07, 327092, 4.95755e+07, 5.00365e+07, 49603431, 49617700, 4.96565e+07, 50264767, 50607136, 1.98258e+08, 55.7853, 1.98258e+08, 1.98258e+08, 198258118, 198258206, 1.98258e+08, 198258291, 198258329, 9.91293e+07, 29.8329, 9.91293e+07, 9.91293e+07, 99129233, 99129254, 9.91293e+07, 99129314, 99129332, 2.00426, 0.00414103, 2.00134, 2.00718, 2.00138, 2.00162, 2.00244, 2.01006, 2.01421, 1.00298, 0.00264653, 1.00112, 1.00484, 1.0007, 1.00123, 1.00216, 1.0057, 1.00981, 3.99954, 0.0021938, 3.99799, 4.00109, 3.99442, 3.99917, 4.00066, 4.00112, 4.00116, 2.00052, 0.000275501, 2.00033, 2.00071, 1.99974, 2.00051, 2.00067, 2.0007, 2.00072, 28.1408, 0.0710947, 28.0907, 28.1909, 28.0874, 28.0963, 28.1091, 28.2357, 28.3132, 14.0986, 0.0711631, 14.0485, 14.1487, 14.0444, 14.0574, 14.0721, 14.2012, 14.2711, 1.35187e+08, 662273, 1.3472e+08, 1.35654e+08, 134720312, 134765653, 134898140, 136125545, 136772794, 6.78018e+07, 663802, 6.73341e+07, 6.82695e+07, 67360190, 67403811, 6.75112e+07, 68757931, 69406759
Sun Jan 15 22:51:42 EST 2017, 2, 1, 0.250, 2, 195.431, 6.57088, 190.801, 200.061, 184.24, 189.24, 199.31, 201.57, 202.31, 283909, 17268.2, 271743, 296075, 261664, 265992, 290378, 305668, 307240, 71884.5, 61743.2, 28383, 115386, 4902, 14158, 87622.5, 139966, 199017, 71637, 61944.3, 27993.8, 115280, 2827, 14158, 87622.5, 139963, 199017, 77244.6, 14442.6, 67069, 87420.2, 60509, 62962, 84089, 91227, 105774, 47454.6, 14449.1, 37274.4, 57634.8, 30321, 33263, 54304, 61431, 75923, 57744902, 125986, 5.76561e+07, 5.78337e+07, 57617671, 57629919, 5.77631e+07, 57892690, 58005746, 2.89389e+07, 124993, 2.88508e+07, 2.9027e+07, 28810453, 28825552, 28958322, 29083400, 29199528, 7.85094e+07, 3747.29, 7.85068e+07, 7.8512e+07, 78506413, 78506563, 78509305, 78513054, 78518593, 3.92581e+07, 2339.65, 3.92565e+07, 3.92597e+07, 39256624, 39256658, 39257904, 39258528, 39264768, 2.64027, 0.00277869, 2.63831, 2.64223, 2.63737, 2.6377, 2.64089, 2.64328, 2.64613, 1.32074, 0.00141115, 1.31975, 1.32173, 1.31878, 1.31954, 1.32114, 1.3222, 1.32368, 2.729, 0.00017437, 2.72888, 2.72912, 2.72872, 2.72885, 2.72911, 2.72919, 2.72922, 1.36462, 2.33238e-05, 1.3646, 1.36464, 1.36457, 1.3646, 1.36462, 1.36464, 1.36465, 23.2496, 0.0520078, 23.213, 23.2862, 23.1925, 23.199, 23.2704, 23.3, 23.3563, 11.6567, 0.0522403, 11.6199, 11.6935, 11.5983, 11.6062, 11.6777, 11.7086, 11.7643, 8.40132e+07, 266163, 8.38257e+07, 8.42007e+07, 83731936, 83768292, 8.40638e+07, 84319480, 84562912, 4.21585e+07, 265021, 4.19718e+07, 4.23452e+07, 41867014, 41917996, 42211739, 42458241, 42708810
Sun Jan 15 22:58:17 EST 2017, 2, 10, 0.250, 2, 334.669, 16.0198, 323.382, 345.956, 313.35, 317.52, 344.865, 352.85, 355.07, 320323, 31160.3, 298369, 342277, 278800, 281608, 341300, 352044, 353240, 656957, 534160, 280612, 1.0333e+06, 813, 21911, 983706, 1243722, 1257658, 656359, 533683, 280350, 1.03237e+06, 550, 21909, 983656, 1243722, 1256050, 292400, 110806, 214331, 370469, 150338, 155846, 370014, 406125, 413743, 217245, 110712, 139242, 295248, 75208, 80843, 294561, 330784, 338740, 9.552e+07, 987029, 9.48246e+07, 9.62154e+07, 94331559, 94352478, 9.61026e+07, 96603990, 96649833, 4.83541e+07, 986070, 4.76594e+07, 4.90488e+07, 47166700, 47187908, 4.8936e+07, 49439237, 49481775, 1.98258e+08, 154.35, 1.98258e+08, 1.98258e+08, 198257941, 198258037, 1.98258e+08, 198258375, 198258383, 99129244, 213.827, 9.91291e+07, 9.91294e+07, 99129037, 99129106, 99129223, 99129413, 99129801, 1.76012, 0.0129002, 1.75103, 1.76921, 1.74427, 1.7448, 1.76788, 1.77415, 1.77468, 0.884562, 0.0101196, 0.877432, 0.891692, 0.872144, 0.872806, 0.890446, 0.895477, 0.896348, 4.2009, 0.00551281, 4.19702, 4.20478, 4.19477, 4.19562, 4.20303, 4.20767, 4.20767, 2.10384, 3.72693e-05, 2.10381, 2.10387, 2.10378, 2.1038, 2.10387, 2.10387, 2.10388, 24.3092, 0.219063, 24.1549, 24.4635, 24.0359, 24.0457, 24.4525, 24.5387, 24.5572, 12.2927, 0.219766, 12.1379, 12.4475, 12.0182, 12.0281, 12.4391, 12.5268, 12.5386, 1.42075e+08, 2.09823e+06, 1.40597e+08, 1.43553e+08, 139537183, 139574509, 1.43321e+08, 144386736, 144454471, 7.23053e+07, 2.08898e+06, 7.08335e+07, 7.37771e+07, 69776961, 69831799, 7.3542e+07, 74608524, 74679318
Sun Jan 15 23:07:01 EST 2017, 2, 1, 0.000, 5, 344.492, 15.225, 333.765, 355.219, 317.13, 324.4, 353.245, 356.5, 357.93, 324946, 12093, 316426, 333466, 311480, 316504, 324928, 342728, 345308, 26473.9, 29430.6, 5738.41, 47209.4, 2663, 5159, 20060.5, 54310, 100140, 25669.4, 29546, 4852.6, 46486.2, 2655, 5159, 16149, 54310, 100140, 213038, 17928.3, 200407, 225669, 199249, 200525, 208332, 229362, 258782, 113575, 17841.8, 101004, 126146, 100283, 101557, 107296, 130299, 159205, 8.89491e+07, 40715.6, 8.89204e+07, 8.89778e+07, 88919467, 88921483, 88938377, 88982652, 89055746, 4.44895e+07, 40618.5, 4.44609e+07, 4.45181e+07, 44460801, 44463276, 4.44747e+07, 44524249, 44596230, 1.96389e+08, 8676.4, 1.96383e+08, 1.96395e+08, 196385180, 196385424, 1.96386e+08, 196390744, 196414682, 9.82e+07, 3671.33, 9.81974e+07, 9.82026e+07, 98198284, 98198404, 98198455, 98201449, 98210690, 5.90799, 0.000559589, 5.9076, 5.90838, 5.90762, 5.90769, 5.9078, 5.90835, 5.90955, 2.95476, 0.000761688, 2.95422, 2.9553, 2.95412, 2.95424, 2.9545, 2.95567, 2.95656, 4.42204, 6.00333e-05, 4.422, 4.42208, 4.42193, 4.42196, 4.42207, 4.42209, 4.4221, 2.21117, 9.68297e-05, 2.2111, 2.21124, 2.21097, 2.21115, 2.21119, 2.2112, 2.21139, 29.4193, 0.0125256, 29.4105, 29.4281, 29.409, 29.4108, 29.4173, 29.4309, 29.4512, 14.7156, 0.0126818, 14.7067, 14.7245, 14.7052, 14.7066, 14.7128, 14.7269, 14.7482, 9.97948e+07, 83478.9, 9.9736e+07, 9.98536e+07, 99728299, 99738496, 9.97762e+07, 99871155, 100006818, 4.99327e+07, 83832.7, 4.98736e+07, 4.99918e+07, 49871475, 49876739, 49902363, 50015478, 50145116
Sun Jan 15 23:17:56 EST 2017, 2, 10, 0.000, 5, 499.02, 26.5695, 480.3, 517.74, 458.26, 460.59, 515.88, 519.27, 526.25, 379304, 37932.3, 352579, 406029, 337508, 349928, 389878, 426696, 434488, 407245, 472711, 74193.9, 740296, 10863, 19218, 411542, 1036887, 1215920, 406144, 472030, 73572.7, 738715, 10137, 19218, 406400, 1036887, 1215920, 798096, 333110, 563402, 1.03279e+06, 511448, 520105, 809516, 1224979, 1364229, 546640, 332093, 312662, 780618, 260590, 270034, 553852, 974266, 1113421, 1.00539e+08, 764864, 1e+08, 1.01078e+08, 99910861, 99919216, 1.00534e+08, 101580568, 101845661, 50588214, 764180, 5.00498e+07, 5.11266e+07, 49960135, 49969218, 5.05784e+07, 51630568, 51895661, 495654367, 18101.9, 4.95642e+08, 4.95667e+08, 495640501, 495640508, 495651152, 495679734, 495688472, 247829666, 11511.7, 2.47822e+08, 2.47838e+08, 247820760, 247820764, 247827913, 247845471, 247850863, 2.64507, 0.0134308, 2.63561, 2.65453, 2.63392, 2.63415, 2.64498, 2.6633, 2.66814, 1.32475, 0.00906454, 1.31836, 1.33114, 1.3171, 1.3174, 1.32486, 1.33742, 1.3403, 9.91713, 0.0185504, 9.90406, 9.9302, 9.8861, 9.89892, 9.9317, 9.93234, 9.93242, 4.96641, 0.00014117, 4.96631, 4.96651, 4.96623, 4.96633, 4.96635, 4.96662, 4.96669, 29.2503, 0.152733, 29.1427, 29.3579, 29.1229, 29.1267, 29.2505, 29.4563, 29.5068, 14.6867, 0.151752, 14.5798, 14.7936, 14.5623, 14.5643, 14.6843, 14.8923, 14.9439, 1.2269e+08, 1.18903e+06, 1.21852e+08, 1.23528e+08, 121694107, 121730953, 1.22695e+08, 124324975, 124739417, 6.18734e+07, 1.19898e+06, 6.10287e+07, 6.27181e+07, 60853235, 60901861, 6.18972e+07, 63493912, 63919144
Sun Jan 15 23:25:04 EST 2017, 2, 1, 0.250, 5, 333.885, 15.2412, 323.147, 344.623, 310.7, 311.33, 343.28, 345.2, 350.34, 298852, 8394.67, 292937, 304767, 291612, 292544, 297228, 310212, 317712, 20081.7, 33427.3, -3469.69, 43633.1, 304, 717, 4780, 64658, 103241, 20048.7, 33444.1, -3514.52, 43611.9, 304, 604, 4679.5, 64658, 103241, 158060, 16720.9, 146279, 169841, 148587, 148742, 150370, 179836, 200210, 83733.5, 16545.1, 72076.6, 95390.4, 74343, 74470, 76094.5, 105490, 125306, 8.88056e+07, 51467.5, 8.87693e+07, 8.88419e+07, 88777440, 88777639, 88782337, 88867639, 88938551, 44416941, 50688.6, 4.43812e+07, 4.44527e+07, 44389582, 44389780, 4.43935e+07, 44480073, 44546808, 196391084, 13643.9, 1.96381e+08, 1.96401e+08, 196385635, 196385921, 196386025, 196391636, 196431696, 9.82014e+07, 5741.49, 9.81974e+07, 9.82054e+07, 98198937, 98199091, 98199204, 98202404, 98218345, 5.69703, 0.00121274, 5.69618, 5.69788, 5.69637, 5.69644, 5.6965, 5.69815, 5.70034, 2.84892, 0.000935708, 2.84826, 2.84958, 2.84824, 2.84832, 2.84855, 2.85016, 2.8512, 4.42905, 0.000107, 4.42897, 4.42913, 4.42883, 4.42902, 4.42906, 4.42907, 4.4293, 2.21464, 0.000107838, 2.21456, 2.21472, 2.21449, 2.21462, 2.21463, 2.21463, 2.21494, 28.3423, 0.0166608, 28.3306, 28.354, 28.3319, 28.3331, 28.336, 28.3621, 28.3852, 14.1758, 0.016331, 14.1643, 14.1873, 14.1664, 14.1668, 14.1688, 14.1947, 14.2183, 1.019e+08, 99081.5, 1.0183e+08, 1.0197e+08, 101839684, 101846870, 101855240, 102025149, 102152034, 50981270, 100118, 5.09107e+07, 5.10518e+07, 50922871, 50925528, 5.09354e+07, 51114581, 51231595
Sun Jan 15 23:33:54 EST 2017, 2, 10, 0.250, 5, 501.244, 23.2933, 484.833, 517.655, 453.75, 506.78, 514.25, 515.68, 516.58, 403114, 38190.5, 376207, 430021, 341248, 352048, 428262, 431280, 431384, 1.13535e+06, 929546, 480433, 1.79027e+06, 6539, 77960, 1.18142e+06, 2370126, 2501777, 1.12293e+06, 932543, 465902, 1.77996e+06, 6172, 77960, 1.176e+06, 2367862, 2501777, 981182, 477331, 644876, 1.31749e+06, 379925, 435724, 1016022, 1610751, 1663234, 782925, 478666, 445678, 1.12017e+06, 192135, 248206, 823711, 1419868, 1473952, 101716005, 1.52788e+06, 1.0064e+08, 1.02792e+08, 99893672, 99965128, 101784024, 103755637, 103974204, 51759443, 1.53121e+06, 5.06806e+07, 5.28383e+07, 49949786, 50021603, 51835120, 53809757, 54030749, 4.9571e+08, 76287.7, 4.95656e+08, 4.95764e+08, 495640525, 495640585, 495691731, 495817159, 495838271, 2.47863e+08, 46264, 2.4783e+08, 2.47896e+08, 247820920, 247820954, 247853477, 247926132, 247942344, 2.41701, 0.0260892, 2.39863, 2.43539, 2.38516, 2.38716, 2.4187, 2.45154, 2.4552, 1.21677, 0.0198829, 1.20276, 1.23078, 1.1927, 1.19416, 1.21782, 1.24316, 1.24606, 9.9016, 0.0259519, 9.88332, 9.91988, 9.86485, 9.86923, 9.90859, 9.93366, 9.93383, 4.96727, 0.000848314, 4.96667, 4.96787, 4.96571, 4.96696, 4.96725, 4.96839, 4.96851, 26.4748, 0.334053, 26.2394, 26.7102, 26.0522, 26.0686, 26.5099, 26.9027, 26.9466, 13.443, 0.334346, 13.2074, 13.6786, 13.029, 13.0405, 13.4823, 13.8739, 13.9158, 1.27898e+08, 2.57634e+06, 1.26083e+08, 1.29713e+08, 124790162, 125019239, 128003390, 131351514, 131755892, 6.54742e+07, 2.58418e+06, 6.36535e+07, 6.72949e+07, 62405099, 62621870, 65582059, 68947474, 69375116
Sun Jan 15 23:43:23 EST 2017, 2, 1, 0.000, 10, 501.786, 17.6125, 489.377, 514.195, 470.44, 495.68, 501.325, 514.25, 540.63, 432535, 57503.9, 392020, 473050, 369208, 373800, 461960, 503800, 504436, 227842, 238141, 60058.5, 395626, 169, 4445, 263326, 539073, 592869, 223102, 240421, 53712.1, 392492, 106, 4377, 261310, 539009, 592869, 2.28429e+06, 2.27287e+06, 682927, 3.88565e+06, 395910, 399874, 2511636, 5108608, 5605097, 1.81131e+06, 1.94253e+06, 442690, 3.17993e+06, 197977, 201915, 2.05842e+06, 4234535, 4625183, 9.90559e+07, 324036, 9.88276e+07, 9.92842e+07, 98748010, 98752453, 99109474, 99473402, 99553177, 4.96675e+07, 316002, 4.94449e+07, 4.98901e+07, 49374104, 49378352, 49727447, 50078237, 50149401, 4.07921e+08, 1.92057e+07, 3.9439e+08, 4.21452e+08, 392806891, 392807187, 4.04956e+08, 436090167, 439064196, 2.05065e+08, 1.09301e+07, 1.97364e+08, 2.12766e+08, 196409297, 196409384, 2.0366e+08, 221032322, 222348366, 9.24128, 0.624831, 8.80105, 9.68151, 8.73058, 8.73069, 9.32089, 10.0552, 10.0792, 4.71826, 0.430897, 4.41467, 5.02185, 4.36536, 4.36552, 4.80121, 5.24004, 5.27336, 8.36729, 0.503509, 8.01254, 8.72204, 7.96354, 7.96376, 8.33573, 9.06929, 9.14401, 4.25521, 0.337612, 4.01734, 4.49308, 3.98196, 3.98199, 4.25563, 4.71092, 4.75244, 31.0557, 0.0969526, 30.9874, 31.124, 30.9652, 30.9669, 31.0685, 31.1809, 31.2017, 15.5694, 0.0948901, 15.5025, 15.6363, 15.4828, 15.4839, 15.5837, 15.6929, 15.7119, 1.02169e+08, 511147, 1.01809e+08, 1.02529e+08, 101673061, 101682448, 1.02273e+08, 102837636, 102936997, 5.13325e+07, 527687, 5.09607e+07, 5.17043e+07, 50838188, 50848147, 51439471, 52024150, 52130553
Sun Jan 15 23:55:48 EST 2017, 2, 10, 0.000, 10, 647.976, 32.3831, 625.16, 670.792, 599.41, 606.92, 671, 677.13, 678.37, 481517, 48802.8, 447133, 515901, 433168, 442472, 481026, 562608, 562888, 308125, 467766, -21442.1, 637692, 2111, 13925, 90672.5, 1152736, 1284270, 299453, 467253, -29752.7, 628659, 1942, 12535, 71496.5, 1132513, 1284120, 1.52507e+06, 765898, 985452, 2.06469e+06, 1004968, 1028883, 1.18438e+06, 2917447, 3098310, 1.00459e+06, 760294, 468921, 1.54026e+06, 504526, 525809, 644060, 2365399, 2585997, 1.00376e+08, 754138, 9.98447e+07, 1.00907e+08, 99902111, 99913925, 100011733, 101732790, 101964454, 5.04175e+07, 753824, 4.98864e+07, 5.09486e+07, 49951942, 49962535, 5.00397e+07, 51762567, 52014304, 9.91451e+08, 322863, 9.91224e+08, 9.91678e+08, 991276523, 991276578, 991284254, 992006760, 992172297, 4.95742e+08, 191405, 4.95607e+08, 4.95877e+08, 495638721, 495638760, 495643173, 496071912, 496169485, 2.87886, 0.0158825, 2.86767, 2.89005, 2.86889, 2.86915, 2.87124, 2.90743, 2.91241, 1.44091, 0.010357, 1.43361, 1.44821, 1.43451, 1.43471, 1.43596, 1.45956, 1.46292, 19.8468, 0.0276976, 19.8273, 19.8663, 19.7911, 19.8393, 19.8638, 19.8647, 19.8652, 9.93366, 0.00269544, 9.93176, 9.93556, 9.93113, 9.93233, 9.93263, 9.93771, 9.93995, 29.3466, 0.162066, 29.2324, 29.4608, 29.2472, 29.2483, 29.2676, 29.6428, 29.6849, 14.7218, 0.161069, 14.6083, 14.8353, 14.6239, 14.6249, 14.6411, 15.0139, 15.0596, 1.20696e+08, 1.17159e+06, 1.19871e+08, 1.21521e+08, 119897931, 119964314, 1.20153e+08, 122807941, 123139980, 6.07177e+07, 1.18106e+06, 5.98856e+07, 6.15498e+07, 59950648, 59998322, 6.01437e+07, 62827982, 63206791
