# Timestamp, procs, --portables, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, rollbacksMax_mean, rollbacksMax_sd, rollbacksMax_ci, rollbacksMax_ci, rollbacksMax_min, rollbacksMax_box_q1, rollbacksMax_median, rollbacksMax_box_q2, rollbacksMax_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, mpiMsgsMax_mean, mpiMsgsMax_sd, mpiMsgsMax_ci, mpiMsgsMax_ci, mpiMsgsMax_min, mpiMsgsMax_box_q1, mpiMsgsMax_median, mpiMsgsMax_box_q2, mpiMsgsMax_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, schedulesMax_mean, schedulesMax_sd, schedulesMax_ci, schedulesMax_ci, schedulesMax_min, schedulesMax_box_q1, schedulesMax_median, schedulesMax_box_q2, schedulesMax_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, commEvtsMax_mean, commEvtsMax_sd, commEvtsMax_ci, commEvtsMax_ci, commEvtsMax_min, commEvtsMax_box_q1, commEvtsMax_median, commEvtsMax_box_q2, commEvtsMax_max
Fri Aug 11 14:12:32 EDT 2017, 2, 1, 13.879, 0.231795, 13.7157, 14.0423, 13.61, 13.63, 13.95, 14.23, 14.26, 119400, 2047.67, 117957, 120843, 116264, 117688, 119614, 121844, 123080, 2886.2, 1504.8, 1825.98, 3946.42, 403, 1634, 3152.5, 4697, 5435, 2884.4, 1507.78, 1822.09, 3946.71, 385, 1634, 3152.5, 4697, 5435, 2039.7, 134.233, 1945.13, 2134.27, 1834, 1931, 2077, 2173, 2283, 1129.4, 134.804, 1034.42, 1224.38, 923, 1017, 1173, 1261, 1374, 1.98783e+06, 16785, 1.976e+06, 1.99966e+06, 1963562, 1973311, 1.9895e+06, 2009435, 2018097, 1.00665e+06, 16779.1, 994828, 1.01847e+06, 982769, 992688, 1007638, 1027377, 1037331, 2.02204e+06, 479.676, 2.0217e+06, 2.02238e+06, 2021069, 2021642, 2.02229e+06, 2022541, 2022654, 1.01166e+06, 321.777, 1.01143e+06, 1.01189e+06, 1011191, 1011426, 1011671, 1012154, 1012181
Fri Aug 11 14:13:45 EDT 2017, 2, 2, 25.686, 0.602149, 25.2618, 26.1102, 24.72, 25.03, 25.965, 26.25, 26.55, 228405, 4081.7, 225529, 231281, 220988, 225936, 230038, 232780, 234268, 6530.7, 2975.6, 4434.22, 8627.18, 723, 4950, 7847, 9679, 10387, 6498, 3040.09, 4356.09, 8639.91, 400, 4950, 7847, 9679, 10387, 4459.6, 413.023, 4168.6, 4750.6, 3672, 4268, 4627.5, 4885, 5025, 2633.1, 414.527, 2341.04, 2925.16, 1838, 2438, 2803, 3051, 3204, 3.83513e+06, 34030.2, 3.81115e+06, 3.85911e+06, 3774216, 3816306, 3848744, 3872211, 3884805, 1.94815e+06, 33911.2, 1.92426e+06, 1.97204e+06, 1888075, 1927174, 1961997, 1984051, 1997379, 4.0458e+06, 1729.99, 4.04458e+06, 4.04702e+06, 4042855, 4044597, 4.04612e+06, 4047859, 4048951, 2.0235e+06, 904.048, 2.02286e+06, 2.02414e+06, 2022168, 2022630, 2.02398e+06, 2024499, 2025035
Fri Aug 11 14:15:41 EDT 2017, 2, 5, 81.998, 1.88, 80.6734, 83.3226, 78.16, 82.11, 82.975, 83.01, 83.67, 539683, 1838.09, 538388, 540978, 537040, 537840, 540638, 541924, 542024, 6786.6, 1419.82, 5786.26, 7786.94, 4726, 4936, 7661.5, 8481, 8551, 6541.5, 1554.18, 5446.49, 7636.51, 4371, 4448, 7489, 8312, 8550, 9958.1, 279.306, 9761.31, 10154.9, 9555, 9638, 10100, 10296, 10318, 5375.3, 289.571, 5171.28, 5579.32, 4969, 5032, 5526, 5718, 5742, 8.40638e+06, 13487.1, 8.39688e+06, 8.41588e+06, 8388787, 8392884, 8411297, 8422880, 8429534, 4.22208e+06, 13648, 4.21246e+06, 4.2317e+06, 4203715, 4207213, 4228501, 4239277, 4241457, 1.01144e+07, 2511.02, 1.01126e+07, 1.01162e+07, 10110516, 10111500, 1.01159e+07, 10116266, 10118081, 5.05929e+06, 2066.23, 5.05783e+06, 5.06075e+06, 5056346, 5057008, 5.06071e+06, 5061679, 5061841
Fri Aug 11 14:20:33 EDT 2017, 2, 10, 249.977, 4.97977, 246.468, 253.486, 240.04, 251.25, 252.315, 253.51, 253.82, 1.0654e+06, 5545.69, 1.06149e+06, 1.06931e+06, 1059040, 1061992, 1063482, 1073688, 1075740, 12292, 3539.97, 9797.89, 14786.1, 8090, 9934, 11132.5, 17692, 18788, 10988.4, 4295.39, 7962.06, 14014.7, 5725, 8351, 9935, 17323, 18518, 19895.8, 885.379, 19272, 20519.6, 18927, 19290, 19578.5, 21239, 21530, 10667.1, 940.996, 10004.1, 11330.1, 9616, 10082, 10354.5, 12083, 12385, 1.39285e+07, 35393.9, 1.39036e+07, 1.39534e+07, 13892279, 13906016, 1.39142e+07, 13984556, 13993848, 6.99108e+06, 37721.8, 6.9645e+06, 7.01766e+06, 6950417, 6969561, 6977718, 7049096, 7060521, 2.02229e+07, 2547.74, 2.02211e+07, 2.02247e+07, 20217332, 20221356, 2.02234e+07, 20225185, 20226816, 1.01135e+07, 2214.67, 1.01119e+07, 1.01151e+07, 10109150, 10112167, 1.01137e+07, 10116037, 10117004
Fri Aug 11 14:30:52 EDT 2017, 2, 15, 540.09, 25.9797, 521.786, 558.394, 488.32, 539.79, 553.41, 562.85, 563.14, 1572378, 45974.6, 1.53999e+06, 1.60477e+06, 1509380, 1520412, 1598728, 1618048, 1633704, 23982.8, 7253.53, 18872.3, 29093.3, 14901, 15555, 27601.5, 30592, 35864, 20228.6, 8565.65, 14193.6, 26263.6, 9224, 10914, 25430, 28843, 33837, 31051, 1581.07, 29937, 32165, 29046, 29257, 31825, 32755, 33473, 16966.7, 1752.47, 15732, 18201.4, 14760, 15105, 17735, 19071, 19577, 1.77183e+07, 90283.4, 1.76547e+07, 1.77819e+07, 17609869, 17617054, 1.77624e+07, 17810659, 17871953, 8.92666e+06, 93157.5, 8.86103e+06, 8.99229e+06, 8811002, 8823888, 8970461, 9014088, 9086774, 3.03261e+07, 4143.54, 3.03232e+07, 3.0329e+07, 30320603, 30322650, 3.03266e+07, 30329494, 30335075, 1.51666e+07, 2223.76, 1.5165e+07, 1.51682e+07, 15161785, 15165773, 1.51669e+07, 15169474, 15170062
Fri Aug 11 14:32:17 EDT 2017, 4, 1, 6.779, 0.553362, 6.38913, 7.16887, 6.34, 6.46, 6.61, 7.42, 8.18, 65085.6, 1570.81, 63978.9, 66192.3, 62480, 64044, 65558, 66996, 67328, 10593.5, 3060.31, 8437.34, 12749.7, 5703, 6983, 12024, 14130, 14435, 4008, 875.831, 3390.93, 4625.07, 2777, 3413, 4339, 5230, 5259, 4547.5, 286.493, 4345.65, 4749.35, 4135, 4190, 4710.5, 4858, 4914, 1307.6, 93.2654, 1241.89, 1373.31, 1162, 1220, 1354, 1421, 1431, 2.07798e+06, 41558.4, 2.0487e+06, 2.10726e+06, 2011978, 2031418, 2097209, 2124093, 2132394, 536205, 13381.6, 526777, 545633, 513907, 526901, 540810, 552951, 555494, 2.02233e+06, 866.354, 2.02172e+06, 2.02294e+06, 2021265, 2021595, 2022711, 2023386, 2023874, 507184, 609.919, 506754, 507614, 506308, 506772, 507189, 508019, 508362
Fri Aug 11 14:33:19 EDT 2017, 4, 2, 10.722, 0.270474, 10.5314, 10.9126, 10.34, 10.65, 10.675, 10.98, 11.28, 119316, 2615.57, 117473, 121159, 115444, 116560, 120886, 122472, 122860, 17610.8, 5235.82, 13921.9, 21299.7, 10167, 11764, 21845.5, 22808, 24418, 7171, 1388.23, 6192.91, 8149.09, 5052, 5564, 7868, 8604, 9361, 9575.2, 706.05, 9077.75, 10072.7, 8575, 8732, 10169, 10285, 10417, 2771, 194.892, 2633.69, 2908.31, 2464, 2597, 2872, 3000, 3060, 3.95419e+06, 70658.9, 3.90441e+06, 4.00397e+06, 3857016, 3875815, 4.01151e+06, 4022326, 4047489, 1.01586e+06, 22511.1, 1e+06, 1.03172e+06, 982613, 991863, 1028628, 1044731, 1046303, 4.045e+06, 1225.5, 4.04414e+06, 4.04586e+06, 4042380, 4044712, 4045248, 4046616, 4046626, 1.01314e+06, 934.851, 1.01248e+06, 1.0138e+06, 1011590, 1012481, 1.01343e+06, 1014176, 1014608
Fri Aug 11 14:34:40 EDT 2017, 4, 5, 29.658, 0.985686, 28.9635, 30.3525, 28.37, 28.67, 30.005, 30.79, 31.06, 282480, 4195.99, 279524, 285436, 277456, 278156, 284238, 285884, 290568, 32290.5, 8835.69, 26065.3, 38515.7, 19273, 20937, 36210, 42144, 45332, 13768.7, 1989.52, 12367, 15170.4, 11039, 12009, 14186.5, 16864, 17079, 23742.5, 1746.59, 22511.9, 24973.1, 21173, 21483, 24533.5, 25623, 26248, 6903, 404.718, 6617.85, 7188.15, 6280, 6511, 7022.5, 7498, 7547, 8.67671e+06, 114727, 8.59588e+06, 8.75754e+06, 8508093, 8530056, 8724925, 8806229, 8849998, 2.22721e+06, 32649.6, 2.20421e+06, 2.25021e+06, 2187970, 2193923, 2240985, 2252785, 2290696, 1.01152e+07, 1031.34, 1.01145e+07, 1.01159e+07, 10112568, 10114997, 1.01158e+07, 10115975, 10116304, 2.53109e+06, 1302.12, 2.53017e+06, 2.53201e+06, 2529379, 2530345, 2.53108e+06, 2531976, 2534395
Fri Aug 11 14:36:32 EDT 2017, 4, 10, 78.06, 2.04717, 76.6177, 79.5023, 75.81, 76.39, 78.515, 80.64, 80.90, 545605, 4265.17, 542600, 548610, 536956, 541488, 547666, 549468, 551612, 42949.3, 5602.21, 39002.2, 46896.4, 31845, 39417, 44488.5, 50429, 51012, 18517.7, 2592.26, 16691.3, 20344.1, 12190, 16622, 19795.5, 20565, 21294, 44304.1, 1420.9, 43303, 45305.2, 41483, 43259, 44721, 46076, 46415, 12529.3, 617.976, 12093.9, 12964.7, 11135, 12107, 12832, 13029, 13271, 14182791, 63348.4, 1.41382e+07, 1.42274e+07, 14054779, 14144770, 1.41985e+07, 14258336, 14277956, 3.61052e+06, 28878.2, 3.59017e+06, 3.63087e+06, 3550994, 3585923, 3.62232e+06, 3637408, 3653127, 2.02218e+07, 2286.23, 2.02202e+07, 2.02234e+07, 20217442, 20220122, 2.02219e+07, 20224490, 20226142, 5.06086e+06, 2225.01, 5.05929e+06, 5.06243e+06, 5056941, 5058840, 5.06172e+06, 5062595, 5064961
Fri Aug 11 14:39:45 EDT 2017, 4, 15, 147.091, 3.70649, 144.48, 149.702, 143.66, 143.98, 148.015, 151.77, 151.79, 801785, 4098.44, 798897, 804673, 793144, 799776, 803370, 804876, 808948, 45042.5, 5529.75, 41146.5, 48938.5, 32319, 42391, 47402, 48554, 54351, 19800.1, 2324.44, 18162.4, 21437.8, 14372, 19721, 20596, 22407, 22429, 62167.6, 1421.78, 61165.9, 63169.3, 58943, 61492, 62639, 63076, 64694, 17060.5, 611.472, 16629.7, 17491.3, 15566, 16930, 17264.5, 17468, 17958, 17797861, 53022.1, 1.77605e+07, 1.78352e+07, 17678643, 17772313, 17822669, 17831547, 17888925, 4.50029e+06, 23492, 4.48374e+06, 4.51684e+06, 4445905, 4490634, 4.50816e+06, 4520460, 4535006, 3.03278e+07, 2842.11, 3.03258e+07, 3.03298e+07, 30322446, 30325727, 30329243, 30330779, 30331155, 7.58728e+06, 2039.21, 7.58584e+06, 7.58872e+06, 7583116, 7586560, 7.58793e+06, 7589506, 7590160
