# runtime_mean for different queues & configs manually aggregated,,,,,,,,,,,,,,,,,,,,,
# phold,param,param,param,heap,heap,heap,2tHeap,2tHeap,2tHeap,fibHeap,fibHeap,fibHeap,3tHeap,3tHeap,3tHeap,2tLadderQ,2tLadderQ,2tLadderQ,ladderQ,ladderQ,ladderQ
#config,--delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci
ph3,1,0,1,2.356,2.19474,2.51726,2.957,2.91789,2.99611,3.697,3.61848,3.77552,3.293,3.23422,3.35178,2.508,2.4615,2.5545,2.488,2.42668,2.54932
ph3,2,0,1,3.39,3.28296,3.49704,4.683,4.61454,4.75146,5.221,4.92895,5.51305,4.475,4.40334,4.54666,3.596,3.4738,3.7182,3.471,3.43197,3.51003
ph3,5,0,1,4.777,4.68661,4.86739,5.8,5.56375,6.03625,7.03,6.78608,7.27392,5.94,5.83878,6.04122,4.574,4.52964,4.61836,4.504,4.38852,4.61948
ph3,10,0,1,4.631,4.50149,4.76051,6.149,6.02185,6.27615,7.915,7.7419,8.0881,6.563,6.43389,6.69211,5.064,5.02903,5.09897,4.981,4.91898,5.04302
ph3,1,0.25,1,2.426,2.3401,2.5119,3.197,3.14678,3.24722,3.29,3.1701,3.4099,3.169,3.15105,3.18695,2.442,2.352,2.532,2.467,2.42255,2.51145
ph3,2,0.25,1,3.267,3.18088,3.35312,4.238,4.05387,4.42213,4.81,4.59298,5.02702,4.45,4.41771,4.48229,3.527,3.48971,3.56429,3.489,3.45301,3.52499
ph3,5,0.25,1,4.35,4.27041,4.42959,5.909,5.74036,6.07764,6.14,6.07147,6.20853,5.787,5.69872,5.87528,4.675,4.60919,4.74081,4.546,4.49015,4.60185
ph3,10,0.25,1,4.684,4.3978,4.9702,6.295,6.14995,6.44005,7.163,6.75305,7.57295,6.166,6.10874,6.22326,5.022,4.95212,5.09188,4.931,4.88695,4.97505
ph3,1,0,2,4.472,4.4124,4.5316,5.223,4.92251,5.52349,6.415,6.35748,6.47252,5.321,5.15408,5.48792,4.221,4.04893,4.39307,4.047,3.9507,4.1433
ph3,2,0,2,6.641,6.54219,6.73981,6.988,6.57521,7.40079,9.055,8.955,9.155,7.212,7.05758,7.36642,5.907,5.7923,6.0217,5.815,5.66092,5.96908
ph3,5,0,2,8.679,8.34636,9.01164,8.935,8.49923,9.37077,11.604,11.4853,11.7227,9.364,9.26445,9.46355,7.972,7.88509,8.05891,7.914,7.70087,8.12713
ph3,10,0,2,9.197,8.84329,9.55071,9.526,8.96294,10.0891,11.355,10.3701,12.3399,9.74,9.54526,9.93474,8.602,8.49746,8.70654,8.512,8.43927,8.58473
ph3,1,0.25,2,4.483,4.42456,4.54144,5.284,5.12784,5.44016,5.785,5.36248,6.20752,5.204,5.10306,5.30494,4.247,4.19849,4.29551,3.894,3.79591,3.99209
ph3,2,0.25,2,6.527,6.39874,6.65526,6.825,6.40642,7.24358,8.545,8.24107,8.84893,7.066,6.87148,7.26052,5.961,5.80212,6.11988,5.842,5.77585,5.90815
ph3,5,0.25,2,8.854,8.73673,8.97127,9.528,9.29359,9.76241,10.52,10.1183,10.9217,8.535,8.27815,8.79185,7.879,7.80348,7.95452,7.705,7.59791,7.81209
ph3,10,0.25,2,8.095,7.79576,8.39424,8.998,8.56779,9.42821,11.353,10.9803,11.7257,9.126,8.87716,9.37484,8.284,8.02524,8.54276,7.98,7.7473,8.2127
ph3,1,0,5,9.061,8.91407,9.20793,11.133,11.0556,11.2104,10.867,9.94841,11.7856,10.033,9.565,10.501,8.717,8.512,8.922,8.482,8.27893,8.68507
ph3,2,0,5,15.435,15.0242,15.8458,14.037,13.2194,14.8546,16.904,16.4226,17.3854,13.312,12.8868,13.7372,12.966,12.4058,13.5262,12.777,12.3118,13.2422
ph3,5,0,5,20.122,18.4076,21.8364,16.3,14.9355,17.6645,20.445,18.9262,21.9638,16.516,15.9984,17.0336,19.438,19.2343,19.6417,18.996,18.2797,19.7123
ph3,10,0,5,23.341,22.615,24.067,18.514,17.0433,19.9847,21.278,19.9323,22.6237,17.284,17.0293,17.5387,21.138,20.6256,21.6504,20.834,20.2172,21.4508
