# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, topCancl_mean, topCancl_sd, topCancl_ci, topCancl_ci, topCancl_min, topCancl_box_q1, topCancl_median, topCancl_box_q2, topCancl_max, ladCancl_mean, ladCancl_sd, ladCancl_ci, ladCancl_ci, ladCancl_min, ladCancl_box_q1, ladCancl_median, ladCancl_box_q2, ladCancl_max, botCancl_mean, botCancl_sd, botCancl_ci, botCancl_ci, botCancl_min, botCancl_box_q1, botCancl_median, botCancl_box_q2, botCancl_max, topScan_mean, topScan_sd, topScan_ci, topScan_ci, topScan_min, topScan_box_q1, topScan_median, topScan_box_q2, topScan_max, ladScan_mean, ladScan_sd, ladScan_ci, ladScan_ci, ladScan_min, ladScan_box_q1, ladScan_median, ladScan_box_q2, ladScan_max, botScan_mean, botScan_sd, botScan_ci, botScan_ci, botScan_min, botScan_box_q1, botScan_median, botScan_box_q2, botScan_max, NuBotScan_mean, NuBotScan_sd, NuBotScan_ci, NuBotScan_ci, NuBotScan_min, NuBotScan_box_q1, NuBotScan_median, NuBotScan_box_q2, NuBotScan_max, NoCBotSc_mean, NoCBotSc_sd, NoCBotSc_ci, NoCBotSc_ci, NoCBotSc_min, NoCBotSc_box_q1, NoCBotSc_median, NoCBotSc_box_q2, NoCBotSc_max, NuNoCBotSc_mean, NuNoCBotSc_sd, NuNoCBotSc_ci, NuNoCBotSc_ci, NuNoCBotSc_min, NuNoCBotSc_box_q1, NuNoCBotSc_median, NuNoCBotSc_box_q2, NuNoCBotSc_max, topIns_mean, topIns_sd, topIns_ci, topIns_ci, topIns_min, topIns_box_q1, topIns_median, topIns_box_q2, topIns_max, ladIns_mean, ladIns_sd, ladIns_ci, ladIns_ci, ladIns_min, ladIns_box_q1, ladIns_median, ladIns_box_q2, ladIns_max, botIns_mean, botIns_sd, botIns_ci, botIns_ci, botIns_min, botIns_box_q1, botIns_median, botIns_box_q2, botIns_max, rungs_mean, rungs_sd, rungs_ci, rungs_ci, rungs_min, rungs_box_q1, rungs_median, rungs_box_q2, rungs_max, bktRung_mean, bktRung_sd, bktRung_ci, bktRung_ci, bktRung_min, bktRung_box_q1, bktRung_median, bktRung_box_q2, bktRung_max, botSize_mean, botSize_sd, botSize_ci, botSize_ci, botSize_min, botSize_box_q1, botSize_median, botSize_box_q2, botSize_max, bktSize_mean, bktSize_sd, bktSize_ci, bktSize_ci, bktSize_min, bktSize_box_q1, bktSize_median, bktSize_box_q2, bktSize_max
Sat Jan 14 08:58:36 EST 2017, 1, 1, 0.000, 1, 2.508, 0.066, 2.4615, 2.5545, 2.43, 2.46, 2.505, 2.59, 2.63, 9514.4, 2.6533, 9512.53, 9516.27, 9512, 9512, 9516, 9516, 9520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334955, 0, 334955, 334955, 334955, 334955, 334955, 334955, 334955, 1636904, 0, 1636904, 1636904, 1636904, 1636904, 1636904, 1636904, 1636904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.0039604, 5.82077e-11, 0.0039604, 0.0039604, 0.0039604, 0.0039604, 0.0039604, 0.0039604, 0.0039604, 394.451, 0, 394.451, 394.451, 394.451, 394.451, 394.451, 394.451, 394.451, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:00:14 EST 2017, 1, 2, 0.000, 1, 3.596, 0.173447, 3.4738, 3.7182, 3.32, 3.52, 3.595, 3.84, 3.85, 9662, 2.68328, 9660.11, 9663.89, 9660, 9660, 9662, 9664, 9668, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 648622, 0, 648622, 648622, 648622, 648622, 648622, 648622, 648622, 2514206, 0, 2514206, 2514206, 2514206, 2514206, 2514206, 2514206, 2514206, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00129622, 2.52047e-11, 0.00129622, 0.00129622, 0.00129622, 0.00129622, 0.00129622, 0.00129622, 0.00129622, 632.692, 7.62939e-06, 632.692, 632.692, 632.692, 632.692, 632.692, 632.692, 632.692, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:02:17 EST 2017, 1, 5, 0.000, 1, 4.574, 0.0629603, 4.52964, 4.61836, 4.48, 4.52, 4.595, 4.63, 4.7, 9814.8, 2.56125, 9813, 9816.6, 9812, 9812, 9816, 9816, 9820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1469000, 0, 1469000, 1469000, 1469000, 1469000, 1469000, 1469000, 1469000, 3121251, 0, 3121251, 3121251, 3121251, 3121251, 3121251, 3121251, 3121251, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.000960977, 0, 0.000960977, 0.000960977, 0.000960977, 0.000960977, 0.000960977, 0.000960977, 0.000960977, 918.234, 0, 918.234, 918.234, 918.234, 918.234, 918.234, 918.234, 918.234, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:04:20 EST 2017, 1, 10, 0.000, 1, 5.064, 0.0496387, 5.02903, 5.09897, 4.97, 5.03, 5.08, 5.13, 5.14, 9874.4, 2.6533, 9872.53, 9876.27, 9872, 9872, 9876, 9876, 9880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2455992, 0, 2455992, 2455992, 2455992, 2455992, 2455992, 2455992, 2455992, 2510087, 0, 2510087, 2510087, 2510087, 2510087, 2510087, 2510087, 2510087, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.000378798, 5.14488e-12, 0.000378798, 0.000378798, 0.000378798, 0.000378798, 0.000378798, 0.000378798, 0.000378798, 993.414, 0, 993.414, 993.414, 993.414, 993.414, 993.414, 993.414, 993.414, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:10:29 EST 2017, 1, 1, 0.250, 1, 2.442, 0.127734, 2.352, 2.532, 2.21, 2.41, 2.495, 2.58, 2.59, 9111.2, 2.99333, 9109.09, 9113.31, 9108, 9108, 9112, 9116, 9116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 330991, 0, 330991, 330991, 330991, 330991, 330991, 330991, 330991, 1640884, 0, 1640884, 1640884, 1640884, 1640884, 1640884, 1640884, 1640884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00371792, 5.82077e-11, 0.00371792, 0.00371792, 0.00371792, 0.00371792, 0.00371792, 0.00371792, 0.00371792, 394.454, 5.3948e-06, 394.454, 394.454, 394.454, 394.454, 394.454, 394.454, 394.454, 1.00001, 2.58096e-08, 1.00001, 1.00001, 1.00001, 1.00001, 1.00001, 1.00001, 1.00001
Sat Jan 14 09:14:38 EST 2017, 1, 2, 0.250, 1, 3.527, 0.0529245, 3.48971, 3.56429, 3.46, 3.48, 3.545, 3.61, 3.61, 9142, 3.2249, 9139.73, 9144.27, 9140, 9140, 9140, 9148, 9148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 638995, 0, 638995, 638995, 638995, 638995, 638995, 638995, 638995, 2523880, 0, 2523880, 2523880, 2523880, 2523880, 2523880, 2523880, 2523880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00184974, 2.91038e-11, 0.00184974, 0.00184974, 0.00184974, 0.00184974, 0.00184974, 0.00184974, 0.00184974, 632.702, 1.32145e-05, 632.702, 632.702, 632.702, 632.702, 632.702, 632.702, 632.702, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:20:47 EST 2017, 1, 5, 0.250, 1, 4.675, 0.0934077, 4.60919, 4.74081, 4.58, 4.6, 4.685, 4.83, 4.83, 9176.4, 2.15407, 9174.88, 9177.92, 9172, 9176, 9176, 9180, 9180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1456000, 0, 1456000, 1456000, 1456000, 1456000, 1456000, 1456000, 1456000, 3134127, 0, 3134127, 3134127, 3134127, 3134127, 3134127, 3134127, 3134127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.000959594, 1.02898e-11, 0.000959594, 0.000959594, 0.000959594, 0.000959594, 0.000959594, 0.000959594, 0.000959594, 918.209, 0, 918.209, 918.209, 918.209, 918.209, 918.209, 918.209, 918.209, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:24:56 EST 2017, 1, 10, 0.250, 1, 5.022, 0.0991766, 4.95212, 5.09188, 4.87, 4.96, 5.045, 5.15, 5.18, 9138, 2.68328, 9136.11, 9139.89, 9136, 9136, 9138, 9140, 9144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2445995, 0, 2445995, 2445995, 2445995, 2445995, 2445995, 2445995, 2445995, 2520082, 0, 2520082, 2520082, 2520082, 2520082, 2520082, 2520082, 2520082, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.000379517, 8.91119e-12, 0.000379517, 0.000379517, 0.000379517, 0.000379517, 0.000379517, 0.000379517, 0.000379517, 993.414, 0, 993.414, 993.414, 993.414, 993.414, 993.414, 993.414, 993.414, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:30:15 EST 2017, 1, 1, 0.000, 2, 4.221, 0.244231, 4.04893, 4.39307, 3.66, 4.1, 4.34, 4.5, 4.55, 9702, 2, 9700.59, 9703.41, 9700, 9700, 9704, 9704, 9704, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 613937, 0, 613937, 613937, 613937, 613937, 613937, 613937, 613937, 3322624, 0, 3322624, 3322624, 3322624, 3322624, 3322624, 3322624, 3322624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00382052, 4.1159e-11, 0.00382052, 0.00382052, 0.00382052, 0.00382052, 0.00382052, 0.00382052, 0.00382052, 787.47, 0, 787.47, 787.47, 787.47, 787.47, 787.47, 787.47, 787.47, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:34:23 EST 2017, 1, 2, 0.000, 2, 5.907, 0.162791, 5.7923, 6.0217, 5.57, 5.73, 6.01, 6.02, 6.07, 9954.8, 2.56125, 9953, 9956.6, 9952, 9952, 9956, 9956, 9960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1187967, 0, 1187967, 1187967, 1187967, 1187967, 1187967, 1187967, 1187967, 5134442, 0, 5134442, 5134442, 5134442, 5134442, 5134442, 5134442, 5134442, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 0.00229941, 2.91038e-11, 0.00229941, 0.00229941, 0.00229941, 0.00229941, 0.00229941, 0.00229941, 0.00229941, 1264.73, 1.52588e-05, 1264.73, 1264.73, 1264.73, 1264.73, 1264.73, 1264.73, 1264.73, 1, 0, 1, 1, 1, 1, 1, 1, 1
