# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max
Sat Jan 14 09:00:14 EST 2017, 1, 1, 0.000, 1, 3.293, 0.0834326, 3.23422, 3.35178, 3.17, 3.23, 3.31, 3.41, 3.44, 10146, 3.2249, 10143.7, 10148.3, 10144, 10144, 10144, 10152, 10152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732638, 0, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1971148, 0, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 0.622807, 7.45058e-09, 0.622807, 0.622807, 0.622807, 0.622807, 0.622807, 0.622807, 0.622807, 1.13807, 2.10734e-08, 1.13807, 1.13807, 1.13807, 1.13807, 1.13807, 1.13807, 1.13807, 6.79264, 1.19209e-07, 6.79264, 6.79264, 6.79264, 6.79264, 6.79264, 6.79264, 6.79264, 2924060, 0, 2924060, 2924060, 2924060, 2924060, 2924060, 2924060, 2924060
Sat Jan 14 09:02:21 EST 2017, 1, 2, 0.000, 1, 4.475, 0.10171, 4.40334, 4.54666, 4.34, 4.35, 4.505, 4.56, 4.67, 10314, 2.68328, 10312.1, 10315.9, 10312, 10312, 10314, 10316, 10320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593416, 0, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 3162037, 0, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 0.580462, 1.05367e-08, 0.580462, 0.580462, 0.580462, 0.580462, 0.580462, 0.580462, 0.580462, 1.21956, 2.98023e-08, 1.21956, 1.21956, 1.21956, 1.21956, 1.21956, 1.21956, 1.21956, 7.12925, 1.19209e-07, 7.12925, 7.12925, 7.12925, 7.12925, 7.12925, 7.12925, 7.12925, 4356024, 0, 4356024, 4356024, 4356024, 4356024, 4356024, 4356024, 4356024
Sat Jan 14 09:06:23 EST 2017, 1, 5, 0.000, 1, 5.94, 0.143666, 5.83878, 6.04122, 5.52, 5.94, 6.005, 6.02, 6.03, 10457.6, 2.6533, 10455.7, 10459.5, 10456, 10456, 10456, 10460, 10464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3577719, 0, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 4589290, 0, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 0.532508, 7.45058e-09, 0.532508, 0.532508, 0.532508, 0.532508, 0.532508, 0.532508, 0.532508, 1.28301, 2.58096e-08, 1.28301, 1.28301, 1.28301, 1.28301, 1.28301, 1.28301, 1.28301, 7.73687, 1.46001e-07, 7.73687, 7.73687, 7.73687, 7.73687, 7.73687, 7.73687, 7.73687, 5908641, 0, 5908641, 5908641, 5908641, 5908641, 5908641, 5908641, 5908641
Sat Jan 14 09:12:36 EST 2017, 1, 10, 0.000, 1, 6.563, 0.183251, 6.43389, 6.69211, 6.41, 6.46, 6.49, 6.86, 6.98, 10504, 3.09839, 10501.8, 10506.2, 10500, 10500, 10504, 10508, 10508, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3906223, 0, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 0.524778, 7.45058e-09, 0.524778, 0.524778, 0.524778, 0.524778, 0.524778, 0.524778, 0.524778, 1.27133, 2.10734e-08, 1.27133, 1.27133, 1.27133, 1.27133, 1.27133, 1.27133, 1.27133, 8.02706, 1.19209e-07, 8.02706, 8.02706, 8.02706, 8.02706, 8.02706, 8.02706, 8.02706, 6363060, 0, 6363060, 6363060, 6363060, 6363060, 6363060, 6363060, 6363060
Sat Jan 14 09:16:39 EST 2017, 1, 1, 0.250, 1, 3.169, 0.0254755, 3.15105, 3.18695, 3.13, 3.15, 3.175, 3.19, 3.22, 9722.8, 2.56125, 9721, 9724.6, 9720, 9720, 9724, 9724, 9728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 0.602318, 1.29048e-08, 0.602318, 0.602318, 0.602318, 0.602318, 0.602318, 0.602318, 0.602318, 1.14124, 1.49012e-08, 1.14124, 1.14124, 1.14124, 1.14124, 1.14124, 1.14124, 1.14124, 6.59132, 1.88486e-07, 6.59132, 6.59132, 6.59132, 6.59132, 6.59132, 6.59132, 6.59132, 2961486, 0, 2961486, 2961486, 2961486, 2961486, 2961486, 2961486, 2961486
Sat Jan 14 09:22:52 EST 2017, 1, 2, 0.250, 1, 4.45, 0.0458258, 4.41771, 4.48229, 4.36, 4.41, 4.47, 4.48, 4.52, 9774.4, 1.95959, 9773.02, 9775.78, 9772, 9772, 9776, 9776, 9776, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2570980, 0, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 3162078, 0, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 0.550668, 7.45058e-09, 0.550668, 0.550668, 0.550668, 0.550668, 0.550668, 0.550668, 0.550668, 1.23022, 1.49012e-08, 1.23022, 1.23022, 1.23022, 1.23022, 1.23022, 1.23022, 1.23022, 6.74754, 1.19209e-07, 6.74754, 6.74754, 6.74754, 6.74754, 6.74754, 6.74754, 6.74754, 4431537, 0, 4431537, 4431537, 4431537, 4431537, 4431537, 4431537, 4431537
Sat Jan 14 09:28:59 EST 2017, 1, 5, 0.250, 1, 5.787, 0.125304, 5.69872, 5.87528, 5.58, 5.66, 5.845, 5.91, 5.96, 9829.6, 2.6533, 9827.73, 9831.47, 9828, 9828, 9828, 9832, 9836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3441431, 0, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 4589164, 0, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 0.491635, 9.12506e-09, 0.491635, 0.491635, 0.491635, 0.491635, 0.491635, 0.491635, 0.491635, 1.33378, 2.58096e-08, 1.33378, 1.33378, 1.33378, 1.33378, 1.33378, 1.33378, 1.33378, 7.0015, 8.42937e-08, 7.0015, 7.0015, 7.0015, 7.0015, 7.0015, 7.0015, 7.0015, 5959590, 0, 5959590, 5959590, 5959590, 5959590, 5959590, 5959590, 5959590
Sat Jan 14 09:34:22 EST 2017, 1, 10, 0.250, 1, 6.166, 0.081265, 6.10874, 6.22326, 6.06, 6.13, 6.15, 6.29, 6.34, 9859.2, 2.99333, 9857.09, 9861.31, 9856, 9856, 9860, 9864, 9864, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 0.477492, 1.29048e-08, 0.477492, 0.477492, 0.477492, 0.477492, 0.477492, 0.477492, 0.477492, 1.35986, 2.98023e-08, 1.35986, 1.35986, 1.35986, 1.35986, 1.35986, 1.35986, 1.35986, 7.09297, 1.19209e-07, 7.09297, 7.09297, 7.09297, 7.09297, 7.09297, 7.09297, 7.09297, 6325087, 0, 6325087, 6325087, 6325087, 6325087, 6325087, 6325087, 6325087
Sat Jan 14 09:38:30 EST 2017, 1, 1, 0.000, 2, 5.321, 0.236916, 5.15408, 5.48792, 5.02, 5.11, 5.31, 5.65, 5.66, 10338.4, 2.6533, 10336.5, 10340.3, 10336, 10336, 10340, 10340, 10344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2891147, 0, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 3935461, 0, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 1.37763, 1.49012e-08, 1.37763, 1.37763, 1.37763, 1.37763, 1.37763, 1.37763, 1.37763, 1.36159, 0, 1.36159, 1.36159, 1.36159, 1.36159, 1.36159, 1.36159, 1.36159, 7.77072, 1.19209e-07, 7.77072, 7.77072, 7.77072, 7.77072, 7.77072, 7.77072, 7.77072, 4079706, 0, 4079706, 4079706, 4079706, 4079706, 4079706, 4079706, 4079706
Sat Jan 14 09:44:43 EST 2017, 1, 2, 0.000, 2, 7.212, 0.219171, 7.05758, 7.36642, 6.9, 6.94, 7.305, 7.39, 7.61, 10550.4, 2.6533, 10548.5, 10552.3, 10548, 10548, 10552, 10552, 10556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3899545, 0, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 6321011, 0, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 1.22521, 2.98023e-08, 1.22521, 1.22521, 1.22521, 1.22521, 1.22521, 1.22521, 1.22521, 1.62132, 3.65002e-08, 1.62132, 1.62132, 1.62132, 1.62132, 1.62132, 1.62132, 1.62132, 8.16191, 1.68587e-07, 8.16191, 8.16191, 8.16191, 8.16191, 8.16191, 8.16191, 8.16191, 5434396, 0, 5434396, 5434396, 5434396, 5434396, 5434396, 5434396, 5434396
