# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Dec 30 19:43:00 EST 2016, 0, 0.000, 1, 0.872, 0.0817068, 0.814433, 0.929567, 0.78, 0.80, 0.875, 1.01, 1.02, 39635.2, 6.4, 39630.7, 39639.7, 39632, 39632, 39632, 39648, 39648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 426636, 0, 426636, 426636, 426636, 426636, 426636, 426636, 426636, 498000, 0, 498000, 498000, 498000, 498000, 498000, 498000, 498000
Fri Dec 30 19:44:01 EST 2016, 1, 0.000, 1, 0.477, 0.124824, 0.389055, 0.564945, 0.38, 0.40, 0.445, 0.56, 0.82, 38003.2, 11.9733, 37994.8, 38011.6, 37984, 38000, 38000, 38016, 38032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 173144, 0, 173144, 173144, 173144, 173144, 173144, 173144, 173144, 196207, 0, 196207, 196207, 196207, 196207, 196207, 196207, 196207
Fri Dec 30 19:45:02 EST 2016, 2, 0.000, 1, 0.686, 0.0921086, 0.621104, 0.750896, 0.53, 0.66, 0.7, 0.80, 0.83, 38614.4, 26.9637, 38595.4, 38633.4, 38592, 38592, 38608, 38656, 38672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 259149, 0, 259149, 259149, 259149, 259149, 259149, 259149, 259149, 315254, 0, 315254, 315254, 315254, 315254, 315254, 315254, 315254
Fri Dec 30 19:46:04 EST 2016, 4, 0.000, 1, 1, 0.242363, 0.829242, 1.17076, 0.63, 0.89, 0.98, 1.21, 1.57, 39180.8, 26.5812, 39162.1, 39199.5, 39152, 39152, 39200, 39216, 39216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 338125, 0, 338125, 338125, 338125, 338125, 338125, 338125, 338125, 430732, 0, 430732, 430732, 430732, 430732, 430732, 430732, 430732
Fri Dec 30 19:47:10 EST 2016, 8, 0.000, 1, 0.864, 0.0913455, 0.799642, 0.928358, 0.75, 0.76, 0.885, 0.93, 1.06, 39440, 21.4663, 39424.9, 39455.1, 39424, 39424, 39440, 39472, 39488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 383727, 0, 383727, 383727, 383727, 383727, 383727, 383727, 383727, 489001, 0, 489001, 489001, 489001, 489001, 489001, 489001, 489001
Fri Dec 30 19:48:11 EST 2016, 0, 0.250, 1, 0.853, 0.107522, 0.777245, 0.928755, 0.72, 0.77, 0.88, 0.98, 1.02, 36660.8, 7.33212, 36655.6, 36666, 36656, 36656, 36656, 36672, 36672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 366596, 0, 366596, 366596, 366596, 366596, 366596, 366596, 366596, 498000, 0, 498000, 498000, 498000, 498000, 498000, 498000, 498000
Fri Dec 30 19:49:12 EST 2016, 1, 0.250, 1, 0.537, 0.078492, 0.481698, 0.592302, 0.43, 0.45, 0.585, 0.63, 0.64, 36388.8, 7.33212, 36383.6, 36394, 36384, 36384, 36384, 36400, 36400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172647, 0, 172647, 172647, 172647, 172647, 172647, 172647, 172647, 196089, 0, 196089, 196089, 196089, 196089, 196089, 196089, 196089
Fri Dec 30 19:50:13 EST 2016, 2, 0.250, 1, 0.638, 0.0416653, 0.608644, 0.667356, 0.55, 0.60, 0.66, 0.67, 0.69, 36515.2, 6.4, 36510.7, 36519.7, 36512, 36512, 36512, 36528, 36528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 257317, 0, 257317, 257317, 257317, 257317, 257317, 257317, 257317, 315202, 0, 315202, 315202, 315202, 315202, 315202, 315202, 315202
Fri Dec 30 19:51:15 EST 2016, 4, 0.250, 1, 0.773, 0.0316386, 0.750709, 0.795291, 0.70, 0.77, 0.79, 0.80, 0.80, 36710.4, 7.83837, 36704.9, 36715.9, 36704, 36704, 36712, 36720, 36720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 328526, 0, 328526, 328526, 328526, 328526, 328526, 328526, 328526, 430749, 0, 430749, 430749, 430749, 430749, 430749, 430749, 430749
Fri Dec 30 19:52:16 EST 2016, 8, 0.250, 1, 0.876, 0.0313688, 0.853899, 0.898101, 0.82, 0.85, 0.89, 0.90, 0.93, 36742.4, 7.83837, 36736.9, 36747.9, 36736, 36736, 36744, 36752, 36752, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 361375, 0, 361375, 361375, 361375, 361375, 361375, 361375, 361375, 489012, 0, 489012, 489012, 489012, 489012, 489012, 489012, 489012
Fri Dec 30 19:53:22 EST 2016, 0, 0.500, 1, 0.684, 0.0591946, 0.642294, 0.725706, 0.63, 0.65, 0.675, 0.73, 0.84, 36291.2, 6.4, 36286.7, 36295.7, 36288, 36288, 36288, 36304, 36304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 358154, 0, 358154, 358154, 358154, 358154, 358154, 358154, 358154, 498000, 0, 498000, 498000, 498000, 498000, 498000, 498000, 498000
Fri Dec 30 19:54:23 EST 2016, 1, 0.500, 1, 0.537, 0.0756373, 0.483709, 0.590291, 0.40, 0.49, 0.575, 0.60, 0.65, 36211.2, 6.4, 36206.7, 36215.7, 36208, 36208, 36208, 36224, 36224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 172270, 0, 172270, 172270, 172270, 172270, 172270, 172270, 172270, 196090, 0, 196090, 196090, 196090, 196090, 196090, 196090, 196090
Fri Dec 30 19:55:24 EST 2016, 2, 0.500, 1, 0.793, 0.154599, 0.684076, 0.901924, 0.53, 0.73, 0.845, 1.00, 1.01, 36358.4, 10.6132, 36350.9, 36365.9, 36352, 36352, 36352, 36368, 36384, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 255249, 0, 255249, 255249, 255249, 255249, 255249, 255249, 255249, 315212, 0, 315212, 315212, 315212, 315212, 315212, 315212, 315212
Fri Dec 30 19:56:25 EST 2016, 4, 0.500, 1, 0.988, 0.0727736, 0.936727, 1.03927, 0.88, 0.88, 1.025, 1.06, 1.07, 36486.4, 10.6132, 36478.9, 36493.9, 36480, 36480, 36480, 36496, 36512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323302, 0, 323302, 323302, 323302, 323302, 323302, 323302, 323302, 430799, 0, 430799, 430799, 430799, 430799, 430799, 430799, 430799
Fri Dec 30 19:57:26 EST 2016, 8, 0.500, 1, 1.29, 0.213963, 1.13925, 1.44075, 0.88, 1.16, 1.375, 1.53, 1.54, 36552, 8, 36546.4, 36557.6, 36544, 36544, 36560, 36560, 36560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 353772, 0, 353772, 353772, 353772, 353772, 353772, 353772, 353772, 488986, 0, 488986, 488986, 488986, 488986, 488986, 488986, 488986
Fri Dec 30 19:58:32 EST 2016, 0, 0.000, 2, 1.237, 0.256439, 1.05632, 1.41768, 1.04, 1.05, 1.195, 1.58, 1.82, 40499.2, 23.5151, 40482.6, 40515.8, 40480, 40480, 40496, 40528, 40544, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 498610, 0, 498610, 498610, 498610, 498610, 498610, 498610, 498610, 996000, 0, 996000, 996000, 996000, 996000, 996000, 996000, 996000
Fri Dec 30 19:59:33 EST 2016, 1, 0.000, 2, 0.768, 0.0701142, 0.718601, 0.817399, 0.70, 0.72, 0.76, 0.88, 0.91, 38504, 8, 38498.4, 38509.6, 38496, 38496, 38512, 38512, 38512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 288735, 0, 288735, 288735, 288735, 288735, 288735, 288735, 288735, 392186, 0, 392186, 392186, 392186, 392186, 392186, 392186, 392186
Fri Dec 30 20:00:35 EST 2016, 2, 0.000, 2, 1.139, 0.122593, 1.05263, 1.22537, 0.99, 1.00, 1.23, 1.26, 1.30, 39369.6, 10.6132, 39362.1, 39377.1, 39360, 39360, 39376, 39376, 39392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 389772, 0, 389772, 389772, 389772, 389772, 389772, 389772, 389772, 630841, 0, 630841, 630841, 630841, 630841, 630841, 630841, 630841
Fri Dec 30 20:01:37 EST 2016, 4, 0.000, 2, 1.36, 0.124258, 1.27245, 1.44755, 1.24, 1.26, 1.36, 1.55, 1.55, 40296, 8, 40290.4, 40301.6, 40288, 40288, 40304, 40304, 40304, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 458303, 0, 458303, 458303, 458303, 458303, 458303, 458303, 458303, 861962, 0, 861962, 861962, 861962, 861962, 861962, 861962, 861962
Fri Dec 30 20:02:38 EST 2016, 8, 0.000, 2, 1.437, 0.104695, 1.36324, 1.51076, 1.31, 1.34, 1.47, 1.58, 1.59, 40824, 8, 40818.4, 40829.6, 40816, 40816, 40832, 40832, 40832, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 491113, 0, 491113, 491113, 491113, 491113, 491113, 491113, 491113, 978018, 0, 978018, 978018, 978018, 978018, 978018, 978018, 978018
Fri Dec 30 20:03:39 EST 2016, 0, 0.250, 2, 1.233, 0.159063, 1.12093, 1.34507, 1.04, 1.12, 1.24, 1.46, 1.46, 38150.4, 7.83837, 38144.9, 38155.9, 38144, 38144, 38152, 38160, 38160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 472222, 0, 472222, 472222, 472222, 472222, 472222, 472222, 472222, 996000, 0, 996000, 996000, 996000, 996000, 996000, 996000, 996000
