# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Wed May 17 16:25:44 EDT 2017, 1, 1, 0.250, 1, 2.784, 0.49338, 2.43639, 3.13161, 2.42, 2.48, 2.6, 3.73, 3.79, 132552, 2.52982, 132550, 132554, 132548, 132552, 132552, 132556, 132556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113020731, 615310, 1.12587e+08, 1.13454e+08, 111520839, 112977434, 113213572, 113519469, 113854486, 2.78145e+06, 464387, 2.45426e+06, 3.10864e+06, 2267412, 2405656, 2789947, 3235973, 3809163, 113020731, 615310, 1.12587e+08, 1.13454e+08, 111520839, 112977434, 113213572, 113519469, 113854486, 2.78145e+06, 464387, 2.45426e+06, 3.10864e+06, 2267412, 2405656, 2789947, 3235973, 3809163, 5.21278e+09, 8.69658e+07, 5.15151e+09, 5.27405e+09, 5063361179, 5159758005, 5.22862e+09, 5306238644, 5356174379, 5.15431e+09, 6.42988e+07, 5.10901e+09, 5.19961e+09, 5050771850, 5120620259, 5.16658e+09, 5239657816, 5244428889, 9.89855e+08, 1.30956e+07, 9.80628e+08, 9.99082e+08, 968764063, 982618180, 9.92863e+08, 1006557084, 1008990860, 1.83173e+07, 320230, 1.80917e+07, 1.85429e+07, 17963181, 18145656, 1.82917e+07, 18405157, 19200834, 9.89855e+08, 1.30956e+07, 9.80628e+08, 9.99082e+08, 968764063, 982618180, 9.92863e+08, 1006557084, 1008990860, 1.83173e+07, 320230, 1.80917e+07, 1.85429e+07, 17963181, 18145656, 1.82917e+07, 18405157, 19200834
Wed May 17 16:26:48 EDT 2017, 1, 10, 0.250, 1, 4.756, 0.197038, 4.61718, 4.89482, 4.5, 4.65, 4.75, 4.88, 5.27, 319691, 2.4, 319689, 319693, 319688, 319688, 319692, 319692, 319696, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.59282e+08, 1.66573e+06, 1.58108e+08, 1.60456e+08, 157339962, 158051206, 1.5918e+08, 161708369, 162939531, 6.62547e+06, 1.13602e+06, 5.82508e+06, 7.42586e+06, 5397205, 5635222, 6381515, 8186604, 8940083, 1.59282e+08, 1.66573e+06, 1.58108e+08, 1.60456e+08, 157339962, 158051206, 1.5918e+08, 161708369, 162939531, 6.62547e+06, 1.13602e+06, 5.82508e+06, 7.42586e+06, 5397205, 5635222, 6381515, 8186604, 8940083, 1.01781e+10, 1.93275e+08, 1.00419e+10, 1.03143e+10, 9892074961, 9964506813, 1.02441e+10, 10413540788, 10445276021, 1.08858e+10, 5.69632e+07, 1.08457e+10, 1.09259e+10, 10797074300, 10849032049, 10892450828, 10963723357, 10981065846, 2.04737e+09, 1.17198e+07, 2.03911e+09, 2.05563e+09, 2027820111, 2039026244, 2.04869e+09, 2064229766, 2066113046, 2.98889e+07, 2.99678e+06, 2.77775e+07, 3.20003e+07, 28086374, 28184610, 28561669, 35733395, 35990926, 2.04737e+09, 1.17198e+07, 2.03911e+09, 2.05563e+09, 2027820111, 2039026244, 2.04869e+09, 2064229766, 2066113046, 2.98889e+07, 2.99678e+06, 2.77775e+07, 3.20003e+07, 28086374, 28184610, 28561669, 35733395, 35990926
Wed May 17 16:27:53 EDT 2017, 1, 1, 0.250, 2, 4.276, 0.120266, 4.19127, 4.36073, 4.12, 4.18, 4.32, 4.45, 4.47, 255359, 2.4, 255357, 255361, 255356, 255356, 255360, 255360, 255364, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2884197, 0, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156833026, 4.96352e+06, 1.53336e+08, 1.6033e+08, 154313262, 154636750, 1.54995e+08, 156943981, 171480663, 5.54605e+06, 1.01378e+06, 4.83179e+06, 6.26031e+06, 4510857, 4977426, 5449772, 7176831, 7707275, 156833026, 4.96352e+06, 1.53336e+08, 1.6033e+08, 154313262, 154636750, 1.54995e+08, 156943981, 171480663, 5.54605e+06, 1.01378e+06, 4.83179e+06, 6.26031e+06, 4510857, 4977426, 5449772, 7176831, 7707275, 9.23302e+09, 1.5823e+08, 9.12154e+09, 9.3445e+09, 8992333118, 9144765161, 9.26076e+09, 9413413221, 9523780763, 8.9891e+09, 4.35528e+07, 8.95841e+09, 9.01979e+09, 8946769581, 8955505736, 8.98184e+09, 9050700627, 9064748726, 1.69784e+09, 8.78247e+06, 1.69165e+09, 1.70403e+09, 1689939079, 1690925481, 1.69528e+09, 1709067198, 1714216881, 3.86264e+07, 2.9787e+06, 3.65277e+07, 4.07251e+07, 36213962, 36416019, 3.70533e+07, 43000945, 43679683, 1.69784e+09, 8.78247e+06, 1.69165e+09, 1.70403e+09, 1689939079, 1690925481, 1.69528e+09, 1709067198, 1714216881, 3.86264e+07, 2.9787e+06, 3.65277e+07, 4.07251e+07, 36213962, 36416019, 3.70533e+07, 43000945, 43679683
Wed May 17 16:28:57 EDT 2017, 1, 10, 0.250, 2, 8.068, 0.222791, 7.91103, 8.22497, 7.66, 7.95, 8.17, 8.25, 8.4, 630028, 1.78886, 630027, 630029, 630024, 630028, 630028, 630028, 630032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4719916, 0, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31695e+08, 8.22722e+06, 2.25898e+08, 2.37492e+08, 214524075, 232554860, 235555296, 238022949, 238183029, 1.4379e+07, 3.93477e+06, 1.16067e+07, 1.71513e+07, 11076209, 11564842, 1.31299e+07, 19800329, 23292564, 2.31695e+08, 8.22722e+06, 2.25898e+08, 2.37492e+08, 214524075, 232554860, 235555296, 238022949, 238183029, 1.4379e+07, 3.93477e+06, 1.16067e+07, 1.71513e+07, 11076209, 11564842, 1.31299e+07, 19800329, 23292564, 1.82549e+10, 2.75726e+08, 1.80606e+10, 1.84492e+10, 17632585242, 18118907623, 18379291227, 18453036483, 18669399582, 1.90438e+10, 5.38219e+07, 1.90059e+10, 1.90817e+10, 18969558685, 18986815320, 19079174980, 19091020995, 19131051261, 3.54036e+09, 1.11452e+07, 3.53251e+09, 3.54821e+09, 3524766226, 3528675767, 3547291559, 3550645620, 3557743296, 63364094, 3.72147e+06, 6.07421e+07, 6.59861e+07, 60507759, 61096160, 62061997, 70042845, 71270588, 3.54036e+09, 1.11452e+07, 3.53251e+09, 3.54821e+09, 3524766226, 3528675767, 3547291559, 3550645620, 3557743296, 63364094, 3.72147e+06, 6.07421e+07, 6.59861e+07, 60507759, 61096160, 62061997, 70042845, 71270588
Wed May 17 16:30:00 EDT 2017, 1, 1, 0.250, 5, 8.979, 0.305694, 8.76362, 9.19438, 8.6, 8.73, 8.955, 9.43, 9.49, 624292, 10.346, 624285, 624299, 624284, 624284, 624290, 624308, 624316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4442302, 0, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 263718132, 2.61136e+06, 2.61878e+08, 2.65558e+08, 260242730, 262122556, 262953872, 267213125, 268535129, 1.60654e+07, 4.99171e+06, 1.25485e+07, 1.95823e+07, 10876118, 11737719, 1.64978e+07, 24446904, 24916671, 263718132, 2.61136e+06, 2.61878e+08, 2.65558e+08, 260242730, 262122556, 262953872, 267213125, 268535129, 1.60654e+07, 4.99171e+06, 1.25485e+07, 1.95823e+07, 10876118, 11737719, 1.64978e+07, 24446904, 24916671, 2.04136e+10, 2.84592e+08, 2.02131e+10, 2.06141e+10, 20020584612, 20204550701, 2.04832e+10, 20805047664, 20974949368, 1.91519e+10, 8.9784e+07, 1.90886e+10, 1.92152e+10, 19002493702, 19053392741, 19210081658, 19237786749, 19257817064, 3.56143e+09, 1.9392e+07, 3.54777e+09, 3.57509e+09, 3528137007, 3537713480, 3.57391e+09, 3580101237, 3583458320, 96045593, 3.34285e+06, 9.36904e+07, 9.84008e+07, 93599777, 93924574, 94905819, 102584657, 102673759, 3.56143e+09, 1.9392e+07, 3.54777e+09, 3.57509e+09, 3528137007, 3537713480, 3.57391e+09, 3580101237, 3583458320, 96045593, 3.34285e+06, 9.36904e+07, 9.84008e+07, 93599777, 93924574, 94905819, 102584657, 102673759
Wed May 17 16:30:47 EDT 2017, 1, 10, 0.250, 5, 17.503, 0.766773, 16.9628, 18.0432, 16.61, 16.81, 17.645, 18.66, 18.71, 1.56102e+06, 10.9105, 1.56101e+06, 1.56103e+06, 1561012, 1561016, 1561016, 1561036, 1561044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998353, 0, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.99986e+08, 2.63049e+07, 3.81453e+08, 4.18519e+08, 385241226, 387812032, 393768204, 400887277, 477342951, 3.95328e+07, 1.3067e+07, 3.03264e+07, 4.87392e+07, 26900874, 28624242, 3.6724e+07, 59339279, 64831606, 3.99986e+08, 2.63049e+07, 3.81453e+08, 4.18519e+08, 385241226, 387812032, 393768204, 400887277, 477342951, 3.95328e+07, 1.3067e+07, 3.03264e+07, 4.87392e+07, 26900874, 28624242, 3.6724e+07, 59339279, 64831606, 40970649316, 7.06909e+08, 4.04726e+10, 4.14687e+10, 39902442939, 40531768567, 40920769377, 41840742799, 42383076692, 4.15884e+10, 6.15958e+07, 4.1545e+10, 4.16318e+10, 41507285230, 41521247274, 4.15996e+10, 41676753188, 41690063509, 7.63581e+09, 1.37748e+07, 7.6261e+09, 7.64552e+09, 7612930176, 7624488576, 7.64138e+09, 7652632428, 7657645202, 1.40771e+08, 3.76158e+06, 1.38121e+08, 1.43421e+08, 137747135, 138310114, 1.39409e+08, 147589765, 148270434, 7.63581e+09, 1.37748e+07, 7.6261e+09, 7.64552e+09, 7612930176, 7624488576, 7.64138e+09, 7652632428, 7657645202, 1.40771e+08, 3.76158e+06, 1.38121e+08, 1.43421e+08, 137747135, 138310114, 1.39409e+08, 147589765, 148270434
Wed May 17 16:31:44 EDT 2017, 1, 1, 0.250, 10, 17.023, 1.09197, 16.2536, 17.7924, 15.43, 15.96, 17.41, 18.26, 18.98, 1.23874e+06, 2.79993, 1.23874e+06, 1.23874e+06, 1238732, 1238732, 1238736, 1238740, 1238740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4939688, 0, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 0, 0, 0, 0, 0, 0, 0, 0, 0, 444792176, 4.28783e+06, 4.41771e+08, 4.47813e+08, 433530433, 443442788, 4.46254e+08, 449059358, 449426499, 4.80086e+07, 2.30842e+07, 3.17445e+07, 6.42727e+07, 21522656, 26438355, 53464698, 71496237, 94952779, 444792176, 4.28783e+06, 4.41771e+08, 4.47813e+08, 433530433, 443442788, 4.46254e+08, 449059358, 449426499, 4.80086e+07, 2.30842e+07, 3.17445e+07, 6.42727e+07, 21522656, 26438355, 53464698, 71496237, 94952779, 3.94609e+10, 1.38407e+09, 3.84857e+10, 4.04361e+10, 37388979166, 38240819735, 3.98873e+10, 40853477464, 42179026155, 3.47231e+10, 5.57305e+07, 3.46838e+10, 3.47624e+10, 34631285318, 34662037574, 3.47637e+10, 34779581958, 34779787311, 6.40362e+09, 1.05907e+07, 6.39616e+09, 6.41108e+09, 6387558015, 6392898650, 6.41124e+09, 6414555855, 6415580507, 1.83629e+08, 7.51039e+06, 1.78338e+08, 1.8892e+08, 177618314, 178211117, 180699061, 192505108, 200864262, 6.40362e+09, 1.05907e+07, 6.39616e+09, 6.41108e+09, 6387558015, 6392898650, 6.41124e+09, 6414555855, 6415580507, 1.83629e+08, 7.51039e+06, 1.78338e+08, 1.8892e+08, 177618314, 178211117, 180699061, 192505108, 200864262
Wed May 17 16:33:08 EDT 2017, 1, 10, 0.250, 10, 36.156, 2.37943, 34.4796, 37.8324, 33.22, 33.53, 37.14, 39.04, 39.91, 3.11267e+06, 1.95955, 3.11267e+06, 3.11267e+06, 3112672, 3112672, 3112676, 3112676, 3112676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.05843e+09, 1.3546e+08, 9.62991e+08, 1.15387e+09, 786993702, 1098538156, 1122248360, 1148600532, 1152165792, 9.96634e+07, 3.7337e+07, 7.33574e+07, 1.25969e+08, 52993343, 62565160, 1.18911e+08, 129803592, 168124583, 1.05843e+09, 1.3546e+08, 9.62991e+08, 1.15387e+09, 786993702, 1098538156, 1122248360, 1148600532, 1152165792, 9.96634e+07, 3.7337e+07, 7.33574e+07, 1.25969e+08, 52993343, 62565160, 1.18911e+08, 129803592, 168124583, 8.39616e+10, 1.60503e+09, 8.28308e+10, 8.50924e+10, 81815309933, 82262046227, 8.49322e+10, 85953137485, 86047692958, 7.96444e+10, 3.96822e+07, 7.96164e+10, 7.96724e+10, 79582222574, 79614550779, 7.96662e+10, 79679789894, 79711422250, 1.45526e+10, 8.24023e+06, 1.45468e+10, 1.45584e+10, 14540985793, 14543232341, 1.45557e+10, 14559516867, 14567563225, 260955938, 2.13675e+06, 2.5945e+08, 2.62461e+08, 256836764, 260055906, 261276098, 263728248, 264773752, 1.45526e+10, 8.24023e+06, 1.45468e+10, 1.45584e+10, 14540985793, 14543232341, 1.45557e+10, 14559516867, 14567563225, 260955938, 2.13675e+06, 2.5945e+08, 2.62461e+08, 256836764, 260055906, 261276098, 263728248, 264773752
Wed May 17 16:34:01 EDT 2017, 1, 1, 0.250, 15, 26.975, 1.71764, 25.7648, 28.1852, 24.1, 25.27, 27.765, 28.55, 29.71, 1.85346e+06, 2.56126, 1.85346e+06, 1.85346e+06, 1853456, 1853460, 1853462, 1853464, 1853464, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4992618, 0, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.44488e+08, 1.40267e+08, 8.45662e+08, 1.04331e+09, 662322252, 998317759, 1012516548, 1028973527, 1031333642, 93958552, 3.76364e+07, 6.74416e+07, 1.20475e+08, 41894356, 57890414, 109196213, 132084150, 157460848, 9.44488e+08, 1.40267e+08, 8.45662e+08, 1.04331e+09, 662322252, 998317759, 1012516548, 1028973527, 1031333642, 93958552, 3.76364e+07, 6.74416e+07, 1.20475e+08, 41894356, 57890414, 109196213, 132084150, 157460848, 6.23246e+10, 2.2059e+09, 6.07704e+10, 6.38788e+10, 58565316160, 60650952631, 62652229197, 63996838292, 66988715840, 5.01204e+10, 1.0702e+08, 5.0045e+10, 5.01958e+10, 49958301890, 50049135155, 50129503581, 50184897929, 50373023186, 9.20546e+09, 2.34549e+07, 9.18893e+09, 9.22199e+09, 9163623307, 9192554142, 9211396930, 9220722108, 9253838676, 2.73409e+08, 2.12825e+07, 2.58414e+08, 2.88404e+08, 259418402, 265601690, 267661868, 272089880, 336483622, 9.20546e+09, 2.34549e+07, 9.18893e+09, 9.22199e+09, 9163623307, 9192554142, 9211396930, 9220722108, 9253838676, 2.73409e+08, 2.12825e+07, 2.58414e+08, 2.88404e+08, 259418402, 265601690, 267661868, 272089880, 336483622
Wed May 17 16:35:31 EDT 2017, 1, 10, 0.250, 15, 55.453, 3.18097, 53.2118, 57.6942, 50.77, 52.12, 57.335, 58.47, 60.07, 4.66434e+06, 2.99413, 4.66434e+06, 4.66434e+06, 4664336, 4664340, 4664342, 4664344, 4664344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.76483e+09, 2.52541e+08, 1.5869e+09, 1.94276e+09, 1257659091, 1857655986, 1889526445, 1899823172, 1933116730, 1.64352e+08, 4.81806e+07, 1.30406e+08, 1.98298e+08, 89319354, 108075330, 195329259, 214806588, 220714008, 1.76483e+09, 2.52541e+08, 1.5869e+09, 1.94276e+09, 1257659091, 1857655986, 1889526445, 1899823172, 1933116730, 1.64352e+08, 4.81806e+07, 1.30406e+08, 1.98298e+08, 89319354, 108075330, 195329259, 214806588, 220714008, 1.29333e+11, 2.25676e+09, 1.27743e+11, 1.30923e+11, 125149115037, 128033135364, 130491139665, 131610532232, 132001326859, 1.1831e+11, 7.69052e+07, 1.18256e+11, 1.18364e+11, 118218594835, 118251563166, 1.18304e+11, 118422046469, 118473458465, 2.1573e+10, 1.29763e+07, 2.15639e+10, 2.15821e+10, 21547613586, 21564283335, 21574623360, 21590744895, 21592973601, 3.72586e+08, 5.47762e+06, 3.68727e+08, 3.76445e+08, 366530678, 370037347, 3.72248e+08, 374321888, 387737965, 2.1573e+10, 1.29763e+07, 2.15639e+10, 2.15821e+10, 21547613586, 21564283335, 21574623360, 21590744895, 21592973601, 3.72586e+08, 5.47762e+06, 3.68727e+08, 3.76445e+08, 366530678, 370037347, 3.72248e+08, 374321888, 387737965
