# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Sun May 14 15:25:48 EDT 2017, 1, 1, 0.250, 1, 2.948, 0.19717, 2.80908, 3.08692, 2.43, 2.98, 3.02, 3.1, 3.11, 9830.4, 4.07922, 9827.53, 9833.27, 9828, 9828, 9828, 9836, 9840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1.43863e+08, 813010, 1.4329e+08, 1.44436e+08, 142708902, 143152474, 1.44166e+08, 144905044, 145282632, 7.6826e+06, 4.49936e+06, 4.51255e+06, 1.08526e+07, 149480, 6693434, 9516370, 12477068, 12555619, 1.43863e+08, 813010, 1.4329e+08, 1.44436e+08, 142708902, 143152474, 1.44166e+08, 144905044, 145282632, 7.6826e+06, 4.49936e+06, 4.51255e+06, 1.08526e+07, 149480, 6693434, 9516370, 12477068, 12555619, 5.9392e+09, 1.80623e+08, 5.81194e+09, 6.06646e+09, 5624274004, 5814300078, 5.99948e+09, 6182160637, 6208677605, 5.66767e+09, 1.54183e+07, 5.65681e+09, 5.67853e+09, 5636021858, 5657295308, 5.67209e+09, 5684319744, 5693095092, 1.10911e+09, 3.93576e+06, 1.10634e+09, 1.11188e+09, 1101989786, 1107026827, 1.11031e+09, 1112597051, 1115635527, 2.12368e+07, 1.77412e+06, 1.99868e+07, 2.24868e+07, 18092691, 20586532, 20835846, 24181015, 24554693, 1.10911e+09, 3.93576e+06, 1.10634e+09, 1.11188e+09, 1101989786, 1107026827, 1.11031e+09, 1112597051, 1115635527, 2.12368e+07, 1.77412e+06, 1.99868e+07, 2.24868e+07, 18092691, 20586532, 20835846, 24181015, 24554693
Sun May 14 15:26:50 EDT 2017, 1, 10, 0.250, 1, 5.58, 0.46669, 5.25119, 5.90881, 4.44, 5.6, 5.79, 5.92, 5.98, 9895.6, 3.32265, 9893.26, 9897.94, 9892, 9892, 9896, 9900, 9900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 2.08801e+08, 1.57998e+06, 2.07688e+08, 2.09914e+08, 207188059, 207653882, 208723217, 210857327, 212133902, 2.38143e+07, 1.22559e+07, 1.51793e+07, 3.24493e+07, 188596, 25192357, 2.95777e+07, 33773483, 34052733, 2.08801e+08, 1.57998e+06, 2.07688e+08, 2.09914e+08, 207188059, 207653882, 208723217, 210857327, 212133902, 2.38143e+07, 1.22559e+07, 1.51793e+07, 3.24493e+07, 188596, 25192357, 2.95777e+07, 33773483, 34052733, 1.21318e+10, 5.30006e+08, 1.17584e+10, 1.25052e+10, 10935026570, 11903513343, 12386717976, 12621657282, 12688983127, 1.20874e+10, 2.19399e+07, 1.20719e+10, 1.21029e+10, 12041022391, 12080353858, 12091790361, 12109516010, 12125494459, 2.34744e+09, 3.64936e+06, 2.34487e+09, 2.35001e+09, 2339781001, 2346332964, 2348394541, 2351746531, 2352363685, 4.31252e+07, 3.17836e+06, 4.08859e+07, 4.53645e+07, 39844621, 40549711, 4.29004e+07, 47773325, 47860418, 2.34744e+09, 3.64936e+06, 2.34487e+09, 2.35001e+09, 2339781001, 2346332964, 2348394541, 2351746531, 2352363685, 4.31252e+07, 3.17836e+06, 4.08859e+07, 4.53645e+07, 39844621, 40549711, 4.29004e+07, 47773325, 47860418
Sun May 14 15:27:53 EDT 2017, 1, 1, 0.250, 2, 4.643, 0.426381, 4.34259, 4.94341, 3.78, 4.34, 4.815, 5.08, 5.19, 10304.4, 613.205, 9872.36, 10736.4, 10096, 10100, 10100, 10104, 12144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2884197, 0, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 2884197, 3935528, 0, 3935528, 3935528, 3935528, 3935528, 3935528, 3935528, 3935528, 1.91228e+08, 1.48574e+06, 1.90181e+08, 1.92275e+08, 189455973, 189824265, 1.917e+08, 192843444, 193843234, 1.42706e+07, 1.20516e+07, 5.77958e+06, 2.27616e+07, 160613, 2001311, 18296291, 28838070, 29214535, 1.91228e+08, 1.48574e+06, 1.90181e+08, 1.92275e+08, 189455973, 189824265, 1.917e+08, 192843444, 193843234, 1.42706e+07, 1.20516e+07, 5.77958e+06, 2.27616e+07, 160613, 2001311, 18296291, 28838070, 29214535, 10033035729, 5.07118e+08, 9.67574e+09, 1.03903e+10, 9417213966, 9627055458, 10159149724, 10688920296, 10696172242, 9.75635e+09, 1.78339e+07, 9.74379e+09, 9.76891e+09, 9717570066, 9743704697, 9763716344, 9767754276, 9785936359, 1.89441e+09, 4.56682e+06, 1.89119e+09, 1.89763e+09, 1885095724, 1891377626, 1.89628e+09, 1898817398, 1901092690, 3.90175e+07, 3.31038e+06, 3.66852e+07, 4.13498e+07, 32939484, 37011517, 39916934, 42825244, 43223526, 1.89441e+09, 4.56682e+06, 1.89119e+09, 1.89763e+09, 1885095724, 1891377626, 1.89628e+09, 1898817398, 1901092690, 3.90175e+07, 3.31038e+06, 3.66852e+07, 4.13498e+07, 32939484, 37011517, 39916934, 42825244, 43223526
Sun May 14 15:29:01 EDT 2017, 1, 10, 0.250, 2, 9.042, 1.03244, 8.31459, 9.76941, 6.95, 8.43, 9.47, 10.17, 10.19, 10321.2, 3.1241, 10319, 10323.4, 10316, 10320, 10320, 10324, 10328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4719916, 0, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 4719916, 9929348, 0, 9929348, 9929348, 9929348, 9929348, 9929348, 9929348, 9929348, 297918914, 3.34507e+06, 2.95562e+08, 3.00276e+08, 292791387, 294356168, 299982413, 301502778, 302052365, 4.31469e+07, 3.33783e+07, 1.963e+07, 6.66638e+07, 184802, 6312865, 5.65478e+07, 82101071, 82942231, 297918914, 3.34507e+06, 2.95562e+08, 3.00276e+08, 292791387, 294356168, 299982413, 301502778, 302052365, 4.31469e+07, 3.33783e+07, 1.963e+07, 6.66638e+07, 184802, 6312865, 5.65478e+07, 82101071, 82942231, 2.0634e+10, 1.61343e+09, 1.94972e+10, 2.17708e+10, 18720320193, 19472598696, 2.11084e+10, 22630710255, 22642935492, 2.06411e+10, 3.27057e+07, 2.06181e+10, 2.06641e+10, 20574217240, 20619607524, 2.06605e+10, 20664904848, 20666532905, 3.97261e+09, 6.77842e+06, 3.96783e+09, 3.97739e+09, 3956508732, 3970927036, 3.97641e+09, 3977846344, 3977886902, 7.85406e+07, 1.03499e+07, 7.12485e+07, 8.58327e+07, 70113907, 74958862, 7.61678e+07, 76804660, 109107191, 3.97261e+09, 6.77842e+06, 3.96783e+09, 3.97739e+09, 3956508732, 3970927036, 3.97641e+09, 3977846344, 3977886902, 7.85406e+07, 1.03499e+07, 7.12485e+07, 8.58327e+07, 70113907, 74958862, 7.61678e+07, 76804660, 109107191
Sun May 14 15:30:03 EDT 2017, 1, 1, 0.250, 5, 9.583, 1.20127, 8.73664, 10.4294, 7.11, 8.63, 10.125, 10.75, 11.11, 10829.2, 3.6, 10826.7, 10831.7, 10824, 10828, 10830, 10832, 10836, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4442302, 0, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 4442302, 9836950, 0, 9836950, 9836950, 9836950, 9836950, 9836950, 9836950, 9836950, 3.0706e+08, 3.67581e+06, 3.0447e+08, 3.0965e+08, 300658545, 304848778, 308329318, 311231967, 312212611, 5.5718e+07, 3.84451e+07, 2.86313e+07, 8.28047e+07, 182247, 11446537, 7.34787e+07, 98726353, 100125795, 3.0706e+08, 3.67581e+06, 3.0447e+08, 3.0965e+08, 300658545, 304848778, 308329318, 311231967, 312212611, 5.5718e+07, 3.84451e+07, 2.86313e+07, 8.28047e+07, 182247, 11446537, 7.34787e+07, 98726353, 100125795, 2.18971e+10, 1.90454e+09, 2.05552e+10, 2.3239e+10, 19478048016, 19946086638, 22618599423, 24091448233, 24604700251, 2.03118e+10, 4.81543e+07, 2.02779e+10, 2.03457e+10, 20215650929, 20275292273, 20345510028, 20367112730, 20367223279, 3.92e+09, 9.44835e+06, 3.91334e+09, 3.92666e+09, 3903214448, 3913282924, 3927533632, 3929578794, 3931028202, 8.49642e+07, 4.7421e+06, 8.16231e+07, 8.83053e+07, 77137701, 83309623, 83878719, 92853731, 94265083, 3.92e+09, 9.44835e+06, 3.91334e+09, 3.92666e+09, 3903214448, 3913282924, 3927533632, 3929578794, 3931028202, 8.49642e+07, 4.7421e+06, 8.16231e+07, 8.83053e+07, 77137701, 83309623, 83878719, 92853731, 94265083
Sun May 14 15:30:51 EDT 2017, 1, 10, 0.250, 5, 21.455, 2.75804, 19.5118, 23.3982, 15.01, 19.15, 22.88, 23.89, 23.91, 14640.4, 3.32265, 14638.1, 14642.7, 14636, 14640, 14640, 14644, 14648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4998353, 0, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 4998353, 24821748, 0, 24821748, 24821748, 24821748, 24821748, 24821748, 24821748, 24821748, 6.65277e+08, 7.07718e+06, 6.60291e+08, 6.70263e+08, 654226906, 662403224, 6.6452e+08, 677498164, 677561110, 1.78424e+08, 9.27072e+07, 1.13107e+08, 2.43741e+08, 317400, 74078928, 2.28203e+08, 269130268, 269240155, 6.65277e+08, 7.07718e+06, 6.60291e+08, 6.70263e+08, 654226906, 662403224, 6.6452e+08, 677498164, 677561110, 1.78424e+08, 9.27072e+07, 1.13107e+08, 2.43741e+08, 317400, 74078928, 2.28203e+08, 269130268, 269240155, 5.07907e+10, 4.10342e+09, 4.78996e+10, 5.36818e+10, 43474267125, 46201217282, 5.28301e+10, 55050692684, 55088981948, 4.48586e+10, 2.09209e+07, 4.48439e+10, 4.48733e+10, 44828437469, 44844734642, 4.48583e+10, 44886333740, 44890401106, 8.66176e+09, 3.22839e+06, 8.65949e+09, 8.66403e+09, 8655550894, 8660252975, 8662453955, 8666050283, 8667048754, 1.73115e+08, 6.54104e+06, 1.68506e+08, 1.77724e+08, 157872282, 172024621, 173017327, 175852451, 186423100, 8.66176e+09, 3.22839e+06, 8.65949e+09, 8.66403e+09, 8655550894, 8660252975, 8662453955, 8666050283, 8667048754, 1.73115e+08, 6.54104e+06, 1.68506e+08, 1.77724e+08, 157872282, 172024621, 173017327, 175852451, 186423100
Sun May 14 15:31:48 EDT 2017, 1, 1, 0.250, 10, 18.081, 2.57349, 16.2678, 19.8942, 12.53, 15.82, 19.525, 20.46, 20.48, 12504, 3.57771, 12501.5, 12506.5, 12500, 12500, 12504, 12508, 12512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4939688, 0, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 4939688, 19665658, 0, 19665658, 19665658, 19665658, 19665658, 19665658, 19665658, 19665658, 537783640, 6.61e+06, 5.33127e+08, 5.42441e+08, 529747559, 533074627, 536437971, 546803867, 548869197, 1.50869e+08, 8.48494e+07, 9.10879e+07, 2.1065e+08, 250510, 49587632, 197638735, 234209315, 234692976, 537783640, 6.61e+06, 5.33127e+08, 5.42441e+08, 529747559, 533074627, 536437971, 546803867, 548869197, 1.50869e+08, 8.48494e+07, 9.10879e+07, 2.1065e+08, 250510, 49587632, 197638735, 234209315, 234692976, 4.23958e+10, 4.12463e+09, 3.94898e+10, 4.53018e+10, 35732965030, 37935555510, 4.46609e+10, 46738230266, 46779810995, 3.63566e+10, 4.17649e+07, 3.63272e+10, 3.6386e+10, 36312214246, 36322178032, 3.63586e+10, 36403912630, 36450209489, 7.00527e+09, 4.63242e+06, 7.00201e+09, 7.00853e+09, 6997869312, 7003012207, 7.00606e+09, 7011599466, 7013408254, 158005884, 9.07257e+06, 1.51614e+08, 1.64398e+08, 139673361, 152269019, 1.62796e+08, 164358922, 174111252, 7.00527e+09, 4.63242e+06, 7.00201e+09, 7.00853e+09, 6997869312, 7003012207, 7.00606e+09, 7011599466, 7013408254, 158005884, 9.07257e+06, 1.51614e+08, 1.64398e+08, 139673361, 152269019, 1.62796e+08, 164358922, 174111252
Sun May 14 15:33:21 EDT 2017, 1, 10, 0.250, 10, 45.545, 6.19577, 41.1797, 49.9103, 30.46, 48.13, 48.665, 48.72, 48.87, 60280, 40.8705, 60251.2, 60308.8, 60200, 60264, 60298, 60324, 60324, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 49642679, 0.707107, 4.96427e+07, 4.96427e+07, 49642679, 49642679, 49642679, 49642679, 49642679, 1.45895e+09, 3.96412e+07, 1.43102e+09, 1.48688e+09, 1394395454, 1417855055, 1.47469e+09, 1511746151, 1512767570, 4.64615e+08, 2.18377e+08, 3.10756e+08, 6.18474e+08, 4286140, 560666012, 5.74259e+08, 582436798, 582805520, 1.45895e+09, 3.96412e+07, 1.43102e+09, 1.48688e+09, 1394395454, 1417855055, 1.47469e+09, 1511746151, 1512767570, 4.64615e+08, 2.18377e+08, 3.10756e+08, 6.18474e+08, 4286140, 560666012, 5.74259e+08, 582436798, 582805520, 1.08713e+11, 9.3268e+09, 1.02142e+11, 1.15284e+11, 89840804659, 112604472492, 113594174282, 113763616750, 113793940150, 8.55829e+10, 8.46719e+07, 8.55232e+10, 8.56426e+10, 85361454188, 85542078491, 8.56296e+10, 85654977142, 85656244931, 16558633528, 9.48845e+06, 1.65519e+10, 1.65653e+10, 16546899986, 16550608023, 16557649318, 16571522104, 16577795302, 3.33507e+08, 1.40612e+07, 3.236e+08, 3.43414e+08, 299389693, 332596462, 334590774, 340994328, 360448370, 16558633528, 9.48845e+06, 1.65519e+10, 1.65653e+10, 16546899986, 16550608023, 16557649318, 16571522104, 16577795302, 3.33507e+08, 1.40612e+07, 3.236e+08, 3.43414e+08, 299389693, 332596462, 334590774, 340994328, 360448370
Sun May 14 15:34:03 EDT 2017, 1, 1, 0.250, 15, 28.477, 4.22786, 25.4982, 31.4558, 18.48, 30.37, 30.575, 30.72, 30.73, 14887.6, 25.2, 14869.8, 14905.4, 14836, 14896, 14900, 14900, 14912, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4992618, 0, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 4992618, 29498723, 0, 29498723, 29498723, 29498723, 29498723, 29498723, 29498723, 29498723, 8.1607e+08, 1.22823e+07, 8.07416e+08, 8.24724e+08, 791659862, 811945983, 8.14515e+08, 833997373, 834454824, 2.99723e+08, 1.45387e+08, 1.9729e+08, 4.02156e+08, 409583, 360116237, 374339016, 376949571, 377667367, 8.1607e+08, 1.22823e+07, 8.07416e+08, 8.24724e+08, 791659862, 811945983, 8.14515e+08, 833997373, 834454824, 2.99723e+08, 1.45387e+08, 1.9729e+08, 4.02156e+08, 409583, 360116237, 374339016, 376949571, 377667367, 6.74947e+10, 6.87141e+09, 6.26534e+10, 7.2336e+10, 53394430936, 70571903071, 70945985390, 71217846940, 71276177916, 5.26829e+10, 6.50624e+07, 5.26371e+10, 5.27287e+10, 52560493003, 52644023998, 52689715772, 52773257329, 52793888694, 1.02008e+10, 8.31572e+06, 1.01949e+10, 1.02067e+10, 10184375134, 10197280463, 10202230600, 10205011747, 10218801034, 2.20956e+08, 8.90756e+06, 2.1468e+08, 2.27232e+08, 198810014, 220821478, 222021785, 231686327, 232422698, 1.02008e+10, 8.31572e+06, 1.01949e+10, 1.02067e+10, 10184375134, 10197280463, 10202230600, 10205011747, 10218801034, 2.20956e+08, 8.90756e+06, 2.1468e+08, 2.27232e+08, 198810014, 220821478, 222021785, 231686327, 232422698
Sun May 14 15:35:51 EDT 2017, 1, 10, 0.250, 15, 69.802, 9.69133, 62.9739, 76.6301, 45.64, 73.9, 74.435, 74.99, 75.13, 85415.6, 12.9553, 85406.5, 85424.7, 85404, 85404, 85414, 85424, 85448, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4999000, 0, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 4999000, 74463786, 1, 7.44638e+07, 7.44638e+07, 74463786, 74463786, 74463786, 74463786, 74463786, 2.19643e+09, 7.80879e+07, 2.14141e+09, 2.25145e+09, 2084163100, 2120318213, 2.22382e+09, 2288363117, 2298200090, 7.28997e+08, 3.10204e+08, 5.10441e+08, 9.47553e+08, 26718887, 871445005, 884838871, 888220901, 890561530, 2.19643e+09, 7.80879e+07, 2.14141e+09, 2.25145e+09, 2084163100, 2120318213, 2.22382e+09, 2288363117, 2298200090, 7.28997e+08, 3.10204e+08, 5.10441e+08, 9.47553e+08, 26718887, 871445005, 884838871, 888220901, 890561530, 1.67445e+11, 1.47017e+10, 1.57087e+11, 1.77803e+11, 136431768279, 173550592808, 1.74525e+11, 175827215671, 176112530560, 1.23569e+11, 4.54463e+07, 1.23537e+11, 1.23601e+11, 123481147658, 123540747069, 123572611291, 123617259647, 123646217384, 2.38066e+10, 1.19635e+07, 2.37982e+10, 2.3815e+10, 23788058406, 23798069508, 2.38082e+10, 23818620034, 23833281725, 4.67394e+08, 1.67464e+07, 4.55595e+08, 4.79193e+08, 420667674, 468656652, 4.70949e+08, 481328145, 485676057, 2.38066e+10, 1.19635e+07, 2.37982e+10, 2.3815e+10, 23788058406, 23798069508, 2.38082e+10, 23818620034, 23833281725, 4.67394e+08, 1.67464e+07, 4.55595e+08, 4.79193e+08, 420667674, 468656652, 4.70949e+08, 481328145, 485676057
