# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Sat Jan 14 09:08:31 EST 2017, 1, 1, 0.000, 1, 6.373, 0.593398, 5.95492, 6.79108, 4.67, 6.25, 6.65, 6.72, 6.72, 49577.6, 1.95959, 49576.2, 49579, 49576, 49576, 49578, 49580, 49580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1726031, 0, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1957178, 0, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178
Sat Jan 14 09:14:43 EST 2017, 1, 2, 0.000, 1, 8.678, 0.517065, 8.3137, 9.0423, 7.81, 8.35, 9.08, 9.1, 9.11, 50994.4, 1.95959, 50993, 50995.8, 50992, 50992, 50996, 50996, 50996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2588942, 0, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 3147054, 0, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054
Sat Jan 14 09:20:55 EST 2017, 1, 5, 0.000, 1, 12.301, 0.75199, 11.7712, 12.8308, 11.79, 11.86, 12.225, 12.43, 14.47, 52939.6, 2.8, 52937.6, 52941.6, 52936, 52936, 52940, 52944, 52944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3574350, 0, 3574350, 3574350, 3574350, 3574350, 3574350, 3574350, 3574350, 4570633, 0, 4570633, 4570633, 4570633, 4570633, 4570633, 4570633, 4570633
Sat Jan 14 09:27:03 EST 2017, 1, 10, 0.000, 1, 12.892, 0.0701142, 12.8426, 12.9414, 12.78, 12.82, 12.925, 12.97, 12.99, 53826, 2.68328, 53824.1, 53827.9, 53824, 53824, 53826, 53828, 53832, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3928216, 0, 3928216, 3928216, 3928216, 3928216, 3928216, 3928216, 3928216, 4946122, 0, 4946122, 4946122, 4946122, 4946122, 4946122, 4946122, 4946122
Sat Jan 14 09:32:20 EST 2017, 1, 1, 0.250, 1, 6.364, 0.184564, 6.23396, 6.49404, 6.12, 6.13, 6.475, 6.57, 6.58, 45644.4, 3.77359, 45641.7, 45647.1, 45640, 45640, 45648, 45648, 45648, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1957561, 0, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561
Sat Jan 14 09:38:32 EST 2017, 1, 2, 0.250, 1, 8.69, 0.454115, 8.37005, 9.00995, 7.33, 8.82, 8.84, 8.87, 8.89, 46120, 3.09839, 46117.8, 46122.2, 46116, 46116, 46120, 46124, 46124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2567155, 0, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 3146921, 0, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921
Sat Jan 14 09:44:45 EST 2017, 1, 5, 0.250, 1, 11.074, 0.525513, 10.7037, 11.4443, 9.58, 11.26, 11.295, 11.34, 11.37, 46711.2, 4.66476, 46707.9, 46714.5, 46708, 46708, 46712, 46712, 46724, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3434498, 0, 3434498, 3434498, 3434498, 3434498, 3434498, 3434498, 3434498, 4570728, 0, 4570728, 4570728, 4570728, 4570728, 4570728, 4570728, 4570728
Sat Jan 14 09:50:52 EST 2017, 1, 10, 0.250, 1, 11.756, 0.373154, 11.4931, 12.0189, 10.7, 11.87, 11.905, 11.97, 11.99, 46919.2, 3.48712, 46916.7, 46921.7, 46916, 46916, 46920, 46924, 46924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3648308, 0, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 4946123, 0, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123
Sat Jan 14 09:57:00 EST 2017, 1, 1, 0.000, 2, 10.339, 0.228886, 10.1777, 10.5003, 9.88, 10.42, 10.44, 10.48, 10.52, 50737.6, 2.6533, 50735.7, 50739.5, 50736, 50736, 50736, 50740, 50744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2883007, 0, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 2883007, 3915395, 0, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395, 3915395
Sat Jan 14 10:02:27 EST 2017, 1, 2, 0.000, 2, 13.808, 0.885548, 13.1841, 14.4319, 11.71, 13.15, 14.095, 14.65, 14.7, 52950.4, 3.2, 52948.1, 52952.7, 52948, 52948, 52950, 52956, 52956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3891614, 0, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 3891614, 6296628, 0, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628, 6296628
