# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, topCancl_mean, topCancl_sd, topCancl_ci, topCancl_ci, topCancl_min, topCancl_box_q1, topCancl_median, topCancl_box_q2, topCancl_max, ladCancl_mean, ladCancl_sd, ladCancl_ci, ladCancl_ci, ladCancl_min, ladCancl_box_q1, ladCancl_median, ladCancl_box_q2, ladCancl_max, botCancl_mean, botCancl_sd, botCancl_ci, botCancl_ci, botCancl_min, botCancl_box_q1, botCancl_median, botCancl_box_q2, botCancl_max, topScan_mean, topScan_sd, topScan_ci, topScan_ci, topScan_min, topScan_box_q1, topScan_median, topScan_box_q2, topScan_max, ladScan_mean, ladScan_sd, ladScan_ci, ladScan_ci, ladScan_min, ladScan_box_q1, ladScan_median, ladScan_box_q2, ladScan_max, botScan_mean, botScan_sd, botScan_ci, botScan_ci, botScan_min, botScan_box_q1, botScan_median, botScan_box_q2, botScan_max, NuBotScan_mean, NuBotScan_sd, NuBotScan_ci, NuBotScan_ci, NuBotScan_min, NuBotScan_box_q1, NuBotScan_median, NuBotScan_box_q2, NuBotScan_max, NoCBotSc_mean, NoCBotSc_sd, NoCBotSc_ci, NoCBotSc_ci, NoCBotSc_min, NoCBotSc_box_q1, NoCBotSc_median, NoCBotSc_box_q2, NoCBotSc_max, NuNoCBotSc_mean, NuNoCBotSc_sd, NuNoCBotSc_ci, NuNoCBotSc_ci, NuNoCBotSc_min, NuNoCBotSc_box_q1, NuNoCBotSc_median, NuNoCBotSc_box_q2, NuNoCBotSc_max, topIns_mean, topIns_sd, topIns_ci, topIns_ci, topIns_min, topIns_box_q1, topIns_median, topIns_box_q2, topIns_max, ladIns_mean, ladIns_sd, ladIns_ci, ladIns_ci, ladIns_min, ladIns_box_q1, ladIns_median, ladIns_box_q2, ladIns_max, botIns_mean, botIns_sd, botIns_ci, botIns_ci, botIns_min, botIns_box_q1, botIns_median, botIns_box_q2, botIns_max, rungs_mean, rungs_sd, rungs_ci, rungs_ci, rungs_min, rungs_box_q1, rungs_median, rungs_box_q2, rungs_max, bktRung_mean, bktRung_sd, bktRung_ci, bktRung_ci, bktRung_min, bktRung_box_q1, bktRung_median, bktRung_box_q2, bktRung_max, botSize_mean, botSize_sd, botSize_ci, botSize_ci, botSize_min, botSize_box_q1, botSize_median, botSize_box_q2, botSize_max, bktSize_mean, bktSize_sd, bktSize_ci, bktSize_ci, bktSize_min, bktSize_box_q1, bktSize_median, bktSize_box_q2, bktSize_max
Sat Jan 14 09:04:23 EST 2017, 1, 1, 0.000, 1, 4.882, 0.141478, 4.78232, 4.98168, 4.59, 4.91, 4.945, 4.98, 5.01, 49497.6, 1.95959, 49496.2, 49499, 49496, 49496, 49498, 49500, 49500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 259984, 0, 259984, 259984, 259984, 259984, 259984, 259984, 259984, 1704388, 0, 1704388, 1704388, 1704388, 1704388, 1704388, 1704388, 1704388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13851, 1.49012e-08, 1.13851, 1.13851, 1.13851, 1.13851, 1.13851, 1.13851, 1.13851, 3936.62, 0, 3936.62, 3936.62, 3936.62, 3936.62, 3936.62, 3936.62, 3936.62, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:10:31 EST 2017, 1, 2, 0.000, 1, 6.726, 0.120516, 6.64109, 6.81091, 6.61, 6.62, 6.75, 6.89, 6.91, 51143.2, 2.99333, 51141.1, 51145.3, 51140, 51140, 51144, 51148, 51148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 499982, 0, 499982, 499982, 499982, 499982, 499982, 499982, 499982, 2655188, 0, 2655188, 2655188, 2655188, 2655188, 2655188, 2655188, 2655188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13431, 2.98023e-08, 1.13431, 1.13431, 1.13431, 1.13431, 1.13431, 1.13431, 1.13431, 6322.99, 8.63167e-05, 6322.99, 6322.99, 6322.99, 6322.99, 6322.99, 6322.99, 6322.99, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:16:45 EST 2017, 1, 5, 0.000, 1, 8.899, 0.173231, 8.77695, 9.02105, 8.7, 8.72, 9.02, 9.11, 9.13, 53057.2, 1.83303, 53055.9, 53058.5, 53056, 53056, 53056, 53060, 53060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1149927, 0, 1149927, 1149927, 1149927, 1149927, 1149927, 1149927, 1149927, 3430217, 0, 3430217, 3430217, 3430217, 3430217, 3430217, 3430217, 3430217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.12183, 2.58096e-08, 1.12183, 1.12183, 1.12183, 1.12183, 1.12183, 1.12183, 1.12183, 9178.65, 0.000172633, 9178.65, 9178.65, 9178.65, 9178.65, 9178.65, 9178.65, 9178.65, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:22:54 EST 2017, 1, 10, 0.000, 1, 9.543, 0.311963, 9.3232, 9.7628, 8.92, 9.65, 9.68, 9.73, 9.81, 53975.6, 2.8, 53973.6, 53977.6, 53972, 53972, 53976, 53980, 53980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2099933, 0, 2099933, 2099933, 2099933, 2099933, 2099933, 2099933, 2099933, 2856147, 0, 2856147, 2856147, 2856147, 2856147, 2856147, 2856147, 2856147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.08533, 2.58096e-08, 1.08533, 1.08533, 1.08533, 1.08533, 1.08533, 1.08533, 1.08533, 9932.02, 0.00012207, 9932.02, 9932.02, 9932.02, 9932.02, 9932.02, 9932.02, 9932.02, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:28:58 EST 2017, 1, 1, 0.250, 1, 4.783, 0.226055, 4.62373, 4.94227, 4.32, 4.66, 4.85, 5.04, 5.06, 45531.6, 3.32265, 45529.3, 45533.9, 45528, 45528, 45532, 45536, 45536, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 267719, 0, 267719, 267719, 267719, 267719, 267719, 267719, 267719, 1696966, 0, 1696966, 1696966, 1696966, 1696966, 1696966, 1696966, 1696966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13834, 2.58096e-08, 1.13834, 1.13834, 1.13834, 1.13834, 1.13834, 1.13834, 1.13834, 3937.24, 9.65051e-05, 3937.24, 3937.24, 3937.24, 3937.24, 3937.24, 3937.24, 3937.24, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:34:22 EST 2017, 1, 2, 0.250, 1, 6.503, 0.334097, 6.26761, 6.73839, 6, 6.17, 6.755, 6.87, 6.89, 46251.2, 2.99333, 46249.1, 46253.3, 46248, 46248, 46252, 46256, 46256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 509952, 0, 509952, 509952, 509952, 509952, 509952, 509952, 509952, 2645181, 0, 2645181, 2645181, 2645181, 2645181, 2645181, 2645181, 2645181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13413, 1.49012e-08, 1.13413, 1.13413, 1.13413, 1.13413, 1.13413, 1.13413, 1.13413, 6322.91, 0.00012207, 6322.91, 6322.91, 6322.91, 6322.91, 6322.91, 6322.91, 6322.91, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:40:36 EST 2017, 1, 5, 0.250, 1, 8.447, 0.320158, 8.22143, 8.67257, 7.58, 8.4, 8.54, 8.75, 8.75, 46766.4, 1.95959, 46765, 46767.8, 46764, 46764, 46768, 46768, 46768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1139998, 0, 1139998, 1139998, 1139998, 1139998, 1139998, 1139998, 1139998, 3440300, 0, 3440300, 3440300, 3440300, 3440300, 3440300, 3440300, 3440300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.12218, 1.49012e-08, 1.12218, 1.12218, 1.12218, 1.12218, 1.12218, 1.12218, 1.12218, 9178.95, 0.00012207, 9178.95, 9178.95, 9178.95, 9178.95, 9178.95, 9178.95, 9178.95, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:46:44 EST 2017, 1, 10, 0.250, 1, 9.298, 0.268954, 9.10851, 9.48749, 8.75, 9.38, 9.43, 9.46, 9.51, 46758.8, 2.56125, 46757, 46760.6, 46756, 46756, 46760, 46760, 46764, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2089953, 0, 2089953, 2089953, 2089953, 2089953, 2089953, 2089953, 2089953, 2866146, 0, 2866146, 2866146, 2866146, 2866146, 2866146, 2866146, 2866146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.08575, 2.10734e-08, 1.08575, 1.08575, 1.08575, 1.08575, 1.08575, 1.08575, 1.08575, 9932.06, 0.00012207, 9932.06, 9932.06, 9932.06, 9932.06, 9932.06, 9932.06, 9932.06, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:52:53 EST 2017, 1, 1, 0.000, 2, 7.952, 0.0887468, 7.88947, 8.01453, 7.72, 7.92, 7.985, 8.03, 8.05, 51210, 2.68328, 51208.1, 51211.9, 51208, 51208, 51210, 51212, 51216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 497256, 0, 497256, 497256, 497256, 497256, 497256, 497256, 497256, 3429235, 0, 3429235, 3429235, 3429235, 3429235, 3429235, 3429235, 3429235, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13864, 2.58096e-08, 1.13864, 1.13864, 1.13864, 1.13864, 1.13864, 1.13864, 1.13864, 7868.72, 0.000149505, 7868.72, 7868.72, 7868.72, 7868.72, 7868.72, 7868.72, 7868.72, 1, 0, 1, 1, 1, 1, 1, 1, 1
Sat Jan 14 09:59:07 EST 2017, 1, 2, 0.000, 2, 11.117, 0.371835, 10.855, 11.379, 10.26, 11.24, 11.3, 11.34, 11.37, 53694.4, 3.2, 53692.1, 53696.7, 53692, 53692, 53694, 53700, 53700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 920000, 0, 920000, 920000, 920000, 920000, 920000, 920000, 920000, 5390497, 0, 5390497, 5390497, 5390497, 5390497, 5390497, 5390497, 5390497, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 8, 8, 8, 8, 8, 8, 8, 1.13331, 1.49012e-08, 1.13331, 1.13331, 1.13331, 1.13331, 1.13331, 1.13331, 1.13331, 12646.3, 0.000172633, 12646.3, 12646.3, 12646.3, 12646.3, 12646.3, 12646.3, 12646.3, 1, 0, 1, 1, 1, 1, 1, 1, 1
