# Timestamp, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, agentBkts_mean, agentBkts_sd, agentBkts_ci, agentBkts_ci, agentBkts_min, agentBkts_box_q1, agentBkts_median, agentBkts_box_q2, agentBkts_max, schedBktSz_mean, schedBktSz_sd, schedBktSz_ci, schedBktSz_ci, schedBktSz_min, schedBktSz_box_q1, schedBktSz_median, schedBktSz_box_q2, schedBktSz_max, fixHeapComp_mean, fixHeapComp_sd, fixHeapComp_ci, fixHeapComp_ci, fixHeapComp_min, fixHeapComp_box_q1, fixHeapComp_median, fixHeapComp_box_q2, fixHeapComp_max, fixHeapOps_mean, fixHeapOps_sd, fixHeapOps_ci, fixHeapOps_ci, fixHeapOps_min, fixHeapOps_box_q1, fixHeapOps_median, fixHeapOps_box_q2, fixHeapOps_max
Fri Dec 30 15:43:53 EST 2016, 0, 0.000, 1, 15.158, 1.07059, 14.4037, 15.9123, 13.51, 14.45, 15.465, 16.05, 17.27, 241338, 10.6132, 241331, 241345, 241328, 241328, 241344, 241344, 241360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4224817, 0, 4224817, 4224817, 4224817, 4224817, 4224817, 4224817, 4224817, 4980000, 0, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 0.509687, 1.29048e-08, 0.509687, 0.509687, 0.509687, 0.509687, 0.509687, 0.509687, 0.509687, 1.18112, 1.49012e-08, 1.18112, 1.18112, 1.18112, 1.18112, 1.18112, 1.18112, 1.18112, 11.0116, 1.68587e-07, 11.0116, 11.0116, 11.0116, 11.0116, 11.0116, 11.0116, 11.0116, 6712951, 0, 6712951, 6712951, 6712951, 6712951, 6712951, 6712951, 6712951
Fri Dec 30 15:44:44 EST 2016, 1, 0.000, 1, 6.333, 0.303745, 6.11899, 6.54701, 5.48, 6.33, 6.415, 6.52, 6.66, 221694, 18.1725, 221681, 221707, 221680, 221680, 221696, 221696, 221744, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1726031, 0, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1726031, 1957178, 0, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178, 1957178, 0.618131, 0, 0.618131, 0.618131, 0.618131, 0.618131, 0.618131, 0.618131, 0.618131, 1.13809, 0, 1.13809, 1.13809, 1.13809, 1.13809, 1.13809, 1.13809, 1.13809, 9.01585, 1.19209e-07, 9.01585, 9.01585, 9.01585, 9.01585, 9.01585, 9.01585, 9.01585, 2917750, 0, 2917750, 2917750, 2917750, 2917750, 2917750, 2917750, 2917750
Fri Dec 30 15:45:50 EST 2016, 2, 0.000, 1, 9.229, 0.594247, 8.81032, 9.64768, 8.00, 9.07, 9.35, 9.59, 10.43, 227240, 8, 227234, 227246, 227232, 227232, 227248, 227248, 227248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2588942, 0, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 2588942, 3147054, 0, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054, 3147054, 0.578159, 1.29048e-08, 0.578159, 0.578159, 0.578159, 0.578159, 0.578159, 0.578159, 0.578159, 1.21871, 1.49012e-08, 1.21871, 1.21871, 1.21871, 1.21871, 1.21871, 1.21871, 1.21871, 9.4914, 1.19209e-07, 9.4914, 9.4914, 9.4914, 9.4914, 9.4914, 9.4914, 9.4914, 4351627, 0, 4351627, 4351627, 4351627, 4351627, 4351627, 4351627, 4351627
Fri Dec 30 15:46:51 EST 2016, 4, 0.000, 1, 11.752, 0.362872, 11.4963, 12.0077, 11.18, 11.55, 11.62, 12.26, 12.32, 233784, 8, 233778, 233790, 233776, 233776, 233792, 233792, 233792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3376635, 0, 3376635, 3376635, 3376635, 3376635, 3376635, 3376635, 3376635, 4305275, 0, 4305275, 4305275, 4305275, 4305275, 4305275, 4305275, 4305275, 0.538328, 7.45058e-09, 0.538328, 0.538328, 0.538328, 0.538328, 0.538328, 0.538328, 0.538328, 1.27776, 2.10734e-08, 1.27776, 1.27776, 1.27776, 1.27776, 1.27776, 1.27776, 1.27776, 10.1078, 1.19209e-07, 10.1078, 10.1078, 10.1078, 10.1078, 10.1078, 10.1078, 10.1078, 5611835, 0, 5611835, 5611835, 5611835, 5611835, 5611835, 5611835, 5611835
Fri Dec 30 15:47:52 EST 2016, 8, 0.000, 1, 13.256, 0.592523, 12.8385, 13.6735, 11.95, 13.00, 13.595, 13.73, 13.78, 236664, 8, 236658, 236670, 236656, 236656, 236672, 236672, 236672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3859477, 0, 3859477, 3859477, 3859477, 3859477, 3859477, 3859477, 3859477, 4888717, 0, 4888717, 4888717, 4888717, 4888717, 4888717, 4888717, 4888717, 0.523569, 1.05367e-08, 0.523569, 0.523569, 0.523569, 0.523569, 0.523569, 0.523569, 0.523569, 1.26924, 1.49012e-08, 1.26924, 1.26924, 1.26924, 1.26924, 1.26924, 1.26924, 1.26924, 10.616, 1.68587e-07, 10.616, 10.616, 10.616, 10.616, 10.616, 10.616, 10.616, 6296287, 0, 6296287, 6296287, 6296287, 6296287, 6296287, 6296287, 6296287
Fri Dec 30 15:48:59 EST 2016, 0, 0.250, 1, 12.094, 1.07697, 11.3352, 12.8528, 11.47, 11.53, 11.885, 12.52, 15.19, 210486, 7.83837, 210480, 210492, 210480, 210480, 210488, 210496, 210496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3667387, 0, 3667387, 3667387, 3667387, 3667387, 3667387, 3667387, 3667387, 4980000, 0, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 4980000, 0.475143, 5.26836e-09, 0.475143, 0.475143, 0.475143, 0.475143, 0.475143, 0.475143, 0.475143, 1.36064, 2.10734e-08, 1.36064, 1.36064, 1.36064, 1.36064, 1.36064, 1.36064, 1.36064, 9.42446, 1.68587e-07, 9.42446, 9.42446, 9.42446, 9.42446, 9.42446, 9.42446, 9.42446, 6351759, 0, 6351759, 6351759, 6351759, 6351759, 6351759, 6351759, 6351759
Fri Dec 30 15:49:50 EST 2016, 1, 0.250, 1, 6.543, 0.586959, 6.12945, 6.95655, 6.16, 6.20, 6.42, 6.47, 8.27, 206005, 10.245, 205998, 206012, 206000, 206000, 206000, 206016, 206032, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1957561, 0, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 0.597072, 1.29048e-08, 0.597072, 0.597072, 0.597072, 0.597072, 0.597072, 0.597072, 0.597072, 1.14037, 2.58096e-08, 1.14037, 1.14037, 1.14037, 1.14037, 1.14037, 1.14037, 1.14037, 8.73023, 1.68587e-07, 8.73023, 8.73023, 8.73023, 8.73023, 8.73023, 8.73023, 8.73023, 2956865, 0, 2956865, 2956865, 2956865, 2956865, 2956865, 2956865, 2956865
Fri Dec 30 15:50:56 EST 2016, 2, 0.250, 1, 9.293, 0.749507, 8.76493, 9.82107, 8.78, 8.88, 9.14, 9.43, 11.46, 207864, 8, 207858, 207870, 207856, 207856, 207872, 207872, 207872, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2567155, 0, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 2567155, 3146921, 0, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921, 3146921, 0.548113, 7.45058e-09, 0.548113, 0.548113, 0.548113, 0.548113, 0.548113, 0.548113, 0.548113, 1.22904, 2.58096e-08, 1.22904, 1.22904, 1.22904, 1.22904, 1.22904, 1.22904, 1.22904, 8.96476, 0, 8.96476, 8.96476, 8.96476, 8.96476, 8.96476, 8.96476, 8.96476, 4427007, 0, 4427007, 4427007, 4427007, 4427007, 4427007, 4427007, 4427007
Fri Dec 30 15:53:13 EST 2016, 4, 0.250, 1, 11.212, 0.913628, 10.5683, 11.8557, 9.54, 10.59, 11.45, 12.36, 12.90, 209478, 7.83837, 209472, 209484, 209472, 209472, 209480, 209488, 209488, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3281561, 0, 3281561, 3281561, 3281561, 3281561, 3281561, 3281561, 3281561, 4305214, 0, 4305214, 4305214, 4305214, 4305214, 4305214, 4305214, 4305214, 0.500459, 1.05367e-08, 0.500459, 0.500459, 0.500459, 0.500459, 0.500459, 0.500459, 0.500459, 1.31476, 1.49012e-08, 1.31476, 1.31476, 1.31476, 1.31476, 1.31476, 1.31476, 1.31476, 9.22701, 2.06477e-07, 9.22701, 9.22701, 9.22701, 9.22701, 9.22701, 9.22701, 9.22701, 5683787, 0, 5683787, 5683787, 5683787, 5683787, 5683787, 5683787, 5683787
Fri Dec 30 15:54:19 EST 2016, 8, 0.250, 1, 13.505, 0.734415, 12.9876, 14.0224, 12.23, 12.94, 13.81, 14.45, 14.48, 210611, 6.4, 210606, 210616, 210608, 210608, 210608, 210624, 210624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3615725, 0, 3615725, 3615725, 3615725, 3615725, 3615725, 3615725, 3615725, 4888739, 0, 4888739, 4888739, 4888739, 4888739, 4888739, 4888739, 4888739, 0.478483, 9.12506e-09, 0.478483, 0.478483, 0.478483, 0.478483, 0.478483, 0.478483, 0.478483, 1.35481, 2.10734e-08, 1.35481, 1.35481, 1.35481, 1.35481, 1.35481, 1.35481, 1.35481, 9.39131, 1.68587e-07, 9.39131, 9.39131, 9.39131, 9.39131, 9.39131, 9.39131, 9.39131, 6263407, 0, 6263407, 6263407, 6263407, 6263407, 6263407, 6263407, 6263407
