# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Sun May 14 19:10:22 EDT 2017, 1, 1, 0.250, 1, 5.225, 0.966667, 4.54393, 5.90607, 3.42, 5.01, 5.185, 5.41, 7.63, 46229.2, 2.56125, 46227.4, 46231, 46228, 46228, 46228, 46232, 46236, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1957561, 0, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1.61419e+08, 2.332e+06, 1.59776e+08, 1.63062e+08, 157777985, 159900331, 1.62537e+08, 163949427, 164677761, 1.22687e+08, 2.00559e+07, 1.08557e+08, 1.36817e+08, 62586840, 127946176, 129518082, 130515887, 130872196, 1.61419e+08, 2.332e+06, 1.59776e+08, 1.63062e+08, 157777985, 159900331, 1.62537e+08, 163949427, 164677761, 1.22687e+08, 2.00559e+07, 1.08557e+08, 1.36817e+08, 62586840, 127946176, 129518082, 130515887, 130872196, 1.09848e+10, 7.97613e+08, 1.04228e+10, 1.15468e+10, 8751118344, 10819341479, 1.13635e+10, 11542059977, 11579139912, 6.18763e+09, 6.51926e+07, 6.1417e+09, 6.23356e+09, 6109236397, 6143737608, 6.17634e+09, 6303875937, 6311224720, 1.11828e+09, 1.41741e+07, 1.10829e+09, 1.12827e+09, 1100156830, 1112379606, 1.11592e+09, 1143255395, 1145651504, 2.08854e+07, 2.01592e+06, 1.94651e+07, 2.23057e+07, 16970301, 20089002, 20414335, 23684949, 23713239, 1.11828e+09, 1.41741e+07, 1.10829e+09, 1.12827e+09, 1100156830, 1112379606, 1.11592e+09, 1143255395, 1145651504, 2.08854e+07, 2.01592e+06, 1.94651e+07, 2.23057e+07, 16970301, 20089002, 20414335, 23684949, 23713239
Sun May 14 19:11:29 EDT 2017, 1, 10, 0.250, 1, 9.137, 0.764186, 8.59859, 9.67541, 6.9, 9.24, 9.33, 9.64, 9.76, 47318, 3.68782, 47315.4, 47320.6, 47316, 47316, 47316, 47320, 47328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3648308, 0, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 4946123, 0, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 2.82829e+08, 2.94479e+06, 2.80754e+08, 2.84904e+08, 279306546, 280306870, 283454543, 284988674, 289330661, 1.81777e+08, 2.08012e+07, 1.67121e+08, 1.96433e+08, 119557762, 187483397, 1.88052e+08, 191474765, 191596693, 2.82829e+08, 2.94479e+06, 2.80754e+08, 2.84904e+08, 279306546, 280306870, 283454543, 284988674, 289330661, 1.81777e+08, 2.08012e+07, 1.67121e+08, 1.96433e+08, 119557762, 187483397, 1.88052e+08, 191474765, 191596693, 2.12092e+10, 8.19245e+08, 2.0632e+10, 2.17864e+10, 18932170990, 21186629128, 21416169819, 21919424181, 22128879622, 1.31861e+10, 7.04602e+07, 1.31365e+10, 1.32357e+10, 13100036844, 13133018672, 1.31907e+10, 13309914295, 13313824360, 2.33968e+09, 1.58578e+07, 2.32851e+09, 2.35085e+09, 2323130859, 2324697668, 2.34434e+09, 2362286261, 2370502933, 4.41567e+07, 3.25566e+06, 4.18629e+07, 4.64505e+07, 41174454, 41582896, 4.31517e+07, 49162043, 49278703, 2.33968e+09, 1.58578e+07, 2.32851e+09, 2.35085e+09, 2323130859, 2324697668, 2.34434e+09, 2362286261, 2370502933, 4.41567e+07, 3.25566e+06, 4.18629e+07, 4.64505e+07, 41174454, 41582896, 4.31517e+07, 49162043, 49278703
Sun May 14 19:13:36 EDT 2017, 1, 1, 0.250, 2, 7.837, 0.707842, 7.33829, 8.33571, 5.92, 7.8, 8.185, 8.23, 8.4, 48912.8, 4.30813, 48909.8, 48915.8, 48908, 48912, 48912, 48916, 48924, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2878203, 0, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 3915208, 0, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208, 2.46517e+08, 4.1859e+06, 2.43568e+08, 2.49466e+08, 238551737, 245387341, 2.48814e+08, 249709814, 250438839, 1.61356e+08, 2.10124e+07, 1.46552e+08, 1.7616e+08, 101592005, 166881760, 170821557, 171258934, 172307422, 2.46517e+08, 4.1859e+06, 2.43568e+08, 2.49466e+08, 238551737, 245387341, 2.48814e+08, 249709814, 250438839, 1.61356e+08, 2.10124e+07, 1.46552e+08, 1.7616e+08, 101592005, 166881760, 170821557, 171258934, 172307422, 18052552936, 8.68221e+08, 1.74408e+10, 1.86643e+10, 15983107653, 18119952110, 18447676106, 18718505053, 18840309322, 10871929602, 6.89906e+07, 1.08233e+10, 1.09205e+10, 10779534668, 10817563654, 10889737449, 10961904625, 10962149734, 1.92667e+09, 1.42981e+07, 1.9166e+09, 1.93674e+09, 1904962319, 1916878657, 1.93082e+09, 1942271405, 1950032458, 3.94873e+07, 3.43099e+06, 3.707e+07, 4.19046e+07, 32752569, 37862474, 38781685, 44236400, 44322043, 1.92667e+09, 1.42981e+07, 1.9166e+09, 1.93674e+09, 1904962319, 1916878657, 1.93082e+09, 1942271405, 1950032458, 3.94873e+07, 3.43099e+06, 3.707e+07, 4.19046e+07, 32752569, 37862474, 38781685, 44236400, 44322043
Sun May 14 19:15:54 EDT 2017, 1, 10, 0.250, 2, 15.356, 0.661788, 14.8897, 15.8223, 14.21, 15.13, 15.335, 16.16, 16.32, 51326.4, 1.95959, 51325, 51327.8, 51324, 51324, 51328, 51328, 51328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4712398, 0, 4712398, 4712398, 4712398, 4712398, 4712398, 4712398, 4712398, 9892887, 0, 9892887, 9892887, 9892887, 9892887, 9892887, 9892887, 9892887, 4.57534e+08, 1.53618e+07, 4.46711e+08, 4.68357e+08, 436860353, 439973498, 4.69836e+08, 471248732, 471466530, 2.70688e+08, 1.36046e+07, 2.61103e+08, 2.80273e+08, 250636742, 263354501, 270455748, 288951019, 289384236, 4.57534e+08, 1.53618e+07, 4.46711e+08, 4.68357e+08, 436860353, 439973498, 4.69836e+08, 471248732, 471466530, 2.70688e+08, 1.36046e+07, 2.61103e+08, 2.80273e+08, 250636742, 263354501, 270455748, 288951019, 289384236, 3.55526e+10, 1.45376e+09, 3.45283e+10, 3.65769e+10, 33246276992, 34640498588, 35655223541, 37392282377, 37701765224, 2.30829e+10, 5.28209e+07, 2.30457e+10, 2.31201e+10, 23039245146, 23044720296, 2.3069e+10, 23125859628, 23215749616, 4.03082e+09, 1.19568e+07, 4.0224e+09, 4.03924e+09, 4017118247, 4021155416, 4028094525, 4046309240, 4056879622, 86584823, 4.48622e+06, 8.3424e+07, 8.97456e+07, 81467015, 82574767, 88012067, 92072782, 92868798, 4.03082e+09, 1.19568e+07, 4.0224e+09, 4.03924e+09, 4017118247, 4021155416, 4028094525, 4046309240, 4056879622, 86584823, 4.48622e+06, 8.3424e+07, 8.97456e+07, 81467015, 82574767, 88012067, 92072782, 92868798
Sun May 14 19:18:02 EDT 2017, 1, 1, 0.250, 5, 15.836, 1.53454, 14.7548, 16.9172, 12.04, 15.04, 16.845, 17.17, 17.24, 57764.4, 2.8, 57762.4, 57766.4, 57760, 57764, 57764, 57768, 57768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4434430, 0, 4434430, 4434430, 4434430, 4434430, 4434430, 4434430, 4434430, 9799042, 0, 9799042, 9799042, 9799042, 9799042, 9799042, 9799042, 9799042, 4.68861e+08, 1.53651e+07, 4.58035e+08, 4.79687e+08, 446393699, 449216001, 476921398, 486056662, 488149892, 2.69362e+08, 2.65516e+07, 2.50655e+08, 2.88069e+08, 203042814, 259373113, 2.86649e+08, 293399034, 293641675, 4.68861e+08, 1.53651e+07, 4.58035e+08, 4.79687e+08, 446393699, 449216001, 476921398, 486056662, 488149892, 2.69362e+08, 2.65516e+07, 2.50655e+08, 2.88069e+08, 203042814, 259373113, 2.86649e+08, 293399034, 293641675, 3.77601e+10, 1.6974e+09, 3.65642e+10, 3.8956e+10, 35177677506, 36284159185, 39136349376, 39561320249, 39682067386, 2.33117e+10, 6.80186e+07, 2.32638e+10, 2.33596e+10, 23232760150, 23255934106, 23296576667, 23422332786, 23431990685, 4.04661e+09, 1.41167e+07, 4.03666e+09, 4.05656e+09, 4027427652, 4038699091, 4.04227e+09, 4062838197, 4075646971, 9.30997e+07, 5.63306e+06, 8.91309e+07, 9.70685e+07, 81276586, 90465330, 94761958, 99306282, 99564931, 4.04661e+09, 1.41167e+07, 4.03666e+09, 4.05656e+09, 4027427652, 4038699091, 4.04227e+09, 4062838197, 4075646971, 9.30997e+07, 5.63306e+06, 8.91309e+07, 9.70685e+07, 81276586, 90465330, 94761958, 99306282, 99564931
Sun May 14 19:20:29 EDT 2017, 1, 10, 0.250, 5, 32.342, 1.75479, 31.1057, 33.5783, 29.06, 31.97, 33.355, 33.75, 33.92, 63186.8, 2.56125, 63185, 63188.6, 63184, 63184, 63188, 63188, 63192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4989322, 0, 4989322, 4989322, 4989322, 4989322, 4989322, 4989322, 4989322, 24733129, 0, 24733129, 24733129, 24733129, 24733129, 24733129, 24733129, 24733129, 9.01793e+08, 3.39462e+07, 8.77876e+08, 9.2571e+08, 866225980, 869067002, 920379588, 944529777, 945318403, 5.28033e+08, 3.77775e+07, 5.01417e+08, 5.54649e+08, 455381491, 517386128, 552317723, 555866487, 555936344, 9.01793e+08, 3.39462e+07, 8.77876e+08, 9.2571e+08, 866225980, 869067002, 920379588, 944529777, 945318403, 5.28033e+08, 3.77775e+07, 5.01417e+08, 5.54649e+08, 455381491, 517386128, 552317723, 555866487, 555936344, 7.66483e+10, 2.75923e+09, 7.47043e+10, 7.85923e+10, 71690092090, 75487526544, 7.83396e+10, 78956426317, 79343182194, 50302937781, 7.65048e+07, 5.0249e+10, 5.03568e+10, 50205329782, 50241707834, 50325031921, 50394490249, 50409769420, 8.71521e+09, 1.14845e+07, 8.70712e+09, 8.7233e+09, 8696569016, 8706155563, 8.71697e+09, 8730266362, 8736561040, 1.97923e+08, 4.32098e+06, 1.94879e+08, 2.00967e+08, 194321712, 194893664, 195716885, 204236418, 205587218, 8.71521e+09, 1.14845e+07, 8.70712e+09, 8.7233e+09, 8696569016, 8706155563, 8.71697e+09, 8730266362, 8736561040, 1.97923e+08, 4.32098e+06, 1.94879e+08, 2.00967e+08, 194321712, 194893664, 195716885, 204236418, 205587218
Sun May 14 19:22:37 EDT 2017, 1, 1, 0.250, 10, 30.522, 3.1868, 28.2767, 32.7673, 24.17, 29.83, 31.945, 33.03, 33.29, 71123.6, 1.2, 71122.8, 71124.4, 71120, 71124, 71124, 71124, 71124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4930887, 0, 4930887, 4930887, 4930887, 4930887, 4930887, 4930887, 4930887, 19607629, 0, 19607629, 19607629, 19607629, 19607629, 19607629, 19607629, 19607629, 8.31158e+08, 4.49143e+07, 7.99513e+08, 8.62803e+08, 765618387, 777216089, 865855990, 869877629, 873797604, 4.89016e+08, 7.40945e+07, 4.36812e+08, 5.4122e+08, 342131263, 480496333, 522284020, 548406781, 549834904, 8.31158e+08, 4.49143e+07, 7.99513e+08, 8.62803e+08, 765618387, 777216089, 865855990, 869877629, 873797604, 4.89016e+08, 7.40945e+07, 4.36812e+08, 5.4122e+08, 342131263, 480496333, 522284020, 548406781, 549834904, 7.19684e+10, 6.19282e+09, 6.76052e+10, 7.63316e+10, 59283091953, 70111804265, 74556666560, 77100304749, 77647849843, 4.23629e+10, 6.27076e+07, 4.23187e+10, 4.24071e+10, 42293354184, 42322570216, 42351394838, 42452521241, 42505373393, 7.2643e+09, 1.08082e+07, 7.25669e+09, 7.27191e+09, 7256706764, 7257625717, 7.26059e+09, 7284657987, 7286701650, 1.70707e+08, 1.42391e+06, 1.69704e+08, 1.7171e+08, 168110908, 169909287, 1.7122e+08, 172251724, 172327145, 7.2643e+09, 1.08082e+07, 7.25669e+09, 7.27191e+09, 7256706764, 7257625717, 7.26059e+09, 7284657987, 7286701650, 1.70707e+08, 1.42391e+06, 1.69704e+08, 1.7171e+08, 168110908, 169909287, 1.7122e+08, 172251724, 172327145
Sun May 14 19:25:15 EDT 2017, 1, 10, 0.250, 10, 62.611, 7.6835, 57.1975, 68.0245, 42.11, 65.13, 66, 66.81, 67.51, 80841.6, 4.8, 80838.2, 80845, 80840, 80840, 80840, 80840, 80856, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 49465246, 0, 49465246, 49465246, 49465246, 49465246, 49465246, 49465246, 49465246, 1.77508e+09, 4.40321e+07, 1.74406e+09, 1.8061e+09, 1710574219, 1715861853, 1796926557, 1820524992, 1831006693, 1.01001e+09, 1.77231e+08, 8.85141e+08, 1.13488e+09, 545909954, 1086260350, 1.09243e+09, 1097574057, 1106040684, 1.77508e+09, 4.40321e+07, 1.74406e+09, 1.8061e+09, 1710574219, 1715861853, 1796926557, 1820524992, 1831006693, 1.01001e+09, 1.77231e+08, 8.85141e+08, 1.13488e+09, 545909954, 1086260350, 1.09243e+09, 1097574057, 1106040684, 1.50967e+11, 1.03432e+10, 1.4368e+11, 1.58254e+11, 125885776881, 154024636698, 1.55564e+11, 157050791211, 158926864929, 9.54155e+10, 7.95459e+07, 9.53595e+10, 9.54715e+10, 95308553048, 95351147718, 95443731451, 95517466145, 95538573768, 1.65062e+10, 1.88834e+07, 1.64929e+10, 1.65195e+10, 16466896838, 16498205757, 1.65124e+10, 16528206958, 16529558890, 3.75252e+08, 2.13587e+07, 3.60204e+08, 3.903e+08, 329785306, 371406402, 373772629, 384866634, 423637166, 1.65062e+10, 1.88834e+07, 1.64929e+10, 1.65195e+10, 16466896838, 16498205757, 1.65124e+10, 16528206958, 16529558890, 3.75252e+08, 2.13587e+07, 3.60204e+08, 3.903e+08, 329785306, 371406402, 373772629, 384866634, 423637166
Sun May 14 19:27:08 EDT 2017, 1, 1, 0.250, 15, 45.878, 3.30384, 43.5503, 48.2057, 36.37, 46.35, 46.43, 48.69, 48.85, 83895.6, 2.8, 83893.6, 83897.6, 83892, 83892, 83896, 83900, 83900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4983796, 0, 4983796, 4983796, 4983796, 4983796, 4983796, 4983796, 4983796, 29400577, 0, 29400577, 29400577, 29400577, 29400577, 29400577, 29400577, 29400577, 1.15284e+09, 7.80358e+07, 1.09786e+09, 1.20782e+09, 1096085254, 1100255155, 1.10579e+09, 1274861457, 1275368233, 7.21445e+08, 8.478e+07, 6.61713e+08, 7.81177e+08, 487309989, 725436921, 732091791, 810511590, 814376789, 1.15284e+09, 7.80358e+07, 1.09786e+09, 1.20782e+09, 1096085254, 1100255155, 1.10579e+09, 1274861457, 1275368233, 7.21445e+08, 8.478e+07, 6.61713e+08, 7.81177e+08, 487309989, 725436921, 732091791, 810511590, 814376789, 1.08171e+11, 6.43181e+09, 1.03639e+11, 1.12703e+11, 90070781163, 108835977540, 108928960715, 114497125092, 114617775021, 6.10089e+10, 2.08189e+07, 6.09942e+10, 6.10236e+10, 60979776431, 60992543982, 6.10129e+10, 61033818633, 61049831608, 1.04075e+10, 6.42592e+06, 1.0403e+10, 1.0412e+10, 10398160978, 10400971033, 1.04112e+10, 10414893572, 10416152002, 2.50941e+08, 5.43301e+06, 2.47113e+08, 2.54769e+08, 246294466, 248158184, 2.48614e+08, 257175444, 264837757, 1.04075e+10, 6.42592e+06, 1.0403e+10, 1.0412e+10, 10398160978, 10400971033, 1.04112e+10, 10414893572, 10416152002, 2.50941e+08, 5.43301e+06, 2.47113e+08, 2.54769e+08, 246294466, 248158184, 2.48614e+08, 257175444, 264837757
Sun May 14 19:30:11 EDT 2017, 1, 10, 0.250, 15, 99.255, 4.24709, 96.2627, 102.247, 88.42, 98.88, 100.17, 101.9, 105.85, 97255.2, 2.99333, 97253.1, 97257.3, 97252, 97252, 97256, 97260, 97260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 74197146, 1, 7.41971e+07, 7.41971e+07, 74197146, 74197146, 74197146, 74197146, 74197146, 2.61343e+09, 4.82412e+07, 2.57944e+09, 2.64742e+09, 2557758587, 2567663889, 2612456812, 2696121145, 2700122806, 1.63265e+09, 1.07121e+08, 1.55718e+09, 1.70812e+09, 1343010365, 1644719298, 1.66114e+09, 1735523342, 1737270696, 2.61343e+09, 4.82412e+07, 2.57944e+09, 2.64742e+09, 2557758587, 2567663889, 2612456812, 2696121145, 2700122806, 1.63265e+09, 1.07121e+08, 1.55718e+09, 1.70812e+09, 1343010365, 1644719298, 1.66114e+09, 1735523342, 1737270696, 235178204255, 8.08407e+09, 2.29483e+11, 2.40874e+11, 216068079349, 233531965284, 236125936149, 240490216756, 249822157487, 1.40309e+11, 2.16158e+07, 1.40294e+11, 1.40324e+11, 140277249757, 140294345374, 140314858351, 140335334669, 140345992093, 2.41774e+10, 8.95955e+06, 2.41711e+10, 2.41837e+10, 24160249116, 24170301124, 2.41805e+10, 24187107753, 24192542779, 5.47468e+08, 7.02607e+07, 4.97965e+08, 5.96971e+08, 520545433, 522163729, 5.24853e+08, 529491456, 758132174, 2.41774e+10, 8.95955e+06, 2.41711e+10, 2.41837e+10, 24160249116, 24170301124, 2.41805e+10, 24187107753, 24192542779, 5.47468e+08, 7.02607e+07, 4.97965e+08, 5.96971e+08, 520545433, 522163729, 5.24853e+08, 529491456, 758132174
