# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max, cacheRefs_mean, cacheRefs_sd, cacheRefs_ci, cacheRefs_ci, cacheRefs_min, cacheRefs_box_q1, cacheRefs_median, cacheRefs_box_q2, cacheRefs_max, cacheMiss_mean, cacheMiss_sd, cacheMiss_ci, cacheMiss_ci, cacheMiss_min, cacheMiss_box_q1, cacheMiss_median, cacheMiss_box_q2, cacheMiss_max, maxCacheRef_mean, maxCacheRef_sd, maxCacheRef_ci, maxCacheRef_ci, maxCacheRef_min, maxCacheRef_box_q1, maxCacheRef_median, maxCacheRef_box_q2, maxCacheRef_max, maxCacheMiss_mean, maxCacheMiss_sd, maxCacheMiss_ci, maxCacheMiss_ci, maxCacheMiss_min, maxCacheMiss_box_q1, maxCacheMiss_median, maxCacheMiss_box_q2, maxCacheMiss_max, instrCycles_mean, instrCycles_sd, instrCycles_ci, instrCycles_ci, instrCycles_min, instrCycles_box_q1, instrCycles_median, instrCycles_box_q2, instrCycles_max, instrs_mean, instrs_sd, instrs_ci, instrs_ci, instrs_min, instrs_box_q1, instrs_median, instrs_box_q2, instrs_max, brnchs_mean, brnchs_sd, brnchs_ci, brnchs_ci, brnchs_min, brnchs_box_q1, brnchs_median, brnchs_box_q2, brnchs_max, brnchMiss_mean, brnchMiss_sd, brnchMiss_ci, brnchMiss_ci, brnchMiss_min, brnchMiss_box_q1, brnchMiss_median, brnchMiss_box_q2, brnchMiss_max, maxBrnchs_mean, maxBrnchs_sd, maxBrnchs_ci, maxBrnchs_ci, maxBrnchs_min, maxBrnchs_box_q1, maxBrnchs_median, maxBrnchs_box_q2, maxBrnchs_max, maxBrnchMiss_mean, maxBrnchMiss_sd, maxBrnchMiss_ci, maxBrnchMiss_ci, maxBrnchMiss_min, maxBrnchMiss_box_q1, maxBrnchMiss_median, maxBrnchMiss_box_q2, maxBrnchMiss_max
Sun May 14 19:10:27 EDT 2017, 1, 1, 0.250, 1, 7.971, 0.828595, 7.38721, 8.55479, 7.33, 7.48, 7.85, 8.11, 10.33, 48470, 2, 48468.6, 48471.4, 48468, 48468, 48472, 48472, 48472, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1722846, 0, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1722846, 1957561, 0, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 1957561, 2.25961e+08, 2.32808e+06, 2.24321e+08, 2.27601e+08, 222410141, 223754273, 226960243, 228373469, 229354346, 1.64969e+08, 3.61721e+06, 1.6242e+08, 1.67518e+08, 158409483, 160555583, 1.66816e+08, 168114962, 168933667, 2.25961e+08, 2.32808e+06, 2.24321e+08, 2.27601e+08, 222410141, 223754273, 226960243, 228373469, 229354346, 1.64969e+08, 3.61721e+06, 1.6242e+08, 1.67518e+08, 158409483, 160555583, 1.66816e+08, 168114962, 168933667, 1.74414e+10, 3.29727e+08, 1.72091e+10, 1.76737e+10, 16970353581, 17201317146, 1.7584e+10, 17823800264, 17865541511, 7.3018e+09, 4.50315e+07, 7.27007e+09, 7.33353e+09, 7232866727, 7277566466, 7.30084e+09, 7336781331, 7411137444, 1.3275e+09, 1.07623e+07, 1.31992e+09, 1.33508e+09, 1310611241, 1321916846, 1.32602e+09, 1338697457, 1352899914, 5.23065e+07, 1.39276e+06, 5.13252e+07, 5.32878e+07, 51270615, 51564171, 5.17711e+07, 55067921, 55071179, 1.3275e+09, 1.07623e+07, 1.31992e+09, 1.33508e+09, 1310611241, 1321916846, 1.32602e+09, 1338697457, 1352899914, 5.23065e+07, 1.39276e+06, 5.13252e+07, 5.32878e+07, 51270615, 51564171, 5.17711e+07, 55067921, 55071179
Sun May 14 19:12:39 EDT 2017, 1, 10, 0.250, 1, 14.357, 0.974639, 13.6703, 15.0437, 12.05, 14.15, 14.86, 15.33, 15.37, 49744.4, 1.2, 49743.6, 49745.2, 49744, 49744, 49744, 49744, 49748, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3648308, 0, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 3648308, 4946123, 0, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 4946123, 3.84244e+08, 4.17572e+06, 3.81302e+08, 3.87186e+08, 375268087, 382688913, 3.8634e+08, 387611619, 389976307, 2.56163e+08, 2.15503e+07, 2.4098e+08, 2.71346e+08, 199344483, 257699180, 2.63318e+08, 274191376, 275130524, 3.84244e+08, 4.17572e+06, 3.81302e+08, 3.87186e+08, 375268087, 382688913, 3.8634e+08, 387611619, 389976307, 2.56163e+08, 2.15503e+07, 2.4098e+08, 2.71346e+08, 199344483, 257699180, 2.63318e+08, 274191376, 275130524, 3.3473e+10, 1.76694e+09, 3.22281e+10, 3.47179e+10, 29038078779, 33023334727, 34421366989, 35137486213, 35327642503, 1.48587e+10, 3.90904e+07, 1.48312e+10, 1.48862e+10, 14820351915, 14837771612, 1.48554e+10, 14865859033, 14969538545, 2.65317e+09, 8.68908e+06, 2.64705e+09, 2.65929e+09, 2647902875, 2649352757, 2651181203, 2652991684, 2678884466, 1.05886e+08, 3.65145e+06, 1.03313e+08, 1.08459e+08, 102394063, 103487163, 104216389, 111244476, 111823471, 2.65317e+09, 8.68908e+06, 2.64705e+09, 2.65929e+09, 2647902875, 2649352757, 2651181203, 2652991684, 2678884466, 1.05886e+08, 3.65145e+06, 1.03313e+08, 1.08459e+08, 102394063, 103487163, 104216389, 111244476, 111823471
Sun May 14 19:14:47 EDT 2017, 1, 1, 0.250, 2, 12.246, 0.642374, 11.7934, 12.6986, 11.25, 11.57, 12.565, 12.97, 13.06, 50285.2, 1.83303, 50283.9, 50286.5, 50284, 50284, 50284, 50288, 50288, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2878203, 0, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 2878203, 3915208, 0, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208, 3915208, 3.30999e+08, 4.33977e+06, 3.27941e+08, 3.34057e+08, 324442684, 326265186, 333569699, 335431205, 336999582, 2.31951e+08, 1.05012e+07, 2.24552e+08, 2.3935e+08, 213906410, 219513369, 235826476, 243386052, 244198828, 3.30999e+08, 4.33977e+06, 3.27941e+08, 3.34057e+08, 324442684, 326265186, 333569699, 335431205, 336999582, 2.31951e+08, 1.05012e+07, 2.24552e+08, 2.3935e+08, 213906410, 219513369, 235826476, 243386052, 244198828, 2.82672e+10, 9.76054e+08, 2.75795e+10, 2.89549e+10, 26974923955, 27258099916, 28499237104, 29525686546, 29797770929, 1.20825e+10, 4.59653e+07, 1.20501e+10, 1.21149e+10, 12019654802, 12061838896, 1.20799e+10, 12103765919, 12205291390, 2157168072, 1.02308e+07, 2.14996e+09, 2.16438e+09, 2147471558, 2151943545, 2.15574e+09, 2161477730, 2185601670, 7.83778e+07, 5.71894e+06, 7.43485e+07, 8.24071e+07, 74573854, 75175971, 75666493, 82259705, 93730155, 2157168072, 1.02308e+07, 2.14996e+09, 2.16438e+09, 2147471558, 2151943545, 2.15574e+09, 2161477730, 2185601670, 7.83778e+07, 5.71894e+06, 7.43485e+07, 8.24071e+07, 74573854, 75175971, 75666493, 82259705, 93730155
Sun May 14 19:17:04 EDT 2017, 1, 10, 0.250, 2, 20.173, 2.26155, 18.5796, 21.7664, 14.46, 19.92, 21.245, 21.85, 21.96, 53276.4, 12.8312, 53267.4, 53285.4, 53264, 53264, 53280, 53292, 53292, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4712398, 0, 4712398, 4712398, 4712398, 4712398, 4712398, 4712398, 4712398, 9892887, 0, 9892887, 9892887, 9892887, 9892887, 9892887, 9892887, 9892887, 5.46493e+08, 6.66297e+06, 5.41799e+08, 5.51187e+08, 533885763, 544028457, 5.47239e+08, 554111430, 556936351, 3.45465e+08, 5.23633e+07, 3.08572e+08, 3.82358e+08, 213368749, 347984690, 367192739, 383684782, 384560002, 5.46493e+08, 6.66297e+06, 5.41799e+08, 5.51187e+08, 533885763, 544028457, 5.47239e+08, 554111430, 556936351, 3.45465e+08, 5.23633e+07, 3.08572e+08, 3.82358e+08, 213368749, 347984690, 367192739, 383684782, 384560002, 4.8172e+10, 3.10614e+09, 4.59836e+10, 5.03604e+10, 41870058496, 47198905451, 4.96081e+10, 51071234893, 51193198081, 2.23341e+10, 7.61543e+07, 2.22804e+10, 2.23878e+10, 22261019318, 22272502936, 22317065702, 22475579943, 22483116628, 3.95082e+09, 1.57492e+07, 3.93972e+09, 3.96192e+09, 3935084777, 3936271014, 3.94929e+09, 3980093908, 3980319389, 1.35832e+08, 1.08063e+07, 1.28218e+08, 1.43446e+08, 121889372, 130119149, 1.3508e+08, 140968507, 163682223, 3.95082e+09, 1.57492e+07, 3.93972e+09, 3.96192e+09, 3935084777, 3936271014, 3.94929e+09, 3980093908, 3980319389, 1.35832e+08, 1.08063e+07, 1.28218e+08, 1.43446e+08, 121889372, 130119149, 1.3508e+08, 140968507, 163682223
Sun May 14 19:19:12 EDT 2017, 1, 1, 0.250, 5, 21.338, 0.988198, 20.6418, 22.0342, 19.86, 19.96, 21.89, 22.34, 22.35, 55484.4, 610.538, 55054.2, 55914.6, 55276, 55280, 55282, 55284, 57316, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4434430, 0, 4434430, 4434430, 4434430, 4434430, 4434430, 4434430, 4434430, 9799042, 0, 9799042, 9799042, 9799042, 9799042, 9799042, 9799042, 9799042, 5.50576e+08, 3.47028e+06, 5.48131e+08, 5.53021e+08, 544369826, 547705822, 552488226, 554388631, 554878773, 3.79504e+08, 1.41292e+07, 3.69549e+08, 3.89459e+08, 356514009, 359564278, 387529698, 390958501, 394469197, 5.50576e+08, 3.47028e+06, 5.48131e+08, 5.53021e+08, 544369826, 547705822, 552488226, 554388631, 554878773, 3.79504e+08, 1.41292e+07, 3.69549e+08, 3.89459e+08, 356514009, 359564278, 387529698, 390958501, 394469197, 5.02216e+10, 1.31245e+09, 4.92969e+10, 5.11463e+10, 48477922657, 48765934231, 50739406716, 51835670017, 51873326362, 2.1919e+10, 1.79918e+07, 2.19063e+10, 2.19317e+10, 21879108140, 21911178747, 21924996493, 21937823323, 21940469435, 3.84358e+09, 3.88966e+06, 3.84084e+09, 3.84632e+09, 3834925697, 3841614541, 3845551064, 3846960364, 3847753253, 1.17361e+08, 3.59311e+06, 1.14829e+08, 1.19893e+08, 113656672, 114700965, 1.16119e+08, 123130630, 123433308, 3.84358e+09, 3.88966e+06, 3.84084e+09, 3.84632e+09, 3834925697, 3841614541, 3845551064, 3846960364, 3847753253, 1.17361e+08, 3.59311e+06, 1.14829e+08, 1.19893e+08, 113656672, 114700965, 1.16119e+08, 123130630, 123433308
Sun May 14 19:21:35 EDT 2017, 1, 10, 0.250, 5, 34.281, 2.59294, 32.4541, 36.1079, 29.23, 34.34, 35.345, 36.14, 37.58, 62883.2, 2.99333, 62881.1, 62885.3, 62880, 62880, 62884, 62888, 62888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4989322, 0, 4989322, 4989322, 4989322, 4989322, 4989322, 4989322, 4989322, 24733129, 0, 24733129, 24733129, 24733129, 24733129, 24733129, 24733129, 24733129, 9.00999e+08, 1.00429e+07, 8.93923e+08, 9.08075e+08, 886363419, 892444980, 9.04493e+08, 912947412, 917641551, 585160726, 5.47475e+07, 5.46588e+08, 6.23733e+08, 465702941, 597372381, 6.12682e+08, 619957126, 627230140, 9.00999e+08, 1.00429e+07, 8.93923e+08, 9.08075e+08, 886363419, 892444980, 9.04493e+08, 912947412, 917641551, 585160726, 5.47475e+07, 5.46588e+08, 6.23733e+08, 465702941, 597372381, 6.12682e+08, 619957126, 627230140, 81002305691, 4.60067e+09, 7.77609e+10, 8.42437e+10, 71949448121, 80639386698, 8.27335e+10, 84431973594, 87686841377, 3.82966e+10, 8.4127e+07, 3.82373e+10, 3.83559e+10, 38186203128, 38249157086, 3.82755e+10, 38425584801, 38434621402, 6.67234e+09, 1.6582e+07, 6.66066e+09, 6.68402e+09, 6650680006, 6664067135, 6.6686e+09, 6696648118, 6699255428, 1.62838e+08, 3.55078e+06, 1.60336e+08, 1.6534e+08, 158592608, 159383055, 1.64219e+08, 167351267, 167770111, 6.67234e+09, 1.6582e+07, 6.66066e+09, 6.68402e+09, 6650680006, 6664067135, 6.6686e+09, 6696648118, 6699255428, 1.62838e+08, 3.55078e+06, 1.60336e+08, 1.6534e+08, 158592608, 159383055, 1.64219e+08, 167351267, 167770111
Sun May 14 19:23:43 EDT 2017, 1, 1, 0.250, 10, 33.481, 2.52491, 31.7021, 35.2599, 28.43, 34.57, 34.755, 34.86, 34.9, 63553.6, 1.95959, 63552.2, 63555, 63552, 63552, 63554, 63556, 63556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4930887, 0, 4930887, 4930887, 4930887, 4930887, 4930887, 4930887, 4930887, 19607629, 0, 19607629, 19607629, 19607629, 19607629, 19607629, 19607629, 19607629, 9.26753e+08, 1.29705e+07, 9.17615e+08, 9.35891e+08, 901359460, 925803044, 9.31869e+08, 938435487, 941685843, 5.67938e+08, 5.55635e+07, 5.2879e+08, 6.07086e+08, 456780655, 594584260, 5.95839e+08, 596118384, 596399681, 9.26753e+08, 1.29705e+07, 9.17615e+08, 9.35891e+08, 901359460, 925803044, 9.31869e+08, 938435487, 941685843, 5.67938e+08, 5.55635e+07, 5.2879e+08, 6.07086e+08, 456780655, 594584260, 5.95839e+08, 596118384, 596399681, 7.89347e+10, 4.50302e+09, 7.57621e+10, 8.21073e+10, 69901965970, 80847492105, 8.10732e+10, 81532450224, 81560852985, 33646194953, 1.40022e+07, 3.36363e+10, 3.36561e+10, 33626787098, 33637278769, 3.36501e+10, 33656399174, 33675419408, 5.81499e+09, 4.18294e+06, 5.81204e+09, 5.81794e+09, 5810338834, 5812284833, 5814844799, 5817274694, 5825764597, 161503997, 4.0129e+06, 1.58677e+08, 1.64331e+08, 157806165, 158713923, 1.60772e+08, 165201010, 171929013, 5.81499e+09, 4.18294e+06, 5.81204e+09, 5.81794e+09, 5810338834, 5812284833, 5814844799, 5817274694, 5825764597, 161503997, 4.0129e+06, 1.58677e+08, 1.64331e+08, 157806165, 158713923, 1.60772e+08, 165201010, 171929013
Sun May 14 19:27:11 EDT 2017, 1, 10, 0.250, 10, 52.37, 5.3868, 48.5747, 56.1653, 38.17, 53.76, 55.045, 55.54, 55.68, 76155.2, 2.99333, 76153.1, 76157.3, 76152, 76152, 76156, 76160, 76160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 49465246, 0, 49465246, 49465246, 49465246, 49465246, 49465246, 49465246, 49465246, 1.36117e+09, 2.31055e+07, 1.34489e+09, 1.37745e+09, 1296663450, 1359421181, 1364995111, 1381066064, 1381136779, 8.60334e+08, 9.5541e+07, 7.9302e+08, 9.27648e+08, 622721258, 888846482, 912091926, 915581731, 920789369, 1.36117e+09, 2.31055e+07, 1.34489e+09, 1.37745e+09, 1296663450, 1359421181, 1364995111, 1381066064, 1381136779, 8.60334e+08, 9.5541e+07, 7.9302e+08, 9.27648e+08, 622721258, 888846482, 912091926, 915581731, 920789369, 1.26161e+11, 6.54446e+09, 1.2155e+11, 1.30772e+11, 111727585594, 126839039296, 129644505732, 130259116624, 131704979100, 6.42404e+10, 7.33241e+07, 6.41887e+10, 6.42921e+10, 64169130972, 64189299509, 6.42167e+10, 64351880579, 64359402590, 1.10388e+10, 1.44934e+07, 1.10286e+10, 1.1049e+10, 11023351201, 11027407685, 1.10334e+10, 11060918591, 11061825204, 2.26836e+08, 1.02053e+07, 2.19646e+08, 2.34026e+08, 200199869, 224216789, 2.32084e+08, 235403385, 235919671, 1.10388e+10, 1.44934e+07, 1.10286e+10, 1.1049e+10, 11023351201, 11027407685, 1.10334e+10, 11060918591, 11061825204, 2.26836e+08, 1.02053e+07, 2.19646e+08, 2.34026e+08, 200199869, 224216789, 2.32084e+08, 235403385, 235919671
Sun May 14 19:30:09 EDT 2017, 1, 1, 0.250, 15, 42.765, 2.14444, 41.2541, 44.2759, 36.61, 42.6, 43.695, 44.07, 44.34, 68705.6, 2.6533, 68703.7, 68707.5, 68700, 68704, 68708, 68708, 68708, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4983796, 0, 4983796, 4983796, 4983796, 4983796, 4983796, 4983796, 4983796, 29400577, 0, 29400577, 29400577, 29400577, 29400577, 29400577, 29400577, 29400577, 1.13364e+09, 1.49152e+07, 1.12313e+09, 1.14415e+09, 1115920473, 1120921090, 1.13825e+09, 1153381574, 1159263270, 7.37919e+08, 4.57703e+07, 7.05671e+08, 7.70167e+08, 603488991, 740488747, 753700919, 764401089, 766167053, 1.13364e+09, 1.49152e+07, 1.12313e+09, 1.14415e+09, 1115920473, 1120921090, 1.13825e+09, 1153381574, 1159263270, 7.37919e+08, 4.57703e+07, 7.05671e+08, 7.70167e+08, 603488991, 740488747, 753700919, 764401089, 766167053, 1.00888e+11, 3.68957e+09, 9.82885e+10, 1.03488e+11, 90546979910, 100297249344, 102437542822, 103422880242, 103937978997, 4.43041e+10, 2.60859e+07, 4.42857e+10, 4.43225e+10, 44268012410, 44274523600, 44318271344, 44333309861, 44336830648, 7.59281e+09, 3.96169e+06, 7.59002e+09, 7.5956e+09, 7588094998, 7588619157, 7.59534e+09, 7597211036, 7598373401, 1.90883e+08, 5.2191e+06, 1.87206e+08, 1.9456e+08, 183265593, 186724191, 194298162, 196397165, 198712410, 7.59281e+09, 3.96169e+06, 7.59002e+09, 7.5956e+09, 7588094998, 7588619157, 7.59534e+09, 7597211036, 7598373401, 1.90883e+08, 5.2191e+06, 1.87206e+08, 1.9456e+08, 183265593, 186724191, 194298162, 196397165, 198712410
Sun May 14 19:33:22 EDT 2017, 1, 10, 0.250, 15, 70.474, 1.47744, 69.4331, 71.5149, 66.45, 70.27, 70.975, 71.42, 72.16, 85380.4, 2.8, 85378.4, 85382.4, 85376, 85380, 85380, 85380, 85388, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4990000, 0, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 4990000, 74197146, 1, 7.41971e+07, 7.41971e+07, 74197146, 74197146, 74197146, 74197146, 74197146, 1681069123, 5.02196e+07, 1.64569e+09, 1.71645e+09, 1550393685, 1672330068, 1.70199e+09, 1723607671, 1736460728, 1.14541e+09, 1.63381e+07, 1.1339e+09, 1.15692e+09, 1122018970, 1135231043, 1.15154e+09, 1163310336, 1169291074, 1681069123, 5.02196e+07, 1.64569e+09, 1.71645e+09, 1550393685, 1672330068, 1.70199e+09, 1723607671, 1736460728, 1.14541e+09, 1.63381e+07, 1.1339e+09, 1.15692e+09, 1122018970, 1135231043, 1.15154e+09, 1163310336, 1169291074, 1.65803e+11, 3.54525e+09, 1.63305e+11, 1.68301e+11, 156108055904, 165294444819, 166660176917, 168793787587, 169117884288, 9.02522e+10, 2.73873e+07, 9.02329e+10, 9.02715e+10, 90206539891, 90239705019, 90256382141, 90282828790, 90297187799, 1.53863e+10, 4.65573e+06, 1.5383e+10, 1.53896e+10, 15379042437, 15382971080, 1.5387e+10, 15392241284, 15394984663, 2.75642e+08, 4.85888e+06, 2.72219e+08, 2.79065e+08, 268737657, 270167289, 278729984, 280736632, 280976215, 1.53863e+10, 4.65573e+06, 1.5383e+10, 1.53896e+10, 15379042437, 15382971080, 1.5387e+10, 15392241284, 15394984663, 2.75642e+08, 4.85888e+06, 2.72219e+08, 2.79065e+08, 268737657, 270167289, 278729984, 280736632, 280976215
