# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Fri Jan 13 21:38:29 EST 2017, 1, 1, 0.000, 1, 11.659, 0.327183, 11.4285, 11.8895, 11.31, 11.35, 11.825, 12.08, 12.12, 385306, 2.68328, 385304, 385308, 385304, 385304, 385306, 385308, 385312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3433872, 0, 3433872, 3433872, 3433872, 3433872, 3433872, 3433872, 3433872, 3826030, 0, 3826030, 3826030, 3826030, 3826030, 3826030, 3826030, 3826030
Fri Jan 13 21:42:41 EST 2017, 1, 2, 0.000, 1, 16.234, 0.325122, 16.0049, 16.4631, 15.59, 16.26, 16.39, 16.5, 16.59, 401204, 2.8, 401202, 401206, 401200, 401204, 401204, 401208, 401208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5154144, 0, 5154144, 5154144, 5154144, 5154144, 5154144, 5154144, 5154144, 6175150, 0, 6175150, 6175150, 6175150, 6175150, 6175150, 6175150, 6175150
Fri Jan 13 21:44:48 EST 2017, 1, 5, 0.000, 1, 20.815, 0.637734, 20.3657, 21.2643, 19.09, 20.62, 21.145, 21.24, 21.44, 470967, 2.56125, 470965, 470969, 470964, 470964, 470968, 470968, 470972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7130511, 0, 7130511, 7130511, 7130511, 7130511, 7130511, 7130511, 7130511, 8992515, 0, 8992515, 8992515, 8992515, 8992515, 8992515, 8992515, 8992515
Fri Jan 13 21:46:54 EST 2017, 1, 10, 0.000, 1, 22.257, 0.313689, 22.036, 22.478, 21.83, 21.9, 22.325, 22.59, 22.84, 473567, 3.1241, 473565, 473569, 473564, 473564, 473568, 473572, 473572, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8069297, 0, 8069297, 8069297, 8069297, 8069297, 8069297, 8069297, 8069297, 9733974, 0, 9733974, 9733974, 9733974, 9733974, 9733974, 9733974, 9733974
Fri Jan 13 21:50:47 EST 2017, 1, 1, 0.250, 1, 11.508, 0.484062, 11.167, 11.849, 10.65, 11.39, 11.65, 11.85, 12.32, 385112, 2.8, 385110, 385114, 385108, 385108, 385112, 385116, 385116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3432436, 0, 3432436, 3432436, 3432436, 3432436, 3432436, 3432436, 3432436, 3825159, 0, 3825159, 3825159, 3825159, 3825159, 3825159, 3825159, 3825159
Fri Jan 13 21:54:59 EST 2017, 1, 2, 0.250, 1, 15.744, 0.523931, 15.3749, 16.1131, 14.28, 15.64, 15.995, 16.12, 16.15, 398595, 3.48712, 398593, 398597, 398592, 398592, 398596, 398600, 398600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5111432, 0, 5111432, 5111432, 5111432, 5111432, 5111432, 5111432, 5111432, 6175887, 0, 6175887, 6175887, 6175887, 6175887, 6175887, 6175887, 6175887
Fri Jan 13 21:57:10 EST 2017, 1, 5, 0.250, 1, 20.989, 0.406779, 20.7024, 21.2756, 20.33, 20.47, 21.305, 21.37, 21.37, 408158, 1.9596, 408157, 408159, 408156, 408156, 408158, 408160, 408160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6839383, 0, 6839383, 6839383, 6839383, 6839383, 6839383, 6839383, 6839383, 8992148, 0, 8992148, 8992148, 8992148, 8992148, 8992148, 8992148, 8992148
Fri Jan 13 22:00:32 EST 2017, 1, 10, 0.250, 1, 21.779, 0.714737, 21.2754, 22.2826, 20.51, 21.56, 22.35, 22.43, 22.46, 409886, 1.9596, 409885, 409887, 409884, 409884, 409886, 409888, 409888, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7266062, 0, 7266062, 7266062, 7266062, 7266062, 7266062, 7266062, 7266062, 9733887, 0, 9733887, 9733887, 9733887, 9733887, 9733887, 9733887, 9733887
Fri Jan 13 22:02:33 EST 2017, 1, 1, 0.000, 2, 20.026, 0.272257, 19.8342, 20.2178, 19.49, 19.94, 20.16, 20.24, 20.32, 443450, 2.6533, 443448, 443452, 443448, 443448, 443452, 443452, 443456, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5726667, 0, 5726667, 5726667, 5726667, 5726667, 5726667, 5726667, 5726667, 7680975, 0, 7680975, 7680975, 7680975, 7680975, 7680975, 7680975, 7680975
Fri Jan 13 22:04:45 EST 2017, 1, 2, 0.000, 2, 27.598, 0.345653, 27.3545, 27.8415, 26.89, 27.56, 27.81, 27.9, 27.92, 462879, 2.99332, 462877, 462881, 462876, 462876, 462880, 462884, 462884, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7731257, 0, 7731257, 7731257, 7731257, 7731257, 7731257, 7731257, 7731257, 12373647, 0, 12373647, 12373647, 12373647, 12373647, 12373647, 12373647, 12373647
Fri Jan 13 22:06:57 EST 2017, 1, 5, 0.000, 2, 34.069, 1.01539, 33.3536, 34.7844, 32.09, 34.14, 34.49, 34.87, 34.98, 496550, 1.9596, 496549, 496551, 496548, 496548, 496550, 496552, 496552, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9379418, 0, 9379418, 9379418, 9379418, 9379418, 9379418, 9379418, 9379418, 17990516, 0, 17990516, 17990516, 17990516, 17990516, 17990516, 17990516, 17990516
Fri Jan 13 22:08:59 EST 2017, 1, 10, 0.000, 2, 34.519, 1.15147, 33.7077, 35.3303, 32.19, 35, 35.08, 35.16, 35.22, 502325, 1.83303, 502324, 502326, 502324, 502324, 502324, 502328, 502328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9843869, 0, 9843869, 9843869, 9843869, 9843869, 9843869, 9843869, 9843869, 19468175, 0, 19468175, 19468175, 19468175, 19468175, 19468175, 19468175, 19468175
Fri Jan 13 22:12:50 EST 2017, 1, 1, 0.250, 2, 19.718, 0.695339, 19.2281, 20.2079, 17.76, 19.58, 20.04, 20.2, 20.27, 412735, 2.99332, 412733, 412737, 412732, 412732, 412736, 412740, 412740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5722549, 0, 5722549, 5722549, 5722549, 5722549, 5722549, 5722549, 5722549, 7679389, 0, 7679389, 7679389, 7679389, 7679389, 7679389, 7679389, 7679389
Fri Jan 13 22:15:02 EST 2017, 1, 2, 0.250, 2, 27.098, 0.72717, 26.5857, 27.6103, 25.82, 26.79, 27.535, 27.79, 27.82, 424019, 2.4, 424017, 424021, 424016, 424016, 424020, 424020, 424024, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7682439, 0, 7682439, 7682439, 7682439, 7682439, 7682439, 7682439, 7682439, 12375971, 0, 12375971, 12375971, 12375971, 12375971, 12375971, 12375971, 12375971
Fri Jan 13 22:19:14 EST 2017, 1, 5, 0.250, 2, 34.255, 1.10303, 33.4779, 35.0321, 32.12, 33.18, 34.785, 35.41, 35.48, 437893, 168.419, 437774, 438012, 437388, 437948, 437948, 437952, 437956, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9098778, 0, 9098778, 9098778, 9098778, 9098778, 9098778, 9098778, 9098778, 17989772, 0, 17989772, 17989772, 17989772, 17989772, 17989772, 17989772, 17989772
Fri Jan 13 22:21:21 EST 2017, 1, 10, 0.250, 2, 35.945, 0.504406, 35.5896, 36.3004, 35.14, 35.64, 36.12, 36.53, 36.63, 441762, 2.6533, 441760, 441764, 441760, 441760, 441764, 441764, 441768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9358237, 0, 9358237, 9358237, 9358237, 9358237, 9358237, 9358237, 9358237, 19468075, 0, 19468075, 19468075, 19468075, 19468075, 19468075, 19468075, 19468075
Fri Jan 13 22:23:27 EST 2017, 1, 1, 0.000, 5, 40.875, 1.35473, 39.9205, 41.8295, 37.19, 40.62, 41.385, 42, 42.01, 478354, 49.9023, 478319, 478389, 478336, 478336, 478340, 478340, 478504, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8816532, 0, 8816532, 8816532, 8816532, 8816532, 8816532, 8816532, 8816532, 19266432, 0, 19266432, 19266432, 19266432, 19266432, 19266432, 19266432, 19266432
Fri Jan 13 22:25:49 EST 2017, 1, 2, 0.000, 5, 55.357, 2.37943, 53.6806, 57.0334, 52.78, 53.13, 56.895, 58.09, 58.3, 508510, 2, 508509, 508511, 508508, 508508, 508512, 508512, 508512, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9724405, 0, 9724405, 9724405, 9724405, 9724405, 9724405, 9724405, 9724405, 30973227, 0, 30973227, 30973227, 30973227, 30973227, 30973227, 30973227, 30973227
Fri Jan 13 22:31:21 EST 2017, 1, 5, 0.000, 5, 68.895, 2.41738, 67.1918, 70.5982, 65.21, 67.44, 69.975, 71.54, 71.86, 558084, 133.212, 557990, 558178, 557684, 558128, 558128, 558128, 558132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9898927, 0, 9898927, 9898927, 9898927, 9898927, 9898927, 9898927, 9898927, 44978968, 0, 44978968, 44978968, 44978968, 44978968, 44978968, 44978968, 44978968
Fri Jan 13 22:34:38 EST 2017, 1, 10, 0.000, 5, 71.021, 1.49208, 69.9697, 72.0723, 68.06, 71.37, 71.595, 71.84, 72.82, 566138, 2.68328, 566136, 566140, 566136, 566136, 566138, 566140, 566144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9900000, 0, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 9900000, 48670227, 0.707107, 4.86702e+07, 4.86702e+07, 48670227, 48670227, 48670227, 48670227, 48670227
Fri Jan 13 22:42:20 EST 2017, 1, 1, 0.250, 5, 41.108, 1.34538, 40.1601, 42.0559, 37.29, 41.27, 41.435, 42.23, 42.25, 459850, 40.9976, 459821, 459879, 459828, 459828, 459832, 459892, 459960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8804414, 0, 8804414, 8804414, 8804414, 8804414, 8804414, 8804414, 8804414, 19265247, 0, 19265247, 19265247, 19265247, 19265247, 19265247, 19265247, 19265247
Fri Jan 13 22:44:37 EST 2017, 1, 2, 0.250, 5, 56.45, 1.72126, 55.2373, 57.6627, 53.22, 56.33, 57.525, 57.91, 57.99, 488927, 11.7371, 488919, 488935, 488920, 488920, 488924, 488932, 488960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9704168, 0, 9704168, 9704168, 9704168, 9704168, 9704168, 9704168, 9704168, 30973564, 0, 30973564, 30973564, 30973564, 30973564, 30973564, 30973564, 30973564
Fri Jan 13 22:48:59 EST 2017, 1, 5, 0.250, 5, 70.575, 2.6891, 68.6804, 72.4696, 65.97, 69.02, 72.515, 72.8, 73.01, 523457, 231.081, 523294, 523620, 523000, 523544, 523550, 523600, 523680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9893021, 0, 9893021, 9893021, 9893021, 9893021, 9893021, 9893021, 9893021, 44979207, 0.707107, 4.49792e+07, 4.49792e+07, 44979207, 44979207, 44979207, 44979207, 44979207
