# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Thu Jan 12 21:40:22 EST 2017, 1, 1, 0.000, 1, 3.58, 0.0571548, 3.475, 3.685, 3.53, 3.53, 3.55, 3.66, 3.66, 9390.67, 1.88562, 9387.21, 9394.13, 9388, 9388, 9392, 9392, 9392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732638, 0, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1971148, 0, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148
Thu Jan 12 21:42:23 EST 2017, 1, 2, 0.000, 1, 4.91333, 0.020548, 4.87558, 4.95108, 4.89, 4.89, 4.91, 4.94, 4.94, 9557.33, 3.77124, 9550.4, 9564.26, 9552, 9552, 9560, 9560, 9560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593416, 0, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 3162037, 0, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037
Thu Jan 12 21:44:29 EST 2017, 1, 5, 0.000, 1, 6.76, 0.220151, 6.35555, 7.16445, 6.58, 6.58, 6.63, 7.07, 7.07, 9737.33, 1.88562, 9733.87, 9740.79, 9736, 9736, 9736, 9740, 9740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3577719, 0, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 4589290, 0, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290
Thu Jan 12 21:46:30 EST 2017, 1, 10, 0.000, 1, 7.2, 0.223756, 6.78893, 7.61107, 6.99, 6.99, 7.1, 7.51, 7.51, 9804, 3.26599, 9798, 9810, 9800, 9800, 9804, 9808, 9808, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3906223, 0, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:48:25 EST 2017, 1, 1, 0.250, 1, 3.38667, 0.0793025, 3.24098, 3.53236, 3.28, 3.28, 3.41, 3.47, 3.47, 8993.33, 1.88562, 8989.87, 8996.79, 8992, 8992, 8992, 8996, 8996, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161
Thu Jan 12 21:50:32 EST 2017, 1, 2, 0.250, 1, 5.28667, 0.0939267, 5.11411, 5.45923, 5.17, 5.17, 5.29, 5.4, 5.4, 9041.33, 1.88562, 9037.87, 9044.79, 9040, 9040, 9040, 9044, 9044, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2570980, 0, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 3162078, 0, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078
Thu Jan 12 21:52:33 EST 2017, 1, 5, 0.250, 1, 6.90667, 0.269485, 6.41159, 7.40175, 6.58, 6.58, 6.9, 7.24, 7.24, 9110.67, 1.88562, 9107.21, 9114.13, 9108, 9108, 9112, 9112, 9112, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3441431, 0, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 4589164, 0, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164
Thu Jan 12 21:54:38 EST 2017, 1, 10, 0.250, 1, 7.62333, 0.116142, 7.40996, 7.8367, 7.46, 7.46, 7.69, 7.72, 7.72, 9136, 0, 9136, 9136, 9136, 9136, 9136, 9136, 9136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:56:39 EST 2017, 1, 1, 0.000, 2, 6.49333, 0.062361, 6.37876, 6.6079, 6.41, 6.41, 6.51, 6.56, 6.56, 9521.33, 1.88562, 9517.87, 9524.79, 9520, 9520, 9520, 9524, 9524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2891147, 0, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 3935461, 0, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461
Thu Jan 12 21:58:45 EST 2017, 1, 2, 0.000, 2, 9.13667, 0.278608, 8.62483, 9.64851, 8.92, 8.92, 8.96, 9.53, 9.53, 9710.67, 1.88562, 9707.21, 9714.13, 9708, 9708, 9712, 9712, 9712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3899545, 0, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 6321011, 0, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011
