# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Thu Jan 12 21:36:14 EST 2017, 1, 1, 0.000, 1, 4.36333, 0.111455, 4.15857, 4.56809, 4.24, 4.24, 4.34, 4.51, 4.51, 9388, 3.26599, 9382, 9394, 9384, 9384, 9388, 9392, 9392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732638, 0, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1971148, 0, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148
Thu Jan 12 21:38:20 EST 2017, 1, 2, 0.000, 1, 7.56667, 0.0895669, 7.40212, 7.73122, 7.48, 7.48, 7.53, 7.69, 7.69, 9525.33, 1.88562, 9521.87, 9528.79, 9524, 9524, 9524, 9528, 9528, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593416, 0, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 3162037, 0, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037
Thu Jan 12 21:40:26 EST 2017, 1, 5, 0.000, 1, 10.7533, 0.0329983, 10.6927, 10.8139, 10.71, 10.71, 10.76, 10.79, 10.79, 9673.33, 1.88562, 9669.87, 9676.79, 9672, 9672, 9672, 9676, 9676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3577719, 0, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 4589290, 0, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290
Thu Jan 12 21:42:32 EST 2017, 1, 10, 0.000, 1, 13.25, 0.227303, 12.8324, 13.6676, 13, 13, 13.2, 13.55, 13.55, 9788, 3.26599, 9782, 9794, 9784, 9784, 9788, 9792, 9792, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3906223, 0, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:44:23 EST 2017, 1, 1, 0.250, 1, 4.15333, 0.063421, 4.03682, 4.26984, 4.09, 4.09, 4.13, 4.24, 4.24, 8970.67, 1.88562, 8967.21, 8974.13, 8968, 8968, 8972, 8972, 8972, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161
Thu Jan 12 21:46:29 EST 2017, 1, 2, 0.250, 1, 7.75333, 0.0659966, 7.63209, 7.87457, 7.66, 7.66, 7.8, 7.8, 7.8, 9016, 0, 9016, 9016, 9016, 9016, 9016, 9016, 9016, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2570980, 0, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 3162078, 0, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078
Thu Jan 12 21:48:35 EST 2017, 1, 5, 0.250, 1, 11.2233, 0.0703957, 11.094, 11.3526, 11.13, 11.13, 11.24, 11.3, 11.3, 9036, 0, 9036, 9036, 9036, 9036, 9036, 9036, 9036, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3441431, 0, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 4589164, 0, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164
Thu Jan 12 21:50:40 EST 2017, 1, 10, 0.250, 1, 13.3633, 0.127628, 13.1288, 13.5978, 13.22, 13.22, 13.34, 13.53, 13.53, 9085.33, 1.88562, 9081.87, 9088.79, 9084, 9084, 9084, 9088, 9088, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:52:41 EST 2017, 1, 1, 0.000, 2, 10.59, 0.225536, 10.1757, 11.0043, 10.33, 10.33, 10.56, 10.88, 10.88, 9481.33, 1.88562, 9477.87, 9484.79, 9480, 9480, 9480, 9484, 9484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2891147, 0, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 3935461, 0, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461
Thu Jan 12 21:54:52 EST 2017, 1, 2, 0.000, 2, 23.34, 0.360832, 22.6771, 24.0029, 22.95, 22.95, 23.25, 23.82, 23.82, 9653.33, 1.88562, 9649.87, 9656.79, 9652, 9652, 9652, 9656, 9656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3899545, 0, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 6321011, 0, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011
