# --delay, --selfEvents%, --eventsPerAgent,Link list + vector (insert sort),,Link list + multi_set,,Link list + heap,,Vector + multi_set,,Vector + Heap,,Vector + Vector (std::sort),,"VecVec vs List_list","VecVec vs List_multi_set","VecVec vs List_heap","VecVec vs vec_multiset","VecVec vs vec_heap","VecVec vs VecVec"
# ,,,memory_mean, memory_sd,memory_mean, memory_sd, memory_mean, memory_sd,memory_mean, memory_sd, memory_mean, memory_sd,memory_mean, memory_sd,,,,,,
1,0,1,9388,3.26599,9390.67,1.88562,9386.67,1.88562,9526.67,3.77124,9529.33,1.88562,9529.33,1.88562,0.0150543247,0.0147657196,0.015198148,0.0002792161,0,0
2,0,1,9525.33,1.88562,9557.33,3.77124,9530.67,3.77124,9650.67,1.88562,9622.67,1.88562,9612,3.26599,0.0090988974,0.0057202168,0.0085335029,-0.0040069757,-0.0011088399,0
5,0,1,9673.33,1.88562,9737.33,1.88562,9700,3.26599,9769.33,1.88562,9768,0,9816,3.26599,0.014748799,0.0080792168,0.0119587629,0.0047771956,0.0049140049,0
10,0,1,9788,3.26599,9804,3.26599,9802.67,1.88562,9881.33,1.88562,9865.33,1.88562,9832,3.26599,0.0044953004,0.0028559772,0.002992042,-0.0049922429,-0.0033784982,0
1,0.25,1,8970.67,1.88562,8993.33,1.88562,8977.33,1.88562,9088,0,9122.67,1.88562,9124,0,0.0170923688,0.014529657,0.0163378198,0.0039612676,0.0001457907,0
2,0.25,1,9016,0,9041.33,1.88562,9020,0,9166.67,3.77124,9152,0,9112,0,0.0106477374,0.0078163279,0.0101995565,-0.0059639978,-0.0043706294,0
5,0.25,1,9036,0,9110.67,1.88562,9078.67,1.88562,9158.67,1.88562,9173.33,1.88562,9164,0,0.01416556,0.0058535761,0.0093989538,0.0005819622,-0.0010170789,0
10,0.25,1,9085.33,1.88562,9136,0,9106.67,1.88562,9201.33,1.88562,9188,3.26599,9189.33,1.88562,0.011447025,0.0058373468,0.0090768634,-0.0013041593,0.000144754,0
1,0,2,9481.33,1.88562,9521.33,1.88562,9488,0,9701.33,1.88562,9678.67,3.77124,9688,0,0.0217975748,0.0175049074,0.021079258,-0.0013740384,0.0009639754,0
2,0,2,9653.33,1.88562,9710.67,1.88562,9702.67,3.77124,9966.67,1.88562,9948,0,9973.33,1.88562,0.0331491827,0.0270485971,0.0278954144,0.0006682272,0.0025462405,0
5,0,2,9946.67,3.77124,10034.7,1.88562,10009.3,1.88562,10168,0,10136,3.26599,10129.3,1.88562,0.0183609188,0.0094272873,0.0119888504,-0.0038060582,-0.0006610103,0
10,0,2,10093.3,1.88562,10188,0,10109.3,1.88562,10278.7,1.88562,10208,3.26599,10210.7,1.88562,0.0116314783,0.0022281115,0.0100303681,-0.0066156226,0.0002644984,0
1,0.25,2,9154.67,1.88562,9192,3.26599,9165.33,1.88562,9376,3.26599,9398.67,1.88562,9397.33,1.88562,0.02650669,0.0223379025,0.025312782,0.0022749573,-0.0001425734,0
2,0.25,2,9257.33,1.88562,9278.67,1.88562,9242.67,3.77124,9513.33,1.88562,9546.67,1.88562,9550.67,1.88562,0.0316873224,0.0293145462,0.0333237041,0.0039250189,0.0004189943,0
5,0.25,2,9369.33,1.88562,9500,3.26599,9425.33,1.88562,9637.33,1.88562,9585.33,1.88562,9598.67,3.77124,0.0244777375,0.0103863158,0.018390868,-0.0040114845,0.00139171,0
10,0.25,2,9448,0,9501.33,1.88562,9478.67,1.88562,9640,3.26599,9616,3.26599,9618.67,1.88562,0.0180641406,0.01234985,0.0147700047,-0.0022126556,0.0002776622,0
1,0,5,9825.33,1.88562,9918.67,1.88562,9877.33,1.88562,10530.7,1.88562,10440,3.26599,10438.7,3.77124,0.0624274197,0.0524294084,0.0568341849,-0.0087363613,-0.0001245211,0
2,0,5,10254.7,17.9877,10396,3.26599,10297.3,6.79869,11093.3,1.88562,10968,0,10970.7,1.88562,0.0698216428,0.0552808773,0.0653957834,-0.0110517159,0.0002461707,0
5,0,5,13968,3.26599,14256,0,13998.7,1.88562,14892,3.26599,14668,3.26599,14601.3,1.88562,0.0453393471,0.0242213805,0.0430468544,-0.0195205479,-0.0045473139,0
10,0,5,36360,0,36880,0,36389.3,1.88562,37360,3.26599,36978.7,1.88562,36984,3.26599,0.0171617162,0.0028199566,0.0163427161,-0.0100642398,0.0001433258,0
1,0.25,5,9689.33,1.88562,9737.33,1.88562,9720,0,10182.7,1.88562,10146.7,1.88562,10136,0,0.0460991627,0.0409424349,0.0427983539,-0.0045862099,-0.00105453,0
2,0.25,5,9982.67,3.77124,10130.7,1.88562,10032,0,10693.3,1.88562,10625.3,1.88562,10596,3.26599,0.0614394746,0.0459296988,0.0562200957,-0.0090991555,-0.0027575692,0
5,0.25,5,11774.7,1.88562,12016,0,11810.7,1.88562,12712,3.26599,12544,3.26599,12494.7,1.88562,0.0611480547,0.0398385486,0.0579135868,-0.0170940843,-0.0039301658,0
