# Timestamp, procs, --delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_sd, runtime_ci, runtime_ci, runtime_min, runtime_box_q1, runtime_median, runtime_box_q2, runtime_max, memory_mean, memory_sd, memory_ci, memory_ci, memory_min, memory_box_q1, memory_median, memory_box_q2, memory_max, rollbacks_mean, rollbacks_sd, rollbacks_ci, rollbacks_ci, rollbacks_min, rollbacks_box_q1, rollbacks_median, rollbacks_box_q2, rollbacks_max, mpiMsgs_mean, mpiMsgs_sd, mpiMsgs_ci, mpiMsgs_ci, mpiMsgs_min, mpiMsgs_box_q1, mpiMsgs_median, mpiMsgs_box_q2, mpiMsgs_max, schedules_mean, schedules_sd, schedules_ci, schedules_ci, schedules_min, schedules_box_q1, schedules_median, schedules_box_q2, schedules_max, commEvts_mean, commEvts_sd, commEvts_ci, commEvts_ci, commEvts_min, commEvts_box_q1, commEvts_median, commEvts_box_q2, commEvts_max
Thu Jan 12 21:32:14 EST 2017, 1, 1, 0.000, 1, 2.65667, 0.165193, 2.35319, 2.96015, 2.53, 2.53, 2.55, 2.89, 2.89, 9529.33, 1.88562, 9525.87, 9532.79, 9528, 9528, 9528, 9532, 9532, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1732638, 0, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1732638, 1971148, 0, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148, 1971148
Thu Jan 12 21:34:15 EST 2017, 1, 2, 0.000, 1, 3.77333, 0.0449691, 3.69072, 3.85594, 3.71, 3.71, 3.8, 3.81, 3.81, 9622.67, 1.88562, 9619.21, 9626.13, 9620, 9620, 9624, 9624, 9624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2593416, 0, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 2593416, 3162037, 0, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037, 3162037
Thu Jan 12 21:36:16 EST 2017, 1, 5, 0.000, 1, 4.96667, 0.0524934, 4.87023, 5.06311, 4.92, 4.92, 4.94, 5.04, 5.04, 9768, 0, 9768, 9768, 9768, 9768, 9768, 9768, 9768, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3577719, 0, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 3577719, 4589290, 0, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290, 4589290
Thu Jan 12 21:38:22 EST 2017, 1, 10, 0.000, 1, 5.50667, 0.126842, 5.27364, 5.7397, 5.38, 5.38, 5.46, 5.68, 5.68, 9865.33, 1.88562, 9861.87, 9868.79, 9864, 9864, 9864, 9868, 9868, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3906223, 0, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 3906223, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:40:17 EST 2017, 1, 1, 0.250, 1, 2.68, 0.00816497, 2.665, 2.695, 2.67, 2.67, 2.68, 2.69, 2.69, 9122.67, 1.88562, 9119.21, 9126.13, 9120, 9120, 9124, 9124, 9124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1727834, 0, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1727834, 1971161, 0, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161, 1971161
Thu Jan 12 21:42:23 EST 2017, 1, 2, 0.250, 1, 3.77, 0.0216025, 3.73031, 3.80969, 3.74, 3.74, 3.78, 3.79, 3.79, 9152, 0, 9152, 9152, 9152, 9152, 9152, 9152, 9152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2570980, 0, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 2570980, 3162078, 0, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078, 3162078
Thu Jan 12 21:44:24 EST 2017, 1, 5, 0.250, 1, 5.08, 0.094163, 4.90701, 5.25299, 4.96, 4.96, 5.09, 5.19, 5.19, 9173.33, 1.88562, 9169.87, 9176.79, 9172, 9172, 9172, 9176, 9176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3441431, 0, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 3441431, 4589164, 0, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164, 4589164
Thu Jan 12 21:46:25 EST 2017, 1, 10, 0.250, 1, 5.25333, 0.0825967, 5.10159, 5.40507, 5.19, 5.19, 5.2, 5.37, 5.37, 9188, 3.26599, 9182, 9194, 9184, 9184, 9188, 9192, 9192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3651895, 0, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 3651895, 4965081, 0, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081, 4965081
Thu Jan 12 21:48:26 EST 2017, 1, 1, 0.000, 2, 4.44, 0.0496655, 4.34876, 4.53124, 4.4, 4.4, 4.41, 4.51, 4.51, 9678.67, 3.77124, 9671.74, 9685.6, 9676, 9676, 9676, 9684, 9684, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2891147, 0, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 2891147, 3935461, 0, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461, 3935461
Thu Jan 12 21:50:32 EST 2017, 1, 2, 0.000, 2, 6.51, 0.0816497, 6.36, 6.66, 6.41, 6.41, 6.51, 6.61, 6.61, 9948, 0, 9948, 9948, 9948, 9948, 9948, 9948, 9948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3899545, 0, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 3899545, 6321011, 0, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011, 6321011
