# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 10:45:03 EST 2017, 1187, 0.080, 3, 0.620, 493, 87, 2, 47, 90, 42.893, 50.007
Mon Jan  9 10:45:34 EST 2017, 6137, 0.580, 8, 0.120, 343, 42, 11, 22, 45, 27.890, 27.463
Mon Jan  9 10:48:02 EST 2017, 8612, 0.330, 5, 0.870, 418, 64, 16, 35, 67, 143.533, 128.533
Mon Jan  9 10:48:04 EST 2017, 3662, 0.830, 1, 0.370, 568, 19, 6, 10, 22, 1.773, 1.350
Mon Jan  9 10:48:18 EST 2017, 4900, 0.450, 9, 0.740, 381, 31, 4, 16, 78, 11.927, 13.170
Mon Jan  9 10:49:56 EST 2017, 9850, 0.950, 4, 0.240, 531, 76, 13, 41, 33, 93.630, 86.750
Mon Jan  9 10:50:29 EST 2017, 7375, 0.200, 2, 0.990, 456, 53, 18, 3, 56, 30.463, 17.100
Mon Jan  9 10:50:43 EST 2017, 2425, 0.700, 7, 0.490, 306, 98, 9, 28, 11, 12.297, 11.850
Mon Jan  9 10:50:54 EST 2017, 1806, 0.260, 1, 0.180, 362, 93, 3, 0, 84, 8.830, 11.163
Mon Jan  9 10:51:44 EST 2017, 6756, 0.760, 6, 0.680, 512, 48, 12, 25, 39, 46.327, 37.523
Mon Jan  9 10:54:07 EST 2017, 9231, 0.010, 8, 0.430, 587, 70, 17, 13, 61, 137.120, 98.643
Mon Jan  9 10:54:14 EST 2017, 4281, 0.510, 4, 0.930, 437, 25, 8, 38, 16, 6.463, 7.130
Mon Jan  9 10:54:36 EST 2017, 3043, 0.140, 7, 0.050, 550, 14, 5, 32, 95, 19.187, 19.110
Mon Jan  9 10:55:14 EST 2017, 7993, 0.640, 3, 0.550, 400, 59, 15, 7, 50, 35.950, 24.960
Mon Jan  9 10:57:12 EST 2017, 5518, 0.390, 5, 0.300, 325, 36, 19, 44, 73, 94.060, 111.263
Mon Jan  9 10:57:50 EST 2017, 568, 0.890, 9, 0.800, 475, 81, 10, 19, 28, 34.707, 30.787
Mon Jan  9 10:58:10 EST 2017, 414, 0.150, 1, 0.380, 404, 21, 15, 25, 77, 16.963, 17.643
Mon Jan  9 10:58:20 EST 2017, 5364, 0.650, 6, 0.880, 554, 66, 5, 0, 32, 7.960, 7.007
Mon Jan  9 10:58:34 EST 2017, 7839, 0.400, 8, 0.130, 479, 43, 1, 37, 99, 12.103, 12.730
Mon Jan  9 10:59:15 EST 2017, 2889, 0.900, 3, 0.630, 329, 88, 10, 12, 54, 37.847, 29.780
Mon Jan  9 11:00:59 EST 2017, 4126, 0.280, 7, 0.260, 517, 77, 17, 6, 66, 99.877, 82.587
Mon Jan  9 11:01:05 EST 2017, 9076, 0.780, 2, 0.760, 367, 32, 8, 31, 21, 5.570, 5.327
Mon Jan  9 11:01:30 EST 2017, 6601, 0.030, 4, 0.010, 442, 55, 3, 18, 88, 22.237, 21.350
Mon Jan  9 11:01:51 EST 2017, 1651, 0.530, 9, 0.510, 592, 10, 13, 43, 43, 19.120, 19.247
Mon Jan  9 11:02:25 EST 2017, 2270, 0.470, 4, 0.820, 535, 15, 16, 21, 60, 27.633, 26.217
Mon Jan  9 11:02:43 EST 2017, 7220, 0.970, 8, 0.320, 385, 60, 7, 46, 15, 15.247, 16.320
