# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 140', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 500', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Sat Jul  1 07:12:12 EDT 2017, 0.300, 127, 28, 3, 12, 397, 11, 41, 12, 33, 59.123, 6.253
Sat Jul  1 07:12:12 EDT 2017, 0.800, 137, 23, 7, 23, 497, 1, 21, 27, 13, 0.203, 0.247
Sat Jul  1 07:12:17 EDT 2017, 0.550, 122, 21, 5, 28, 347, 6, 31, 5, 23, 5.057, 1.303
Sat Jul  1 07:12:30 EDT 2017, 0.050, 132, 26, 9, 17, 447, 15, 11, 20, 43, 11.970, 1.680
Sat Jul  1 07:12:34 EDT 2017, 0.030, 128, 23, 4, 24, 362, 9, 47, 4, 10, 4.437, 1.097
Sat Jul  1 07:13:28 EDT 2017, 0.530, 138, 28, 8, 13, 462, 19, 27, 19, 30, 53.957, 3.437
Sat Jul  1 07:15:07 EDT 2017, 0.780, 123, 25, 2, 18, 312, 14, 37, 11, 40, 98.570, 4.167
Sat Jul  1 07:15:08 EDT 2017, 0.280, 133, 20, 6, 29, 412, 4, 17, 26, 20, 0.847, 0.657
Sat Jul  1 07:15:21 EDT 2017, 0.400, 120, 29, 5, 15, 437, 7, 22, 0, 45, 13.000, 1.907
Sat Jul  1 07:16:16 EDT 2017, 0.900, 130, 24, 9, 26, 337, 16, 42, 15, 25, 54.547, 3.027
Sat Jul  1 07:16:19 EDT 2017, 0.650, 125, 21, 3, 21, 487, 12, 12, 7, 15, 2.053, 0.953
Sat Jul  1 07:16:20 EDT 2017, 0.150, 135, 26, 7, 10, 387, 2, 32, 22, 35, 1.497, 0.950
Sat Jul  1 07:16:21 EDT 2017, 0.220, 124, 20, 9, 11, 375, 8, 14, 2, 12, 0.693, 0.443
Sat Jul  1 07:18:13 EDT 2017, 0.720, 134, 25, 5, 22, 475, 18, 34, 17, 32, 111.090, 4.967
Sat Jul  1 07:18:45 EDT 2017, 0.970, 129, 27, 7, 28, 325, 13, 24, 9, 42, 31.833, 2.720
Sat Jul  1 07:18:48 EDT 2017, 0.470, 139, 22, 3, 17, 425, 3, 44, 24, 22, 2.813, 1.143
Sat Jul  1 07:19:17 EDT 2017, 0.340, 126, 26, 8, 25, 400, 6, 39, 5, 47, 28.700, 3.140
Sat Jul  1 07:19:30 EDT 2017, 0.840, 136, 21, 4, 14, 300, 15, 19, 20, 27, 12.257, 1.653
Sat Jul  1 07:19:51 EDT 2017, 0.590, 121, 23, 6, 9, 450, 10, 49, 13, 17, 21.380, 2.230
