# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Wed Apr 19 13:48:39 EDT 2017, 1187, 0.080, 2925, 6, 0.640, 557, 15, 19, 44, 82, 17.640, 17.040
Wed Apr 19 13:48:52 EDT 2017, 6137, 0.580, 7925, 2, 0.140, 407, 60, 9, 19, 37, 12.797, 11.927
Wed Apr 19 13:48:59 EDT 2017, 8612, 0.330, 5425, 8, 0.390, 482, 82, 14, 31, 14, 6.760, 6.820
Wed Apr 19 13:49:02 EDT 2017, 3662, 0.830, 425, 4, 0.890, 332, 37, 4, 6, 59, 2.137, 2.283
Wed Apr 19 13:49:04 EDT 2017, 4900, 0.450, 9174, 7, 0.270, 370, 26, 7, 38, 26, 2.113, 2.177
Wed Apr 19 13:49:49 EDT 2017, 9850, 0.950, 4175, 3, 0.770, 520, 71, 16, 13, 71, 44.813, 36.707
Wed Apr 19 13:49:57 EDT 2017, 7375, 0.200, 1675, 9, 0.520, 445, 93, 2, 25, 93, 6.647, 7.740
Wed Apr 19 13:50:03 EDT 2017, 2425, 0.700, 6675, 5, 0.020, 595, 48, 11, 0, 48, 6.143, 6.093
Wed Apr 19 13:50:07 EDT 2017, 1806, 0.260, 1050, 2, 0.200, 576, 20, 1, 41, 88, 2.950, 3.137
Wed Apr 19 13:50:15 EDT 2017, 6756, 0.760, 6050, 7, 0.700, 426, 65, 10, 16, 43, 7.820, 7.943
Wed Apr 19 13:50:22 EDT 2017, 9231, 0.010, 8549, 4, 0.950, 501, 88, 6, 28, 20, 7.090, 7.020
Wed Apr 19 13:50:27 EDT 2017, 4281, 0.510, 3550, 9, 0.450, 351, 43, 15, 3, 65, 4.723, 4.803
Wed Apr 19 13:50:42 EDT 2017, 3043, 0.140, 7300, 1, 0.830, 314, 32, 13, 47, 31, 14.813, 13.827
Wed Apr 19 13:50:52 EDT 2017, 7993, 0.640, 2300, 6, 0.330, 464, 77, 3, 22, 76, 8.517, 9.590
Wed Apr 19 13:53:03 EDT 2017, 5518, 0.390, 4800, 3, 0.080, 389, 99, 17, 35, 99, 130.547, 121.903
