# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 14:28:33 EST 2017, 2275, 0.090, 5, 0.450, 400, 69, 1, 32, 77, 9.893, 11.393
Mon Jan  9 14:28:36 EST 2017, 7225, 0.590, 1, 0.950, 550, 24, 10, 7, 32, 3.220, 2.887
Mon Jan  9 14:31:12 EST 2017, 9700, 0.340, 3, 0.200, 475, 91, 15, 44, 55, 154.170, 143.130
Mon Jan  9 14:31:15 EST 2017, 4750, 0.840, 8, 0.700, 325, 46, 6, 19, 10, 2.470, 2.423
Mon Jan  9 14:31:21 EST 2017, 3512, 0.470, 2, 0.330, 512, 35, 3, 0, 88, 4.730, 5.857
Mon Jan  9 14:32:16 EST 2017, 8462, 0.970, 7, 0.830, 362, 80, 13, 25, 43, 54.970, 49.980
Mon Jan  9 14:32:32 EST 2017, 5987, 0.220, 9, 0.080, 437, 13, 18, 13, 66, 15.107, 13.577
Mon Jan  9 14:32:55 EST 2017, 1037, 0.720, 4, 0.580, 587, 58, 8, 38, 21, 22.657, 22.087
Mon Jan  9 14:33:14 EST 2017, 728, 0.190, 1, 0.670, 466, 77, 12, 27, 29, 18.747, 18.293
Mon Jan  9 14:33:17 EST 2017, 5678, 0.690, 5, 0.170, 316, 32, 3, 2, 74, 3.313, 3.483
Mon Jan  9 14:33:55 EST 2017, 8153, 0.440, 7, 0.920, 391, 55, 7, 39, 52, 36.217, 34.710
Mon Jan  9 14:34:13 EST 2017, 3203, 0.940, 3, 0.420, 541, 10, 17, 14, 97, 17.940, 15.843
Mon Jan  9 14:34:18 EST 2017, 4440, 0.310, 6, 0.550, 428, 21, 15, 8, 18, 4.197, 3.570
Mon Jan  9 14:34:53 EST 2017, 9390, 0.810, 2, 0.050, 578, 66, 5, 33, 63, 34.697, 35.357
Mon Jan  9 14:35:17 EST 2017, 6915, 0.060, 4, 0.800, 503, 44, 10, 21, 41, 23.730, 22.123
Mon Jan  9 14:40:08 EST 2017, 1965, 0.560, 9, 0.300, 353, 89, 19, 46, 86, 288.887, 272.313
Mon Jan  9 14:40:19 EST 2017, 1347, 0.370, 3, 0.110, 334, 94, 11, 24, 12, 11.037, 10.240
Mon Jan  9 14:40:29 EST 2017, 6297, 0.870, 8, 0.610, 484, 49, 1, 49, 57, 8.813, 9.093
Mon Jan  9 14:40:47 EST 2017, 8772, 0.120, 6, 0.360, 559, 72, 6, 11, 35, 18.270, 16.727
Mon Jan  9 14:41:13 EST 2017, 3822, 0.620, 1, 0.860, 409, 27, 16, 36, 80, 25.647, 24.480
Mon Jan  9 14:41:27 EST 2017, 2584, 0.000, 9, 0.230, 597, 15, 13, 43, 24, 13.903, 13.110
Mon Jan  9 14:41:48 EST 2017, 7534, 0.500, 5, 0.730, 447, 60, 4, 18, 69, 20.707, 19.697
Mon Jan  9 14:42:03 EST 2017, 5059, 0.250, 2, 0.480, 372, 38, 9, 30, 46, 14.887, 14.373
Mon Jan  9 14:44:08 EST 2017, 109, 0.750, 7, 0.980, 522, 83, 18, 5, 91, 117.783, 87.300
Mon Jan  9 14:45:58 EST 2017, 114, 0.370, 8, 0.650, 483, 74, 17, 41, 38, 109.330, 105.450
Mon Jan  9 14:46:10 EST 2017, 5064, 0.870, 3, 0.150, 333, 29, 7, 16, 83, 12.173, 11.523
Mon Jan  9 14:46:13 EST 2017, 7539, 0.120, 1, 0.900, 408, 97, 2, 28, 15, 2.073, 2.223
Mon Jan  9 14:46:44 EST 2017, 2589, 0.620, 6, 0.400, 558, 52, 12, 3, 60, 31.150, 23.637
Mon Jan  9 14:47:35 EST 2017, 3827, 0.000, 5, 0.520, 446, 41, 19, 22, 49, 50.117, 44.910
Mon Jan  9 14:51:47 EST 2017, 8777, 0.500, 9, 0.020, 596, 86, 9, 47, 94, 247.993, 236.920
Mon Jan  9 14:51:50 EST 2017, 6302, 0.250, 7, 0.770, 521, 18, 5, 10, 26, 2.417, 2.263
Mon Jan  9 14:52:58 EST 2017, 1352, 0.750, 2, 0.270, 371, 63, 14, 35, 71, 66.413, 64.133
Mon Jan  9 14:53:24 EST 2017, 1970, 0.180, 5, 0.090, 314, 58, 15, 7, 54, 25.293, 21.817
Mon Jan  9 14:53:31 EST 2017, 6920, 0.680, 1, 0.590, 464, 13, 6, 32, 99, 6.637, 6.257
Mon Jan  9 14:53:36 EST 2017, 9395, 0.430, 3, 0.340, 539, 80, 1, 19, 32, 3.853, 4.353
Mon Jan  9 14:54:35 EST 2017, 4445, 0.930, 7, 0.840, 389, 35, 11, 44, 77, 58.467, 55.297
Mon Jan  9 14:55:22 EST 2017, 3208, 0.310, 2, 0.210, 577, 46, 18, 25, 43, 46.527, 42.983
Mon Jan  9 14:56:02 EST 2017, 8158, 0.810, 6, 0.710, 427, 91, 8, 0, 88, 38.270, 29.197
Mon Jan  9 14:56:05 EST 2017, 5683, 0.060, 8, 0.460, 352, 24, 3, 38, 21, 2.477, 2.713
Mon Jan  9 14:57:09 EST 2017, 733, 0.560, 4, 0.960, 502, 69, 13, 13, 66, 63.217, 52.333
Mon Jan  9 14:57:24 EST 2017, 1042, 0.090, 1, 0.810, 549, 89, 8, 2, 57, 14.537, 15.263
Mon Jan  9 14:57:36 EST 2017, 5992, 0.590, 5, 0.310, 399, 44, 17, 27, 12, 11.490, 10.870
Mon Jan  9 14:58:30 EST 2017, 8467, 0.340, 8, 0.560, 324, 66, 12, 14, 80, 53.603, 45.130
Mon Jan  9 14:58:34 EST 2017, 3517, 0.840, 3, 0.060, 474, 21, 3, 39, 35, 4.067, 4.173
Mon Jan  9 14:58:44 EST 2017, 4755, 0.470, 6, 0.930, 361, 10, 10, 33, 69, 9.610, 9.037
Mon Jan  9 14:59:00 EST 2017, 9705, 0.970, 2, 0.430, 511, 55, 19, 8, 24, 15.417, 13.120
Mon Jan  9 15:01:02 EST 2017, 7230, 0.220, 4, 0.680, 586, 32, 15, 46, 91, 121.630, 114.433
