# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 10:46:14 EST 2017, 4450, 0.060, 9, 0.660, 459, 38, 1, 12, 56, 4.417, 3.610
Mon Jan  9 10:46:33 EST 2017, 9400, 0.560, 5, 0.160, 309, 83, 11, 37, 11, 17.230, 15.517
Mon Jan  9 10:46:41 EST 2017, 6925, 0.310, 2, 0.910, 384, 15, 16, 0, 79, 6.480, 7.270
Mon Jan  9 10:47:12 EST 2017, 1975, 0.810, 7, 0.410, 534, 60, 6, 25, 34, 25.527, 30.043
Mon Jan  9 10:47:21 EST 2017, 1356, 0.120, 1, 0.230, 591, 55, 5, 3, 62, 8.730, 9.313
Mon Jan  9 10:47:26 EST 2017, 6306, 0.620, 5, 0.730, 441, 10, 14, 28, 17, 3.793, 4.727
Mon Jan  9 10:50:32 EST 2017, 8781, 0.370, 8, 0.480, 366, 77, 19, 15, 85, 161.447, 169.003
Mon Jan  9 10:51:06 EST 2017, 3831, 0.870, 3, 0.980, 516, 32, 10, 40, 40, 30.410, 30.187
Mon Jan  9 10:51:17 EST 2017, 2594, 0.250, 6, 0.100, 328, 43, 2, 34, 73, 10.310, 9.483
Mon Jan  9 10:51:44 EST 2017, 7544, 0.750, 2, 0.600, 478, 88, 12, 9, 28, 21.593, 25.643
Mon Jan  9 10:53:49 EST 2017, 5069, 0.000, 4, 0.350, 553, 21, 17, 46, 96, 102.850, 121.110
Mon Jan  9 10:54:30 EST 2017, 119, 0.500, 9, 0.850, 403, 66, 7, 21, 51, 33.090, 39.253
Mon Jan  9 10:56:02 EST 2017, 129, 0.250, 4, 0.150, 568, 49, 14, 21, 65, 80.353, 89.053
Mon Jan  9 10:56:37 EST 2017, 5079, 0.750, 8, 0.650, 418, 94, 5, 46, 20, 30.890, 28.443
Mon Jan  9 10:56:56 EST 2017, 7554, 0.000, 6, 0.400, 343, 26, 9, 8, 87, 15.497, 17.567
