# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap2tQ_timing_secs
Wed May 17 14:09:42 EDT 2017, 0.430, 1, 9, 0.660, 5, 3, 13, 375, 56, 8, 37, 90, 16.607, 22.203
Wed May 17 14:09:49 EDT 2017, 0.930, 6, 5, 0.160, 1, 8, 58, 525, 11, 17, 12, 45, 6.310, 5.247
Wed May 17 14:10:09 EDT 2017, 0.680, 3, 2, 0.910, 3, 1, 81, 300, 79, 13, 49, 22, 19.687, 12.807
Wed May 17 14:10:16 EDT 2017, 0.180, 8, 7, 0.410, 8, 6, 36, 450, 34, 3, 24, 67, 4.780, 6.827
Wed May 17 14:11:09 EDT 2017, 0.120, 2, 1, 0.230, 9, 5, 30, 319, 62, 11, 21, 62, 51.853, 33.773
Wed May 17 14:11:10 EDT 2017, 0.620, 6, 5, 0.730, 5, 1, 75, 469, 17, 2, 46, 17, 0.760, 0.967
Wed May 17 14:11:24 EDT 2017, 0.870, 4, 8, 0.480, 2, 7, 98, 394, 85, 7, 8, 39, 11.097, 14.213
Wed May 17 14:12:27 EDT 2017, 0.370, 8, 3, 0.980, 7, 3, 53, 544, 40, 16, 33, 84, 62.320, 45.940
Wed May 17 14:12:42 EDT 2017, 0.250, 3, 6, 0.100, 1, 4, 19, 506, 73, 9, 2, 28, 13.540, 14.537
Wed May 17 14:13:22 EDT 2017, 0.750, 7, 2, 0.600, 6, 8, 64, 356, 28, 19, 27, 73, 39.713, 23.900
Wed May 17 14:17:45 EDT 2017, 0.500, 1, 4, 0.350, 8, 2, 86, 581, 96, 14, 15, 95, 248.653, 220.537
Wed May 17 14:17:53 EDT 2017, 0.000, 5, 9, 0.850, 4, 6, 41, 431, 51, 4, 40, 50, 5.627, 7.897
Wed May 17 14:18:30 EDT 2017, 0.000, 3, 4, 0.150, 9, 4, 74, 427, 65, 13, 45, 54, 36.123, 29.233
Wed May 17 14:18:39 EDT 2017, 0.500, 7, 8, 0.650, 4, 9, 29, 577, 20, 4, 20, 99, 6.180, 8.833
Wed May 17 14:19:12 EDT 2017, 0.750, 1, 6, 0.400, 2, 2, 52, 352, 87, 8, 33, 76, 28.983, 32.113
Wed May 17 14:19:46 EDT 2017, 0.250, 5, 2, 0.900, 6, 7, 97, 502, 42, 18, 8, 31, 33.520, 20.447
Wed May 17 14:20:21 EDT 2017, 0.370, 2, 9, 0.020, 1, 6, 63, 539, 76, 6, 27, 87, 26.263, 34.763
Wed May 17 14:20:33 EDT 2017, 0.870, 6, 5, 0.520, 5, 1, 18, 389, 31, 16, 2, 42, 11.843, 10.217
Wed May 17 14:20:56 EDT 2017, 0.620, 4, 3, 0.270, 7, 8, 40, 464, 99, 11, 39, 20, 22.570, 19.250
Wed May 17 14:21:00 EDT 2017, 0.120, 8, 7, 0.770, 3, 3, 85, 314, 54, 1, 14, 65, 2.390, 3.453
Wed May 17 14:35:25 EDT 2017, 0.190, 1, 1, 0.580, 5, 3, 68, 483, 71, 14, 17, 70, 423.830, 564.323
Wed May 17 14:35:28 EDT 2017, 0.690, 6, 5, 0.080, 9, 7, 23, 333, 26, 5, 42, 25, 1.960, 2.410
Wed May 17 14:36:03 EDT 2017, 0.940, 3, 8, 0.830, 7, 1, 46, 558, 93, 10, 5, 48, 28.767, 33.870
Wed May 17 14:37:18 EDT 2017, 0.440, 8, 3, 0.330, 2, 5, 91, 408, 48, 19, 30, 93, 74.167, 50.187
Wed May 17 14:37:21 EDT 2017, 0.310, 4, 7, 0.710, 6, 6, 57, 371, 59, 7, 11, 14, 2.793, 3.450
Wed May 17 14:37:42 EDT 2017, 0.810, 9, 2, 0.210, 1, 2, 12, 521, 14, 17, 36, 59, 20.130, 12.003
Wed May 17 14:38:52 EDT 2017, 0.560, 2, 4, 0.960, 3, 8, 35, 446, 82, 12, 23, 82, 69.427, 58.137
Wed May 17 14:38:56 EDT 2017, 0.060, 7, 9, 0.460, 8, 4, 80, 596, 37, 2, 48, 37, 2.180, 3.257
Wed May 17 14:39:27 EDT 2017, 0.090, 2, 5, 0.300, 7, 2, 32, 511, 40, 15, 25, 68, 31.047, 26.200
Wed May 17 14:39:42 EDT 2017, 0.590, 7, 1, 0.800, 2, 6, 77, 361, 85, 5, 0, 23, 14.783, 12.510
