# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jun 26 18:26:42 EDT 2017, 0.210, 1, 5, 0.450, 4, 6, 11, 492, 77, 7, 46, 27, 10.203, 9.513
Mon Jun 26 18:27:24 EDT 2017, 0.710, 6, 1, 0.950, 8, 2, 56, 342, 32, 16, 21, 72, 42.483, 41.213
Mon Jun 26 18:28:29 EDT 2017, 0.960, 4, 3, 0.200, 6, 9, 79, 567, 55, 11, 34, 94, 63.827, 64.190
Mon Jun 26 18:28:30 EDT 2017, 0.460, 8, 8, 0.700, 1, 4, 34, 417, 10, 2, 9, 49, 0.793, 0.753
Mon Jun 26 18:29:34 EDT 2017, 0.340, 5, 2, 0.330, 7, 3, 23, 304, 88, 14, 27, 61, 63.730, 56.363
Mon Jun 26 18:29:36 EDT 2017, 0.840, 9, 7, 0.830, 2, 8, 68, 454, 43, 4, 2, 16, 1.803, 1.677
Mon Jun 26 18:29:44 EDT 2017, 0.590, 2, 9, 0.080, 5, 1, 90, 379, 66, 9, 40, 38, 7.850, 7.653
Mon Jun 26 18:30:10 EDT 2017, 0.090, 7, 4, 0.580, 9, 5, 45, 529, 21, 18, 15, 83, 25.680, 24.457
Mon Jun 26 18:30:16 EDT 2017, 0.060, 2, 1, 0.670, 5, 7, 65, 464, 29, 4, 10, 30, 5.873, 5.047
Mon Jun 26 18:30:49 EDT 2017, 0.560, 7, 5, 0.170, 1, 3, 20, 314, 74, 13, 35, 75, 32.530, 31.003
Mon Jun 26 18:31:42 EDT 2017, 0.810, 4, 7, 0.920, 3, 5, 42, 539, 52, 18, 23, 97, 53.307, 52.673
Mon Jun 26 18:32:15 EDT 2017, 0.310, 9, 3, 0.420, 8, 1, 87, 389, 97, 8, 48, 52, 32.330, 31.450
Mon Jun 26 18:32:22 EDT 2017, 0.430, 3, 6, 0.550, 4, 2, 76, 351, 18, 15, 17, 64, 6.803, 6.300
Mon Jun 26 18:32:32 EDT 2017, 0.930, 8, 2, 0.050, 9, 6, 31, 501, 63, 6, 42, 19, 10.090, 8.493
Mon Jun 26 18:32:34 EDT 2017, 0.680, 1, 4, 0.800, 7, 4, 54, 426, 41, 1, 4, 41, 1.863, 1.720
Mon Jun 26 18:33:20 EDT 2017, 0.180, 6, 9, 0.300, 2, 8, 99, 576, 86, 11, 29, 86, 45.813, 45.410
Mon Jun 26 18:33:25 EDT 2017, 0.120, 4, 3, 0.110, 2, 9, 59, 445, 12, 5, 26, 92, 5.217, 4.783
Mon Jun 26 18:33:48 EDT 2017, 0.620, 8, 8, 0.610, 6, 4, 14, 595, 57, 14, 1, 47, 21.650, 21.530
Mon Jun 26 18:33:55 EDT 2017, 0.870, 2, 6, 0.360, 8, 7, 37, 370, 35, 19, 38, 24, 6.457, 5.900
Mon Jun 26 18:36:26 EDT 2017, 0.370, 6, 1, 0.860, 4, 2, 82, 520, 80, 10, 13, 69, 148.190, 145.763
Mon Jun 26 18:36:32 EDT 2017, 0.250, 1, 9, 0.230, 9, 1, 70, 558, 24, 17, 45, 35, 6.177, 5.827
Mon Jun 26 18:36:57 EDT 2017, 0.750, 5, 5, 0.730, 5, 6, 25, 408, 69, 7, 20, 80, 24.323, 23.690
Mon Jun 26 18:37:06 EDT 2017, 0.500, 3, 2, 0.480, 3, 3, 48, 483, 46, 2, 32, 58, 8.903, 7.440
Mon Jun 26 18:37:11 EDT 2017, 0.000, 7, 7, 0.980, 7, 8, 93, 333, 91, 12, 7, 13, 5.153, 4.893
Mon Jun 26 18:37:46 EDT 2017, 0.000, 4, 8, 0.650, 6, 7, 85, 548, 38, 18, 47, 96, 34.510, 34.217
Mon Jun 26 18:38:17 EDT 2017, 0.500, 8, 3, 0.150, 2, 2, 40, 398, 83, 9, 22, 51, 30.180, 29.317
Mon Jun 26 18:38:20 EDT 2017, 0.750, 2, 1, 0.900, 4, 9, 18, 473, 15, 4, 34, 28, 2.950, 2.497
Mon Jun 26 18:38:43 EDT 2017, 0.250, 6, 6, 0.400, 8, 5, 63, 323, 60, 13, 9, 73, 23.313, 22.323
Mon Jun 26 18:38:45 EDT 2017, 0.370, 1, 5, 0.520, 5, 4, 97, 436, 49, 1, 28, 40, 1.767, 1.607
Mon Jun 26 18:39:35 EDT 2017, 0.870, 5, 9, 0.020, 9, 8, 52, 586, 94, 11, 3, 85, 49.920, 49.743
Mon Jun 26 18:39:45 EDT 2017, 0.620, 3, 7, 0.770, 7, 1, 29, 361, 26, 16, 40, 62, 9.297, 8.970
Mon Jun 26 18:39:56 EDT 2017, 0.120, 7, 2, 0.270, 3, 6, 74, 511, 71, 6, 15, 17, 10.433, 8.740
Mon Jun 26 18:40:06 EDT 2017, 0.180, 2, 5, 0.090, 1, 5, 80, 342, 54, 19, 12, 23, 10.187, 9.653
Mon Jun 26 18:43:13 EDT 2017, 0.680, 7, 1, 0.590, 5, 1, 35, 492, 99, 10, 37, 68, 176.203, 186.490
Mon Jun 26 18:43:27 EDT 2017, 0.930, 4, 3, 0.340, 8, 8, 12, 417, 32, 5, 0, 90, 13.170, 12.567
Mon Jun 26 18:43:57 EDT 2017, 0.430, 9, 7, 0.840, 3, 3, 57, 567, 77, 14, 25, 45, 29.773, 29.527
Mon Jun 26 18:44:08 EDT 2017, 0.310, 3, 2, 0.210, 9, 4, 91, 455, 43, 3, 6, 56, 10.347, 9.177
Mon Jun 26 18:44:12 EDT 2017, 0.810, 8, 6, 0.710, 4, 9, 46, 305, 88, 12, 31, 11, 4.377, 4.007
Mon Jun 26 18:44:18 EDT 2017, 0.560, 1, 8, 0.460, 2, 2, 23, 530, 21, 17, 18, 34, 5.587, 5.180
Mon Jun 26 18:44:44 EDT 2017, 0.060, 6, 4, 0.960, 7, 6, 68, 380, 66, 7, 43, 79, 25.193, 24.673
Mon Jun 26 18:44:59 EDT 2017, 0.090, 1, 1, 0.810, 8, 8, 43, 314, 57, 10, 29, 25, 15.080, 13.453
Mon Jun 26 18:45:00 EDT 2017, 0.590, 6, 5, 0.310, 3, 4, 88, 464, 12, 1, 4, 70, 0.980, 0.920
Mon Jun 26 18:45:21 EDT 2017, 0.840, 4, 8, 0.560, 1, 6, 66, 389, 80, 6, 42, 93, 20.313, 20.107
Mon Jun 26 18:45:47 EDT 2017, 0.340, 8, 3, 0.060, 6, 2, 21, 539, 35, 15, 17, 48, 25.037, 24.100
Mon Jun 26 18:46:10 EDT 2017, 0.470, 5, 6, 0.930, 2, 1, 54, 502, 69, 8, 48, 59, 21.943, 20.380
