# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 09:59:32 EDT 2017, 0.300, 135, 28, 3, 12, 445, 11, 41, 12, 33, 58.597, 3.317
Mon Jul  3 09:59:32 EDT 2017, 0.800, 155, 23, 7, 23, 595, 1, 21, 27, 13, 0.227, 0.257
Mon Jul  3 09:59:37 EDT 2017, 0.550, 125, 21, 5, 28, 370, 6, 31, 5, 23, 5.337, 1.200
Mon Jul  3 09:59:50 EDT 2017, 0.050, 145, 26, 9, 17, 520, 15, 11, 20, 43, 12.437, 1.893
Mon Jul  3 09:59:55 EDT 2017, 0.030, 136, 23, 4, 24, 394, 9, 47, 4, 10, 4.613, 1.070
Mon Jul  3 10:00:50 EDT 2017, 0.530, 156, 28, 8, 13, 544, 19, 27, 19, 30, 55.270, 3.137
Mon Jul  3 10:02:28 EDT 2017, 0.780, 126, 25, 2, 18, 319, 14, 37, 11, 40, 97.653, 3.513
Mon Jul  3 10:02:30 EDT 2017, 0.280, 146, 20, 6, 29, 469, 4, 17, 26, 20, 1.023, 0.650
Mon Jul  3 10:02:45 EDT 2017, 0.400, 121, 29, 5, 15, 506, 7, 22, 0, 45, 14.957, 1.737
Mon Jul  3 10:03:38 EDT 2017, 0.900, 141, 24, 9, 26, 356, 16, 42, 15, 25, 53.450, 2.610
Mon Jul  3 10:03:41 EDT 2017, 0.650, 131, 21, 3, 21, 581, 12, 12, 7, 15, 2.377, 1.010
Mon Jul  3 10:03:42 EDT 2017, 0.150, 151, 26, 7, 10, 431, 2, 32, 22, 35, 1.510, 0.847
Mon Jul  3 10:03:43 EDT 2017, 0.220, 128, 20, 9, 11, 412, 8, 14, 2, 12, 0.623, 0.353
Mon Jul  3 10:05:43 EDT 2017, 0.720, 148, 25, 5, 22, 562, 18, 34, 17, 32, 119.420, 4.817
Mon Jul  3 10:06:14 EDT 2017, 0.970, 138, 27, 7, 28, 337, 13, 24, 9, 42, 30.613, 2.070
Mon Jul  3 10:06:17 EDT 2017, 0.470, 158, 22, 3, 17, 487, 3, 44, 24, 22, 3.013, 0.970
Mon Jul  3 10:06:48 EDT 2017, 0.340, 133, 26, 8, 25, 450, 6, 39, 5, 47, 30.340, 2.490
Mon Jul  3 10:06:58 EDT 2017, 0.840, 153, 21, 4, 14, 300, 15, 19, 20, 27, 10.633, 1.353
Mon Jul  3 10:07:23 EDT 2017, 0.590, 123, 23, 6, 9, 525, 10, 49, 13, 17, 24.727, 2.290
Mon Jul  3 10:07:24 EDT 2017, 0.090, 143, 28, 2, 20, 375, 1, 29, 28, 37, 0.670, 0.550
Mon Jul  3 10:07:40 EDT 2017, 0.060, 122, 25, 3, 28, 309, 19, 18, 27, 26, 16.297, 1.283
Mon Jul  3 10:09:11 EDT 2017, 0.560, 142, 20, 7, 17, 459, 10, 38, 12, 46, 90.280, 4.310
Mon Jul  3 10:09:18 EDT 2017, 0.810, 132, 22, 5, 12, 384, 5, 28, 19, 36, 6.910, 1.347
Mon Jul  3 10:09:50 EDT 2017, 0.310, 152, 27, 9, 23, 534, 15, 48, 4, 16, 31.110, 2.377
Mon Jul  3 10:12:00 EDT 2017, 0.440, 137, 21, 2, 9, 572, 17, 33, 23, 31, 129.707, 5.147
Mon Jul  3 10:12:00 EDT 2017, 0.940, 157, 26, 6, 20, 422, 7, 13, 8, 11, 0.473, 0.440
Mon Jul  3 10:12:03 EDT 2017, 0.690, 127, 29, 4, 26, 497, 3, 43, 16, 21, 2.710, 1.133
Mon Jul  3 10:12:26 EDT 2017, 0.190, 147, 24, 8, 15, 347, 12, 23, 1, 41, 22.520, 1.870
Mon Jul  3 10:13:50 EDT 2017, 0.120, 130, 28, 6, 16, 366, 18, 40, 25, 28, 83.583, 3.180
Mon Jul  3 10:14:14 EDT 2017, 0.620, 150, 23, 2, 27, 516, 9, 20, 10, 48, 24.427, 2.480
Mon Jul  3 10:14:21 EDT 2017, 0.870, 120, 21, 8, 22, 441, 4, 30, 18, 38, 6.837, 1.330
Mon Jul  3 10:14:23 EDT 2017, 0.370, 140, 26, 4, 11, 591, 13, 10, 3, 18, 1.890, 0.743
Mon Jul  3 10:15:24 EDT 2017, 0.250, 125, 24, 7, 19, 553, 16, 25, 29, 33, 60.610, 3.197
Mon Jul  3 10:15:27 EDT 2017, 0.750, 145, 29, 3, 8, 403, 6, 45, 14, 13, 2.867, 0.940
Mon Jul  3 10:15:28 EDT 2017, 0.500, 135, 27, 9, 13, 478, 1, 15, 21, 23, 0.227, 0.237
Mon Jul  3 10:16:21 EDT 2017, 0.000, 155, 22, 5, 24, 328, 11, 35, 6, 43, 52.523, 3.040
Mon Jul  3 10:16:33 EDT 2017, 0.000, 125, 25, 6, 18, 535, 8, 38, 24, 20, 12.503, 1.710
Mon Jul  3 10:17:15 EDT 2017, 0.500, 145, 20, 2, 29, 385, 17, 18, 9, 40, 41.677, 2.690
Mon Jul  3 10:18:36 EDT 2017, 0.750, 135, 23, 8, 23, 460, 12, 48, 17, 30, 80.717, 3.753
Mon Jul  3 10:18:37 EDT 2017, 0.250, 155, 28, 4, 12, 310, 3, 28, 2, 10, 0.317, 0.333
Mon Jul  3 10:18:38 EDT 2017, 0.370, 130, 21, 7, 21, 347, 5, 13, 28, 35, 1.453, 0.667
Mon Jul  3 10:18:53 EDT 2017, 0.870, 150, 26, 3, 10, 497, 15, 33, 13, 15, 14.803, 1.783
Mon Jul  3 10:19:02 EDT 2017, 0.620, 120, 29, 9, 15, 422, 10, 23, 20, 25, 7.967, 1.323
Mon Jul  3 10:19:04 EDT 2017, 0.120, 140, 24, 5, 26, 572, 1, 43, 5, 45, 2.037, 1.223
Mon Jul  3 10:19:10 EDT 2017, 0.180, 137, 28, 3, 28, 591, 9, 21, 26, 22, 5.923, 1.387
Mon Jul  3 10:22:54 EDT 2017, 0.680, 157, 23, 7, 17, 441, 18, 41, 11, 42, 223.080, 6.277
Mon Jul  3 10:23:03 EDT 2017, 0.930, 127, 21, 5, 11, 516, 14, 11, 18, 32, 8.703, 1.397
Mon Jul  3 10:23:04 EDT 2017, 0.430, 147, 26, 9, 22, 366, 4, 31, 3, 12, 0.693, 0.440
Mon Jul  3 10:23:31 EDT 2017, 0.310, 122, 24, 2, 8, 328, 6, 46, 22, 37, 26.907, 2.070
Mon Jul  3 10:23:43 EDT 2017, 0.810, 142, 29, 6, 19, 478, 16, 26, 7, 17, 11.573, 1.570
Mon Jul  3 10:24:10 EDT 2017, 0.560, 132, 27, 4, 25, 403, 11, 36, 15, 27, 27.110, 2.057
Mon Jul  3 10:24:11 EDT 2017, 0.060, 152, 22, 8, 14, 553, 2, 16, 0, 47, 1.253, 0.913
Mon Jul  3 10:24:25 EDT 2017, 0.090, 133, 23, 9, 12, 469, 18, 25, 3, 16, 13.263, 1.463
Mon Jul  3 10:24:51 EDT 2017, 0.590, 153, 28, 5, 23, 319, 8, 45, 18, 36, 26.170, 2.033
Mon Jul  3 10:24:53 EDT 2017, 0.840, 123, 25, 7, 28, 544, 3, 15, 10, 46, 1.843, 0.897
Mon Jul  3 10:25:32 EDT 2017, 0.340, 143, 20, 3, 17, 394, 13, 35, 25, 26, 38.663, 2.627
Mon Jul  3 10:27:59 EDT 2017, 0.470, 128, 29, 8, 26, 431, 15, 40, 6, 41, 146.743, 4.513
Mon Jul  3 10:28:02 EDT 2017, 0.970, 148, 24, 4, 15, 581, 6, 20, 21, 21, 2.680, 1.100
Mon Jul  3 10:28:03 EDT 2017, 0.720, 138, 22, 6, 9, 356, 1, 30, 14, 11, 0.240, 0.270
Mon Jul  3 10:28:06 EDT 2017, 0.220, 158, 27, 2, 20, 506, 11, 10, 29, 31, 3.230, 1.030
Mon Jul  3 10:28:58 EDT 2017, 0.150, 121, 20, 4, 21, 488, 19, 32, 4, 19, 51.600, 2.757
Mon Jul  3 10:29:01 EDT 2017, 0.650, 141, 25, 8, 10, 338, 9, 12, 19, 39, 3.397, 0.947
Mon Jul  3 10:29:40 EDT 2017, 0.900, 131, 27, 2, 16, 563, 5, 42, 12, 49, 38.870, 3.623
Mon Jul  3 10:30:00 EDT 2017, 0.400, 151, 22, 6, 27, 413, 14, 22, 27, 29, 18.860, 1.917
Mon Jul  3 10:30:34 EDT 2017, 0.280, 136, 26, 5, 13, 375, 17, 17, 1, 44, 33.740, 2.167
Mon Jul  3 10:30:44 EDT 2017, 0.780, 156, 21, 9, 24, 525, 7, 37, 16, 24, 10.713, 1.823
Mon Jul  3 10:30:45 EDT 2017, 0.530, 126, 23, 3, 19, 300, 2, 27, 8, 14, 0.357, 0.323
Mon Jul  3 10:32:06 EDT 2017, 0.030, 146, 28, 7, 8, 450, 12, 47, 23, 34, 80.510, 3.737
