# Granularity, %Instr, #Instr
0, 6.76, 0
1, 18.56, 322
2, 27.38, 533
3, 34.48, 744
4, 40.31, 955
5, 45.19, 1166
6, 49.33, 1377
7, 52.89, 1588
8, 55.98, 1799
9, 58.69, 2010
10, 61.09, 2221
11, 63.22, 2432
12, 65.13, 2643
13, 66.86, 2854
14, 68.42, 3065
15, 69.84, 3276
16, 71.13, 3487
17, 72.32, 3698
18, 73.42, 3909
19, 74.43, 4120
20, 75.37, 4331
21, 76.25, 4542
22, 77.06, 4753
23, 77.82, 4964
24, 78.53, 5175
25, 79.20, 5386
26, 79.82, 5597
27, 80.41, 5808
28, 80.96, 6019
29, 81.49, 6230
30, 81.98, 6441
31, 82.45, 6652
32, 82.90, 6863
33, 83.33, 7074
34, 83.73, 7285
35, 84.11, 7496
36, 84.48, 7707
37, 84.83, 7918
38, 85.17, 8129
39, 85.49, 8340
40, 85.79, 8551
41, 86.08, 8659
42, 86.37, 8973
43, 86.64, 9081
44, 86.91, 9395
45, 87.16, 9606
46, 87.40, 9817
47, 87.63, 10028
48, 87.85, 10239
49, 88.07, 10450
50, 88.28, 10661
