# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 09:07:24 EDT 2017, 2275, 0.090, 5478, 5, 0.330, 497, 11, 13, 37, 38, 13.457, 15.500
Sun Apr 30 09:07:40 EDT 2017, 7225, 0.590, 479, 9, 0.830, 347, 56, 3, 12, 83, 12.390, 15.090
Sun Apr 30 09:10:18 EDT 2017, 9700, 0.340, 2979, 2, 0.580, 572, 79, 17, 25, 61, 128.870, 155.900
Sun Apr 30 09:10:22 EDT 2017, 4750, 0.840, 7978, 7, 0.080, 422, 34, 8, 0, 16, 2.120, 3.667
Sun Apr 30 09:10:25 EDT 2017, 3512, 0.470, 1729, 3, 0.700, 385, 23, 1, 43, 72, 2.847, 3.273
Sun Apr 30 09:11:05 EDT 2017, 8462, 0.970, 6728, 8, 0.200, 535, 68, 10, 18, 27, 29.417, 38.730
Sun Apr 30 09:11:23 EDT 2017, 5987, 0.220, 9228, 1, 0.450, 310, 90, 6, 31, 49, 15.567, 18.597
Sun Apr 30 09:12:28 EDT 2017, 1037, 0.720, 4229, 6, 0.950, 460, 45, 15, 6, 94, 56.373, 62.103
Sun Apr 30 09:12:53 EDT 2017, 728, 0.190, 166, 7, 0.550, 525, 65, 11, 10, 24, 18.437, 24.863
Sun Apr 30 09:12:55 EDT 2017, 5678, 0.690, 5166, 2, 0.050, 375, 20, 1, 35, 69, 1.907, 2.227
Sun Apr 30 09:15:10 EDT 2017, 8153, 0.440, 7666, 9, 0.300, 450, 42, 16, 23, 92, 111.010, 133.583
Sun Apr 30 09:15:53 EDT 2017, 3203, 0.940, 2666, 4, 0.800, 300, 87, 6, 48, 47, 38.447, 42.627
Sun Apr 30 09:16:17 EDT 2017, 4440, 0.310, 6416, 5, 0.420, 338, 76, 4, 4, 80, 16.160, 23.450
Sun Apr 30 09:16:30 EDT 2017, 9390, 0.810, 1416, 1, 0.920, 488, 31, 13, 29, 35, 10.873, 12.947
Sun Apr 30 09:16:39 EDT 2017, 6915, 0.060, 3916, 8, 0.670, 413, 54, 9, 17, 13, 6.777, 8.630
Sun Apr 30 09:21:57 EDT 2017, 1965, 0.560, 8916, 3, 0.170, 563, 99, 18, 42, 58, 265.313, 311.063
Sun Apr 30 09:22:14 EDT 2017, 1347, 0.370, 3291, 2, 0.110, 582, 59, 10, 1, 30, 9.600, 16.427
Sun Apr 30 09:22:51 EDT 2017, 6297, 0.870, 8291, 6, 0.610, 432, 14, 19, 26, 75, 29.960, 36.500
Sun Apr 30 09:23:18 EDT 2017, 8772, 0.120, 5791, 4, 0.860, 507, 37, 5, 14, 97, 21.423, 26.467
Sun Apr 30 09:25:25 EDT 2017, 3822, 0.620, 791, 8, 0.360, 357, 82, 14, 39, 52, 111.157, 126.210
Sun Apr 30 09:26:29 EDT 2017, 2584, 0.000, 9541, 3, 0.990, 319, 70, 17, 7, 86, 57.607, 62.217
Sun Apr 30 09:26:48 EDT 2017, 7534, 0.500, 4541, 7, 0.490, 469, 25, 7, 32, 41, 13.750, 17.300
Sun Apr 30 09:27:04 EDT 2017, 5059, 0.250, 2041, 5, 0.240, 394, 48, 12, 20, 19, 12.167, 15.907
