# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 08:44:10 EST 2017, 100, 0.000, 1, 0.000, 300, 10, 1, 0, 10, 1.657, 1.650
Mon Jan  9 08:44:55 EST 2017, 5050, 0.500, 5, 0.500, 450, 55, 10, 25, 55, 44.593, 43.700
Mon Jan  9 08:45:13 EST 2017, 7525, 0.250, 7, 0.250, 525, 32, 15, 12, 32, 17.407, 17.160
Mon Jan  9 08:45:56 EST 2017, 2575, 0.750, 3, 0.750, 375, 77, 5, 37, 77, 42.220, 42.283
Mon Jan  9 08:46:09 EST 2017, 3812, 0.370, 6, 0.120, 562, 88, 3, 31, 21, 12.593, 12.620
Mon Jan  9 08:46:25 EST 2017, 8762, 0.870, 2, 0.620, 412, 43, 12, 6, 66, 16.523, 16.297
Mon Jan  9 08:47:40 EST 2017, 6287, 0.120, 4, 0.370, 337, 66, 17, 43, 43, 74.187, 74.167
Mon Jan  9 08:48:00 EST 2017, 1337, 0.620, 8, 0.870, 487, 21, 8, 18, 88, 19.547, 19.627
Mon Jan  9 08:48:03 EST 2017, 1956, 0.310, 3, 0.680, 468, 26, 2, 46, 26, 2.800, 2.757
Mon Jan  9 08:49:00 EST 2017, 6906, 0.810, 8, 0.180, 318, 71, 11, 21, 71, 55.913, 56.687
Mon Jan  9 08:50:03 EST 2017, 9381, 0.060, 6, 0.930, 393, 49, 16, 34, 49, 61.040, 61.230
Mon Jan  9 08:50:32 EST 2017, 4431, 0.560, 1, 0.430, 543, 94, 6, 9, 94, 29.253, 29.120
Mon Jan  9 08:50:38 EST 2017, 3193, 0.180, 9, 0.560, 431, 83, 4, 15, 15, 5.487, 5.493
Mon Jan  9 08:51:58 EST 2017, 8143, 0.680, 4, 0.060, 581, 38, 14, 40, 60, 79.683, 79.197
Mon Jan  9 08:52:20 EST 2017, 5668, 0.430, 2, 0.810, 506, 60, 18, 3, 38, 21.460, 20.320
Mon Jan  9 08:52:35 EST 2017, 718, 0.930, 7, 0.310, 356, 15, 9, 28, 83, 14.387, 14.437
Mon Jan  9 08:53:44 EST 2017, 1028, 0.460, 8, 0.400, 384, 40, 11, 42, 80, 67.927, 67.233
Mon Jan  9 08:53:49 EST 2017, 5978, 0.960, 4, 0.900, 534, 85, 1, 17, 35, 4.683, 4.817
Mon Jan  9 08:53:53 EST 2017, 8453, 0.210, 1, 0.150, 459, 18, 6, 29, 57, 4.430, 4.467
Mon Jan  9 08:53:58 EST 2017, 3503, 0.710, 6, 0.650, 309, 63, 15, 4, 12, 4.730, 4.710
Mon Jan  9 08:56:26 EST 2017, 4740, 0.090, 5, 0.280, 496, 74, 13, 23, 91, 146.827, 146.153
Mon Jan  9 08:56:34 EST 2017, 9690, 0.590, 9, 0.780, 346, 29, 3, 48, 46, 7.950, 7.963
