# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Wed May 17 14:12:23 EDT 2017, 0.000, 1, 1, 0.000, 1, 1, 10, 300, 10, 1, 0, 10, 0.353, 0.377
Wed May 17 14:12:45 EDT 2017, 0.500, 5, 5, 0.500, 5, 5, 55, 450, 55, 10, 25, 55, 21.900, 22.120
Wed May 17 14:13:02 EDT 2017, 0.750, 3, 7, 0.250, 7, 3, 77, 375, 32, 15, 12, 77, 16.607, 16.490
Wed May 17 14:13:19 EDT 2017, 0.250, 7, 3, 0.750, 3, 7, 32, 525, 77, 5, 37, 32, 15.937, 15.633
Wed May 17 14:13:34 EDT 2017, 0.370, 4, 6, 0.120, 8, 8, 21, 487, 21, 17, 18, 66, 14.740, 14.683
Wed May 17 14:13:46 EDT 2017, 0.870, 8, 2, 0.620, 4, 4, 66, 337, 66, 8, 43, 21, 11.847, 11.107
Wed May 17 14:13:53 EDT 2017, 0.620, 2, 4, 0.370, 2, 6, 88, 562, 43, 3, 6, 43, 6.807, 6.917
Wed May 17 14:14:40 EDT 2017, 0.120, 6, 8, 0.870, 6, 2, 43, 412, 88, 12, 31, 88, 45.967, 45.830
Wed May 17 14:14:47 EDT 2017, 0.180, 3, 3, 0.680, 6, 2, 15, 581, 26, 2, 34, 83, 6.760, 7.197
Wed May 17 14:15:03 EDT 2017, 0.680, 8, 8, 0.180, 1, 7, 60, 431, 71, 11, 9, 38, 14.723, 14.890
Wed May 17 14:15:11 EDT 2017, 0.930, 1, 6, 0.930, 3, 4, 83, 506, 49, 16, 46, 15, 7.287, 7.067
Wed May 17 14:16:04 EDT 2017, 0.430, 6, 1, 0.430, 8, 9, 38, 356, 94, 6, 21, 60, 51.347, 52.437
Wed May 17 14:16:09 EDT 2017, 0.310, 2, 9, 0.560, 4, 8, 26, 393, 15, 18, 40, 49, 4.887, 4.793
Wed May 17 14:17:07 EDT 2017, 0.810, 7, 4, 0.060, 9, 3, 71, 543, 60, 9, 15, 94, 55.770, 56.643
Wed May 17 14:17:19 EDT 2017, 0.560, 4, 2, 0.810, 7, 6, 94, 318, 38, 4, 28, 71, 11.650, 11.513
Wed May 17 14:17:36 EDT 2017, 0.060, 9, 7, 0.310, 2, 1, 49, 468, 83, 14, 3, 26, 17.063, 16.223
Wed May 17 14:18:14 EDT 2017, 0.090, 5, 8, 0.400, 3, 4, 57, 553, 80, 8, 20, 85, 36.817, 36.947
Wed May 17 14:18:32 EDT 2017, 0.590, 9, 4, 0.900, 8, 8, 12, 403, 35, 18, 45, 40, 18.230, 18.197
Wed May 17 14:18:56 EDT 2017, 0.840, 2, 1, 0.150, 5, 1, 35, 478, 57, 13, 7, 18, 23.620, 22.660
Wed May 17 14:18:57 EDT 2017, 0.340, 7, 6, 0.650, 1, 6, 80, 328, 12, 3, 32, 63, 1.270, 1.243
Wed May 17 14:19:36 EDT 2017, 0.460, 1, 5, 0.280, 6, 7, 69, 440, 91, 11, 1, 52, 36.667, 37.837
