# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 10:02:06 EDT 2017, 0.430, 122, 29, 7, 19, 394, 1, 20, 15, 25, 0.317, 0.330
Sun Jul  2 10:04:20 EDT 2017, 0.930, 142, 24, 3, 8, 544, 11, 40, 0, 45, 134.383, 103.027
Sun Jul  2 10:04:26 EDT 2017, 0.680, 132, 22, 9, 14, 319, 16, 10, 23, 35, 5.923, 5.357
Sun Jul  2 10:04:28 EDT 2017, 0.180, 152, 27, 5, 25, 469, 6, 30, 8, 15, 1.910, 1.980
Sun Jul  2 10:04:30 EDT 2017, 0.120, 125, 20, 3, 29, 450, 5, 12, 17, 33, 1.810, 1.883
Sun Jul  2 10:04:36 EDT 2017, 0.620, 145, 25, 7, 18, 300, 14, 32, 2, 13, 5.130, 4.580
Sun Jul  2 10:05:02 EDT 2017, 0.870, 135, 27, 5, 12, 525, 19, 22, 25, 23, 25.703, 21.603
Sun Jul  2 10:06:03 EDT 2017, 0.370, 155, 22, 9, 23, 375, 10, 42, 10, 43, 61.250, 47.393
Sun Jul  2 10:06:05 EDT 2017, 0.250, 130, 26, 2, 10, 413, 2, 37, 21, 28, 1.680, 1.687
Sun Jul  2 10:06:36 EDT 2017, 0.750, 150, 21, 6, 21, 563, 12, 17, 6, 48, 30.713, 25.150
Sun Jul  2 10:10:31 EDT 2017, 0.500, 120, 24, 4, 26, 338, 17, 47, 28, 38, 234.300, 170.177
Sun Jul  2 10:10:34 EDT 2017, 0.000, 140, 29, 8, 15, 488, 7, 27, 13, 18, 2.890, 2.930
Sun Jul  2 10:11:25 EDT 2017, 0.000, 130, 23, 3, 27, 431, 14, 26, 18, 36, 51.003, 39.657
Sun Jul  2 10:11:29 EDT 2017, 0.500, 150, 28, 7, 16, 581, 5, 46, 3, 16, 3.853, 3.783
Sun Jul  2 10:11:32 EDT 2017, 0.750, 120, 26, 5, 11, 356, 9, 16, 25, 26, 3.297, 2.990
Sun Jul  2 10:16:29 EDT 2017, 0.250, 140, 21, 9, 22, 506, 19, 36, 10, 46, 296.470, 217.393
Sun Jul  2 10:17:00 EDT 2017, 0.370, 125, 29, 2, 8, 469, 12, 41, 22, 21, 31.027, 25.527
Sun Jul  2 10:17:01 EDT 2017, 0.870, 145, 24, 6, 19, 319, 2, 21, 7, 41, 0.703, 1.057
Sun Jul  2 10:17:18 EDT 2017, 0.620, 135, 22, 4, 24, 544, 7, 31, 29, 31, 16.330, 13.927
Sun Jul  2 10:17:19 EDT 2017, 0.120, 155, 27, 8, 13, 394, 17, 11, 14, 11, 0.940, 1.017
Sun Jul  2 10:18:43 EDT 2017, 0.190, 122, 20, 6, 18, 375, 13, 34, 20, 39, 83.680, 63.697
Sun Jul  2 10:18:44 EDT 2017, 0.690, 142, 25, 2, 29, 525, 3, 14, 5, 19, 0.433, 0.463
Sun Jul  2 10:19:00 EDT 2017, 0.940, 132, 27, 8, 23, 300, 8, 44, 27, 29, 16.617, 13.777
Sun Jul  2 10:20:57 EDT 2017, 0.440, 152, 22, 4, 12, 450, 18, 24, 12, 49, 116.540, 89.080
Sun Jul  2 10:21:04 EDT 2017, 0.310, 137, 26, 7, 20, 487, 11, 19, 16, 24, 6.487, 6.090
Sun Jul  2 10:21:05 EDT 2017, 0.810, 157, 21, 3, 9, 337, 1, 39, 1, 44, 1.240, 1.293
Sun Jul  2 10:21:17 EDT 2017, 0.560, 127, 24, 9, 15, 562, 6, 29, 24, 34, 11.737, 10.417
