# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 13:18:48 EST 2017, 1187, 0.080, 3, 0.620, 493, 87, 2, 47, 90, 10.880, 11.407
Tue Jan 10 14:22:37 EST 2017, 6137, 0.580, 9, 0.120, 343, 42, 11, 22, 45, 11.200, 11.510
Tue Jan 10 14:27:13 EST 2017, 8612, 0.330, 6, 0.870, 418, 64, 16, 35, 67, 40.927, 37.910
Tue Jan 10 14:30:14 EST 2017, 3662, 0.830, 0, 0.370, 568, 19, 6, 10, 22, 0.060, 2.567
Tue Jan 10 14:32:15 EST 2017, 4900, 0.450, 11, 0.740, 381, 31, 4, 16, 78, 4.307, 4.163
Tue Jan 10 14:35:11 EST 2017, 9850, 0.950, 5, 0.240, 531, 76, 13, 41, 33, 0.133, 52.923
Tue Jan 10 15:38:48 EST 2017, 7375, 0.200, 2, 0.990, 456, 53, 18, 3, 56, 6.760, 4.760
Tue Jan 10 15:42:49 EST 2017, 2425, 0.700, 8, 0.490, 306, 98, 9, 28, 11, 5.077, 4.990
Tue Jan 10 15:46:55 EST 2017, 1806, 0.260, 1, 0.180, 362, 93, 3, 0, 84, 2.640, 3.670
Tue Jan 10 15:48:15 EST 2017, 6756, 0.760, 7, 0.680, 512, 48, 12, 25, 39, 19.367, 17.807
Tue Jan 10 15:49:21 EST 2017, 9231, 0.010, 10, 0.430, 587, 70, 17, 13, 61, 26.737, 23.073
Tue Jan 10 15:53:02 EST 2017, 4281, 0.510, 4, 0.930, 437, 25, 8, 38, 16, 2.373, 2.263
Tue Jan 10 15:57:13 EST 2017, 3043, 0.140, 8, 0.050, 550, 14, 5, 32, 95, 5.643, 6.057
Tue Jan 10 16:00:24 EST 2017, 7993, 0.640, 2, 0.550, 400, 59, 15, 7, 50, 12.317, 11.310
Tue Jan 10 16:02:49 EST 2017, 5518, 0.390, 5, 0.300, 325, 36, 19, 44, 73, 36.393, 31.500
Tue Jan 10 16:04:35 EST 2017, 568, 0.890, 11, 0.800, 475, 81, 10, 19, 28, 15.910, 14.710
Tue Jan 10 16:06:30 EST 2017, 414, 0.150, 0, 0.380, 404, 21, 15, 25, 77, 10.767, 10.673
Tue Jan 10 16:10:26 EST 2017, 5364, 0.650, 6, 0.880, 554, 66, 5, 0, 32, 2.773, 2.313
Tue Jan 10 16:12:32 EST 2017, 7839, 0.400, 9, 0.130, 479, 43, 1, 37, 99, 4.523, 5.117
Tue Jan 10 16:16:48 EST 2017, 2889, 0.900, 3, 0.630, 329, 88, 10, 12, 54, 16.497, 15.373
Tue Jan 10 16:19:09 EST 2017, 4126, 0.280, 8, 0.260, 517, 77, 17, 6, 66, 29.620, 25.937
Tue Jan 10 16:22:45 EST 2017, 9076, 0.780, 2, 0.760, 367, 32, 8, 31, 21, 2.697, 2.613
Tue Jan 10 16:26:51 EST 2017, 6601, 0.030, 5, 0.010, 442, 55, 3, 18, 88, 5.430, 6.023
Tue Jan 10 16:30:17 EST 2017, 1651, 0.530, 11, 0.510, 592, 10, 13, 43, 43, 8.123, 8.140
Tue Jan 10 16:32:22 EST 2017, 2270, 0.470, 4, 0.820, 535, 15, 16, 21, 60, 8.333, 7.700
Tue Jan 10 16:34:23 EST 2017, 7220, 0.970, 10, 0.320, 385, 60, 7, 46, 15, 0.093, 7.773
Tue Jan 10 16:36:19 EST 2017, 9695, 0.220, 7, 0.570, 310, 38, 2, 9, 82, 1.717, 1.787
Tue Jan 10 16:37:44 EST 2017, 4745, 0.720, 1, 0.070, 460, 83, 11, 34, 37, 26.223, 24.627
Tue Jan 10 16:39:20 EST 2017, 3507, 0.090, 11, 0.940, 348, 94, 19, 40, 71, 59.320, 52.740
Tue Jan 10 16:40:31 EST 2017, 8457, 0.590, 5, 0.440, 498, 49, 9, 15, 26, 7.067, 6.907
Tue Jan 10 16:42:36 EST 2017, 5982, 0.340, 2, 0.690, 573, 71, 4, 28, 94, 14.757, 14.957
Tue Jan 10 16:43:32 EST 2017, 1032, 0.840, 8, 0.190, 423, 26, 14, 3, 49, 0.097, 7.940
Tue Jan 10 16:47:37 EST 2017, 723, 0.310, 10, 0.040, 320, 52, 6, 17, 52, 5.937, 6.463
Tue Jan 10 16:53:04 EST 2017, 5673, 0.810, 4, 0.540, 470, 97, 16, 42, 97, 206.463, 166.743
Tue Jan 10 16:53:39 EST 2017, 8148, 0.060, 1, 0.290, 545, 29, 11, 4, 29, 1.280, 1.267
Tue Jan 10 16:55:40 EST 2017, 3198, 0.560, 7, 0.790, 395, 74, 1, 29, 74, 4.150, 4.347
