# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Mon Jul  3 15:37:21 EDT 2017, 0.430, 122, 29, 7, 19, 394, 1, 20, 15, 25, 1.353, 1.253
Mon Jul  3 15:41:27 EDT 2017, 0.930, 142, 24, 3, 8, 544, 11, 40, 0, 45, 3.453, 2.273
Mon Jul  3 15:46:29 EDT 2017, 0.680, 132, 22, 9, 14, 319, 16, 10, 23, 35, 1.267, 1.267
Mon Jul  3 15:51:35 EDT 2017, 0.180, 152, 27, 5, 25, 469, 6, 30, 8, 15, 1.257, 1.280
Mon Jul  3 15:56:37 EDT 2017, 0.120, 125, 20, 3, 29, 450, 5, 12, 17, 33, 1.393, 1.390
Mon Jul  3 16:01:13 EDT 2017, 0.620, 145, 25, 7, 18, 300, 14, 32, 2, 13, 1.337, 1.347
Mon Jul  3 16:06:30 EDT 2017, 0.870, 135, 27, 5, 12, 525, 19, 22, 25, 23, 1.657, 1.550
Mon Jul  3 16:11:26 EDT 2017, 0.370, 155, 22, 9, 23, 375, 10, 42, 10, 43, 1.857, 1.567
Mon Jul  3 16:16:28 EDT 2017, 0.250, 130, 26, 2, 10, 413, 2, 37, 21, 28, 1.290, 1.297
Mon Jul  3 16:21:44 EDT 2017, 0.750, 150, 21, 6, 21, 563, 12, 17, 6, 48, 1.873, 1.657
Mon Jul  3 16:26:41 EDT 2017, 0.500, 120, 24, 4, 26, 338, 17, 47, 28, 38, 3.147, 1.987
Mon Jul  3 16:31:12 EDT 2017, 0.000, 140, 29, 8, 15, 488, 7, 27, 13, 18, 1.277, 1.260
Mon Jul  3 16:36:19 EDT 2017, 0.000, 130, 23, 3, 27, 431, 14, 26, 18, 36, 2.400, 1.560
Mon Jul  3 16:41:25 EDT 2017, 0.500, 150, 28, 7, 16, 581, 5, 46, 3, 16, 1.257, 1.243
Mon Jul  3 16:46:37 EDT 2017, 0.750, 120, 26, 5, 11, 356, 9, 16, 25, 26, 1.260, 1.237
Mon Jul  3 16:51:34 EDT 2017, 0.250, 140, 21, 9, 22, 506, 19, 36, 10, 46, 3.077, 2.057
Mon Jul  3 16:56:40 EDT 2017, 0.370, 125, 29, 2, 8, 469, 12, 41, 22, 21, 1.793, 1.597
Mon Jul  3 17:01:12 EDT 2017, 0.870, 145, 24, 6, 19, 319, 2, 21, 7, 41, 1.293, 1.280
Mon Jul  3 17:06:28 EDT 2017, 0.620, 135, 22, 4, 24, 544, 7, 31, 29, 31, 1.567, 1.563
Mon Jul  3 17:11:25 EDT 2017, 0.120, 155, 27, 8, 13, 394, 17, 11, 14, 11, 1.260, 1.253
Mon Jul  3 17:16:27 EDT 2017, 0.190, 122, 20, 6, 18, 375, 13, 34, 20, 39, 1.867, 1.573
Mon Jul  3 17:21:38 EDT 2017, 0.690, 142, 25, 2, 29, 525, 3, 14, 5, 19, 1.277, 1.243
Mon Jul  3 17:26:40 EDT 2017, 0.940, 132, 27, 8, 23, 300, 8, 44, 27, 29, 1.687, 1.583
Mon Jul  3 17:31:16 EDT 2017, 0.440, 152, 22, 4, 12, 450, 18, 24, 12, 49, 2.180, 1.857
Mon Jul  3 17:36:18 EDT 2017, 0.310, 137, 26, 7, 20, 487, 11, 19, 16, 24, 1.280, 1.250
Mon Jul  3 18:41:26 EDT 2017, 0.810, 157, 21, 3, 9, 337, 1, 39, 1, 44, 1.327, 1.377
Mon Jul  3 18:46:27 EDT 2017, 0.560, 127, 24, 9, 15, 562, 6, 29, 24, 34, 1.373, 1.467
Mon Jul  3 18:51:34 EDT 2017, 0.060, 147, 29, 5, 26, 412, 15, 49, 9, 14, 1.353, 1.377
Mon Jul  3 18:56:40 EDT 2017, 0.090, 128, 25, 4, 22, 347, 5, 38, 10, 40, 1.253, 1.270
Mon Jul  3 19:01:17 EDT 2017, 0.590, 148, 20, 8, 11, 497, 15, 18, 25, 20, 1.243, 1.383
Mon Jul  3 19:06:18 EDT 2017, 0.840, 138, 22, 2, 17, 422, 19, 48, 2, 10, 1.837, 1.580
Mon Jul  3 19:11:25 EDT 2017, 0.340, 158, 27, 6, 28, 572, 10, 28, 17, 30, 1.550, 1.563
Mon Jul  3 19:16:27 EDT 2017, 0.470, 133, 21, 5, 14, 534, 3, 13, 13, 15, 1.240, 1.250
Mon Jul  3 19:21:34 EDT 2017, 0.970, 153, 26, 9, 25, 384, 12, 33, 28, 35, 1.823, 1.680
Mon Jul  3 19:26:40 EDT 2017, 0.720, 123, 28, 3, 20, 459, 17, 23, 6, 45, 2.230, 1.867
Mon Jul  3 19:31:12 EDT 2017, 0.220, 143, 23, 7, 9, 309, 8, 43, 21, 25, 1.210, 1.253
Mon Jul  3 19:36:19 EDT 2017, 0.150, 136, 28, 9, 13, 328, 4, 20, 11, 42, 1.283, 1.290
Mon Jul  3 19:47:32 EDT 2017, 0.650, 156, 23, 5, 24, 478, 14, 40, 26, 22, 1.837, 1.553
Mon Jul  3 20:53:10 EDT 2017, 0.900, 126, 20, 7, 29, 403, 18, 10, 4, 12, 3600.000, 3600.000
Mon Jul  3 20:56:41 EDT 2017, 0.400, 146, 25, 3, 18, 553, 9, 30, 19, 32, 1.583, 1.577
Mon Jul  3 21:01:28 EDT 2017, 0.280, 121, 24, 8, 27, 590, 2, 45, 8, 17, 1.273, 1.243
Mon Jul  3 21:06:25 EDT 2017, 0.780, 141, 29, 4, 16, 440, 11, 25, 23, 37, 1.667, 1.557
Mon Jul  3 22:11:32 EDT 2017, 0.530, 131, 27, 6, 10, 515, 16, 35, 0, 47, 3.047, 2.080
Mon Jul  3 22:16:34 EDT 2017, 0.030, 151, 22, 2, 21, 365, 6, 15, 15, 27, 1.283, 1.280
Mon Jul  3 22:21:41 EDT 2017, 0.040, 120, 27, 7, 14, 548, 19, 40, 1, 35, 2.283, 1.870
Mon Jul  3 22:26:43 EDT 2017, 0.540, 140, 22, 3, 25, 398, 9, 20, 16, 15, 1.257, 1.253
Mon Jul  3 22:31:29 EDT 2017, 0.790, 130, 20, 9, 20, 473, 4, 30, 8, 25, 1.223, 1.233
Mon Jul  3 22:36:25 EDT 2017, 0.290, 150, 25, 5, 9, 323, 14, 10, 23, 45, 1.287, 1.287
Mon Jul  3 22:41:27 EDT 2017, 0.420, 135, 23, 6, 23, 361, 16, 25, 4, 20, 1.370, 1.330
Mon Jul  3 22:46:34 EDT 2017, 0.920, 155, 28, 2, 12, 511, 7, 45, 19, 40, 2.153, 1.850
Mon Jul  3 22:51:40 EDT 2017, 0.670, 125, 26, 8, 17, 436, 2, 15, 12, 30, 1.240, 1.243
Mon Jul  3 22:56:42 EDT 2017, 0.170, 145, 21, 4, 28, 586, 11, 35, 27, 10, 1.287, 1.253
Mon Jul  3 23:01:18 EDT 2017, 0.230, 133, 25, 2, 24, 567, 17, 17, 6, 38, 1.550, 1.520
Tue Jul  4 00:04:35 EDT 2017, 0.730, 153, 20, 6, 13, 417, 8, 37, 21, 18, 1.263, 1.360
Tue Jul  4 00:09:37 EDT 2017, 0.980, 123, 23, 4, 8, 492, 3, 27, 14, 28, 1.250, 1.313
Tue Jul  4 00:14:34 EDT 2017, 0.480, 143, 28, 8, 19, 342, 13, 47, 29, 48, 2.683, 1.880
Tue Jul  4 00:19:45 EDT 2017, 0.360, 128, 21, 3, 10, 304, 15, 32, 3, 23, 1.567, 1.497
Tue Jul  4 01:24:48 EDT 2017, 0.860, 148, 26, 7, 21, 454, 6, 12, 18, 43, 1.257, 1.253
Tue Jul  4 01:30:00 EDT 2017, 0.610, 138, 29, 5, 27, 379, 1, 42, 10, 33, 1.373, 1.387
Tue Jul  4 01:34:27 EDT 2017, 0.110, 158, 24, 9, 16, 529, 10, 22, 25, 13, 1.303, 1.293
Tue Jul  4 01:39:29 EDT 2017, 0.080, 139, 20, 8, 10, 464, 10, 13, 22, 42, 1.430, 1.433
Tue Jul  4 01:44:45 EDT 2017, 0.580, 159, 25, 4, 21, 314, 19, 33, 7, 22, 1.540, 1.547
Tue Jul  4 01:49:42 EDT 2017, 0.830, 129, 28, 6, 26, 539, 14, 23, 15, 12, 1.353, 1.433
Tue Jul  4 01:54:45 EDT 2017, 0.330, 149, 23, 2, 15, 389, 5, 43, 0, 32, 1.463, 1.350
Tue Jul  4 02:59:24 EDT 2017, 0.450, 124, 27, 9, 29, 426, 7, 38, 26, 17, 1.230, 1.533
Tue Jul  4 03:02:25 EDT 2017, 0.950, 144, 22, 5, 18, 576, 17, 18, 11, 37, 2.180, 1.897
Tue Jul  4 04:06:34 EDT 2017, 0.700, 134, 24, 7, 12, 351, 12, 48, 18, 47, 2.977, 2.083
Tue Jul  4 04:11:46 EDT 2017, 0.200, 154, 29, 3, 23, 501, 3, 28, 3, 27, 1.277, 1.253
Tue Jul  4 04:16:53 EDT 2017, 0.140, 126, 22, 5, 19, 520, 8, 46, 28, 44, 1.880, 1.790
Tue Jul  4 04:21:59 EDT 2017, 0.640, 146, 27, 9, 8, 370, 18, 26, 13, 24, 1.570, 1.567
Tue Jul  4 04:26:56 EDT 2017, 0.890, 136, 25, 3, 14, 595, 13, 36, 20, 14, 1.763, 1.553
Tue Jul  4 04:31:37 EDT 2017, 0.390, 156, 20, 7, 25, 445, 4, 16, 5, 34, 1.267, 1.267
Tue Jul  4 04:36:34 EDT 2017, 0.260, 131, 29, 4, 17, 408, 6, 21, 24, 19, 1.257, 1.257
Tue Jul  4 04:41:41 EDT 2017, 0.760, 151, 24, 8, 28, 558, 16, 41, 9, 39, 3.480, 2.253
Tue Jul  4 05:46:44 EDT 2017, 0.510, 121, 21, 2, 22, 333, 11, 11, 17, 49, 1.427, 1.360
Tue Jul  4 05:51:55 EDT 2017, 0.010, 141, 26, 6, 11, 483, 1, 31, 2, 29, 1.260, 1.280
Tue Jul  4 05:56:57 EDT 2017, 0.020, 125, 21, 9, 26, 504, 16, 44, 19, 48, 2.873, 2.170
Tue Jul  4 06:01:29 EDT 2017, 0.520, 145, 26, 5, 15, 354, 7, 24, 4, 28, 1.293, 1.293
Tue Jul  4 06:06:46 EDT 2017, 0.770, 135, 29, 7, 9, 579, 2, 34, 26, 18, 1.260, 1.267
Tue Jul  4 06:11:53 EDT 2017, 0.270, 155, 24, 3, 20, 429, 11, 14, 11, 38, 1.240, 1.270
Tue Jul  4 06:16:55 EDT 2017, 0.400, 130, 25, 8, 12, 391, 18, 29, 15, 13, 1.257, 1.283
Tue Jul  4 06:21:51 EDT 2017, 0.900, 150, 20, 4, 23, 541, 9, 49, 0, 33, 2.587, 2.133
Tue Jul  4 06:27:08 EDT 2017, 0.650, 120, 23, 6, 28, 316, 4, 19, 22, 43, 1.260, 1.263
Tue Jul  4 06:31:39 EDT 2017, 0.150, 140, 28, 2, 17, 466, 14, 39, 7, 23, 1.553, 1.580
Tue Jul  4 06:36:36 EDT 2017, 0.210, 138, 24, 4, 13, 485, 15, 17, 17, 45, 1.663, 1.580
Tue Jul  4 07:41:14 EDT 2017, 0.710, 158, 29, 8, 24, 335, 5, 37, 2, 25, 1.237, 1.233
Tue Jul  4 07:45:56 EDT 2017, 0.960, 128, 27, 2, 19, 560, 1, 27, 24, 15, 1.230, 1.263
Tue Jul  4 07:51:03 EDT 2017, 0.460, 148, 22, 6, 8, 410, 10, 47, 9, 35, 1.937, 1.850
Tue Jul  4 07:55:59 EDT 2017, 0.330, 123, 28, 5, 22, 447, 17, 32, 21, 10, 1.270, 1.287
Tue Jul  4 08:00:31 EDT 2017, 0.830, 143, 23, 9, 11, 597, 8, 12, 6, 30, 1.237, 1.383
Tue Jul  4 08:05:47 EDT 2017, 0.580, 133, 21, 3, 16, 372, 3, 42, 28, 40, 1.240, 1.380
Tue Jul  4 08:10:54 EDT 2017, 0.080, 153, 26, 7, 27, 522, 13, 22, 13, 20, 1.263, 1.297
Tue Jul  4 08:15:56 EDT 2017, 0.120, 134, 29, 6, 21, 588, 7, 11, 12, 34, 1.253, 1.273
Tue Jul  4 08:21:03 EDT 2017, 0.620, 154, 24, 2, 10, 438, 17, 31, 27, 14, 1.463, 1.773
Tue Jul  4 08:26:09 EDT 2017, 0.870, 124, 22, 8, 15, 513, 12, 21, 5, 24, 1.580, 1.553
Tue Jul  4 08:30:41 EDT 2017, 0.370, 144, 27, 4, 26, 363, 2, 41, 20, 44, 1.213, 1.217
Tue Jul  4 08:35:48 EDT 2017, 0.490, 129, 23, 7, 18, 326, 10, 36, 8, 29, 1.563, 1.573
Tue Jul  4 09:41:11 EDT 2017, 0.990, 149, 28, 3, 29, 476, 19, 16, 23, 49, 3600.000, 3600.000
Tue Jul  4 09:45:22 EDT 2017, 0.740, 139, 25, 9, 24, 401, 14, 46, 1, 39, 2.860, 1.853
Tue Jul  4 09:50:34 EDT 2017, 0.240, 159, 20, 5, 13, 551, 5, 26, 16, 19, 1.247, 1.283
Tue Jul  4 09:55:41 EDT 2017, 0.180, 122, 26, 3, 8, 532, 6, 48, 10, 31, 1.560, 1.570
Tue Jul  4 10:00:18 EDT 2017, 0.680, 142, 21, 7, 19, 382, 15, 28, 25, 11, 1.213, 1.173
Tue Jul  4 10:05:09 EDT 2017, 0.930, 132, 24, 5, 25, 457, 11, 38, 3, 21, 1.760, 1.570
Tue Jul  4 10:10:26 EDT 2017, 0.430, 152, 29, 9, 14, 307, 1, 18, 18, 41, 1.247, 1.253
Tue Jul  4 10:15:18 EDT 2017, 0.300, 137, 20, 2, 28, 344, 8, 23, 14, 26, 1.260, 1.263
Tue Jul  4 10:20:29 EDT 2017, 0.800, 157, 25, 6, 17, 494, 18, 43, 29, 46, 4.843, 2.453
Tue Jul  4 10:25:41 EDT 2017, 0.550, 127, 27, 4, 11, 419, 13, 13, 7, 36, 1.340, 1.560
Tue Jul  4 10:30:13 EDT 2017, 0.050, 147, 22, 8, 22, 569, 4, 33, 22, 16, 1.237, 1.200
Tue Jul  4 10:35:10 EDT 2017, 0.040, 135, 26, 5, 16, 312, 12, 27, 6, 48, 1.540, 1.573
Tue Jul  4 11:40:19 EDT 2017, 0.540, 155, 21, 9, 27, 462, 2, 47, 21, 28, 1.290, 1.247
Tue Jul  4 11:45:21 EDT 2017, 0.790, 125, 24, 3, 22, 387, 7, 17, 14, 18, 1.283, 1.247
