# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, heap2tQ_timing_secs
Thu Dec 29 11:13:21 EST 2016, 2275, .09000000000000000000, 6, .45000000000000000000, 400, 69, 1, 32, 77, 3.923, 3.880
Thu Dec 29 11:14:16 EST 2016, 7225, .59000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.050, 0.053
Thu Dec 29 11:16:32 EST 2016, 9700, .34000000000000000000, 3, .20000000000000000000, 475, 91, 15, 44, 55, 65.310, 67.353
Thu Dec 29 11:17:22 EST 2016, 4750, .84000000000000000000, 9, .70000000000000000000, 325, 46, 6, 19, 10, 1.610, 1.557
Thu Dec 29 11:18:23 EST 2016, 3512, .47000000000000000000, 2, .33000000000000000000, 512, 35, 3, --cols, , 0.060, 0.060
Thu Dec 29 11:20:19 EST 2016, 8462, .97000000000000000000, 8, .83000000000000000000, 362, 80, 13, 25, 43, 56.440, 27.487
Thu Dec 29 11:20:34 EST 2016, 5987, .22000000000000000000, 11, .08000000000000000000, 437, 13, 18, 13, 66, 9.750, 7.803
Thu Dec 29 11:21:39 EST 2016, 1037, .72000000000000000000, 5, .58000000000000000000, 587, 58, 8, 38, 21, 12.497, 11.240
Thu Dec 29 11:22:25 EST 2016, 728, .19000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.060, 0.057
Thu Dec 29 11:23:30 EST 2016, 5678, .69000000000000000000, 6, .17000000000000000000, 316, 32, 3, 2, 74, 3.517, 2.870
Thu Dec 29 11:24:41 EST 2016, 8153, .44000000000000000000, 9, .92000000000000000000, 391, 55, 7, 39, 52, 13.520, 12.323
Thu Dec 29 11:31:08 EST 2016, 3203, .94000000000000000000, 3, .42000000000000000000, 541, 10, 17, 14, 97, 0.000, 23.740
Thu Dec 29 11:31:38 EST 2016, 4440, .31000000000000000000, 7, .55000000000000000000, 428, 21, 15, 8, 18, 2.353, 2.087
Thu Dec 29 11:33:09 EST 2016, 9390, .81000000000000000000, 1, .05000000000000000000, 578, 66, 5, 33, 63, 27.767, 31.220
Thu Dec 29 11:33:44 EST 2016, 6915, .06000000000000000000, 4, .80000000000000000000, 503, 44, 10, 21, 41, 7.040, 6.297
Thu Dec 29 11:40:16 EST 2016, 1965, .56000000000000000000, 10, .30000000000000000000, 353, 89, 19, 46, 86, 0.000, 114.270
Thu Dec 29 11:40:57 EST 2016, 1347, .37000000000000000000, 3, .11000000000000000000, 334, 94, 11, 24, 12, 7.210, 6.050
Thu Dec 29 11:41:52 EST 2016, 6297, .87000000000000000000, 9, .61000000000000000000, 484, 49, 1, 49, 57, 4.627, 4.723
Thu Dec 29 11:42:58 EST 2016, 8772, .12000000000000000000, 6, .36000000000000000000, 559, 72, 6, 11, 35, 6.207, 6.430
Thu Dec 29 11:43:49 EST 2016, 3822, .62000000000000000000, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.057, 0.053
Thu Dec 29 11:44:49 EST 2016, 2584, --delay, --selfEvents, --simEndTime, --rows, --eventsPerAgent, --granularity, --cols, , 0.063, 0.063
Thu Dec 29 11:46:00 EST 2016, 7534, .50000000000000000000, 5, .73000000000000000000, 447, 60, 4, 18, 69, 9.410, 8.167
Thu Dec 29 11:47:00 EST 2016, 5059, .25000000000000000000, 2, .48000000000000000000, 372, 38, 9, 30, 46, 6.307, 5.713
Thu Dec 29 11:49:01 EST 2016, 109, .75000000000000000000, 8, .98000000000000000000, 522, 83, 18, 5, 91, 61.303, 39.290
Thu Dec 29 11:50:47 EST 2016, 114, .37000000000000000000, 9, .65000000000000000000, 483, 74, 17, 41, 38, 48.193, 40.303
Thu Dec 29 11:56:34 EST 2016, 5064, .87000000000000000000, 3, .15000000000000000000, 333, 29, 7, 16, 83, 0.000, 12.617
