# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 12:36:12 EST 2017, 100, 0.000, 0, 0.000, 300, 10, 1, 0, 10, 0.093, 0.077
Tue Jan 10 12:38:38 EST 2017, 5050, 0.500, 6, 0.500, 450, 55, 10, 25, 55, 19.880, 20.717
Tue Jan 10 12:40:29 EST 2017, 7525, 0.250, 9, 0.250, 525, 32, 15, 12, 32, 6.873, 7.163
Tue Jan 10 12:42:40 EST 2017, 2575, 0.750, 3, 0.750, 375, 77, 5, 37, 77, 19.857, 19.857
Tue Jan 10 12:44:31 EST 2017, 3812, 0.370, 7, 0.120, 562, 88, 3, 31, 21, 4.993, 4.833
Tue Jan 10 12:46:57 EST 2017, 8762, 0.870, 1, 0.620, 412, 43, 12, 6, 66, 7.050, 29.137
Tue Jan 10 12:48:52 EST 2017, 6287, 0.120, 4, 0.370, 337, 66, 17, 43, 43, 21.720, 22.580
Tue Jan 10 12:50:38 EST 2017, 1337, 0.620, 10, 0.870, 487, 21, 8, 18, 88, 8.983, 8.730
Tue Jan 10 12:51:33 EST 2017, 1956, 0.310, 3, 0.680, 468, 26, 2, 46, 26, 1.260, 1.260
Tue Jan 10 12:58:00 EST 2017, 6906, 0.810, 9, 0.180, 318, 71, 11, 21, 71, 29.493, 209.453
Tue Jan 10 12:58:45 EST 2017, 9381, 0.060, 6, 0.930, 393, 49, 16, 34, 49, 16.193, 16.447
Tue Jan 10 13:04:57 EST 2017, 4431, 0.560, 0, 0.430, 543, 94, 6, 9, 94, 26.567, 262.940
Tue Jan 10 13:07:18 EST 2017, 3193, 0.180, 11, 0.560, 431, 83, 4, 15, 15, 1.910, 1.867
Tue Jan 10 13:11:19 EST 2017, 8143, 0.680, 5, 0.060, 581, 38, 14, 40, 60, 115.480, 74.633
Tue Jan 10 13:12:35 EST 2017, 5668, 0.430, 2, 0.810, 506, 60, 18, 3, 38, 7.387, 8.143
Tue Jan 10 13:13:25 EST 2017, 718, 0.930, 8, 0.310, 356, 15, 9, 28, 83, 0.103, 0.100
