# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jul  7 11:02:16 EDT 2017, 0.000, 120, 20, 2, 8, 300, 1, 10, 0, 10, 1.210, 1.230
Fri Jul  7 11:07:22 EDT 2017, 0.500, 140, 25, 6, 19, 450, 10, 30, 15, 30, 1.543, 1.533
Fri Jul  7 11:12:19 EDT 2017, 0.750, 130, 27, 4, 24, 375, 15, 20, 7, 40, 1.750, 1.820
Fri Jul  7 11:17:31 EDT 2017, 0.250, 150, 22, 8, 13, 525, 5, 40, 22, 20, 1.223, 1.223
Fri Jul  7 11:22:37 EDT 2017, 0.370, 135, 26, 3, 27, 562, 3, 35, 3, 45, 1.230, 1.217
Fri Jul  7 11:27:44 EDT 2017, 0.870, 155, 21, 7, 16, 412, 12, 15, 18, 25, 1.260, 1.250
Fri Jul  7 11:32:16 EDT 2017, 0.620, 125, 23, 5, 10, 487, 17, 45, 11, 15, 1.837, 1.827
Fri Jul  7 11:37:12 EDT 2017, 0.120, 145, 28, 9, 21, 337, 8, 25, 26, 35, 1.260, 1.220
Fri Jul  7 11:42:19 EDT 2017, 0.180, 132, 23, 7, 20, 356, 2, 47, 5, 12, 1.260, 1.217
Fri Jul  7 11:47:33 EDT 2017, 0.680, 152, 28, 3, 9, 506, 11, 27, 20, 32, 1.540, 1.527
Fri Jul  7 11:52:30 EDT 2017, 0.930, 122, 25, 9, 14, 431, 16, 37, 13, 42, 3.527, 3.837
Fri Jul  7 11:57:42 EDT 2017, 0.430, 142, 20, 5, 25, 581, 6, 17, 28, 22, 1.233, 1.207
Fri Jul  7 12:02:08 EDT 2017, 0.310, 127, 29, 6, 17, 543, 4, 22, 1, 47, 1.253, 1.233
Fri Jul  7 12:07:15 EDT 2017, 0.810, 147, 24, 2, 28, 393, 14, 42, 16, 27, 2.130, 2.233
Fri Jul  7 12:12:16 EDT 2017, 0.560, 137, 21, 8, 23, 468, 18, 12, 9, 17, 1.230, 1.237
Fri Jul  7 12:17:33 EDT 2017, 0.060, 157, 26, 4, 12, 318, 9, 32, 24, 37, 1.243, 1.247
Fri Jul  7 12:22:29 EDT 2017, 0.090, 138, 28, 5, 14, 403, 11, 43, 23, 26, 1.533, 1.493
Fri Jul  7 12:27:41 EDT 2017, 0.590, 158, 23, 9, 25, 553, 1, 23, 8, 46, 1.227, 1.203
Fri Jul  7 12:32:18 EDT 2017, 0.840, 128, 20, 3, 19, 328, 6, 33, 15, 36, 1.523, 1.503
Fri Jul  7 12:37:24 EDT 2017, 0.340, 148, 25, 7, 8, 478, 15, 13, 0, 16, 1.273, 1.240
Fri Jul  7 12:42:26 EDT 2017, 0.460, 123, 24, 4, 22, 515, 13, 28, 27, 31, 1.730, 1.823
Fri Jul  7 12:47:33 EDT 2017, 0.960, 143, 29, 8, 11, 365, 3, 48, 12, 11, 1.247, 1.223
Fri Jul  7 12:52:39 EDT 2017, 0.710, 133, 27, 2, 16, 590, 8, 18, 19, 21, 1.233, 1.213
Fri Jul  7 12:57:36 EDT 2017, 0.210, 153, 22, 6, 27, 440, 18, 38, 4, 41, 2.430, 2.713
Fri Jul  7 13:02:18 EDT 2017, 0.150, 126, 25, 8, 26, 421, 12, 16, 29, 28, 1.260, 1.230
Fri Jul  7 13:12:15 EDT 2017, 0.650, 146, 20, 4, 15, 571, 2, 36, 14, 48, 1.233, 1.220
Fri Jul  7 13:17:22 EDT 2017, 0.900, 136, 22, 6, 10, 346, 7, 26, 21, 38, 1.517, 1.517
Fri Jul  7 13:22:24 EDT 2017, 0.400, 156, 27, 2, 21, 496, 17, 46, 6, 18, 1.643, 1.817
Fri Jul  7 13:27:30 EDT 2017, 0.280, 131, 21, 9, 12, 459, 14, 31, 25, 33, 1.523, 1.840
Fri Jul  7 13:32:07 EDT 2017, 0.780, 151, 26, 5, 23, 309, 5, 11, 10, 13, 1.220, 1.137
Fri Jul  7 13:37:13 EDT 2017, 0.530, 121, 29, 7, 29, 534, 9, 41, 17, 23, 1.543, 1.517
Fri Jul  7 13:42:15 EDT 2017, 0.030, 141, 24, 3, 18, 384, 19, 21, 2, 43, 1.717, 1.853
Fri Jul  7 13:47:22 EDT 2017, 0.040, 130, 26, 6, 23, 492, 6, 36, 17, 11, 1.233, 1.227
Fri Jul  7 13:52:29 EDT 2017, 0.540, 150, 21, 2, 12, 342, 15, 16, 2, 31, 1.323, 1.437
Fri Jul  7 13:57:35 EDT 2017, 0.790, 120, 23, 8, 17, 567, 10, 46, 24, 41, 3.123, 3.317
Fri Jul  7 14:02:07 EDT 2017, 0.290, 140, 28, 4, 28, 417, 1, 26, 9, 21, 1.307, 1.120
Fri Jul  7 14:07:14 EDT 2017, 0.420, 125, 22, 7, 15, 379, 8, 11, 21, 46, 1.237, 1.233
Fri Jul  7 14:12:20 EDT 2017, 0.920, 145, 27, 3, 26, 529, 17, 31, 6, 26, 2.057, 2.117
Fri Jul  7 14:20:23 EDT 2017, 0.670, 135, 29, 9, 20, 304, 13, 21, 28, 16, 1.213, 1.197
Fri Jul  7 14:25:40 EDT 2017, 0.170, 155, 24, 5, 9, 454, 3, 41, 13, 36, 1.260, 1.203
Fri Jul  7 14:30:16 EDT 2017, 0.230, 123, 27, 3, 11, 473, 7, 24, 19, 14, 1.170, 1.203
Fri Jul  7 14:35:18 EDT 2017, 0.730, 143, 22, 7, 22, 323, 16, 44, 4, 34, 2.450, 2.633
Fri Jul  7 14:45:46 EDT 2017, 0.980, 133, 20, 5, 27, 548, 11, 14, 26, 44, 300.000, 300.000
Fri Jul  7 14:50:23 EDT 2017, 0.480, 153, 25, 9, 16, 398, 2, 34, 11, 24, 1.223, 1.250
Fri Jul  7 14:55:30 EDT 2017, 0.350, 138, 24, 2, 24, 435, 9, 49, 15, 49, 2.440, 2.443
Fri Jul  7 15:00:06 EDT 2017, 0.850, 158, 29, 6, 13, 585, 19, 29, 0, 29, 2.443, 2.743
Fri Jul  7 15:05:13 EDT 2017, 0.600, 128, 26, 4, 8, 360, 14, 39, 22, 19, 1.527, 1.533
Fri Jul  7 15:10:15 EDT 2017, 0.100, 148, 21, 8, 19, 510, 4, 19, 7, 39, 1.223, 1.227
Fri Jul  7 15:15:23 EDT 2017, 0.070, 129, 22, 9, 29, 595, 16, 28, 10, 25, 1.517, 1.630
Fri Jul  7 15:20:24 EDT 2017, 0.570, 149, 27, 5, 18, 445, 6, 48, 25, 45, 1.720, 1.737
Fri Jul  7 15:25:31 EDT 2017, 0.820, 139, 25, 7, 13, 520, 1, 18, 3, 35, 1.223, 1.233
Fri Jul  7 15:30:08 EDT 2017, 0.320, 159, 20, 3, 24, 370, 11, 38, 18, 15, 1.230, 1.217
Fri Jul  7 15:35:09 EDT 2017, 0.450, 134, 28, 8, 10, 332, 18, 43, 14, 30, 2.120, 2.130
Fri Jul  7 15:45:38 EDT 2017, 0.950, 154, 23, 4, 21, 482, 9, 23, 29, 10, 300.000, 300.000
Fri Jul  7 15:49:55 EDT 2017, 0.700, 124, 21, 6, 26, 407, 4, 33, 7, 20, 1.217, 1.243
Fri Jul  7 15:54:57 EDT 2017, 0.200, 144, 26, 2, 15, 557, 13, 13, 22, 40, 1.210, 1.240
Fri Jul  7 16:00:13 EDT 2017, 0.140, 136, 20, 4, 17, 539, 17, 30, 12, 28, 1.847, 1.820
Fri Jul  7 16:08:41 EDT 2017, 0.640, 156, 25, 8, 28, 389, 7, 10, 27, 48, 1.203, 1.190
Fri Jul  7 16:13:48 EDT 2017, 0.890, 126, 28, 2, 22, 464, 3, 40, 5, 38, 1.227, 1.413
Fri Jul  7 16:18:50 EDT 2017, 0.390, 146, 23, 6, 11, 314, 12, 20, 20, 18, 1.240, 1.227
Fri Jul  7 16:23:56 EDT 2017, 0.260, 121, 27, 5, 20, 351, 19, 15, 8, 33, 1.533, 1.507
Fri Jul  7 16:28:58 EDT 2017, 0.760, 141, 22, 9, 9, 501, 10, 35, 23, 13, 1.243, 1.333
Fri Jul  7 16:33:45 EDT 2017, 0.510, 131, 24, 3, 14, 426, 5, 25, 1, 23, 1.237, 1.237
Fri Jul  7 16:38:41 EDT 2017, 0.010, 151, 29, 7, 25, 576, 14, 45, 16, 43, 2.163, 2.363
Fri Jul  7 16:43:53 EDT 2017, 0.020, 135, 24, 8, 12, 560, 8, 37, 7, 24, 1.243, 1.253
Fri Jul  7 16:49:00 EDT 2017, 0.520, 155, 29, 4, 23, 410, 18, 17, 22, 44, 1.627, 1.827
Fri Jul  7 16:58:27 EDT 2017, 0.770, 125, 26, 6, 29, 485, 13, 47, 14, 34, 2.807, 2.923
Fri Jul  7 17:03:09 EDT 2017, 0.270, 145, 21, 2, 18, 335, 3, 27, 29, 14, 1.227, 1.240
Fri Jul  7 17:12:47 EDT 2017, 0.390, 120, 28, 9, 26, 372, 6, 12, 3, 39, 1.200, 1.220
Fri Jul  7 17:17:48 EDT 2017, 0.890, 140, 23, 5, 15, 522, 15, 32, 18, 19, 1.600, 1.740
Fri Jul  7 17:22:55 EDT 2017, 0.640, 130, 20, 7, 9, 447, 10, 22, 11, 29, 1.253, 1.437
Fri Jul  7 17:28:02 EDT 2017, 0.140, 150, 25, 3, 20, 597, 1, 42, 26, 49, 1.237, 1.243
Fri Jul  7 17:32:33 EDT 2017, 0.210, 128, 21, 5, 22, 578, 9, 20, 1, 22, 1.247, 1.220
Fri Jul  7 17:37:41 EDT 2017, 0.710, 148, 26, 9, 11, 428, 19, 40, 16, 42, 3.347, 3.530
Fri Jul  7 17:48:29 EDT 2017, 0.960, 138, 28, 3, 16, 503, 14, 10, 9, 32, 300.000, 300.000
Fri Jul  7 17:53:05 EDT 2017, 0.460, 158, 23, 7, 27, 353, 5, 30, 24, 12, 1.227, 1.217
Fri Jul  7 17:57:57 EDT 2017, 0.330, 133, 25, 4, 14, 316, 7, 45, 5, 37, 1.530, 1.527
Fri Jul  7 18:02:33 EDT 2017, 0.830, 153, 20, 8, 25, 466, 16, 25, 20, 17, 1.537, 1.533
Fri Jul  7 18:07:50 EDT 2017, 0.580, 123, 22, 2, 19, 391, 12, 35, 12, 27, 1.840, 1.827
Fri Jul  7 18:12:42 EDT 2017, 0.080, 143, 27, 6, 8, 541, 2, 15, 27, 47, 1.240, 1.230
Fri Jul  7 18:17:58 EDT 2017, 0.110, 124, 26, 7, 18, 457, 18, 26, 28, 18, 1.270, 1.237
Fri Jul  7 18:23:05 EDT 2017, 0.610, 144, 21, 3, 29, 307, 9, 46, 13, 38, 1.813, 1.843
Fri Jul  7 18:26:26 EDT 2017, 0.860, 134, 24, 9, 24, 532, 4, 16, 21, 48, 1.243, 1.243
Fri Jul  7 18:28:57 EDT 2017, 0.360, 154, 29, 5, 13, 382, 13, 36, 6, 28, 1.553, 1.513
Fri Jul  7 18:31:33 EDT 2017, 0.490, 139, 20, 6, 21, 419, 16, 41, 25, 43, 3.027, 3.237
Fri Jul  7 18:42:21 EDT 2017, 0.990, 159, 25, 2, 10, 569, 6, 21, 10, 23, 300.000, 300.000
Fri Jul  7 18:46:43 EDT 2017, 0.740, 129, 27, 8, 16, 344, 2, 31, 17, 13, 1.230, 1.237
Fri Jul  7 18:51:50 EDT 2017, 0.240, 149, 22, 4, 27, 494, 11, 11, 2, 33, 1.320, 1.250
Fri Jul  7 18:56:57 EDT 2017, 0.170, 132, 29, 2, 28, 513, 19, 34, 23, 15, 1.503, 1.523
Fri Jul  7 19:01:28 EDT 2017, 0.670, 152, 24, 6, 17, 363, 10, 14, 8, 35, 1.177, 1.210
Fri Jul  7 19:06:35 EDT 2017, 0.920, 122, 22, 4, 11, 588, 5, 44, 15, 45, 2.123, 2.157
Fri Jul  7 19:11:41 EDT 2017, 0.420, 142, 27, 8, 22, 438, 15, 24, 0, 25, 1.517, 1.537
Fri Jul  7 19:16:43 EDT 2017, 0.300, 127, 23, 3, 9, 400, 17, 19, 26, 40, 1.547, 1.710
Fri Jul  7 19:21:50 EDT 2017, 0.800, 147, 28, 7, 20, 550, 7, 39, 11, 20, 1.310, 1.317
Fri Jul  7 19:26:56 EDT 2017, 0.550, 137, 26, 5, 25, 325, 3, 29, 19, 10, 1.123, 1.230
Fri Jul  7 19:31:33 EDT 2017, 0.050, 157, 21, 9, 14, 475, 12, 49, 4, 30, 1.680, 1.690
Fri Jul  7 19:40:46 EDT 2017, 0.030, 125, 29, 4, 19, 442, 3, 14, 19, 22, 1.210, 1.227
Fri Jul  7 19:44:12 EDT 2017, 0.530, 145, 24, 8, 8, 592, 13, 34, 4, 42, 2.130, 2.430
Fri Jul  7 19:49:14 EDT 2017, 0.780, 135, 21, 2, 13, 367, 17, 24, 27, 32, 2.013, 1.923
Fri Jul  7 19:54:21 EDT 2017, 0.280, 155, 26, 6, 24, 517, 8, 44, 12, 12, 1.250, 1.257
Fri Jul  7 19:59:27 EDT 2017, 0.410, 130, 23, 5, 16, 480, 1, 39, 16, 37, 1.233, 1.237
Fri Jul  7 20:04:19 EDT 2017, 0.910, 150, 28, 9, 27, 330, 10, 19, 1, 17, 1.230, 1.227
Fri Jul  7 20:09:21 EDT 2017, 0.660, 120, 25, 3, 21, 555, 15, 49, 23, 27, 2.967, 3.080
Fri Jul  7 20:14:28 EDT 2017, 0.160, 140, 20, 7, 10, 405, 5, 29, 8, 47, 1.337, 1.240
Fri Jul  7 20:18:51 EDT 2017, 0.220, 137, 27, 9, 9, 386, 4, 47, 18, 20, 1.220, 1.217
Fri Jul  7 20:21:27 EDT 2017, 0.720, 157, 22, 5, 20, 536, 14, 27, 3, 40, 2.333, 2.323
Fri Jul  7 20:24:03 EDT 2017, 0.970, 127, 24, 7, 26, 311, 18, 37, 25, 30, 2.317, 2.397
Fri Jul  7 20:28:04 EDT 2017, 0.470, 147, 29, 3, 15, 461, 9, 17, 10, 10, 1.200, 1.180
Fri Jul  7 20:32:15 EDT 2017, 0.350, 122, 21, 8, 28, 499, 2, 22, 21, 35, 1.220, 1.253
Fri Jul  7 20:37:12 EDT 2017, 0.850, 142, 26, 4, 17, 349, 11, 42, 6, 15, 1.530, 1.540
Fri Jul  7 20:42:29 EDT 2017, 0.600, 132, 28, 6, 12, 574, 16, 12, 29, 25, 1.237, 1.243
Fri Jul  7 20:50:51 EDT 2017, 0.100, 152, 23, 2, 23, 424, 7, 32, 14, 45, 1.433, 1.497
Fri Jul  7 20:56:08 EDT 2017, 0.070, 134, 22, 3, 25, 339, 13, 40, 11, 19, 1.437, 1.343
Fri Jul  7 21:00:40 EDT 2017, 0.570, 154, 27, 7, 14, 489, 4, 20, 26, 39, 1.187, 1.180
Fri Jul  7 21:05:46 EDT 2017, 0.820, 124, 29, 5, 8, 414, 8, 30, 3, 49, 1.877, 1.830
Fri Jul  7 21:10:53 EDT 2017, 0.320, 144, 24, 9, 19, 564, 18, 10, 18, 29, 1.337, 1.343
Fri Jul  7 21:20:51 EDT 2017, 0.440, 129, 25, 2, 11, 527, 11, 25, 7, 44, 1.850, 1.837
Fri Jul  7 21:25:53 EDT 2017, 0.940, 149, 20, 6, 22, 377, 1, 45, 22, 24, 1.200, 1.223
Fri Jul  7 21:30:30 EDT 2017, 0.690, 139, 23, 4, 28, 452, 6, 15, 0, 14, 1.230, 1.203
Fri Jul  7 21:35:37 EDT 2017, 0.190, 159, 28, 8, 17, 302, 15, 35, 15, 34, 1.510, 1.540
Fri Jul  7 21:40:38 EDT 2017, 0.130, 121, 23, 6, 15, 321, 14, 18, 9, 16, 1.237, 1.243
Fri Jul  7 21:49:15 EDT 2017, 0.630, 141, 28, 2, 26, 471, 5, 38, 24, 36, 1.323, 1.510
Fri Jul  7 21:54:22 EDT 2017, 0.880, 131, 26, 8, 21, 396, 10, 28, 2, 46, 1.833, 1.923
Fri Jul  7 21:59:29 EDT 2017, 0.380, 151, 21, 4, 10, 546, 19, 48, 17, 26, 2.847, 3.017
Fri Jul  7 22:04:21 EDT 2017, 0.250, 136, 27, 7, 23, 583, 12, 33, 13, 41, 1.853, 1.827
Fri Jul  7 22:09:23 EDT 2017, 0.750, 156, 22, 3, 12, 433, 2, 13, 28, 21, 1.043, 1.240
Fri Jul  7 22:14:29 EDT 2017, 0.500, 126, 20, 9, 18, 508, 7, 43, 5, 11, 1.230, 1.243
Fri Jul  7 22:19:26 EDT 2017, 0.000, 146, 25, 5, 29, 358, 17, 23, 20, 31, 1.343, 1.420
Fri Jul  7 22:24:37 EDT 2017, 0.010, 133, 27, 9, 18, 425, 9, 29, 21, 32, 1.340, 1.230
Fri Jul  7 22:29:34 EDT 2017, 0.510, 153, 22, 5, 29, 575, 19, 49, 6, 12, 1.633, 1.837
Fri Jul  7 22:34:10 EDT 2017, 0.760, 123, 20, 7, 23, 350, 14, 19, 29, 22, 1.223, 1.233
Fri Jul  7 22:39:12 EDT 2017, 0.260, 143, 25, 3, 12, 500, 5, 39, 14, 42, 1.443, 1.507
Fri Jul  7 22:44:19 EDT 2017, 0.380, 128, 24, 8, 20, 462, 7, 44, 18, 27, 1.430, 1.220
Fri Jul  7 22:49:35 EDT 2017, 0.880, 148, 29, 4, 9, 312, 16, 24, 3, 47, 1.933, 2.027
Fri Jul  7 22:55:32 EDT 2017, 0.630, 138, 26, 6, 15, 537, 12, 34, 25, 37, 2.017, 2.163
Fri Jul  7 22:57:58 EDT 2017, 0.130, 158, 21, 2, 26, 387, 2, 14, 10, 17, 1.117, 1.037
Fri Jul  7 23:00:34 EDT 2017, 0.190, 120, 25, 4, 27, 406, 8, 32, 16, 30, 1.210, 1.313
