# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Thu Jun 22 18:57:00 EDT 2017, 0.430, 1, 9, 0.660, 5, 3, 13, 375, 56, 8, 37, 90, 2.937, 3.013
Thu Jun 22 19:00:06 EDT 2017, 0.930, 6, 5, 0.160, 1, 8, 58, 525, 11, 17, 12, 45, 2.637, 2.440
Thu Jun 22 19:04:38 EDT 2017, 0.680, 3, 2, 0.910, 3, 1, 81, 300, 79, 13, 49, 22, 3.357, 3.657
Thu Jun 22 19:09:45 EDT 2017, 0.180, 8, 7, 0.410, 8, 6, 36, 450, 34, 3, 24, 67, 1.650, 1.743
Thu Jun 22 19:14:57 EDT 2017, 0.120, 2, 1, 0.230, 9, 5, 30, 319, 62, 11, 21, 62, 4.847, 8.350
Thu Jun 22 19:19:53 EDT 2017, 0.620, 6, 5, 0.730, 5, 1, 75, 469, 17, 2, 46, 17, 1.230, 1.227
Thu Jun 22 19:25:00 EDT 2017, 0.870, 4, 8, 0.480, 2, 7, 98, 394, 85, 7, 8, 39, 2.720, 2.860
Thu Jun 22 19:30:07 EDT 2017, 0.370, 8, 3, 0.980, 7, 3, 53, 544, 40, 16, 33, 84, 7.440, 8.233
Thu Jun 22 19:34:38 EDT 2017, 0.250, 3, 6, 0.100, 1, 4, 19, 506, 73, 9, 2, 28, 2.277, 2.430
Thu Jun 22 19:39:50 EDT 2017, 0.750, 7, 2, 0.600, 6, 8, 64, 356, 28, 19, 27, 73, 7.137, 8.823
Thu Jun 22 19:45:37 EDT 2017, 0.500, 1, 4, 0.350, 8, 2, 86, 581, 96, 14, 15, 95, 15.367, 39.983
Thu Jun 22 19:49:53 EDT 2017, 0.000, 5, 9, 0.850, 4, 6, 41, 431, 51, 4, 40, 50, 1.800, 1.867
Thu Jun 22 19:55:00 EDT 2017, 0.000, 3, 4, 0.150, 9, 4, 74, 427, 65, 13, 45, 54, 3.967, 4.217
Thu Jun 22 20:00:02 EDT 2017, 0.500, 7, 8, 0.650, 4, 9, 29, 577, 20, 4, 20, 99, 1.850, 1.923
Thu Jun 22 20:04:39 EDT 2017, 0.750, 1, 6, 0.400, 2, 2, 52, 352, 87, 8, 33, 76, 4.647, 5.037
Thu Jun 22 20:09:45 EDT 2017, 0.250, 5, 2, 0.900, 6, 7, 97, 502, 42, 18, 8, 31, 3.520, 3.937
Thu Jun 22 20:14:47 EDT 2017, 0.370, 2, 9, 0.020, 1, 6, 63, 539, 76, 6, 27, 87, 3.653, 3.840
Thu Jun 22 20:19:54 EDT 2017, 0.870, 6, 5, 0.520, 5, 1, 18, 389, 31, 16, 2, 42, 3.523, 3.953
Thu Jun 22 20:25:11 EDT 2017, 0.620, 4, 3, 0.270, 7, 8, 40, 464, 99, 11, 39, 20, 3.633, 3.830
Thu Jun 22 20:30:12 EDT 2017, 0.120, 8, 7, 0.770, 3, 3, 85, 314, 54, 1, 14, 65, 1.433, 1.540
Thu Jun 22 20:35:19 EDT 2017, 0.190, 1, 1, 0.580, 5, 3, 68, 483, 71, 14, 17, 70, 10.960, 38.670
Thu Jun 22 20:39:40 EDT 2017, 0.690, 6, 5, 0.080, 9, 7, 23, 333, 26, 5, 42, 25, 1.427, 1.547
Thu Jun 22 20:44:52 EDT 2017, 0.940, 3, 8, 0.830, 7, 1, 46, 558, 93, 10, 5, 48, 5.850, 6.967
Thu Jun 22 20:49:59 EDT 2017, 0.440, 8, 3, 0.330, 2, 5, 91, 408, 48, 19, 30, 93, 8.280, 9.043
Thu Jun 22 20:55:06 EDT 2017, 0.310, 4, 7, 0.710, 6, 6, 57, 371, 59, 7, 11, 14, 1.520, 1.533
Thu Jun 22 21:00:07 EDT 2017, 0.810, 9, 2, 0.210, 1, 2, 12, 521, 14, 17, 36, 59, 4.743, 5.037
Thu Jun 22 21:04:44 EDT 2017, 0.560, 2, 4, 0.960, 3, 8, 35, 446, 82, 12, 23, 82, 8.353, 9.633
Thu Jun 22 21:09:50 EDT 2017, 0.060, 7, 9, 0.460, 8, 4, 80, 596, 37, 2, 48, 37, 1.363, 1.333
