"procs","X..delay","X..selfEvents.","X..eventsPerAgent","para_runtime_mean","serial_runtime_mean","SpeedUp","Efficiency","TotOverhead"
1,1,0,2,8.015,8.015,1,1,0
2,1,0,2,60.778,8.015,0.13187337523446,0.0659366876172299,113.541
4,1,0,2,26.998,8.015,0.296873842506852,0.0742184606267131,99.977
8,1,0,2,12.327,8.015,0.650198750709824,0.081274843838728,90.601
16,1,0,2,8.314,8.015,0.964036564830407,0.0602522853019004,125.009
32,1,0,2,6.638,8.015,1.20744200060259,0.037732562518831,204.401
64,1,0,2,5.997,8.015,1.3365015841254,0.0208828372519593,375.793
1,1,0,5,15.613,15.613,1,1,0
2,1,0,5,107.851,15.613,0.144764536258356,0.0723822681291782,200.089
4,1,0,5,51.354,15.613,0.304026950188885,0.0760067375472212,189.803
8,1,0,5,25.652,15.613,0.6086464992983,0.0760808124122875,189.603
16,1,0,5,19.785,15.613,0.789133181703311,0.0493208238564569,300.947
32,1,0,5,19.457,15.613,0.802436141234517,0.0250761294135787,607.011
64,1,0,5,31.117,15.613,0.501751454189028,0.00783986647170357,1975.875
1,1,0,10,27.434,27.434,1,1,0
2,1,0,10,178.268,27.434,0.153891893104764,0.0769459465523818,329.102
4,1,0,10,87.113,27.434,0.314924293733427,0.0787310734333567,321.018
8,1,0,10,45.42,27.434,0.604007045354469,0.0755008806693087,335.926
16,1,0,10,29.102,27.434,0.942684351590956,0.0589177719744347,438.198
32,1,0,10,55.044,27.434,0.498401278976819,0.0155750399680256,1733.974
64,1,0,10,80.111,27.434,0.342449850831971,0.00535077891924954,5099.67
1,1,0.25,2,8.115,8.115,1,1,0
2,1,0.25,2,58.51,8.115,0.138694240300803,0.0693471201504016,108.905
4,1,0.25,2,26.662,8.115,0.304365764008702,0.0760914410021754,98.533
8,1,0.25,2,11.415,8.115,0.710906701708279,0.0888633377135348,83.205
16,1,0.25,2,7.091,8.115,1.14440840502045,0.071525525313778,105.341
32,1,0.25,2,5.035,8.115,1.61171797418073,0.050366186693148,153.005
64,1,0.25,2,4.876,8.115,1.66427399507793,0.0260042811730927,303.949
1,1,0.25,5,15.413,15.413,1,1,0
2,1,0.25,5,103.716,15.413,0.148607736511242,0.0743038682556211,192.019
