"procs","X..delay","X..selfEvents.","X..eventsPerAgent","para_runtime_mean","serial_runtime_mean","SpeedUp","Efficiency","TotOverhead"
1,1,0,2,5.321,5.321,1,1,0
2,1,0,2,20.474,5.321,0.259890592947152,0.129945296473576,35.627
4,1,0,2,79.706,5.321,0.0667578350437859,0.0166894587609465,313.503
8,1,0,2,95.202,5.321,0.0558916829478372,0.00698646036847965,756.295
16,1,0,2,3.68,5.321,1.44592391304348,0.0903702445652174,53.559
32,1,0,2,6.156,5.321,0.864359974009097,0.0270112491877843,191.671
64,1,0,2,9.724,5.321,0.547202797202797,0.00855004370629371,617.015
1,1,0,5,10.033,10.033,1,1,0
2,1,0,5,36.864,10.033,0.272162543402778,0.136081271701389,63.695
4,1,0,5,84.094,10.033,0.119306966014222,0.0298267415035555,326.343
8,1,0,5,269.878,10.033,0.0371760573296082,0.00464700716620102,2148.991
16,1,0,5,457.866,10.033,0.0219125246251087,0.00136953278906929,7315.823
32,1,0,5,46.859,10.033,0.214110416355449,0.00669095051110779,1489.455
64,1,0,5,10.2,10.033,0.983627450980392,0.0153691789215686,642.767
1,1,0,10,16.753,16.753,1,1,0
2,1,0,10,54.05,16.753,0.30995374653099,0.154976873265495,91.347
4,1,0,10,90.201,16.753,0.185729648230064,0.046432412057516,344.051
8,1,0,10,220.636,16.753,0.0759304918508312,0.00949131148135391,1748.335
16,1,0,10,377.945,16.753,0.04432655545119,0.00277040971569937,6030.367
32,1,0,10,61.951,16.753,0.270423399138028,0.00845073122306339,1965.679
64,1,0,10,14.704,16.753,1.13934983677911,0.0178023411996736,924.303
1,1,0.25,2,5.204,5.204,1,1,0
2,1,0.25,2,20.014,5.204,0.260017987408814,0.130008993704407,34.824
4,1,0.25,2,35.578,5.204,0.146270166957108,0.0365675417392771,137.108
8,1,0.25,2,5.568,5.204,0.934626436781609,0.116828304597701,39.34
16,1,0.25,2,3.055,5.204,1.70343698854337,0.106464811783961,43.676
32,1,0.25,2,5.208,5.204,0.999231950844854,0.0312259984639017,161.452
64,1,0.25,2,9.243,5.204,0.563020664286487,0.00879719787947636,586.348
1,1,0.25,5,9.991,9.991,1,1,0
2,1,0.25,5,35.42,9.991,0.282072275550536,0.141036137775268,60.849
4,1,0.25,5,59.64,9.991,0.167521797451375,0.0418804493628437,228.569
8,1,0.25,5,143.391,9.991,0.0696766184767524,0.00870957730959405,1137.137
16,1,0.25,5,62.422,9.991,0.16005574957547,0.0100034843484669,988.761
32,1,0.25,5,60.275,9.991,0.165756947324762,0.0051799046038988,1918.809
64,1,0.25,5,24.34,9.991,0.410476581758422,0.00641369658997535,1547.769
1,1,0.25,10,16.291,16.291,1,1,0
2,1,0.25,10,52.099,16.291,0.312693141902916,0.156346570951458,87.907
4,1,0.25,10,78.822,16.291,0.206680875897592,0.051670218974398,298.997
8,1,0.25,10,134.051,16.291,0.121528373529478,0.0151910466911847,1056.117
16,1,0.25,10,86.479,16.291,0.188380994229813,0.0117738121393633,1367.373
32,1,0.25,10,169.598,16.291,0.0960565572707225,0.00300176741471008,5410.845
64,1,0.25,10,59.086,16.291,0.275716751853231,0.00430807424770673,3765.213
1,10,0,2,9.74,9.74,1,1,0
2,10,0,2,37.903,9.74,0.256971743661452,0.128485871830726,66.066
4,10,0,2,21.984,9.74,0.443049490538574,0.110762372634643,78.196
8,10,0,2,12.801,9.74,0.760878056401844,0.0951097570502304,92.668
16,10,0,2,8.929,9.74,1.09082764027327,0.0681767275170792,133.124
32,10,0,2,7.305,9.74,1.33333333333333,0.0416666666666667,224.02
64,10,0,2,11.498,9.74,0.847103844146808,0.0132359975647939,726.132
1,10,0,5,17.284,17.284,1,1,0
2,10,0,5,55.92,17.284,0.309084406294707,0.154542203147353,94.556
4,10,0,5,35.322,17.284,0.489326765188834,0.122331691297209,124.004
8,10,0,5,31.095,17.284,0.555844991156134,0.0694806238945168,231.476
16,10,0,5,29.881,17.284,0.578427763461732,0.0361517352163582,460.812
32,10,0,5,27.849,17.284,0.620632697762936,0.0193947718050917,873.884
64,10,0,5,24.34,17.284,0.710106820049301,0.0110954190632703,1540.476
1,10,0,10,29.401,29.401,1,1,0
2,10,0,10,82.154,29.401,0.357876670642939,0.178938335321469,134.907
4,10,0,10,48.98,29.401,0.60026541445488,0.15006635361372,166.519
8,10,0,10,61.256,29.401,0.479969309128902,0.0599961636411127,460.647
16,10,0,10,65.491,29.401,0.448931914308836,0.0280582446443023,1018.455
32,10,0,10,80.936,29.401,0.363262330730454,0.0113519478353267,2560.551
64,10,0,10,59.086,29.401,0.4975967234201,0.00777494880343906,3752.103
1,10,0.25,2,9.126,9.126,1,1,0
2,10,0.25,2,35.46,9.126,0.257360406091371,0.128680203045685,61.794
4,10,0.25,2,20.024,9.126,0.455753096284459,0.113938274071115,70.97
8,10,0.25,2,11.26,9.126,0.810479573712256,0.101309946714032,80.954
16,10,0.25,2,7.403,9.126,1.23274348237201,0.0770464676482507,109.322
32,10,0.25,2,6.117,9.126,1.49190779794017,0.0466221186856302,186.618
64,10,0.25,2,10.2,9.126,0.894705882352941,0.0139797794117647,643.674
1,10,0.25,5,16.898,16.898,1,1,0
2,10,0.25,5,54.425,16.898,0.31048231511254,0.15524115755627,91.952
4,10,0.25,5,32.775,16.898,0.515575896262395,0.128893974065599,114.202
8,10,0.25,5,24.893,16.898,0.678825372594705,0.0848531715743382,182.246
16,10,0.25,5,20.061,16.898,0.842330890783112,0.0526456806739445,304.078
32,10,0.25,5,17.401,16.898,0.971093615309465,0.0303466754784208,539.934
64,10,0.25,5,14.704,16.898,1.14921109902067,0.017956423422198,924.158
1,10,0.25,10,29.215,29.215,1,1,0
2,10,0.25,10,81.713,29.215,0.357531849277349,0.178765924638674,134.211
4,10,0.25,10,47.969,29.215,0.609039171131356,0.152259792782839,162.661
8,10,0.25,10,41.093,29.215,0.710948336699681,0.0888685420874601,299.529
16,10,0.25,10,37.598,29.215,0.777036012553859,0.0485647507846162,572.353
32,10,0.25,10,29.6,29.215,0.986993243243243,0.0308435388513514,917.985
64,10,0.25,10,44.851,29.215,0.651379010501438,0.010177797039085,2841.249
